symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
ADI,2019-10-18,,,,,,,0.44803098773402217,0.5173106610828935,0.5301042273714566,0.8668718443507749,0.4631147540983612,0.4560362341763334,-0.4727272727272691,109.48,110.43,108.42,110.17,1428915,109.48,110.43,108.42,110.17,1428915
ADI,2019-10-17,,,,,,0.0,0.5345384118786314,0.4859960731106845,0.4810106818651147,0.868962577068164,0.5341530054644809,0.4416250695964442,-0.5335021249660941,110.0,112.26,109.63,111.77,1494105,110.0,112.26,109.63,111.77,1494105
ADI,2019-10-16,,,,,,0.0,0.6149128469980635,0.4414757565008719,0.4018861969007791,0.8684135751027952,0.6147540983606563,0.4204744905920783,-2.3832641892488327,110.59,113.25,110.39,112.71,1963966,110.59,113.25,110.39,112.71,1963966
ADI,2019-10-15,,,,,,0.0,0.6759199483537769,0.4895333177209551,0.49833265502049245,0.8681410390509302,0.9836065573770505,0.4093188693088213,2.673554468007978,113.29,113.41,110.5,110.75,2629701,113.29,113.41,110.5,110.75,2629701
ADI,2019-10-14,,,,,,1.0,0.5177533892834087,0.47105511028312413,0.4936365846832784,0.8604377656903829,0.4206379841048327,0.36591929456406336,-0.7912245998921017,110.34,111.0,109.99,110.57,1761884,110.34,111.0,109.99,110.57,1761884
ADI,2019-10-11,,,,,0.0,0.0,0.5684312459651387,0.41026145950872434,0.4565966881041091,0.861463195764088,0.5077347902253624,0.35777433498791467,2.5636296569531547,111.22,112.72,109.73,109.73,2626741,111.22,112.72,109.73,109.73,2626741
ADI,2019-10-10,,,,,1.0,1.0,0.41091026468689484,0.38116790137178697,0.3797365186295963,0.857744819731379,0.23258806179914224,0.3226196720901413,0.34237068566670176,108.44,109.77,107.52,107.8,1902677,108.44,109.77,107.52,107.8,1902677
ADI,2019-10-09,,,,,1.0,1.0,0.41381536475145225,0.38355490598341824,0.3686325980572146,0.8618875660244406,0.19596781377119166,0.332792326907942,1.827946857627436,108.07,108.87,106.78,107.77,1907631,108.07,108.87,106.78,107.77,1907631
ADI,2019-10-08,,,,,1.0,1.0,0.4067140090380893,0.3733587303972854,0.4645943443065738,0.8686802627434026,0.003958945732750579,0.3633343166609094,-4.249368459040065,106.13,110.36,106.09,109.99,3240867,106.13,110.36,106.09,109.99,3240867
ADI,2019-10-07,,,,,0.0,0.0,0.4512588766946417,0.4056124145216606,0.3264003464775725,0.8830367357481691,0.34660775962019613,0.426350214819614,-1.9375387065380851,110.84,113.29,110.78,112.92,1764150,110.84,113.29,110.78,112.92,1764150
