symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
AMAT,2019-10-18,,,,,,,0.41431334622823984,0.37754849582153016,0.5666715391283242,0.8236241523643666,0.6487695749440714,0.6679827101943584,-0.8822401227464535,51.68,52.41,51.04,52.22,6393604,51.68,52.41,51.04,52.22,6393604
AMAT,2019-10-17,,,,,,0.0,0.40425531914893625,0.3691772878573875,0.45973912881842216,0.82286439691419,0.7516778523489933,0.6616875057368663,1.124903025601238,52.14,53.25,51.84,52.46,5159955,52.14,53.25,51.84,52.46,5159955
AMAT,2019-10-16,,,,,,1.0,0.36595744680851067,0.38965453371757847,0.5566532963070057,0.8210277189967501,0.637614678899083,0.6646330338002573,-2.551502551502541,51.56,52.8,51.35,51.88,8456280,51.56,52.8,51.35,51.88,8456280
AMAT,2019-10-15,,,,,,0.0,0.45261121856866515,0.4089608326896682,0.49947912331033917,0.8194690926964596,0.9472477064220173,0.6676642228077788,1.8773466833541816,52.91,53.14,51.875,52.07,8063938,52.91,53.14,51.875,52.07,8063938
AMAT,2019-10-14,,,,,,1.0,0.425725338491296,0.38874250829454704,0.43128499811613435,0.8143262062901828,0.8222998331943296,0.6497075143910608,0.35748792270531843,51.935,52.125,51.79,51.81,3429704,51.935,52.125,51.79,51.81,3429704
AMAT,2019-10-11,,,,,0.0,1.0,0.4019342359767892,0.4190893697577623,0.520719840992478,0.8117771123732722,0.7740825688073398,0.6520839909786109,1.4506959419721663,51.75,52.39,51.71,52.16,6823720,51.75,52.39,51.71,52.16,6823720
AMAT,2019-10-10,,,,,1.0,1.0,0.3771760154738878,0.39756560039281447,0.4821999824649683,0.8101415773775669,0.5812135112593825,0.6454348792865081,0.3343823760818147,51.01,51.6,50.64,50.67,5368631,51.01,51.6,50.64,50.67,5368631
AMAT,2019-10-09,,,,,1.0,1.0,0.3586073500967119,0.43065318287459425,0.5005791118510254,0.808160269610527,0.5369057547956642,0.6480955657904387,3.1028189008314766,50.84,51.17,50.0,50.12,6362242,50.84,51.17,50.0,50.12,6362242
AMAT,2019-10-08,,,,,1.0,1.0,0.3524177949709867,0.4236021155317095,0.49073678255036,0.8071875666168871,0.13813594662218556,0.6468277075731641,-2.6456071076011773,49.31,50.28,49.075,50.15,5722592,49.31,50.28,49.075,50.15,5722592
AMAT,2019-10-07,,,,,1.0,0.0,0.3860735009671181,0.4553274619121156,0.4644240735754556,0.8085066590733141,0.4873853211009172,0.6573971600283943,-0.4520440251572405,50.65,51.11,50.58,50.82,5482744,50.65,51.11,50.58,50.82,5482744
AMAT,2019-10-04,,,,1.0,1.0,0.0,0.4166344294003869,0.43458571032958837,1.0,0.8087243570003295,0.5473311092577157,0.6672655149681949,2.497985495568094,50.88,50.9,49.89,50.01,4620605,50.88,50.9,49.89,50.01,4620605
AMAT,2019-10-03,,,,1.0,1.0,1.0,0.35899419729206966,0.42625330688168794,0.5040936275843162,0.8068724358002888,0.22414512093411182,0.670879870300515,0.363930448847553,49.64,49.765,48.78,49.42,7082515,49.64,49.765,48.78,49.42,7082515
AMAT,2019-10-02,,,,1.0,1.0,1.0,0.38452611218568683,0.4535215690239678,0.47952562396978743,0.8066279736070621,0.08941963770624275,0.690831536840457,-1.1195521791283531,49.46,49.88,49.21,49.37,6563804,49.46,49.88,49.21,49.37,6563804
AMAT,2019-10-01,,,,1.0,0.0,0.0,0.4796905222437139,0.4938051701547436,0.4225802625102173,0.8069498395785841,0.3841775754126363,0.6873480562952359,0.24048096192385682,50.02,51.0,49.775,50.41,7746018,50.02,51.0,49.775,50.41,7746018
AMAT,2019-09-30,,,,1.0,1.0,1.0,0.4591876208897484,0.5233337863001057,0.44901955517951186,0.8057334467377733,0.5021257880076238,0.6675215286978794,0.9508395711106592,49.9,50.22,49.26,49.75,6780365,49.9,50.22,49.26,49.75,6780365
AMAT,2019-09-27,,,,1.0,1.0,1.0,0.4684719535783365,0.531520801146938,0.4035368040580827,0.8055489625013708,0.4159947221814988,0.6380428244380263,-5.215723873441992,49.43,51.46,49.15,51.12,11206261,49.43,51.46,49.15,51.12,11206261
AMAT,2019-09-26,,,,0.0,0.0,0.0,0.6282398452611219,0.6549374749825614,0.4667186903904333,0.8056057601031803,0.9220284626177592,0.6111459951661099,0.4236472174080471,52.15,52.46,51.81,52.17,4912909,52.15,52.46,51.81,52.17,4912909
AMAT,2019-09-25,,,,0.0,0.0,1.0,0.6348162475822051,0.6597440647702513,0.5028743444302078,0.7997961753674114,0.9112294488677491,0.5695705197037778,1.5050820953870274,51.93,52.12,50.5,50.65,5488284,51.93,52.12,50.5,50.65,5488284
AMAT,2019-09-24,,,,0.0,0.0,1.0,0.6011605415860735,0.6813934867888218,0.500920072534259,0.7949024750308629,0.8117050977148171,0.5395366584166457,-1.159196290571873,51.16,52.58,50.87,52.02,7090554,51.16,52.58,50.87,52.02,7090554
AMAT,2019-09-23,,,,0.0,0.0,0.0,0.6433268858800774,0.6866445065594479,0.4876947027924199,0.7938128791017427,0.8892565401716471,0.5443595760282859,1.5698587127158499,51.76,51.97,50.8,50.85,5474049,51.76,51.97,50.8,50.85,5474049
AMAT,2019-09-20,,,1.0,0.0,0.0,1.0,0.5384912959381045,0.5983844110998853,0.0,0.790540813064722,0.7876387500320443,0.5266480974365716,-1.393188854489162,50.96,52.02,50.87,51.9,11651466,50.96,52.02,50.87,51.9,11651466
AMAT,2019-09-19,,,1.0,0.0,1.0,0.0,0.5740812379110252,0.5899932707176512,0.4774697422543489,0.7897275737168612,0.8799251454792486,0.5317674054436823,-0.7870992512958411,51.68,52.6168,51.3716,52.49,6048521,51.68,52.6168,51.3716,52.49,6048521
