symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
NXPI,2019-10-18,,,,,,,0.5815680279537019,0.4614490125597821,0.5656939441226707,0.7210362545878346,0.5791940018744148,0.5949121172480636,-0.7285310991712932,109.01,110.42,108.48,109.7,1925378,109.01,110.42,108.48,109.7,1925378
NXPI,2019-10-17,,,,,,0.0,0.5212928587027735,0.4234799344413165,0.5590407447662638,0.7208222368510855,0.6541705716963452,0.5840136721955128,1.1048706380627962,109.81,110.51,108.56,110.01,2131399,109.81,110.51,108.56,110.01,2131399
NXPI,2019-10-16,,,,,,1.0,0.5068792312732039,0.4159105943456922,0.0,0.7208001890559503,0.5417057169634489,0.5953836026690027,-3.0008037867285875,108.61,112.42,108.52,111.37,3013768,108.61,112.42,108.52,111.37,3013768
NXPI,2019-10-15,,,,,,0.0,0.5815680279537015,0.4092847583606671,0.42561909856554636,0.7195894366393385,0.8566073102155576,0.5970972879363426,0.6562387630348832,111.97,112.47,110.6,111.17,1897483,111.97,112.47,110.6,111.17,1897483
NXPI,2019-10-14,,,,,,1.0,0.569775060056781,0.40317989687741396,0.47173298907861977,0.7148525246611974,0.7881911902530454,0.6096639170632752,0.43336944745394523,111.24,111.545,109.444,109.86,2175614,111.24,111.545,109.444,109.86,2175614
NXPI,2019-10-11,,,,,0.0,1.0,0.4902817208997598,0.4068067897091345,0.48192195802694193,0.7101987283821463,0.7432052483598881,0.6219669144626114,3.2727272727272774,110.76,112.24,108.81,108.81,4078324,110.76,112.24,108.81,108.81,4078324
NXPI,2019-10-10,,,,,1.0,1.0,0.4289146101768945,0.36982648967135345,0.4908682640127754,0.7067513490720057,0.41424554826616694,0.6330893242756248,1.2174405436013649,107.25,108.29,105.85,106.37,2453966,107.25,108.29,105.85,106.37,2453966
NXPI,2019-10-09,,,,,1.0,1.0,0.40139768508407936,0.3515788913794725,0.5560615848423334,0.7049583610218919,0.2933458294283032,0.6381749482866207,2.1301204819277046,105.96,106.62,104.75,106.21,2103096,105.96,106.62,104.75,106.21,2103096
NXPI,2019-10-08,,,,,1.0,1.0,0.39986896702336755,0.3492663314881337,0.5523670423566385,0.7059170946344224,0.0862230552952204,0.6439949294263593,-3.9262894712473333,103.75,107.42,103.63,106.67,3636300,103.75,107.42,103.63,106.67,3636300
NXPI,2019-10-07,,,,,1.0,0.0,0.5027298536798426,0.36447726758835897,0.5777823197383839,0.7096510432046856,0.48359887535145224,0.6573685971605276,-1.7200582453585735,107.99,110.34,107.81,109.38,1689230,107.99,110.34,107.81,109.38,1689230
