symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
ADSK,2019-10-18,,,,,,,0.02723066754791778,0.49464493471801857,0.46781821556256403,0.9850075233058772,0.3584844030703902,0.543167951832189,-3.188466070562156,139.67,144.485,138.9,144.02,2959632,139.67,144.485,138.9,144.02,2959632
ADSK,2019-10-17,,,,,,0.0,0.07706543291473918,0.4975373732858358,0.4694657475038347,0.9840887253312137,0.4336109750122492,0.5390752944406909,-0.7635163021048186,144.27,146.82,144.03,146.02,1454452,144.27,146.82,144.03,146.02,1454452
ADSK,2019-10-16,,,,,,0.0,0.1555849306014539,0.49820870821115826,0.4710555625148992,0.983213447242887,0.4517393434590888,0.5451898957599648,-3.080000000000003,145.38,148.17,143.26,147.85,2902178,145.38,148.17,143.26,147.85,2902178
ADSK,2019-10-15,,,,,,0.0,0.21150033046926642,0.5013360987041316,0.47856867877527454,0.9809257518868221,0.5271925526702598,0.5340217666238871,-0.17967658215213297,150.0,151.26,149.37,150.56,1238368,150.0,151.26,149.37,150.56,1238368
ADSK,2019-10-14,,,,,,0.0,0.24243225380039668,0.499348740241787,0.478659150019996,0.9825117917482874,0.5316021558059777,0.5516944033888751,-0.033262373602968964,150.27,150.4332,148.58,149.71,804483,150.27,150.4332,148.58,149.71,804483
ADSK,2019-10-11,,,,,0.0,0.0,0.181890284203569,0.49598945748250495,0.46938763528418087,0.9838996133914614,0.5324187489792586,0.5711063751891439,3.8623644026808566,150.32,152.26,146.7001,147.16,1867940,150.32,152.26,146.7001,147.16,1867940
ADSK,2019-10-10,,,,,0.0,1.0,0.10760079312623916,0.4954978969675299,0.4831814962743502,0.9859846473141473,0.4411236322064347,0.5841743061682725,-2.453326144099221,144.73,149.09,144.5,147.95,1466641,144.73,149.09,144.5,147.95,1466641
ADSK,2019-10-09,,,,,0.0,0.0,0.16364838070059484,0.4949463130760885,0.4739192148177836,0.9864640319801617,0.5005716152212969,0.5844958583748299,1.8674905595605895,148.37,148.7,146.29,147.32,857923,148.37,148.7,146.29,147.32,857923
ADSK,2019-10-08,,,,,1.0,1.0,0.12650363516192992,0.49654444711133416,0.4800310818608281,0.9866093786985916,0.4561489465948066,0.5841184213819917,-1.2943887232312257,145.65,148.0,145.31,146.17,1751963,145.65,148.0,145.31,146.17,1751963
ADSK,2019-10-07,,,,,1.0,0.0,0.1533377395902181,0.4943736658756746,0.47184547322186776,0.986522504981037,0.4873428058141435,0.5914324944225733,0.45612362992716726,147.56,148.51,145.98,145.98,1050906,147.56,148.51,145.98,145.98,1050906
ADSK,2019-10-04,,,,0.0,1.0,1.0,0.16536682088565757,0.4950340430717393,0.47035180671971216,0.9860948212461625,0.4764004572921769,0.60361112623325,1.464391793879931,146.89,147.39,144.25,145.88,1202832,146.89,147.39,144.25,145.88,1202832
ADSK,2019-10-03,,,,0.0,0.0,1.0,0.14223397224058157,0.4937010111908275,0.4750408760807887,0.9859930455077047,0.44177690674505987,0.6083035037011255,1.3511621394567395,144.77,145.08,140.26,142.37,1417761,144.77,145.08,140.26,142.37,1417761
ADSK,2019-10-02,,,,1.0,1.0,1.0,0.10971579643093178,0.49551816450469977,0.47169358540413403,0.9886419155449951,0.4102564102564104,0.624898845113494,-1.9696657744835662,142.84,144.12,141.68,143.99,1623625,142.84,144.12,141.68,143.99,1623625
ADSK,2019-10-01,,,,1.0,0.0,0.0,0.09134170522141444,0.49462012729646154,0.4720687637450895,0.9919446156881294,0.457128858402744,0.6325168620115866,-1.3473256601218557,145.71,149.49,144.99,148.5,1586426,145.71,149.49,144.99,148.5,1586426
ADSK,2019-09-30,,,,1.0,0.0,0.0,0.10760079312623916,0.4955752271884004,0.4695302271776836,0.9946323092975079,0.4896292666993303,0.6477960905030575,1.7287691989806397,147.7,147.97,144.7,145.74,1202985,147.7,147.97,144.7,145.74,1202985
ADSK,2019-09-27,,,,1.0,1.0,1.0,0.08089887640449414,0.49401054672643424,0.4692029865589406,0.9960981051102901,0.4486362894006206,0.6597481518947432,-2.6028040517877478,145.19,149.985,143.7001,149.37,1781261,145.19,149.985,143.7001,149.37,1781261
ADSK,2019-09-26,,,,0.0,0.0,0.0,0.10826173165895576,0.4956276281403703,0.4704389196156156,0.9979157574713419,0.5120039196472317,0.6739996793042917,1.1123923217798184,149.07,149.8899,145.72,146.86,1074627,149.07,149.8899,145.72,146.86,1074627
ADSK,2019-09-25,,,,1.0,0.0,1.0,0.07151354923992072,0.49727273433433056,0.46418338464574943,0.9987215902754064,0.48521966356361285,0.6725213892429975,-1.139945014416944,147.43,149.14,144.92,148.85,2027783,147.43,149.14,144.92,148.85,2027783
ADSK,2019-09-24,,,,0.0,0.0,0.0,0.12280237937871775,0.4964241038862302,0.4622661287991134,1.0,0.512983831455169,0.6738283529143905,-2.1264028352037863,149.13,153.63,148.17,152.94,1985267,149.13,153.63,148.17,152.94,1985267
ADSK,2019-09-23,,,,0.0,0.0,0.0,0.1316589557171185,0.4969795335632031,0.4649684897142323,0.9913473024922811,0.5658990690837826,0.6145396957714826,-0.6325811921220809,152.37,153.53,151.7,152.46,1060851,152.37,153.53,151.7,152.46,1060851
ADSK,2019-09-20,,,0.0,0.0,0.0,0.0,0.42062128222075346,0.5104699203369775,0.47003814683187456,0.9837348603497768,0.5817409766454354,0.568789006099256,-0.026079019428864286,153.34,154.26,151.43,153.14,1947687,153.34,154.26,151.43,153.14,1947687
ADSK,2019-09-19,,,0.0,0.0,0.0,0.0,0.41282220753469917,0.5099782529274743,0.4717628242625462,0.9740731402112871,0.5823942511840602,0.5015666106544374,1.5022169280656354,153.38,154.19,151.39,151.39,1347949,153.38,154.19,151.39,151.39,1347949
ADSK,2019-09-18,,,0.0,0.0,0.0,1.0,0.4015862524785195,0.5095050975310944,0.4710979832537893,0.9728975294078087,0.5453209211170998,0.49477649356818915,-1.665907464046316,151.11,152.34,148.25,152.13,2058502,151.11,152.34,148.25,152.13,2058502
ADSK,2019-09-17,,,0.0,0.0,0.0,0.0,0.4592200925313944,0.5090920688939543,0.47003926758482206,0.9709851727589339,0.5871304915890903,0.4868702698104172,-0.12997985312277704,153.67,153.86,152.0,152.25,1325477,153.67,153.86,152.0,152.25,1325477
ADSK,2019-09-16,,,0.0,0.0,0.0,0.0,0.4799735624586914,0.5066041500420789,0.4708195636909641,0.9701126656270836,0.5903968642822148,0.49626587853387844,0.2541047693510652,153.87,155.01,152.46,152.47,1505075,153.87,155.01,152.46,152.47,1505075
