symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
KLAC,2019-10-18,,,,,,,0.45833333333333337,0.5813049447170167,0.0,0.9974673271461109,0.1431535269709541,0.48568629306855127,-1.1268652095845417,159.69,162.02,158.32,160.63,1186923,159.69,162.02,158.32,160.63,1186923
KLAC,2019-10-17,,,,,,0.0,0.5964285714285712,0.5755332394845657,0.5224448797246404,1.0,0.33195020746887893,0.5341276402539421,1.1713856176396922,161.51,167.95,161.0375,162.71,1614062,161.51,167.95,161.0375,162.71,1614062
KLAC,2019-10-16,,,,,,1.0,0.5383928571428571,0.6985919667129362,0.0,0.9927554709709944,0.4380403458213247,0.5080115213074968,-1.7962598425196947,159.64,161.97,159.0816,160.8,1299884,159.64,161.97,159.0816,160.8,1299884
KLAC,2019-10-15,,,,,,0.0,0.7133928571428572,0.8299444192949278,0.523507097572604,0.994971012520728,0.8681022880215353,0.539480875484316,2.238993710691825,162.56,163.54,159.58,160.08,885626,162.56,163.54,159.58,160.08,885626
KLAC,2019-10-14,,,,,,1.0,0.4130952380952378,0.5332738064676559,0.0,0.9829064038270742,0.5723039215686262,0.4630294247588129,-0.7614530021220814,159.0,160.94799999999998,158.31,159.62,1140563,159.0,160.94799999999998,158.31,159.62,1140563
KLAC,2019-10-11,,,,,0.0,0.0,0.44761904761904725,0.5730741082291835,0.4685483090537865,0.9832305878979627,0.7053892215568851,0.46078224628240394,1.791613722998725,160.22,162.49,158.93,160.97,1180240,160.22,162.49,158.93,160.97,1180240
KLAC,2019-10-10,,,,,1.0,1.0,0.487202380952381,0.6227777807005979,0.41334259297212234,0.97458559827465,0.3676646706586821,0.4001091196317779,-0.0508001016001931,157.4,159.26,156.6,158.02,894800,157.4,159.26,156.6,158.02,894800
KLAC,2019-10-09,,,,,1.0,0.0,0.5464285714285709,0.485482421787975,0.4349720081365423,0.9740996869665962,0.4215795328142367,0.38260962250970165,1.915609629821369,157.48,158.81,156.11,157.17,1027582,157.48,158.81,156.11,157.17,1027582
KLAC,2019-10-08,,,,,1.0,1.0,0.36190476190476245,0.4864049934707401,0.0,0.9745162866015792,0.09834254143646559,0.3875997130666334,-4.0546414157094075,154.52,159.0255,154.33,158.76,1485100,154.52,159.0255,154.33,158.76,1485100
KLAC,2019-10-07,,,,,0.0,0.0,0.5217261904761913,0.6740299224113184,0.44177576336194135,0.9900332246112861,0.8198895027624318,0.5100814916790478,-0.03724163614921623,161.05,162.68,160.2006,160.7,975599,161.05,162.68,160.2006,160.7,975599
KLAC,2019-10-04,,,,0.0,0.0,0.0,0.5523809523809532,0.5188650658750382,0.4120368061926702,0.9844649436757534,0.8519362186788174,0.4912459343670483,2.6439857288481177,161.11,161.29,157.47,157.64,1194290,161.11,161.29,157.47,157.64,1194290
KLAC,2019-10-03,,,,1.0,1.0,1.0,0.32559523809523866,0.3600056583242941,1.0,0.9735877533812846,0.37927107061503557,0.43143379359166373,1.2318606900999656,156.96,157.69,153.69,155.47,1300268,156.96,157.69,153.69,155.47,1300268
KLAC,2019-10-02,,,,1.0,1.0,1.0,0.3092261904761907,0.30799175528035844,0.484511726475943,0.9762555231979481,0.15690607734806786,0.4577308002559432,-2.04687598711225,155.05,157.4972,153.63,156.28,1588944,155.05,157.4972,153.63,156.28,1588944
KLAC,2019-10-01,,,,1.0,0.0,0.0,0.5273809523809523,0.48610301578950676,0.44054237846038186,0.9873843027057209,0.32565284178187376,0.545905092137762,-0.7275007839448082,158.29,162.41,157.7292,160.79,919702,158.29,162.41,157.7292,160.79,919702
KLAC,2019-09-30,,,,0.0,1.0,0.0,0.5297619047619042,0.4897981448010459,0.41745175104720444,0.9878996410749729,0.5480431527838003,0.5945201087603398,0.6120646138313977,159.45,160.3,157.65,159.46,1139849,159.45,160.3,157.65,159.46,1139849
