symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
SYMC,2019-10-18,,,,,,,0.5881024096385543,0.555855714311758,0.5887631109450262,0.40304298158640806,0.0,0.5519386583220126,-2.001703577512772,23.01,23.51,23.01,23.51,3384068,23.01,23.51,23.01,23.51,3384068
SYMC,2019-10-17,,,,,,0.0,0.6227409638554218,0.6978461341684786,0.5236825588898067,0.40781330900090706,0.43037974683544333,0.5561671253702973,-0.08510638297872158,23.48,23.79,23.44,23.63,3322990,23.48,23.79,23.44,23.63,3322990
SYMC,2019-10-16,,,,,,0.0,0.6393072289156627,0.6793198587013989,0.6362720348512855,0.4080168520645411,0.4556962025316453,0.5476356762457727,-0.3815175922000842,23.5,23.52,23.355,23.49,5750759,23.5,23.52,23.355,23.49,5750759
SYMC,2019-10-15,,,,,,0.0,0.6295180722891565,0.6292197627853856,0.47135819680425484,0.40791517106624875,0.6344086021505376,0.5412383866485989,0.7473841554559074,23.59,23.71,23.3301,23.42,3359491,23.59,23.71,23.3301,23.42,3359491
SYMC,2019-10-14,,,,,,1.0,0.6073042168674698,0.6301106237249245,0.6531231480713754,0.4070834614334935,0.44623655913978416,0.5302433577115349,-0.6154499151103547,23.415,23.59,23.315,23.51,2561428,23.415,23.59,23.315,23.51,2561428
SYMC,2019-10-11,,,,,0.0,0.0,0.628012048192771,0.6235585843239133,0.5421492144526452,0.408565978793896,0.6021505376344074,0.52938147542489,0.29799914857386245,23.56,23.93,23.52,23.65,6391707,23.56,23.93,23.52,23.65,6391707
SYMC,2019-10-10,,,,,0.0,1.0,0.6046686746987951,0.6271845710666534,0.4013481488665736,0.4078906429065745,0.6447368421052597,0.5168945930059793,-0.1275510204081681,23.49,23.68,23.37,23.47,2440136,23.49,23.68,23.37,23.47,2440136
SYMC,2019-10-09,,,,,0.0,0.0,0.6024096385542168,0.619389989119611,0.46518791243838237,0.4075246947482569,0.6419753086419759,0.5093546964756734,1.2483857081360272,23.52,23.63,23.27,23.42,2808570,23.52,23.63,23.27,23.42,2808570
SYMC,2019-10-08,,,,,1.0,1.0,0.6129518072289156,0.6654669381877786,0.4669645194404163,0.40726763143033273,0.25842696629213513,0.5030370065707657,-1.0225820195994821,23.23,23.545,23.14,23.32,3903010,23.23,23.545,23.14,23.32,3903010
SYMC,2019-10-07,,,,,0.0,0.0,0.6016566265060239,0.6312091492331313,0.44003789197221016,0.41022799464190207,0.5222222222222218,0.5044821960989954,-0.04258943781942744,23.47,23.74,23.275,23.47,3183271,23.47,23.74,23.275,23.47,3183271
SYMC,2019-10-04,,,,0.0,1.0,0.0,0.5933734939759037,0.6079490053921138,0.5094023132864929,0.4127122928456102,0.4660194174757281,0.5186770951171347,-0.04257130693911457,23.48,23.59,23.36,23.56,3162750,23.48,23.59,23.36,23.56,3162750
SYMC,2019-10-03,,,,0.0,0.0,0.0,0.5865963855421685,0.5902410332695172,1.0,0.4145139115473877,0.45370370370370305,0.5303762224043091,0.8587376556461971,23.49,23.57,23.17,23.33,5708940,23.49,23.57,23.17,23.33,5708940
SYMC,2019-10-02,,,,1.0,1.0,1.0,0.5685240963855421,0.6378881480163959,0.6389273082956217,0.41739219486591406,0.22656249999999914,0.5557569980567544,-0.9357720119098358,23.29,23.36,23.0,23.01,3929845,23.29,23.36,23.0,23.01,3929845
SYMC,2019-10-01,,,,1.0,0.0,0.0,0.5542168674698796,0.6078151419559924,0.6617053092906918,0.42260910420637576,0.1770334928229684,0.5695203225393,-0.5078290308929219,23.51,23.76,23.43,23.75,3179833,23.51,23.76,23.43,23.75,3179833
SYMC,2019-09-30,,,,0.0,0.0,0.0,0.5760542168674697,0.5601461081234345,1.0,0.42703232018944126,0.2723214285714281,0.5844769185847878,0.5531914893616979,23.63,23.74,23.465,23.52,3728760,23.63,23.74,23.465,23.52,3728760
SYMC,2019-09-27,,,,1.0,0.0,1.0,0.5512048192771084,0.6104066888491466,0.6079730774093586,0.42935609839313416,0.1405622489959844,0.5908308081174705,-1.0109519797809539,23.5,23.75,23.325,23.75,2299605,23.5,23.75,23.325,23.75,2299605
SYMC,2019-09-26,,,,0.0,0.0,0.0,0.5632530120481927,0.636596350457774,0.5668556456576305,0.435217253716925,0.33064516129032223,0.6110267152930322,-0.252100840336144,23.74,23.81,23.555,23.71,2429730,23.74,23.81,23.555,23.71,2429730
SYMC,2019-09-25,,,,0.0,0.0,0.0,0.5534638554216867,0.6166571161061931,1.0,0.4376569623673403,0.28834355828220964,0.6189885772991687,1.839965768078732,23.8,23.89,23.33,23.34,6891898,23.8,23.89,23.33,23.34,6891898
SYMC,2019-09-24,,,,0.0,1.0,1.0,0.5436746987951808,0.5497864061557258,0.5950535888985011,0.43992204551593317,0.006250000000000972,0.6252306895388811,-1.6414141414141437,23.37,23.9,23.36,23.87,5098022,23.37,23.9,23.36,23.87,5098022
SYMC,2019-09-23,,,,0.0,0.0,0.0,0.5745481927710845,0.5008164111944239,0.5350209587114773,0.44779426813249,0.09774436090225742,0.6411873539629431,-0.5025125628140596,23.76,24.03,23.63,23.81,5283554,23.76,24.03,23.63,23.81,5283554
SYMC,2019-09-20,,,0.0,0.0,0.0,0.0,0.575301204819277,0.5037146012341198,0.2820441401171551,0.45022479275456817,0.07304094069178649,0.643322474128411,-0.4170141784820743,23.88,24.08,23.7949,23.98,16042864,23.88,24.08,23.7949,23.98,16042864
SYMC,2019-09-19,,,0.0,0.0,0.0,0.0,0.6618975903614459,0.6981522781405282,0.6057477521290943,0.45197889583681583,0.2896825396825399,0.6423235857155727,-0.16652789342214466,23.98,24.28,23.97,24.2,5018864,23.98,24.28,23.97,24.2,5018864
SYMC,2019-09-18,,,0.0,0.0,0.0,0.0,0.6769578313253013,0.6397019524921115,0.6506781476499967,0.45037506994578025,0.3055555555555554,0.6306338711646182,-1.678264428980762,24.02,24.37,23.91,24.35,5113883,24.02,24.37,23.91,24.35,5113883
SYMC,2019-09-17,,,0.0,0.0,0.0,0.0,0.7319277108433736,0.7074551774739315,0.6284896114306084,0.4520635261574346,0.516245487364621,0.6415099950173888,0.7007419620774862,24.43,24.445,24.0,24.16,5456300,24.43,24.445,24.0,24.16,5456300
SYMC,2019-09-16,,,0.0,0.0,0.0,1.0,0.6995481927710845,0.69324711402351,0.6409401014336822,0.44849068033220507,0.46358792184724784,0.6451928588610774,-0.8176614881439055,24.26,24.57,24.245,24.35,6568667,24.26,24.57,24.245,24.35,6568667
SYMC,2019-09-13,,,0.0,0.0,0.0,0.0,0.7176204819277108,0.668075020185251,0.5423793451150406,0.4471042506634728,0.5346358792184731,0.6588355523175488,-0.325998370008143,24.46,24.52,24.07,24.5,6278849,24.46,24.52,24.07,24.5,6278849
SYMC,2019-09-12,,,0.0,0.0,0.0,0.0,0.743222891566265,0.6272059399455872,0.5251441445148948,0.44229099423989915,0.5630550621669628,0.6599777196049514,-0.7682976142337293,24.54,24.96,24.49,24.77,7629459,24.54,24.96,24.49,24.77,7629459
SYMC,2019-09-11,,,0.0,0.0,0.0,0.0,0.7484939759036144,0.6530767731988227,0.6856515522225489,0.4357568564648837,0.6780185758513935,0.6713683311378048,1.2279983626688526,24.73,24.81,24.28,24.46,6078388,24.73,24.81,24.28,24.46,6078388
SYMC,2019-09-10,,,0.0,0.0,0.0,1.0,0.707078313253012,0.626229063563887,0.7886174987308735,0.42579928857986715,0.585139318885449,0.6570907707318938,0.08193363375665536,24.43,24.605,24.25,24.31,5346102,24.43,24.605,24.25,24.31,5346102
SYMC,2019-09-09,,,0.0,0.0,0.0,1.0,0.7131024096385543,0.6362350945352735,0.0,0.4184697956185186,0.5789473684210529,0.656817853731078,-0.4486133768352342,24.41,24.77,24.13,24.67,6912414,24.41,24.77,24.13,24.67,6912414
SYMC,2019-09-06,,,0.0,0.0,0.0,0.0,0.6980421686746987,0.5783706641949212,0.7739160595028197,0.409132527623457,0.6130030959752323,0.6580428914649987,4.473796335747767,24.52,25.77,23.25,23.45,17027188,24.52,25.77,23.25,23.45,17027188
SYMC,2019-09-05,,,1.0,1.0,1.0,1.0,0.6054216867469878,0.44344439168090394,0.4953007278611132,0.3969728928518843,0.7560975609756093,0.6686850108884916,0.6864006864006871,23.47,23.545,23.385,23.5,3686882,23.47,23.545,23.385,23.5,3686882
SYMC,2019-09-04,,,0.0,1.0,1.0,1.0,0.5896084337349395,0.48421758698799344,0.4319676150044868,0.3956404872570394,0.5539568345323735,0.7125295320979954,1.3919095258808192,23.31,23.355,23.0,23.12,5459627,23.31,23.355,23.0,23.12,5459627
