symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
SNPS,2019-10-18,,,,,,,0.4528773978315262,0.44456492796431735,0.43780499471746354,0.9920539946256244,0.3268569546814908,0.41761629893775337,-1.3739676971424568,134.95,137.52,133.49,136.83,1098692,134.95,137.52,133.49,136.83,1098692
SNPS,2019-10-17,,,,,,0.0,0.4659438420906318,0.4506646212681889,0.4105733289446026,0.9941364945110605,0.5089445698180103,0.4516664215578017,-1.376675796453796,136.83,139.87,136.57,139.08,796359,136.83,139.87,136.57,139.08,796359
SNPS,2019-10-16,,,,,,0.0,0.5365582429802618,0.4340568453622751,0.0,0.9953715001060632,0.6939378383875566,0.513200137389799,-1.3649936015924837,138.74,140.0,136.63,139.87,735901,138.74,140.0,136.63,139.87,735901
SNPS,2019-10-15,,,,,,0.0,0.584375868779539,0.459478315750523,0.45238524722869317,0.9922568521430952,0.8798996581014452,0.5059876146912624,1.3035649981994974,140.66,141.9,139.1133,139.21,772722,140.66,141.9,139.1133,139.21,772722
SNPS,2019-10-14,,,,,,1.0,0.6302474284125659,0.48098310735576844,0.45622666972791687,0.9878915969821971,0.7367008617983334,0.49581084724452346,0.17314768054251545,138.85,139.765,138.07,138.41,427359,138.85,139.765,138.07,138.41,427359
SNPS,2019-10-11,,,,,0.0,1.0,0.5846538782318609,0.5072824389298393,0.4636440386822367,0.9858019816510124,0.7123963259643353,0.505511455544682,0.2821588771523765,138.61,141.06,138.51,139.49,771133,138.61,141.06,138.51,139.49,771133
SNPS,2019-10-10,,,,,0.0,1.0,0.4973589102029475,0.5151121075053778,0.4903450260169965,0.984254992963328,0.6729014552340837,0.48863623120248645,1.7895279475661,138.22,138.38,135.19,136.35,1035843,138.22,138.38,135.19,136.35,1035843
SNPS,2019-10-09,,,,,1.0,1.0,0.5062552126772314,0.5192389650047677,0.4996319264797495,0.9829368614460898,0.42681802991483264,0.4852864966023928,1.3812154696132555,135.79,136.615,134.97,135.09,887245,135.79,136.615,134.97,135.09,887245
SNPS,2019-10-08,,,,,1.0,1.0,0.43786488740617197,0.5381322286748065,0.4248458928964486,0.9852021946912826,0.23947056619441617,0.48635130448203506,-2.8646022191601923,133.94,137.6,133.79,137.0,873084,133.94,137.6,133.79,137.0,873084
SNPS,2019-10-07,,,,,1.0,0.0,0.3805949402279678,0.5156725656148546,0.38354974702571704,0.9928703578228983,0.6394827184623324,0.5637815070819348,-0.641302781380613,137.89,139.96,137.7,139.96,597421,137.89,139.96,137.7,139.96,597421
SNPS,2019-10-04,,,,0.0,0.0,0.0,0.28718376424798486,0.48263832953739993,0.5100528780014595,0.9973252097155894,0.4827366714238813,0.6308333000181718,2.0216128795118724,138.78,139.2,136.28,136.51,819960,138.78,139.2,136.28,136.51,819960
SNPS,2019-10-03,,,,1.0,1.0,1.0,0.198498748957465,0.49093537969218487,0.49821404776737993,0.9965290257957726,0.29531246892546775,0.6628783769250752,2.040357062485934,136.03,136.07,131.5753,133.71,794029,136.03,136.07,131.5753,133.71,794029
