symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
VRSN,2019-10-18,,,,,,,0.42809933907470454,0.4962316290136543,0.4850031544095502,0.9965769412473002,0.5992265193370164,0.8782873876946186,-0.5574912891986172,185.51,186.78,184.72,186.78,938586,185.51,186.78,184.72,186.78,938586
VRSN,2019-10-17,,,,,,0.0,0.4346084518325659,0.49673568077470853,0.4762732095472871,0.9966574510469637,0.6107182320441991,0.8847879327506006,0.652854213877203,186.55,187.1,184.87,185.57,473748,186.55,187.1,184.87,185.57,473748
VRSN,2019-10-16,,,,,,1.0,0.4336070498698178,0.49679957264508223,0.47611423877972664,0.9978034108596054,0.5973480662983426,0.8969113092086952,-0.7071681131468944,185.34,186.56,184.06,186.56,399599,185.34,186.56,184.06,186.56,399599
VRSN,2019-10-15,,,,,,0.0,0.40837172040857195,0.49416317512590846,0.47767437335812296,0.9982953436458886,0.6119337016574585,0.9081090040729846,0.489905787348585,186.66,187.6,181.26,185.53,362313,186.66,187.6,181.26,185.53,362313
VRSN,2019-10-14,,,,,,1.0,0.414480272381334,0.4948056267666239,0.48347424287791674,1.0,0.601878453038674,0.9262599383817848,-0.3968041181832855,185.75,187.075,184.84,185.86,408590,185.75,187.075,184.84,185.86,408590
VRSN,2019-10-11,,,,,0.0,0.0,0.39945924294011625,0.49326529662994284,0.4775019949259597,0.9997250801833151,0.6100552486187846,0.9332484106609179,0.5066019940716775,186.49,188.75,186.0,187.41,511884,186.49,188.75,186.0,187.41,511884
VRSN,2019-10-10,,,,,1.0,1.0,0.4053675145203286,0.49388531834658517,0.47611909173420386,0.9996907596521292,0.5996685082872929,0.9366591017992486,0.8259522903874423,185.55,185.92,182.35,184.02,487606,185.55,185.92,182.35,184.02,487606
VRSN,2019-10-09,,,,,1.0,1.0,0.3982575605848188,0.49342618365799706,0.4786424095535196,0.9989748261739786,0.5828729281767956,0.9362788693850544,1.696507515473029,184.03,184.84,182.3,182.74,480339,184.03,184.84,182.3,182.74,480339
VRSN,2019-10-08,,,,,1.0,1.0,0.3644101742439416,0.4944218595077948,0.4774447024943175,0.998900673703049,0.548950276243094,0.9378590450508103,-1.3519406890536358,180.96,183.59,179.79,182.14,753513,180.96,183.59,179.79,182.14,753513
VRSN,2019-10-07,,,,,1.0,0.0,0.38984578409773685,0.49289964048726764,0.4775084235060239,0.9979093294035142,0.576353591160221,0.938532771482783,-0.4882282738418171,183.44,184.89,183.11,184.35,646519,183.44,184.89,183.11,184.35,646519
VRSN,2019-10-04,,,,1.0,1.0,0.0,0.43651111556178646,0.49334699038631313,0.47567473800201854,0.9967772490774984,0.5862983425414365,0.938023739201043,1.615125957775209,184.34,184.8,181.51,181.82,560316,184.34,184.8,181.51,181.82,560316
VRSN,2019-10-03,,,,1.0,1.0,1.0,0.4037652713799321,0.49443224838265254,0.47480331873323245,0.99491852190838,0.5539226519337016,0.9306303701906814,1.9443663950547954,181.41,181.79,177.03,177.87,1046314,181.41,181.79,177.03,177.87,1046314
VRSN,2019-10-02,,,,1.0,1.0,1.0,0.38674143801321853,0.49326139772424094,0.47989410325523396,0.9957394437915781,0.5156906077348065,0.9367101352432238,-3.2617559119325907,177.95,182.83,177.33,182.59,870854,177.95,182.83,177.33,182.59,870854
VRSN,2019-10-01,,,,1.0,0.0,0.0,0.4181854596435008,0.49560926522197973,0.4891206764188052,0.9963970359883261,0.581988950276243,0.9398459453809863,-2.481047553411444,183.95,189.0,183.79,187.58,744127,183.95,189.0,183.79,187.58,744127
VRSN,2019-09-30,,,,0.0,0.0,0.0,0.4713599038654115,0.4964814625146562,0.48975076313213395,0.9971843830795575,0.6337016574585634,0.9485370506966756,0.7369826435246972,188.63,189.96,186.95,187.84,601821,188.63,189.96,186.95,187.84,601821
VRSN,2019-09-27,,,,0.0,0.0,1.0,0.4625475665932305,0.4958790642949348,0.488710135140364,0.9968517298415596,0.6184530386740331,0.9488480961073206,-2.060777237303205,187.25,193.2,185.9601,192.01,521288,187.25,193.2,185.9601,192.01,521288
