symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
AMD,2019-10-18,,,,,,,0.9199999999999982,51.01537180148711,45.767483664120455,29.86904074233464,88.94472361809042,-0.16124799237452692,-0.5459216441875456,30.97,31.33,30.29,31.06,39221435,30.97,31.33,30.29,31.06,39221435
AMD,2019-10-17,,,,,,0.0,0.8500000000000014,50.52029943737897,44.4579304421253,29.739307488691676,93.21608040201006,-0.3019205156149667,1.071080817916267,31.14,31.4,30.86,31.3,37010205,31.14,31.4,30.86,31.3,37010205
AMD,2019-10-16,,,,,,1.0,0.389999999999997,52.92859306313571,48.06085099353881,29.63472198041995,84.92462311557786,-0.3330234167325372,0.29296874999999956,30.81,31.41,30.53,30.6,43064255,30.81,31.41,30.53,30.6,43064255
AMD,2019-10-15,,,,,,1.0,-0.2699999999999996,54.12258786494574,47.97170782641453,29.533242325785412,93.20113314447586,-0.3638385080839406,0.6223386832623574,30.72,30.92,30.17,30.7,42142385,30.72,30.92,30.17,30.7,42142385
AMD,2019-10-14,,,,,,1.0,-0.29999999999999716,53.942596692978746,54.81608535197464,29.423941028360925,79.69151670951159,-0.38604242031411573,2.6218487394958023,30.53,30.61,29.38,29.71,44818233,30.53,30.61,29.38,29.71,44818233
AMD,2019-10-11,,,,,1.0,1.0,-0.9400000000000013,49.81754471561631,51.58369869408064,29.272290465234725,59.6401028277635,-0.4476518616873406,4.827343199436227,29.75,30.2,28.81,28.83,66632445,29.75,30.2,28.81,28.83,66632445
AMD,2019-10-10,,,,,1.0,1.0,-1.8300000000000018,42.05731152858737,53.507709766221126,29.175428003199677,24.421593830334167,-0.5800994427916066,-0.28109627547435645,28.38,28.89,28.0,28.51,41171995,28.38,28.89,28.0,28.51,41171995
AMD,2019-10-09,,,,,1.0,0.0,-1.3000000000000007,41.49553822248871,100.0,29.23829824475681,26.47814910025709,-0.7092194462383965,0.8147360963514008,28.46,28.95,28.35,28.8,36321583,28.46,28.95,28.35,28.8,36321583
AMD,2019-10-08,,,,,1.0,1.0,-2.0,41.90652516182627,55.398916205698455,29.328923536069173,20.565552699228807,-0.8765786231973323,-2.41963359834082,28.23,28.64,27.92,28.55,44432078,28.23,28.64,27.92,28.55,44432078
AMD,2019-10-07,,,,,1.0,0.0,-1.5700000000000003,44.36194970936409,53.09296089850724,29.481577054831803,38.560411311053976,-0.90352122580531,-0.275766976904522,28.93,29.63,28.8431,28.9,39745268,28.93,29.63,28.8431,28.9,39745268
AMD,2019-10-04,,,,1.0,1.0,0.0,-1.5499999999999972,44.49691892283325,100.0,29.597829727964697,40.61696658097691,-0.7204820753574346,1.150627615062768,29.01,29.06,28.57,28.83,34609211,29.01,29.06,28.57,28.83,34609211
