symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
MU,2019-10-18,,,,,,,0.453249714937286,0.4537080700896044,0.5026064826965613,0.674619348737816,0.07368421052631512,0.518618515806855,-4.461538461538464,43.47,44.98,43.225,44.83,25834679,43.47,44.98,43.225,44.83,25834679
MU,2019-10-17,,,,,,0.0,0.6727480045610033,0.630949458175815,0.4334952479053263,0.6855061045571197,0.5374449339207052,0.5972909966263961,0.752878653675827,45.5,46.12,45.28,45.77,12090511,45.5,46.12,45.28,45.77,12090511
MU,2019-10-16,,,,,,1.0,0.6764538198403647,0.636119888322158,0.5039838448038294,0.6803688943177503,0.6472081218274108,0.5997153269116022,-2.7876439565170634,45.16,46.55,45.08,45.99,16872605,45.16,46.55,45.08,45.99,16872605
MU,2019-10-15,,,,,,0.0,0.7639680729760547,0.8132281485440754,0.5773759669975802,0.6793071689034246,0.9758883248730967,0.6300192513412229,3.5555060187249197,46.455,46.55,45.04,45.21,18047548,46.455,46.55,45.04,45.21,18047548
MU,2019-10-14,,,,,,1.0,0.5860889395667048,0.48864277662149286,0.0,0.6652140579275057,0.7020280811232453,0.5766195103642957,-0.5321507760532195,44.86,45.33,44.8,44.96,12495857,44.86,45.33,44.8,44.96,12495857
MU,2019-10-11,,,,,0.0,0.0,0.5775370581527938,0.46802934037609434,0.5494939879059181,0.6599738652205703,0.7769110764430587,0.5180749324639238,4.205175600739372,45.1,45.815,44.28,44.39,27604874,45.1,45.815,44.28,44.39,27604874
MU,2019-10-10,,,,,1.0,1.0,0.5359179019384264,0.38211803576406517,1.0,0.6473980910386191,0.3160377358490578,0.4028053175765625,0.9446064139941718,43.28,43.79,42.61,42.87,16047857,43.28,43.79,42.61,42.87,16047857
MU,2019-10-09,,,,,1.0,1.0,0.5972063854047892,0.5039459139982332,0.5041458725018974,0.645575777888261,0.3754208754208762,0.3119070565472252,0.5629177905476768,42.875,43.38,42.83,43.18,13781367,42.875,43.38,42.83,43.18,13781367
MU,2019-10-08,,,,,1.0,1.0,0.5652793614595211,0.6402502534511768,0.0,0.6472121137032336,0.2946127946127947,0.2638002786135679,-3.453351449275359,42.635,43.84,42.6224,43.6,22714375,42.635,43.84,42.6224,43.6,22714375
MU,2019-10-07,,,,,1.0,0.0,0.6208665906499427,0.7563494517603325,0.3748043904053944,0.6542063175640436,0.8087248322147648,0.26285769254555724,-0.8754208754208768,44.16,44.73,44.06,44.3,15152292,44.16,44.73,44.06,44.3,15152292
MU,2019-10-04,,,,0.0,1.0,0.0,0.6225769669327249,0.7590314455026729,0.5028372927877204,0.6544549050628722,0.9756097560975608,0.22360229705752677,2.508053382420608,44.55,44.62,43.29,43.71,22043116,44.55,44.62,43.29,43.71,22043116
MU,2019-10-03,,,,1.0,0.0,1.0,0.2531356898517673,0.5024626060865269,1.0,0.6491244372365541,0.4100719424460432,0.1450858405239444,3.5254883277751405,43.46,43.49,41.76,41.993,23884742,43.46,43.49,41.76,41.993,23884742
MU,2019-10-02,,,,1.0,1.0,1.0,0.11915621436716062,0.0,0.6594113493844702,0.6545737717156667,0.028785982478097223,0.11235098103892716,-0.7565011820330977,41.98,42.67,41.76,41.82,26776005,41.98,42.67,41.76,41.82,26776005
MU,2019-10-01,,,,1.0,1.0,0.0,0.19213226909920172,0.345947791648714,0.6365424962947808,0.6722470456739156,0.06883604505632003,0.12952302469509996,-1.2835472578763227,42.3,43.34,41.75,43.1,28431879,42.3,43.34,41.75,43.1,28431879
