symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
NVDA,2019-10-18,,,,,,,44.29000000000002,51.99937188020898,62.886798565216665,170.53827867666166,84.41208771743369,4.132484066334371,-1.955839209429195,190.49,195.62,187.5,194.31,7548039,190.49,195.62,187.5,194.31,7548039
NVDA,2019-10-17,,,,,,0.0,43.53999999999999,51.625258940368234,56.957690260393484,170.09089343761795,91.14323165763277,4.487801803297174,0.04119252355696621,194.29,197.8143,192.1,196.0,6607924,194.29,197.8143,192.1,196.0,6607924
NVDA,2019-10-16,,,,,,1.0,45.78,52.00351550139476,57.21963433726273,169.52248152819894,91.0015233641549,4.829507554672546,-1.0999643530070766,194.21,199.22,193.75,195.0,10818828,194.21,199.22,193.75,195.0,10818828
NVDA,2019-10-15,,,,,,0.0,50.870000000000005,51.74951354775185,62.88854275657494,168.65392107230446,94.82764728805755,4.549969750834123,5.275290837934919,196.37,199.29,189.6,190.16,16699633,196.37,199.29,189.6,190.16,16699633
NVDA,2019-10-14,,,,,,1.0,42.75,50.74223747724141,0.0,167.70733876094312,93.95750903148115,2.9433285804326488,0.2903381902252766,186.53,187.37,184.385,185.64,5258394,186.53,187.37,184.385,185.64,5258394
NVDA,2019-10-11,,,,,1.0,1.0,44.71000000000001,51.11233533340985,54.61639748152177,167.17237814728836,93.01937903729946,1.4757835477688275,1.617221220564939,185.99,189.34,185.65,186.41,11271668,185.99,189.34,185.65,186.41,11271668
NVDA,2019-10-10,,,,,1.0,1.0,40.03,51.41800637128097,50.58627053286061,166.29415209785586,88.94606834088101,0.3031256897296828,1.283824912843779,183.03,185.08,180.41,180.62,8187889,183.03,185.08,180.41,180.62,8187889
NVDA,2019-10-09,,,,,1.0,1.0,46.93000000000001,52.7928837784288,48.63235867946767,165.6666262726411,85.47206347706987,0.37619557799641257,1.963550189019928,180.71,182.7,179.1601,180.32,7697082,180.71,182.7,179.1601,180.32,7697082
NVDA,2019-10-08,,,,,1.0,1.0,41.76999999999998,53.016745468708,0.0,165.14205368590794,79.98207885304657,0.06900691388023006,-3.8517875549286726,177.23,180.64,176.5,180.64,11233566,177.23,180.64,176.5,180.64,11233566
NVDA,2019-10-07,,,,,1.0,0.0,45.22,53.44039412526072,52.485915782514866,165.16432632004967,92.70609318996416,0.12186709858764289,1.2969170742430145,184.33,188.34,184.23,184.58,12207839,184.33,188.34,184.23,184.58,12207839
NVDA,2019-10-04,,,,1.0,1.0,1.0,41.629999999999995,53.937810050523126,47.444371755078585,165.09109042894275,88.47670250896056,0.25423779491777054,0.36401742871325166,181.97,183.15,178.78,181.4,6699005,181.97,183.15,178.78,181.4,6699005
NVDA,2019-10-03,,,,1.0,1.0,1.0,37.97999999999999,54.25373752212982,47.41328198879005,164.9824576518742,87.29390681003584,0.6566937056337849,4.779241793804907,181.31,181.56,172.0,173.22,11568265,181.31,181.56,172.0,173.22,11568265
NVDA,2019-10-02,,,,1.0,1.0,1.0,27.889999999999986,53.74245175168113,49.29603361643224,164.9315867501732,72.47311827956987,0.855303434334985,-0.551724137931039,173.04,173.6,170.13,173.12,7391544,173.04,173.6,170.13,173.12,7391544
NVDA,2019-10-01,,,,1.0,1.0,0.0,26.680000000000007,53.441860438969584,47.65369037542047,165.14912882031194,74.19354838709677,1.1732180172830624,-0.040213707129311875,174.0,181.0,173.81,175.0,9189150,174.0,181.0,173.81,175.0,9189150
NVDA,2019-09-30,,,,1.0,1.0,0.0,21.870000000000005,52.43397000043563,46.7506619251163,165.3945065655225,74.31899641577058,1.7388122345107035,1.3448998602701459,174.07,174.48,171.5401,172.8,4829977,174.07,174.48,171.5401,172.8,4829977
NVDA,2019-09-27,,,,1.0,1.0,1.0,16.69999999999999,52.623068131965084,49.09105165707996,165.40142791104645,70.17921146953402,2.215662660409805,-3.1464982519454225,171.76,177.7,169.32,175.66,9148974,171.76,177.7,169.32,175.66,9148974
NVDA,2019-09-26,,,,1.0,1.0,0.0,25.590000000000003,53.059440695572405,49.084013180666155,165.460110805584,80.17921146953405,2.7766233862075183,-0.4993547663131832,177.34,178.19,175.29,177.84,5945648,177.34,178.19,175.29,177.84,5945648
NVDA,2019-09-25,,,,1.0,0.0,0.0,21.69999999999999,52.26169047056999,47.64182842787619,165.41635074821193,81.77419354838707,2.97912566687981,3.3037732568248934,178.23,179.02,170.71,172.51,7827672,178.23,179.02,170.71,172.51,7827672
NVDA,2019-09-24,,,,1.0,1.0,1.0,12.340000000000003,51.814421598008686,47.97607315720436,165.48273489396246,71.55913978494624,3.5134091002377943,-1.3212079615648606,172.53,177.29,171.1,176.1,8031045,172.53,177.29,171.1,176.1,8031045
NVDA,2019-09-23,,,,1.0,0.0,0.0,15.259999999999991,51.203590656947384,47.40594085148965,165.577243076027,75.6989247311828,4.254592441834603,1.2450055011871015,174.84,176.67,172.55,172.7,6395647,174.84,176.67,172.55,172.7,6395647
NVDA,2019-09-20,,,1.0,1.0,0.0,1.0,10.650000000000006,51.52463149717612,45.7927289662423,165.2874912829403,71.84587813620071,4.439269273733942,-2.4019441618627786,172.69,177.85,172.28,176.9,8931295,172.69,177.85,172.28,176.9,8931295
NVDA,2019-09-19,,,1.0,1.0,1.0,0.0,18.49000000000001,51.74343574158819,46.43547231817672,165.5440738036754,79.46236559139784,4.957791543477072,-1.6890765640626693,176.94,180.96,176.5101,180.22,6408569,176.94,180.96,176.5101,180.22,6408569
NVDA,2019-09-18,,,1.0,0.0,0.0,0.0,11.159999999999997,50.40899963964905,49.12076761900338,165.64146541673142,84.91039426523295,4.977059799276049,-0.6019771359142893,179.98,181.42,176.5,180.79,6600942,179.98,181.42,176.5,180.79,6600942
NVDA,2019-09-17,,,1.0,0.0,0.0,0.0,10.879999999999995,50.349810657824825,46.04839743330032,166.02619563584716,86.8637992831541,5.806862992115185,0.4772210199211948,181.07,181.2356,178.61,180.48,5711828,181.07,181.2356,178.61,180.48,5711828
NVDA,2019-09-16,,,1.0,0.0,0.0,1.0,6.2900000000000205,50.71952895271375,48.15709667480792,165.87925389553885,85.3225806451613,5.909608332050027,-0.95086292184236,180.21,181.6,178.5,178.92,5795796,180.21,181.6,178.5,178.92,5795796
NVDA,2019-09-13,,,1.0,0.0,0.0,0.0,8.829999999999984,50.00208827660249,0.0,165.99756043600823,88.42293906810035,6.5526650354816525,-1.2644489064959095,181.94,183.08,180.18,181.59,8114787,181.94,183.08,180.18,181.59,8114787
NVDA,2019-09-12,,,0.0,0.0,0.0,0.0,4.420000000000016,49.29886683490533,46.70131324726512,166.0416823607605,92.59856630824373,6.916299191986411,-0.03255031736559555,184.27,188.4,183.95,186.2,8196025,184.27,188.4,183.95,186.2,8196025
NVDA,2019-09-11,,,0.0,0.0,0.0,0.0,1.3200000000000216,48.8303305379793,48.48341251397636,166.09037528678562,96.38531768213156,7.160005201132947,0.6277977945190554,184.33,186.27,182.6006,183.77,9037782,184.33,186.27,182.6006,183.77,9037782
NVDA,2019-09-10,,,0.0,0.0,0.0,1.0,-0.009999999999990905,49.75008066487875,47.47254603283441,165.7114837882644,97.92836398838335,6.5508238870537525,1.484764542936292,183.18,184.25,178.79,179.18,8820305,183.18,184.25,178.79,179.18,8820305
NVDA,2019-09-09,,,1.0,0.0,0.0,1.0,0.030000000000001137,49.756007977322334,50.0861185610453,165.2312053111721,91.63956380332885,5.554274211399644,1.035544360481385,180.5,183.98,179.84,179.9,10438133,180.5,183.98,179.84,179.9,10438133
NVDA,2019-09-06,,,1.0,0.0,1.0,1.0,-2.3499999999999943,50.51187335613382,49.51925873977008,164.7106748559064,88.10024870862829,4.886394120207285,-0.606431512184268,178.65,181.09,177.12,178.8,9424419,178.65,181.09,177.12,178.8,9424419
