symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
CHKP,2019-10-18,,,,,,,0.4180712904117154,0.5718820874003772,0.48089348694751394,0.6538910564781322,0.33484162895927605,0.4714930126332233,-0.5923183711244799,107.41,108.59,107.26,108.12,706379,107.41,108.59,107.26,108.12,706379
CHKP,2019-10-17,,,,,,0.0,0.4556507322464764,0.5511925395030759,0.4810985919045757,0.6590031582056595,0.43137254901960803,0.48472577578021697,-0.13863216266174277,108.05,108.68,107.41,108.34,774749,108.05,108.68,107.41,108.34,774749
CHKP,2019-10-16,,,,,,0.0,0.3793865708759323,0.49806498768872215,0.4813490990161118,0.6622256333495642,0.4539969834087492,0.49927183592542423,-0.6427915518824635,108.2,108.545,107.39,108.15,1216941,108.2,108.545,107.39,108.15,1216941
CHKP,2019-10-15,,,,,,0.0,0.40978170765404803,0.4691635570899244,0.46774769317511944,0.6669917257069202,0.5595776772247376,0.528726621767709,0.14713996689351738,108.9,109.855,108.64,108.96,884745,108.9,109.855,108.64,108.96,884745
CHKP,2019-10-14,,,,,,1.0,0.39651837524177896,0.5100747814224202,0.41616011693500865,0.6687815672648756,0.5354449472096531,0.5425627405691148,-2.2649649469710678,108.74,109.845,108.28,109.67,879979,108.74,109.845,108.28,109.67,879979
CHKP,2019-10-11,,,,,0.0,0.0,0.44211108040895275,0.5414779064660609,0.4528173221549355,0.6709564805471038,0.7269461077844313,0.5604279762356215,1.6258677383997087,111.26,111.82,109.54,110.08,608532,111.26,111.82,109.54,110.08,608532
CHKP,2019-10-10,,,,,0.0,1.0,0.40840011052777014,0.5138630080856589,0.4022593187132464,0.6693639364362758,0.5137724550898206,0.551398988205347,-0.6172839506172773,109.48,110.06,108.61,109.67,1035706,109.48,110.06,108.61,109.67,1035706
CHKP,2019-10-09,,,,,0.0,0.0,0.39154462558717845,0.5022198931086921,0.44099106417163464,0.668973710758245,0.5930787589498808,0.5436705564114767,0.703903464667699,110.16,110.825,109.66,110.15,871994,110.16,110.825,109.66,110.15,871994
CHKP,2019-10-08,,,,,0.0,1.0,0.40701851340149187,0.514718028809841,0.44391021156479193,0.6668893840964536,0.501193317422435,0.518588456515451,-1.3704805698313913,109.39,110.51,108.68,109.45,1101335,109.39,110.51,108.68,109.45,1101335
CHKP,2019-10-07,,,,,0.0,0.0,0.48742746615087,0.5255258030072146,0.43566875643456454,0.662711298547539,0.6825775656324583,0.49017440335231083,-0.08108108108108415,110.91,111.69,110.1301,110.15,687523,110.91,111.69,110.1301,110.15,687523
CHKP,2019-10-04,,,,0.0,1.0,0.0,0.5576126001657915,0.5231727118811588,0.5052258061364028,0.6567723967018382,0.6933174224343682,0.4649208189428111,2.873030583873952,111.0,111.07,108.13,108.87,1280479,111.0,111.07,108.13,108.87,1280479
CHKP,2019-10-03,,,,1.0,1.0,1.0,0.45647969052224363,0.5016606257074201,0.5428416512323796,0.6493696519464134,0.32338902147971477,0.44520785488162895,-0.04631773969430028,107.9,108.32,106.06,107.45,1043910,107.9,108.32,106.06,107.45,1043910
CHKP,2019-10-02,,,,1.0,1.0,0.0,0.505940867642995,0.48804755714474807,0.5003526692335114,0.6501147356523322,0.3293556085918862,0.4628761948610173,0.4840361165409997,107.95,108.0,105.19,107.0,1324505,107.95,108.0,105.19,107.0,1324505
CHKP,2019-10-01,,,,1.0,1.0,1.0,0.48411163304780314,0.5223353721872513,0.4886349861551302,0.6509717126501489,0.2521315468940328,0.4513450048252839,-1.8904109589041034,107.43,111.47,107.32,109.37,1215908,107.43,111.47,107.32,109.37,1215908
CHKP,2019-09-30,,,,0.0,1.0,0.0,0.5089803813208065,0.5414495304438036,0.524543954306608,0.6543212381384316,0.5042630937880638,0.4508820459293468,1.2295460848664124,109.5,110.285,107.605,108.32,936085,109.5,110.285,107.605,108.32,936085
CHKP,2019-09-27,,,,1.0,1.0,1.0,0.4788615639679469,0.5194431046552689,0.5355805793083506,0.6524717595936163,0.3422655298416571,0.42137472585398184,-0.8706011730205304,108.17,109.59,107.46,109.47,686578,108.17,109.59,107.46,109.47,686578
CHKP,2019-09-26,,,,1.0,0.0,0.0,0.5515335728101683,0.5258866343589875,0.5638225325007877,0.6528719397043421,0.45797807551766234,0.4197450384647135,1.2714617169373592,109.12,109.48,107.705,108.02,709955,109.12,109.48,107.705,108.02,709955
CHKP,2019-09-25,,,,1.0,1.0,1.0,0.48770378557612576,0.5263423768554553,0.5651566688094094,0.6511022783167992,0.3104265402843608,0.4022550830189923,1.4881793350287258,107.75,107.79,105.36,106.37,839378,107.75,107.79,105.36,106.37,839378
CHKP,2019-09-24,,,,1.0,1.0,1.0,0.44957170489085374,0.4955338492323772,0.545620499446758,0.6538606054943741,0.12322274881516665,0.407159398491931,-2.093323496864622,106.17,108.99,106.03,108.63,840419,106.17,108.99,106.03,108.63,840419
CHKP,2019-09-23,,,,1.0,1.0,0.0,0.5045592705167171,0.5454956245757938,0.5545427080461786,0.660948808223393,0.39218009478673027,0.41937123218745515,-0.4224058769513388,108.44,109.14,107.84,109.14,866961,108.44,109.14,107.84,109.14,866961
CHKP,2019-09-20,,,0.0,1.0,0.0,0.0,0.4570323293727547,0.5018897534612894,0.5205827792451504,0.6645207639634596,0.44668246445497756,0.42667413418005984,0.665557404326122,108.9,109.25,107.805,108.3,1260648,108.9,109.25,107.805,108.3,1260648
CHKP,2019-09-19,,,0.0,0.0,1.0,1.0,0.43078198397347345,0.5293399730663974,0.45024910679894986,0.667035326750443,0.3613744075829398,0.419557438408274,-2.619497704563864,108.18,110.4116,107.9,108.72,1569065,108.18,110.4116,107.9,108.72,1569065
CHKP,2019-09-18,,,0.0,0.0,0.0,0.0,0.5316385741917655,0.5720608562896778,0.4833661207485752,0.6695598500884605,0.7061611374407595,0.41667839009780533,0.3613695907489436,111.09,111.165,109.92,110.45,649551,111.09,111.165,109.92,110.45,649551
CHKP,2019-09-17,,,0.0,0.0,0.0,1.0,0.5122962144238737,0.6028518340596054,0.4543730065396392,0.6656550858588148,0.6587677725118488,0.38330136007444227,-0.28826231871003277,110.69,110.96,109.74,110.96,591519,110.69,110.96,109.74,110.96,591519
CHKP,2019-09-16,,,0.0,0.0,0.0,0.0,0.5390991986736665,0.5783054719358186,0.4844208433090995,0.6625305164976663,0.6966824644549776,0.3613334571834226,-0.7776188773686006,111.01,113.54,110.15,110.75,864927,111.01,113.54,110.15,110.75,864927
CHKP,2019-09-13,,,0.0,0.0,0.0,0.0,0.5764023210831717,0.5668318911818895,0.0,0.6579779060846547,0.7997630331753557,0.33444664151195014,0.5030542579949715,111.88,111.92,110.91,111.51,624190,111.88,111.92,110.91,111.51,624190
CHKP,2019-09-12,,,0.0,0.0,0.0,1.0,0.5645205857971809,0.5578039849314709,0.49007505852093913,0.6543944987981263,0.7334123222748814,0.3208167166374998,-1.1455465766805846,111.32,113.57,110.74,113.0,796832,111.32,113.57,110.74,113.0,796832
CHKP,2019-09-11,,,0.0,0.0,0.0,0.0,0.5142304504006627,0.502052499574436,0.5430991344152937,0.6506838331501306,0.9868073878627974,0.3013632433469989,1.1951833213515441,112.61,112.71,107.3705,111.05,768905,112.61,112.71,107.3705,111.05,768905
CHKP,2019-09-10,,,0.0,0.0,0.0,1.0,0.5103619784470844,0.4994051908853506,0.5385145435432006,0.6461742297963995,0.9234234234234228,0.27422441377277457,1.2649012649012654,111.28,111.32,108.98,109.63,1192013,111.28,111.32,108.98,109.63,1192013
CHKP,2019-09-09,,,1.0,0.0,1.0,1.0,0.4274661508704058,0.47595714642627823,0.5254504485355803,0.6411146264511456,0.7147147147147144,0.23484952814490775,2.2803425167535396,109.89,110.03,107.7,108.05,1948988,109.89,110.03,107.7,108.05,1948988
CHKP,2019-09-06,,,1.0,1.0,1.0,1.0,0.3415308096159156,0.4372867647335775,0.44804891598141744,0.6376035817196524,0.3362445414847163,0.20055014066078164,-0.5185185185185206,107.44,108.64,107.25,108.64,990154,107.44,108.64,107.25,108.64,990154
CHKP,2019-09-05,,,0.0,1.0,1.0,0.0,0.42276872064106097,0.47119001731173626,0.46638209893561744,0.636468071398478,0.4177583697234356,0.1694135260956396,1.637492941840763,108.0,109.07,107.2,107.42,1248129,108.0,109.07,107.2,107.42,1248129
CHKP,2019-09-04,,,1.0,1.0,1.0,1.0,0.4050842774247029,0.45289630628098804,0.47801396927898865,0.6330470178241363,0.16448326055313087,0.12840743824760492,-0.2534497324697231,106.26,107.89,106.12,107.24,715465,106.26,107.89,106.12,107.24,715465
CHKP,2019-09-03,,,1.0,1.0,1.0,0.0,0.41613705443492643,0.4136690399965432,0.5157484969539085,0.6378578541754947,0.20378457059679836,0.13182476356759565,-1.0863509749303637,106.53,107.91,106.12,107.0,714783,106.53,107.91,106.12,107.0,714783
CHKP,2019-08-30,,,1.0,1.0,1.0,0.0,0.3476098369715391,0.36491738385373895,0.518436227856456,0.6425161531242014,0.3740902474526937,0.13734791678649977,0.22333891680626197,107.7,108.31,107.45,108.14,717033,107.7,108.31,107.45,108.14,717033
CHKP,2019-08-29,,,1.0,1.0,0.0,1.0,0.36722851616468577,0.3822434378343818,0.5154479882098382,0.6471876636507186,0.33381088825214855,0.1503775840436315,1.5882019285309061,107.46,108.12,106.76,107.07,617104,107.46,108.12,106.76,107.07,617104
CHKP,2019-08-28,,,1.0,1.0,1.0,1.0,0.288753799392097,0.36335825335149946,0.48308358256994355,0.6486905518458101,0.09193776520509264,0.14589436984908544,-0.8808095952023967,105.78,106.61,105.13,106.01,828394,105.78,106.61,105.13,106.01,828394
CHKP,2019-08-27,,,1.0,1.0,0.0,0.0,0.3290964354794137,0.3479388042748958,0.45796383011517294,0.6552081667661125,0.1572890025575451,0.17140748240858106,0.18775816748028806,106.72,107.72,105.49,107.15,1110783,106.72,107.72,105.49,107.15,1110783
CHKP,2019-08-26,,,0.0,1.0,1.0,1.0,0.31113567283780025,0.3810358677313737,0.5575883040031113,0.6598451519281707,0.09466666666666583,0.1913393810952489,-0.26217228464419584,106.52,107.9899,105.81,107.45,652340,106.52,107.9899,105.81,107.45,652340
CHKP,2019-08-23,,,1.0,1.0,1.0,0.0,0.3020171318043656,0.3757423298440521,0.512356176350617,0.6668895142401228,0.04264705882352827,0.22384576053681893,-2.000367039823827,106.8,109.1595,106.51,108.56,843178,106.8,109.1595,106.51,108.56,843178
CHKP,2019-08-22,,,0.0,0.0,0.0,0.0,0.32937275490466944,0.3943955618053011,0.5323197597842467,0.6733363533937129,0.2585551330798487,0.24144986454525477,-0.21060342459480796,108.98,110.0,108.13,109.29,680386,108.98,110.0,108.13,109.29,680386
CHKP,2019-08-21,,,0.0,0.0,0.0,0.0,0.3476098369715387,0.36299959804187876,0.517595218205245,0.67790554057737,0.27955665024630477,0.2589749150751426,0.6822162809993499,109.21,109.99,108.61,109.19,630177,109.21,109.99,108.61,109.19,630177
CHKP,2019-08-20,,,1.0,0.0,0.0,1.0,0.25918762088974845,0.3493146322442132,0.5813285926613374,0.6807144455097673,0.1884236453201971,0.25829291259892456,-0.27581134503999005,108.47,109.22,107.94,108.7,708803,108.47,109.22,107.94,108.7,708803
CHKP,2019-08-19,,,1.0,0.0,0.0,0.0,0.2796352583586623,0.32060257298418876,0.577843881822123,0.6868548410547786,0.19182389937106892,0.27003475489589907,0.6011838697743169,108.77,109.09,108.08,108.66,525521,108.77,109.09,108.08,108.66,525521
CHKP,2019-08-16,,,1.0,0.0,0.0,1.0,0.2392926222713456,0.33551057399027473,0.6230522800180767,0.6912682647419532,0.10669077757685413,0.27386200934976446,0.4459308807134931,108.12,109.32,107.99,108.67,632986,108.12,109.32,107.99,108.67,632986
CHKP,2019-08-15,,,1.0,0.0,1.0,1.0,0.20392373583862933,0.35529735094362425,0.6274610696732439,0.6971657005947156,0.06329113924050657,0.2903344775797616,0.1209189842805278,107.64,108.37,106.94,107.29,695626,107.64,108.37,106.94,107.29,695626
CHKP,2019-08-14,,,1.0,0.0,1.0,1.0,0.22492401215805474,0.37695218624620525,0.5138546573477856,0.7043190105512469,0.043755697356426995,0.31083293733765643,-2.8114265051527747,107.51,109.42,107.05,108.71,974859,107.51,109.42,107.05,108.71,974859
CHKP,2019-08-13,,,1.0,0.0,0.0,0.0,0.3036750483558993,0.4235519920243245,0.4700771491670042,0.7127214212038888,0.32725615314494116,0.334855631520271,1.0874531664077471,110.62,111.79,109.0,109.56,880560,110.62,111.79,109.0,109.56,880560
CHKP,2019-08-12,,,1.0,0.0,0.0,1.0,0.23266095606521145,0.4112963501129228,0.5096456573320777,0.7175926609544652,0.2187784867821336,0.3476703519158816,-1.4499279538904892,109.43,110.755,109.21,110.36,589712,109.43,110.755,109.21,110.36,589712
CHKP,2019-08-09,,,0.0,0.0,0.0,0.0,0.24481901077645757,0.41998136553862553,0.4764476336664986,0.7255988082217901,0.33556766165407287,0.373647772640901,-0.5908683974932826,111.04,112.0,110.86,111.08,711373,111.04,112.0,110.86,111.08,711373
CHKP,2019-08-08,,,0.0,0.0,0.0,0.0,0.25117435755733597,0.4244177262465425,0.45564181292339145,0.7305652249975685,0.36541471048513313,0.3893324660015619,2.177094767654601,111.7,111.77,109.58,109.58,1053089,111.7,111.77,109.58,109.58,1053089
CHKP,2019-08-07,,,0.0,0.0,0.0,1.0,0.17131804365846887,0.36355812731170656,1.0,0.7340789943363304,0.17256970610399341,0.39401012551162845,1.0164479763444783,109.32,109.4894,107.03,107.39,838892,109.32,109.4894,107.03,107.39,838892
CHKP,2019-08-06,,,0.0,1.0,1.0,1.0,0.1279358938933406,0.3417590904937133,0.4528827781623726,0.7423779062775271,0.05267062314540017,0.42426048071565503,0.12027014524932506,108.22,109.86,107.51,109.02,1439406,108.22,109.86,107.51,109.02,1439406
CHKP,2019-08-05,,,0.0,1.0,1.0,1.0,0.12268582481348433,0.38955795759058726,0.47021251982160256,0.7527293730655007,0.023467070401211387,0.45904074165778963,-3.2665115446572326,108.09,110.4917,107.78,109.96,1598101,108.09,110.4917,107.78,109.96,1598101
CHKP,2019-08-02,,,0.0,0.0,0.0,0.0,0.24316109422492355,0.44219665445111894,1.0,0.7639853379200305,0.12735849056603726,0.499943165434095,0.8574781117429268,111.74,112.11,110.51,110.67,1093145,111.74,112.11,110.51,110.67,1093145
CHKP,2019-08-01,,,0.0,0.0,1.0,1.0,0.21939762365294274,0.37998011517815916,0.4793410523357645,0.7688283358641841,0.03773584905660433,0.512852883255923,-1.0361768646717253,110.79,112.2,110.48,111.77,1317641,110.79,112.2,110.48,111.77,1317641
CHKP,2019-07-31,,,0.0,0.0,0.0,0.0,0.25752970433821476,0.36744201980309,0.523025255515416,0.7754868378321609,0.14716981132075502,0.5436218013421416,0.46666068383738313,111.95,113.31,111.15,111.71,1225131,111.95,113.31,111.15,111.71,1225131
