symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
ADI,2019-10-15,,,,,,,3.510000000000005,48.95333177209551,49.79472781328501,110.43019892129496,98.36065573770504,-1.031003466460163,2.673554468007978,113.29,113.41,110.5,110.75,2614065,113.29,113.41,110.5,110.75,2614065
ADI,2019-10-14,,,,,,1.0,-1.3900000000000006,47.105511028312414,49.36365846832784,109.8760927869698,42.06379841048327,-1.3186635471839878,-0.7912245998921017,110.34,111.0,109.99,110.57,1761884,110.34,111.0,109.99,110.57,1761884
ADI,2019-10-11,,,,,,0.0,0.1799999999999926,41.02614595087243,45.659668810410906,109.94985326093553,50.773479022536236,-1.2576180878603935,2.5636296569531547,111.22,112.72,109.73,109.73,2626741,111.22,112.72,109.73,109.73,2626741
ADI,2019-10-10,,,,,,1.0,-4.700000000000003,38.1167901371787,37.97365186295963,109.68238579963473,23.258806179914224,-1.1377196510030245,0.34237068566670176,108.44,109.77,107.52,107.8,1902677,108.44,109.77,107.52,107.8,1902677
ADI,2019-10-09,,,,,,1.0,-4.610000000000014,38.355490598341824,36.86325980572146,109.98037874711272,19.596781377119164,-0.8439590532020276,1.827946857627436,108.07,108.87,106.78,107.77,1907631,108.07,108.87,106.78,107.77,1907631
ADI,2019-10-08,,,,,1.0,1.0,-4.829999999999998,37.33587303972854,46.45943443065738,110.46898595919272,0.3958945732750579,-0.407451627563745,-4.249368459040065,106.13,110.36,106.09,109.99,3240867,106.13,110.36,106.09,109.99,3240867
ADI,2019-10-07,,,,,0.0,0.0,-3.450000000000003,40.56124145216606,32.64003464775725,111.50166510569122,34.66077596201961,0.07484049747117183,-1.9375387065380851,110.84,113.29,110.78,112.92,1764150,110.84,113.29,110.78,112.92,1764150
ADI,2019-10-04,,,,,0.0,0.0,-2.299999999999997,43.47347602746578,55.93269624253225,111.89197145199786,61.38862784822482,0.32272907789958083,1.9482276540091967,113.03,113.22,111.19,111.85,1437647,113.03,113.22,111.19,111.85,1437647
ADI,2019-10-03,,,,,0.0,1.0,-5.009999999999991,42.90655501033721,58.144254926487754,111.74567473196639,33.294663573085884,0.39066971722286326,1.7435991557309403,110.87,111.3,108.0,108.87,1880658,110.87,111.3,108.0,108.87,1880658
ADI,2019-10-02,,,,,0.0,1.0,-7.590000000000003,39.51798845672566,52.38963151116533,111.93673408909774,9.851088201603654,0.7068550838076675,-0.7378393149936257,108.97,109.81,108.11,109.13,1658503,108.97,109.81,108.11,109.13,1658503
ADI,2019-10-01,,,,1.0,0.0,0.0,-5.5,39.508568400574745,100.0,112.58774333666156,3.021978021978006,1.0583014317671768,-1.7452787971001547,109.78,116.1937,109.56,114.81,2902230,109.78,116.1937,109.56,114.81,2902230
ADI,2019-09-30,,,,0.0,0.0,0.0,-3.530000000000001,35.5221552408364,45.861146959776015,113.19734703287087,27.824858757062138,1.3732794402734356,0.6213976945244936,111.73,112.24,110.54,112.15,2395544,111.73,112.24,110.54,112.15,2395544
