symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
CHKP,2019-10-15,,,,,,,1.4699999999999989,57.116871313114274,44.4527410420943,109.41342427157112,55.95776772247376,0.006185950786175454,0.14713996689351738,108.9,109.855,108.64,108.96,884745,108.9,109.855,108.64,108.96,884745
CHKP,2019-10-14,,,,,,1.0,-0.7600000000000051,57.63377048268939,39.028934846493776,109.51158603470554,53.54449472096531,0.10870666605757151,-2.2649649469710678,108.74,109.845,108.28,109.67,879979,108.74,109.845,108.28,109.67,879979
CHKP,2019-10-11,,,,,,0.0,3.0900000000000034,63.32549352111895,45.098716324033084,109.79263545822575,91.55354449472114,0.29264061120399276,1.6258677383997087,111.26,111.82,109.54,110.08,608532,111.26,111.82,109.54,110.08,608532
CHKP,2019-10-10,,,,,,1.0,0.35999999999999943,61.94041085883295,39.90066661194441,109.36543273964115,66.00000000000009,0.14083802158758374,-0.6172839506172773,109.48,110.06,108.61,109.67,1035706,109.48,110.06,108.61,109.67,1035706
CHKP,2019-10-09,,,,,,0.0,2.4099999999999966,60.64187331067662,49.00954417861514,109.27345507980101,76.46153846153845,0.15970074430546788,0.703903464667699,110.16,110.825,109.66,110.15,871994,110.16,110.825,109.66,110.15,871994
CHKP,2019-10-08,,,,,0.0,1.0,3.219999999999999,63.301696010703274,0.0,109.0480652972875,64.61538461538467,0.120046939773232,-1.3704805698313913,109.39,110.51,108.68,109.45,1101335,109.39,110.51,108.68,109.45,1101335
CHKP,2019-10-07,,,,,0.0,0.0,2.469999999999999,59.59004556409363,42.666896394124414,108.98527392545458,87.99999999999997,0.2500754783484638,-0.08108108108108415,110.91,111.69,110.1301,110.15,687523,110.91,111.69,110.1301,110.15,687523
CHKP,2019-10-04,,,,,1.0,0.0,2.0999999999999943,57.984626232727855,49.12619544323501,108.66564920655513,92.515923566879,0.17449864795193548,2.873030583873952,111.0,111.07,108.13,108.87,1280479,111.0,111.07,108.13,108.87,1280479
CHKP,2019-10-03,,,,,1.0,1.0,-0.28000000000000114,49.1192821270374,53.28060447165099,108.27740187780293,43.152866242038336,0.17138052898859257,-0.04631773969430028,107.9,108.32,106.06,107.45,1043910,107.9,108.32,106.06,107.45,1043910
CHKP,2019-10-02,,,,,1.0,0.0,-3.1400000000000006,39.42288320030362,53.57426927784051,108.40533233582697,43.94904458598734,0.2324060741419629,0.4840361165409997,107.95,108.0,105.19,107.0,1324505,107.95,108.0,105.19,107.0,1324505
CHKP,2019-10-01,,,,1.0,1.0,1.0,-3.259999999999991,38.84740448907395,39.93478421369764,108.6662905958228,33.87888707037656,0.2527239495082654,-1.8904109589041034,107.43,111.47,107.32,109.37,1215908,107.43,111.47,107.32,109.37,1215908
CHKP,2019-09-30,,,,0.0,1.0,0.0,-1.5100000000000051,44.35033904393078,52.44029836859371,108.96925227221635,71.31782945736427,0.3896875185203754,1.2295460848664124,109.5,110.285,107.605,108.32,936085,109.5,110.285,107.605,108.32,936085
CHKP,2019-09-27,,,,1.0,1.0,1.0,-3.7099999999999937,44.542404179487804,51.03170855800588,108.87406196202978,34.3520782396088,0.2687101172758446,-0.8706011730205304,108.17,109.59,107.46,109.47,686578,108.17,109.59,107.46,109.47,686578
CHKP,2019-09-26,,,,1.0,0.0,0.0,-2.1999999999999886,40.889643219135905,51.91336043175588,109.11645620252725,45.96577017114917,0.3516186905860508,1.2714617169373592,109.12,109.48,107.705,108.02,709955,109.12,109.48,107.705,108.02,709955
CHKP,2019-09-25,,,,1.0,1.0,1.0,-4.859999999999999,38.127679270894326,52.51352805496767,109.07036058982891,29.110840438489678,0.21600969592152808,1.4881793350287258,107.75,107.79,105.36,106.37,839378,107.75,107.79,105.36,106.37,839378
CHKP,2019-09-24,,,,1.0,1.0,1.0,-5.109999999999999,35.749547412407665,52.065530375461414,109.32578495320286,1.8567639257294526,0.2623291662694385,-2.093323496864622,106.17,108.99,106.03,108.63,840419,106.17,108.99,106.03,108.63,840419
CHKP,2019-09-23,,,,1.0,1.0,0.0,-1.4500000000000028,43.16666000338807,52.0105756882918,109.79599917739995,17.251391241229022,0.4578916758671028,-0.4224058769513388,108.44,109.14,107.84,109.14,866961,108.44,109.14,107.84,109.14,866961
CHKP,2019-09-20,,,,1.0,0.0,0.0,1.460000000000008,46.38975161494414,42.874400340841916,109.96091013025435,24.6713444632632,0.4709650026730685,0.665557404326122,108.9,109.25,107.805,108.3,1260648,108.9,109.25,107.805,108.3,1260648
CHKP,2019-09-19,,,,0.0,1.0,1.0,0.18000000000000682,51.165784549031194,38.24375956797912,110.00403381916011,14.715189873417845,0.4906075398320269,-2.619497704563864,108.18,110.4116,107.9,108.72,1569065,108.18,110.4116,107.9,108.72,1569065
CHKP,2019-09-18,,,,0.0,0.0,0.0,4.829999999999998,63.8808827356288,37.451089535852844,110.39150037261903,61.067503924646886,0.5675997725820139,0.3613695907489436,111.09,111.165,109.92,110.45,649551,111.09,111.165,109.92,110.45,649551
CHKP,2019-09-17,,,0.0,0.0,0.0,1.0,4.159999999999997,69.75583919730106,41.11392293792705,110.20281994238343,61.34228187919464,0.45665597588576645,-0.28826231871003277,110.69,110.96,109.74,110.96,591519,110.69,110.96,109.74,110.96,591519
CHKP,2019-09-16,,,0.0,0.0,0.0,0.0,3.3100000000000023,64.534591072619,43.64820781193341,110.13936791827396,65.63758389261756,0.38795089641396885,-0.7776188773686006,111.01,113.54,110.15,110.75,864927,111.01,113.54,110.15,110.75,864927
CHKP,2019-09-13,,,0.0,0.0,0.0,0.0,4.420000000000002,61.19073843930549,0.0,109.92632699690132,77.31543624161074,0.3475816376586778,0.5030542579949715,111.88,111.92,110.91,111.51,624190,111.88,111.92,110.91,111.51,624190
CHKP,2019-09-12,,,0.0,0.0,0.0,1.0,5.539999999999992,64.50802230149887,44.69170261456011,109.46260270145234,69.79865771812077,0.3562759939075306,-1.1455465766805846,111.32,113.57,110.74,113.0,796832,111.32,113.57,110.74,113.0,796832
CHKP,2019-09-11,,,0.0,0.0,0.0,0.0,5.890000000000001,66.59097624759507,50.86587960334473,108.98163664738007,98.68073878627975,0.15396103171725883,1.1951833213515441,112.61,112.71,107.3705,111.05,768905,112.61,112.71,107.3705,111.05,768905
CHKP,2019-09-10,,,0.0,0.0,0.0,1.0,4.760000000000005,63.61002692272316,58.61616336217321,108.23239201536481,99.35379644588058,-0.2153763572165417,1.2649012649012654,111.28,111.32,108.98,109.63,1192013,111.28,111.32,108.98,109.63,1192013
CHKP,2019-09-09,,,1.0,0.0,1.0,1.0,3.0900000000000034,66.34722446786759,62.24591578815235,107.65163711739707,97.14285714285712,-0.6407941553416379,2.2803425167535396,109.89,110.03,107.7,108.05,1948988,109.89,110.03,107.7,108.05,1948988
CHKP,2019-09-06,,,1.0,1.0,1.0,1.0,-1.5400000000000063,52.168528394355675,0.0,107.25584274401915,57.32721181288009,-0.8858571977635705,-0.5185185185185206,107.44,108.64,107.25,108.64,990154,107.44,108.64,107.25,108.64,990154
