symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
LRCX,2019-10-15,,,,,,,11.660000000000025,60.89851842124868,53.259139868704075,234.6956519209229,91.79004037685073,0.8186645696836479,2.442017944811245,242.05,243.575,236.8018,237.76,1793159,242.05,243.575,236.8018,237.76,1793159
LRCX,2019-10-14,,,,,,1.0,5.1699999999999875,60.9481681938152,0.0,233.17118715366317,73.82198952879581,0.7373768633072189,-0.3416424142730618,236.28,238.3,235.64,236.42,782290,236.28,238.3,235.64,236.42,782290
LRCX,2019-10-11,,,,,,0.0,7.009999999999991,54.85390687500399,46.82604610678142,233.05520507141188,79.12303664921467,1.3217455694817772,1.052766175091637,237.09,240.28,236.61,239.81,1208298,237.09,240.28,236.61,239.81,1208298
LRCX,2019-10-10,,,,,,1.0,-8.210000000000008,39.09307930909362,48.157648020123744,232.49142426503275,69.65966690803768,1.5831105070483886,0.6391283833054558,234.62,237.41,232.166,232.59,1306482,234.62,237.41,232.166,232.59,1306482
LRCX,2019-10-09,,,,,,1.0,-8.469999999999999,38.552181577416114,52.581825603510815,232.4166208427174,40.69069069069069,1.9170363449399872,2.3847167325428225,233.13,234.74,231.07,232.0,1597303,233.13,234.74,231.07,232.0,1597303
LRCX,2019-10-08,,,,,1.0,1.0,-8.160000000000025,38.756857152959626,52.28426430106523,232.09732306215557,13.513513513513464,2.7332201159087504,-1.9126389247867657,227.7,231.25,225.0,229.87,1509846,227.7,231.25,225.0,229.87,1509846
LRCX,2019-10-07,,,,,1.0,0.0,-6.100000000000023,41.32722710180522,56.44585674967761,232.71179220204988,35.18425037859666,3.794080817424515,-0.48441719895401203,232.14,234.5,231.92,233.17,1186042,232.14,234.5,231.92,233.17,1186042
LRCX,2019-10-04,,,,,1.0,0.0,-2.039999999999992,37.84039971597468,54.24207369463423,232.9365433956366,40.88844018172651,4.747548031448275,1.842392490722549,233.27,233.41,229.43,230.17,1078066,233.27,233.41,229.43,230.17,1078066
LRCX,2019-10-03,,,,,1.0,1.0,-7.810000000000002,38.17600651359167,100.0,232.7909447470269,19.586067642604863,5.351963430339254,0.46052631578947867,229.05,230.115,225.17,229.32,1414502,229.05,230.115,225.17,229.32,1414502
LRCX,2019-10-02,,,,,1.0,1.0,-9.639999999999986,44.760920506128265,57.940882124057616,233.69580433694802,10.772464529690023,6.276737734975654,-1.0373714136898244,228.0,229.58,225.95,227.18,1481907,228.0,229.58,225.95,227.18,1481907
