symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
MU,2019-10-15,,,,,,,4.155000000000001,64.48846243957004,50.24807854780482,44.188808894901264,98.01670146137789,-1.6177703958520766,3.5555060187249197,46.455,46.55,45.04,45.21,17767713,46.455,46.55,45.04,45.21,17767713
MU,2019-10-14,,,,,,1.0,2.009999999999998,62.991941370090586,0.0,43.738037131304154,76.5067650676507,-1.6887106816376445,-0.5321507760532195,44.86,45.33,44.8,44.96,12495857,44.86,45.33,44.8,44.96,12495857
MU,2019-10-11,,,,,,0.0,1.8900000000000006,61.991322692842765,47.759373519710515,43.77290836482843,82.41082410824117,-1.5083435292164964,4.205175600739372,45.1,45.815,44.28,44.39,27604874,45.1,45.815,44.28,44.39,27604874
MU,2019-10-10,,,,,,1.0,-5.32,38.20957484637963,52.87782708104946,43.72455485085497,36.6906474820144,-1.4710155557337288,0.9446064139941718,43.28,43.79,42.61,42.87,16047857,43.28,43.79,42.61,42.87,16047857
MU,2019-10-09,,,,,,1.0,-6.594999999999999,43.42688936935069,61.4377281038955,44.10584830297815,14.080100125156441,-1.3433223122303346,0.5629177905476768,42.875,43.38,42.83,43.18,13781367,42.875,43.38,42.83,43.18,13781367
MU,2019-10-08,,,,,1.0,1.0,-5.875,48.25113042457197,51.08516394798051,44.44240317810687,11.07634543178971,-1.1130932909420252,-3.453351449275359,42.635,43.84,42.6224,43.6,22714375,42.635,43.84,42.6224,43.6,22714375
MU,2019-10-07,,,,,1.0,0.0,-5.440000000000005,49.86730444075083,43.09918343999358,44.80974362288459,29.570552147239226,-0.868271321495591,-0.8754208754208768,44.16,44.73,44.06,44.3,15152292,44.16,44.73,44.06,44.3,15152292
MU,2019-10-04,,,,,1.0,0.0,-4.609999999999999,42.713502364765326,56.88362517622659,45.028067942648846,33.17535545023694,-0.6260007807099868,2.508053382420608,44.55,44.62,43.29,43.71,22043116,44.55,44.62,43.29,43.71,22043116
MU,2019-10-03,,,,,0.0,1.0,-6.359999999999999,43.69083320422366,100.0,45.16278464173104,19.655172413793107,-0.49958886922534873,3.5254883277751405,43.46,43.49,41.76,41.993,23884742,43.46,43.49,41.76,41.993,23884742
MU,2019-10-02,,,,,1.0,1.0,-8.5,35.87109008631012,56.69990282078745,45.61646238312199,2.4083769633507535,-0.2839742328449901,-0.7565011820330977,41.98,42.67,41.76,41.82,26776005,41.98,42.67,41.76,41.82,26776005
MU,2019-10-01,,,,1.0,1.0,0.0,-8.540000000000006,35.9253424414248,53.7083472625372,46.44233985192374,5.759162303664893,-0.018714169358794663,-1.2835472578763227,42.3,43.34,41.75,43.1,28431879,42.3,43.34,41.75,43.1,28431879
MU,2019-09-30,,,,1.0,1.0,0.0,-7.299999999999997,34.03413015058398,31.133104318093444,47.37421173911674,3.096330275229394,0.4400363470820565,-0.8331404767414937,42.85,43.47,42.58,43.0,32326103,42.85,43.47,42.58,43.0,32326103
MU,2019-09-27,,,,1.0,1.0,0.0,-7.289999999999999,34.198535985532146,28.456016685413005,48.351311903586534,3.575685339690158,0.8565511706278102,-11.090534979423868,43.21,45.92,42.91,45.9,76016459,43.21,45.92,42.91,45.9,76016459
MU,2019-09-26,,,,0.0,0.0,0.0,-1.8399999999999963,45.06163504256001,35.729068454204,49.51269573764725,21.511627906976816,1.4142220482647332,-1.7586416009702799,48.6,49.74,48.125,49.38,37248173,48.6,49.74,48.125,49.38,37248173
MU,2019-09-25,,,,0.0,0.0,0.0,-1.009999999999998,50.94470139868193,42.182907634903934,49.66478189609792,46.802325581395365,1.5755608596693662,1.978973407544838,49.47,49.7,47.86,48.47,24057045,49.47,49.7,47.86,48.47,24057045
MU,2019-09-24,,,,0.0,0.0,1.0,-0.8800000000000026,52.21488810007819,46.24752839181117,49.66061772744928,13.77245508982037,1.7790707226803093,-2.197580645161297,48.51,49.9,48.05,49.74,25320435,48.51,49.9,48.05,49.74,25320435
MU,2019-09-23,,,,0.0,0.0,0.0,0.46999999999999886,55.48439177238718,44.63902973691609,49.8403821428296,38.06228373702426,2.0610062330898344,0.8950366151342654,49.6,50.19,49.48,49.54,16941704,49.6,50.19,49.48,49.54,16941704
