symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
SNPS,2019-10-15,,,,,,,4.6699999999999875,41.301868231691415,47.30101700072781,137.73845541200228,87.98996581014453,0.15756140895513226,1.3035649981994974,140.66,141.9,139.1133,139.21,741722,140.66,141.9,139.1133,139.21,741722
SNPS,2019-10-14,,,,,,1.0,1.5999999999999943,44.49078825694735,0.0,137.23331300399408,76.69931574008659,-0.5502491889819225,0.17314768054251545,138.85,139.765,138.07,138.41,427359,138.85,139.765,138.07,138.41,427359
SNPS,2019-10-11,,,,,,1.0,2.4000000000000057,46.32462943195874,45.56523966224216,137.10980072564757,74.16892468923648,-0.7039754590705911,0.2821588771523765,138.61,141.06,138.51,139.49,771133,138.61,141.06,138.51,139.49,771133
SNPS,2019-10-10,,,,,,1.0,-2.5200000000000102,45.408383266416365,49.66132433971277,136.81685187719611,69.3985190136505,-0.7869656375081888,1.7895279475661,138.22,138.38,135.19,136.35,1035843,138.22,138.38,135.19,136.35,1035843
SNPS,2019-10-09,,,,,,1.0,-3.5999999999999943,42.73865724916148,48.12565782972462,136.57569194911798,42.681802991483266,-0.99030934306262,1.3812154696132555,135.79,136.615,134.97,135.09,887245,135.79,136.615,134.97,135.09,887245
SNPS,2019-10-08,,,,,1.0,1.0,-2.539999999999992,45.190331080177096,45.45787919307584,136.60316330085743,23.947056619441618,-0.9362171163995185,-2.8646022191601923,133.94,137.6,133.79,137.0,873084,133.94,137.6,133.79,137.0,873084
SNPS,2019-10-07,,,,,1.0,0.0,0.7799999999999727,52.37183592510476,40.442351466625446,136.99527319439704,63.94827184623324,-0.6937622690630008,-0.641302781380613,137.89,139.96,137.7,139.96,597421,137.89,139.96,137.7,139.96,597421
SNPS,2019-10-04,,,,,0.0,0.0,3.0600000000000023,47.60627514444468,48.379790692289504,136.845686458259,72.96120388467507,-0.5666220486557734,2.0216128795118724,138.78,139.2,136.28,136.51,819960,138.78,139.2,136.28,136.51,819960
SNPS,2019-10-03,,,,,1.0,1.0,-1.0999999999999943,47.70572811928352,100.0,136.36062286686507,45.11225657488336,-0.7614892309644006,2.040357062485934,136.03,136.07,131.5753,133.71,794029,136.03,136.07,131.5753,133.71,794029
SNPS,2019-10-02,,,,,1.0,1.0,-3.1899999999999977,41.32777684977506,49.0912356379314,136.49832258403757,17.444219066937134,-0.769201031635788,-1.9707331421428096,133.31,135.35,131.59,134.9,1066110,133.31,135.35,131.59,134.9,1066110
