symbol,date,y_270,y_90,y_20,y_10,y_5,y_1,PMO,RSI,MFI,EMA,SO,MACD,change,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,high,low,open,volume
WDAY,2019-10-15,,,,,,,12.219999999999999,47.571800883037476,64.95943462646662,175.7568736708182,78.69227251943303,1.6056237897742278,0.3994673768308915,180.96,185.62,180.3,180.45,3052882,180.96,185.62,180.3,180.45,3052882
WDAY,2019-10-14,,,,,,1.0,10.280000000000001,55.261969385760075,0.0,174.7449122545954,85.26370217166497,1.0418450542888706,-0.11084016847704979,180.24,181.72,178.2401,179.1,894232,180.24,181.72,178.2401,179.1,894232
WDAY,2019-10-11,,,,,,0.0,11.789999999999992,46.032084012013286,60.20089874704036,173.80439314308887,86.29782833505685,0.45399145205638547,3.5107847636530547,180.44,183.09,177.72,180.16,2674042,180.44,183.09,177.72,180.16,2674042
WDAY,2019-10-10,,,,,,1.0,-0.12000000000000455,40.566750488409326,45.30106388380624,172.26000949076987,68.5473411154345,-0.3858736316028626,0.5943793640717878,174.32,175.19,171.37,171.87,806806,174.32,175.19,171.37,171.87,806806
WDAY,2019-10-09,,,,,,1.0,3.3100000000000023,44.80628175727719,52.993296154107675,171.85321788425037,61.86770428015564,-0.5466545322708782,2.2420201781815936,173.29,173.85,170.7,171.88,934483,173.29,173.85,170.7,171.88,934483
WDAY,2019-10-08,,,,,1.0,1.0,1.9800000000000182,43.27610350451214,0.0,171.51456500069884,39.15776241357649,-1.0788641862578459,-4.695231668915876,169.49,176.55,169.3,176.4,2332330,169.49,176.55,169.3,176.4,2332330
WDAY,2019-10-07,,,,,1.0,0.0,3.390000000000015,45.02539096805225,58.074045717864244,172.09436815672188,91.64047768698941,-1.2918162459126563,2.2774327122153255,177.84,179.17,171.46,171.46,2021206,177.84,179.17,171.46,171.46,2021206
WDAY,2019-10-04,,,,,1.0,1.0,-1.0900000000000034,49.12395705112793,47.32915720776587,171.11584771777163,78.72498146775388,-2.535909418139312,1.040153408100408,173.88,175.46,170.1,173.15,1621781,173.88,175.46,170.1,173.15,1621781
WDAY,2019-10-03,,,,,1.0,1.0,-0.6500000000000057,49.76187722167971,100.0,170.5764744964079,65.45589325426246,-3.2233327198689494,3.7874675833785663,172.09,172.32,163.75,165.99,1840105,172.09,172.32,163.75,165.99,1840105
WDAY,2019-10-02,,,,,1.0,1.0,-9.699999999999989,44.30466598680219,49.013004444196454,170.1948273934608,18.819188191881985,-4.245452228717568,-1.7363991940263166,165.81,167.87,164.635,166.92,1872056,165.81,167.87,164.635,166.92,1872056
WDAY,2019-10-01,,,,1.0,1.0,0.0,-6.329999999999984,39.35112257116455,51.91072536024583,171.21284875285522,40.44280442804438,-4.562119729984829,-0.7178159566956924,168.74,171.415,168.54,170.07,1374946,168.74,171.415,168.54,170.07,1374946
WDAY,2019-09-30,,,,1.0,1.0,0.0,-3.039999999999992,35.62375067738627,45.256569480940186,171.42370508165237,49.446494464944735,-4.645557352121756,0.7767565965016319,169.96,171.08,167.72,169.0,1424687,169.96,171.08,167.72,169.0,1424687
WDAY,2019-09-27,,,,1.0,1.0,1.0,1.0600000000000023,42.247547951160136,48.418877577488466,171.57207212270168,39.77859778597794,-4.34024042418045,-3.3191928456775925,168.65,174.79,165.07,174.79,2231152,168.65,174.79,165.07,174.79,2231152
WDAY,2019-09-26,,,,0.0,0.0,0.0,4.060000000000002,47.25034753407206,100.0,172.12005082838445,82.5092250922509,-4.081261492197058,2.62383809859984,174.44,175.92,169.8001,170.0,3072030,174.44,175.92,169.8001,170.0,3072030
