symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAL,2014-10-02 00:00:00+00:00,32.280436258,33.659942081,31.880855261,32.7941832542,21482153,33.93,0.0,35.38,33.51,34.47,1.0,21482153
AAL,2014-10-03 00:00:00+00:00,34.4686179083,34.5542424076,32.9273769198,32.9749460861,15081075,36.23,0.0,36.32,34.61,34.66,1.0,15081075
AAL,2014-10-06 00:00:00+00:00,33.2318195842,34.7254914064,33.1652227514,34.5447285744,12794164,34.93,0.0,36.5,34.86,36.31,1.0,12794164
AAL,2014-10-07 00:00:00+00:00,32.4326575902,33.3174440836,32.4041160904,33.0605705855,10032531,34.09,0.0,35.02,34.06,34.75,1.0,10032531
AAL,2014-10-08 00:00:00+00:00,31.3956497647,32.8702939203,31.0150964342,32.8512662537,22753612,33.0,0.0,34.55,32.6,34.53,1.0,22753612
AAL,2014-10-09 00:00:00+00:00,30.4252387719,32.061618093,30.3871834389,31.8713414278,22639564,31.98,0.0,33.7,31.94,33.5,1.0,22639564
AAL,2014-10-10 00:00:00+00:00,29.2835787805,30.68211227,28.3321954543,30.0161439417,31018666,30.78,0.0,32.25,29.78,31.55,1.0,31018666
AAL,2014-10-13 00:00:00+00:00,27.1905354628,29.8639226095,26.7338714663,29.5594799451,34532913,28.58,0.0,31.39,28.1,31.07,1.0,34532913
AAL,2014-10-14 00:00:00+00:00,29.9780886086,30.6155154372,27.8565037912,27.8660176244,28145226,31.51,0.0,32.18,29.28,29.29,1.0,28145226
AAL,2014-10-15 00:00:00+00:00,30.1493376073,31.0341241007,28.058672748,28.7508041178,39941285,31.69,0.0,32.62,29.4925,30.22,1.0,39941285
AAL,2014-10-16 00:00:00+00:00,31.3671082649,31.7762030951,28.541499786,29.1408712816,24987103,32.97,0.0,33.4,30.0,30.63,1.0,24987103
AAL,2014-10-17 00:00:00+00:00,31.7571754286,32.6705034218,31.2148869327,32.2328670917,16009738,33.38,0.0,34.34,32.81,33.88,1.0,16009738
AAL,2014-10-20 00:00:00+00:00,33.5077207488,33.6694559143,32.3478893358,32.5277959228,13532715,35.22,0.0,35.39,34.0009,34.19,1.0,13532715
AAL,2014-10-21 00:00:00+00:00,36.0098588967,36.0384003965,34.2688274098,34.3829934089,26347743,37.85,0.0,37.88,36.02,36.14,1.0,26347743
AAL,2014-10-22 00:00:00+00:00,35.2392384025,36.3618707274,35.1441000699,36.200135562,18958406,37.04,0.0,38.22,36.94,38.05,1.0,18958406
AAL,2014-10-23 00:00:00+00:00,36.6092303922,38.2265820468,35.0109064042,35.6102778997,33292004,38.48,0.0,40.18,36.8,37.43,1.0,33292004
AAL,2014-10-24 00:00:00+00:00,37.8840840493,38.0077638818,36.7043687249,36.7233963914,17834118,39.82,0.0,39.95,38.58,38.6,1.0,17834118
AAL,2014-10-27 00:00:00+00:00,37.9697085487,38.4358863785,37.3798508865,37.6747797176,13355207,39.91,0.0,40.4,39.29,39.6,1.0,13355207
AAL,2014-10-28 00:00:00+00:00,38.2836650464,38.775530226,37.8174872165,38.1599852139,12193479,40.24,0.0,40.757,39.75,40.11,1.0,12193479
AAL,2014-10-29 00:00:00+00:00,37.9982500485,38.4358863785,37.3370386368,38.1219298809,15784094,39.94,0.0,40.4,39.245,40.07,1.0,15784094
AAL,2014-10-30 00:00:00+00:00,38.4358863785,38.8078465693,37.7873404049,38.0639261878,10566622,40.3,0.1,40.69,39.62,39.91,1.0,10566622
AAL,2014-10-31 00:00:00+00:00,39.4373176614,39.8188152929,38.912758418,39.1988816416,13012634,41.35,0.0,41.75,40.8,41.1,1.0,13012634
