symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2014-10-20 00:00:00+00:00,91.5311448086,91.7146475047,90.1181740487,90.2053378293,77517279,99.76,0.0,99.96,98.22,98.315,1.0,77517279
AAPL,2014-10-21 00:00:00+00:00,94.0176063406,94.5222387548,92.916590164,94.5222387548,94623904,102.47,0.0,103.02,101.27,103.02,1.0,94623904
AAPL,2014-10-22 00:00:00+00:00,94.4947133504,95.5223284485,94.136883093,94.3570863283,68263146,102.99,0.0,104.11,102.6,102.84,1.0,68263146
AAPL,2014-10-23 00:00:00+00:00,96.1829381544,96.3857086336,95.0819219779,95.4948030441,71074674,104.83,0.0,105.051,103.63,104.08,1.0,71074674
AAPL,2014-10-24 00:00:00+00:00,96.5407684118,96.7884970515,95.9076841103,96.5040678725,47053916,105.22,0.0,105.49,104.53,105.18,1.0,47053916
AAPL,2014-10-27 00:00:00+00:00,96.4398419289,96.7793219167,96.0636614019,96.201288424,34187701,105.11,0.0,105.48,104.7,104.85,1.0,34187701
AAPL,2014-10-28 00:00:00+00:00,97.935388902,97.935388902,96.6600451642,96.7059208382,48060949,106.74,0.0,106.74,105.35,105.4,1.0,48060949
AAPL,2014-10-29 00:00:00+00:00,98.4858969903,98.5134223947,97.5867337795,97.8528126888,52687879,107.34,0.0,107.37,106.36,106.65,1.0,52687879
AAPL,2014-10-30 00:00:00+00:00,98.1555921373,98.4950721251,97.1646775785,98.1363243542,40654793,106.98,0.0,107.35,105.9,106.959,1.0,40654793
AAPL,2014-10-31 00:00:00+00:00,99.0914558874,99.1281564266,98.3666202378,99.1006310222,44639285,108.0,0.0,108.04,107.21,108.01,1.0,44639285
AAPL,2014-11-03 00:00:00+00:00,100.37597476,101.2017368924,99.1006310222,99.2933088531,52282550,109.4,0.0,110.3,108.01,108.22,1.0,52282550
AAPL,2014-11-04 00:00:00+00:00,99.6419639756,100.4585509732,98.8345521129,100.3392742208,41574365,108.6,0.0,109.49,107.72,109.36,1.0,41574365
AAPL,2014-11-05 00:00:00+00:00,99.8805174806,100.284223412,99.2061450724,100.1007207159,37435905,108.86,0.0,109.3,108.125,109.1,1.0,37435905
AAPL,2014-11-06 00:00:00+00:00,100.1649466595,100.247879918,99.3356140745,100.0727985945,34968457,108.7,0.47,108.79,107.8,108.6,1.0,34968457
AAPL,2014-11-07 00:00:00+00:00,100.450605661,100.7362646625,100.026724562,100.211020692,33691535,109.01,0.0,109.32,108.55,108.75,1.0,33691535
AAPL,2014-11-10 00:00:00+00:00,100.284739144,100.745479469,100.13730224,100.4598204675,27195547,108.83,0.0,109.33,108.67,109.02,1.0,27195547
AAPL,2014-11-11 00:00:00+00:00,101.0864273095,101.132501342,99.8885024645,100.1649466595,27442252,109.7,0.0,109.75,108.4,108.7,1.0,27442252
