symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ADBE,2014-10-16 00:00:00+00:00,62.86,63.72,60.72,60.72,6639958,62.86,0.0,63.72,60.72,60.72,1.0,6639958
ADBE,2014-10-17 00:00:00+00:00,64.52,65.13,63.46,63.46,6540794,64.52,0.0,65.13,63.46,63.46,1.0,6540794
ADBE,2014-10-20 00:00:00+00:00,64.68,64.73,63.7,64.25,4266231,64.68,0.0,64.73,63.7,64.25,1.0,4266231
ADBE,2014-10-21 00:00:00+00:00,66.425,66.56,64.51,64.84,3229897,66.425,0.0,66.56,64.51,64.84,1.0,3229897
ADBE,2014-10-22 00:00:00+00:00,65.04,66.49,64.99,66.31,2363348,65.04,0.0,66.49,64.99,66.31,1.0,2363348
ADBE,2014-10-23 00:00:00+00:00,65.92,66.4,65.17,65.62,1783779,65.92,0.0,66.4,65.17,65.62,1.0,1783779
ADBE,2014-10-24 00:00:00+00:00,67.01,67.085,65.5,66.26,1391572,67.01,0.0,67.085,65.5,66.26,1.0,1391572
ADBE,2014-10-27 00:00:00+00:00,67.03,67.34,66.31,66.84,1490821,67.03,0.0,67.34,66.31,66.84,1.0,1490821
ADBE,2014-10-28 00:00:00+00:00,68.37,68.51,67.2,67.45,1951060,68.37,0.0,68.51,67.2,67.45,1.0,1951060
ADBE,2014-10-29 00:00:00+00:00,67.93,68.81,67.52,68.21,2054404,67.93,0.0,68.81,67.52,68.21,1.0,2054404
ADBE,2014-10-30 00:00:00+00:00,68.57,68.61,67.23,67.23,1896316,68.57,0.0,68.61,67.23,67.23,1.0,1896316
ADBE,2014-10-31 00:00:00+00:00,70.12,70.25,69.27,69.89,2949402,70.12,0.0,70.25,69.27,69.89,1.0,2949402
ADBE,2014-11-03 00:00:00+00:00,69.91,70.27,69.66,69.93,1889002,69.91,0.0,70.27,69.66,69.93,1.0,1889002
ADBE,2014-11-04 00:00:00+00:00,71.07,71.1,69.75,69.95,2995992,71.07,0.0,71.1,69.75,69.95,1.0,2995992
ADBE,2014-11-05 00:00:00+00:00,71.37,72.04,70.89,71.53,6146563,71.37,0.0,72.04,70.89,71.53,1.0,6146563
ADBE,2014-11-06 00:00:00+00:00,72.1,72.37,71.37,71.59,2345269,72.1,0.0,72.37,71.37,71.59,1.0,2345269
