symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ADI,2014-10-02 00:00:00+00:00,42.4863871862,42.9752472898,41.9886387171,42.8774752691,3576564,47.8,0.0,48.35,47.24,48.24,1.0,3576564
ADI,2014-10-03 00:00:00+00:00,42.2908431448,42.7797032484,42.2197362206,42.6374894001,1821840,47.58,0.0,48.13,47.5,47.97,1.0,1821840
ADI,2014-10-06 00:00:00+00:00,41.9041992447,42.7085963242,41.8019830412,42.4863871862,2351350,47.145,0.0,48.05,47.03,47.8,1.0,2351350
ADI,2014-10-07 00:00:00+00:00,41.0731370685,41.7575412136,40.9931417788,41.5886622687,3086713,46.21,0.0,46.98,46.12,46.79,1.0,3086713
ADI,2014-10-08 00:00:00+00:00,42.4419453586,42.4952755517,40.8864813926,40.9753650478,3218997,47.75,0.0,47.81,46.0,46.1,1.0,3218997
ADI,2014-10-09 00:00:00+00:00,41.1886858203,42.6108243035,41.1886858203,42.4419453586,6539899,46.34,0.0,47.94,46.34,47.75,1.0,6539899
ADI,2014-10-10 00:00:00+00:00,38.619948185,39.526561468,37.8377720192,39.3754592542,10052664,43.45,0.0,44.47,42.57,44.3,1.0,10052664
ADI,2014-10-13 00:00:00+00:00,38.3088553918,39.4465661783,38.0955346193,38.6021714539,4187756,43.1,0.0,44.38,42.86,43.43,1.0,4187756
ADI,2014-10-14 00:00:00+00:00,38.6288365505,39.6954404129,38.5577296263,39.0465897299,4012094,43.46,0.0,44.66,43.38,43.93,1.0,4012094
ADI,2014-10-15 00:00:00+00:00,39.2154686748,39.4998963715,37.8555487502,38.0066509641,4467385,44.12,0.0,44.44,42.59,42.76,1.0,4467385
ADI,2014-10-16 00:00:00+00:00,39.6421102198,39.9176495509,38.397739047,38.6110598194,3386176,44.6,0.0,44.91,43.2,43.44,1.0,3386176
ADI,2014-10-17 00:00:00+00:00,39.9443146475,40.7975977374,39.8732077233,39.9887564751,3334954,44.94,0.0,45.9,44.86,44.99,1.0,3334954
ADI,2014-10-20 00:00:00+00:00,40.2820725372,40.3531794614,39.6509985853,39.7754357026,1884406,45.32,0.0,45.4,44.61,44.75,1.0,1884406
ADI,2014-10-21 00:00:00+00:00,41.5219995273,41.6153273653,40.4509514821,40.7887093719,2765748,46.715,0.0,46.82,45.51,45.89,1.0,2765748
ADI,2014-10-22 00:00:00+00:00,40.9042581236,41.9085545438,40.8864813926,41.6864342894,2549867,46.02,0.0,47.1499,46.0,46.9,1.0,2549867
ADI,2014-10-23 00:00:00+00:00,41.2597927444,41.5264437101,41.0731370685,41.3931182272,2234033,46.42,0.0,46.72,46.21,46.57,1.0,2234033
ADI,2014-10-24 00:00:00+00:00,41.6419924618,41.8730899653,41.1086905306,41.508666979,1862760,46.85,0.0,47.11,46.25,46.7,1.0,1862760
ADI,2014-10-27 00:00:00+00:00,41.4375600548,41.5619971721,41.082025434,41.490890248,1817846,46.62,0.0,46.76,46.22,46.68,1.0,1817846
ADI,2014-10-28 00:00:00+00:00,41.7664295791,41.8818894472,41.1797974548,41.5708855377,1790981,46.99,0.0,47.1199,46.33,46.77,1.0,1790981
ADI,2014-10-29 00:00:00+00:00,42.0508572757,42.0508572757,42.0508572757,42.0508572757,2415372,47.31,0.0,47.31,47.31,47.31,1.0,2415372
ADI,2014-10-30 00:00:00+00:00,41.7753179446,42.0419689102,41.2242392824,42.0330805447,908746,47.0,0.0,47.3,46.38,47.29,1.0,908746
ADI,2014-10-31 00:00:00+00:00,44.1040697109,44.9217993387,43.0907960416,43.2952284486,6689172,49.62,0.0,50.54,48.48,48.71,1.0,6689172
ADI,2014-11-03 00:00:00+00:00,44.1929533661,44.6284832766,43.9796325936,44.1929533661,3318910,49.72,0.0,50.21,49.48,49.72,1.0,3318910
ADI,2014-11-04 00:00:00+00:00,43.952967497,44.3707206765,43.8463071108,44.0862929798,1684474,49.45,0.0,49.92,49.33,49.6,1.0,1684474
ADI,2014-11-05 00:00:00+00:00,44.4684926972,44.4862694283,43.712981628,44.2462835592,1493452,50.03,0.0,50.05,49.18,49.78,1.0,1493452
ADI,2014-11-06 00:00:00+00:00,44.6373716421,44.7706971249,43.9263024005,44.4418276007,2017943,50.22,0.0,50.37,49.42,50.0,1.0,2017943
ADI,2014-11-07 00:00:00+00:00,44.6551483731,44.806250587,44.1760654716,44.7973622215,1962567,50.24,0.0,50.41,49.701,50.4,1.0,1962567
ADI,2014-11-10 00:00:00+00:00,44.8151389525,44.9306877043,44.4196066869,44.584041449,1771605,50.42,0.0,50.55,49.975,50.16,1.0,1771605
ADI,2014-11-11 00:00:00+00:00,44.5662647179,44.9040226077,44.3351672144,44.7884738559,1211798,50.14,0.0,50.52,49.88,50.39,1.0,1211798
ADI,2014-11-12 00:00:00+00:00,44.6684809214,44.7618087594,44.2729486558,44.4596043317,1226368,50.255,0.0,50.36,49.81,50.02,1.0,1226368
ADI,2014-11-13 00:00:00+00:00,44.6284832766,45.0106829939,44.3973857731,44.824027318,1113392,50.21,0.0,50.64,49.95,50.43,1.0,1113392
ADI,2014-11-14 00:00:00+00:00,44.9929062629,45.0551248215,44.2996137523,44.7440320283,1509884,50.62,0.0,50.69,49.84,50.34,1.0,1509884
ADI,2014-11-17 00:00:00+00:00,44.7529203939,44.8773575111,44.2729486558,44.7440320283,1662912,50.35,0.0,50.49,49.81,50.34,1.0,1662912
ADI,2014-11-18 00:00:00+00:00,45.5617616562,45.5706500217,44.6462600076,44.7173669318,2333286,51.26,0.0,51.27,50.23,50.31,1.0,2333286
ADI,2014-11-19 00:00:00+00:00,45.1084550147,45.7217522356,44.8862458767,45.7039755045,1795032,50.75,0.0,51.44,50.5,51.42,1.0,1795032
ADI,2014-11-20 00:00:00+00:00,45.4817663665,45.5084314631,44.7529203939,44.7529203939,1762674,51.17,0.0,51.2,50.35,50.35,1.0,1762674
ADI,2014-11-21 00:00:00+00:00,45.9084079115,46.1750588771,45.4639896355,46.1750588771,1638813,51.65,0.0,51.95,51.15,51.95,1.0,1638813
ADI,2014-11-24 00:00:00+00:00,46.0417333943,46.1839472426,45.5706500217,46.1839472426,1615627,51.8,0.0,51.96,51.27,51.96,1.0,1615627
ADI,2014-11-25 00:00:00+00:00,45.9617381046,46.2017239736,45.7750824287,45.9884032012,2500280,51.71,0.0,51.98,51.5,51.74,1.0,2500280
ADI,2014-11-26 00:00:00+00:00,48.4949222778,48.6081600546,46.6728073462,46.6905840772,5683369,54.56,0.0,54.6874,52.51,52.53,1.0,5683369
ADI,2014-11-28 00:00:00+00:00,48.566029202,48.8415685331,48.2771573226,48.8415685331,1336759,54.64,0.0,54.95,54.315,54.95,1.0,1336759
ADI,2014-12-01 00:00:00+00:00,48.5749175675,48.8326801676,48.1660527536,48.4238153537,2463405,54.65,0.0,54.94,54.19,54.48,1.0,2463405
ADI,2014-12-02 00:00:00+00:00,49.0726660366,49.1082194987,48.2460480433,48.4771455468,2182156,55.21,0.0,55.25,54.28,54.54,1.0,2182156
ADI,2014-12-03 00:00:00+00:00,50.5570230785,50.8880458805,49.1613593729,49.1613593729,6303223,56.51,0.37,56.88,54.95,54.95,1.0,6303223
ADI,2014-12-04 00:00:00+00:00,50.6554352629,50.7270077606,50.0918018433,50.5122902674,3140256,56.62,0.0,56.7,55.99,56.46,1.0,3140256
ADI,2014-12-05 00:00:00+00:00,51.2995877424,51.3353739912,50.3802390091,50.7717405717,2266230,57.34,0.0,57.38,56.3124,56.75,1.0,2266230
ADI,2014-12-08 00:00:00+00:00,50.2617865254,51.2995877424,49.9397102856,50.950671816,2125746,56.18,0.0,57.34,55.82,56.95,1.0,2125746
ADI,2014-12-09 00:00:00+00:00,50.4317712075,50.4496643319,49.5908838249,49.9486568479,2445869,56.37,0.0,56.39,55.4301,55.83,1.0,2445869
ADI,2014-12-10 00:00:00+00:00,49.7786721658,50.6822749495,49.581847797,50.4228246453,2181562,55.64,0.0,56.65,55.42,56.36,1.0,2181562
ADI,2014-12-11 00:00:00+00:00,50.3244124609,51.8811142864,49.7607790413,51.8811142864,2559417,56.25,0.0,57.99,55.62,57.99,1.0,2559417
ADI,2014-12-12 00:00:00+00:00,50.0247026267,50.4496643319,49.5907943593,49.6713134192,3178452,55.915,0.0,56.39,55.43,55.52,1.0,3178452
ADI,2014-12-15 00:00:00+00:00,49.581847797,50.825419945,49.4834356127,50.1096949677,2007288,55.42,0.0,56.81,55.31,56.01,1.0,2007288
ADI,2014-12-16 00:00:00+00:00,49.0092678153,50.1275880922,48.9645350042,49.5907943593,2364772,54.78,0.0,56.03,54.73,55.43,1.0,2364772
ADI,2014-12-17 00:00:00+00:00,50.0918018433,50.1812674655,48.5082603312,49.0718937508,2358317,55.99,0.0,56.09,54.22,54.85,1.0,2358317
ADI,2014-12-18 00:00:00+00:00,51.0490840003,51.0490840003,50.11864153,50.8343665072,2337551,57.06,0.0,57.06,56.02,56.82,1.0,2337551
ADI,2014-12-19 00:00:00+00:00,50.7717405717,51.3174808668,50.4765040186,51.0222443137,3194107,56.75,0.0,57.36,56.42,57.03,1.0,3194107
ADI,2014-12-22 00:00:00+00:00,51.4337861756,51.4427327378,50.7896336961,50.8880458805,1015893,57.49,0.0,57.5,56.77,56.88,1.0,1015893
ADI,2014-12-23 00:00:00+00:00,50.6912215117,51.7916486642,50.5570230785,51.4427327378,3065347,56.66,0.0,57.89,56.51,57.5,1.0,3065347
ADI,2014-12-24 00:00:00+00:00,50.7359543228,50.9775115026,50.6017558896,50.9059390049,1262115,56.71,0.0,56.98,56.56,56.9,1.0,1262115
ADI,2014-12-26 00:00:00+00:00,50.3512521476,50.9775115026,50.2707330876,50.8164733827,1555592,56.28,0.0,56.98,56.19,56.8,1.0,1555592
ADI,2014-12-29 00:00:00+00:00,50.1723209032,50.4407177697,49.8681377879,50.2796796498,1782879,56.08,0.0,56.38,55.74,56.2,1.0,1782879
ADI,2014-12-30 00:00:00+00:00,49.7026263869,50.1812674655,49.4923821749,49.9576034101,1677725,55.555,0.0,56.09,55.32,55.84,1.0,1677725
ADI,2014-12-31 00:00:00+00:00,49.6713134192,50.4675574564,49.6400004514,50.0470690322,1746772,55.52,0.0,56.41,55.485,55.94,1.0,1746772
ADI,2015-01-02 00:00:00+00:00,49.6892065436,50.3244124609,49.1792524974,49.8144584146,1329619,55.54,0.0,56.25,54.97,55.68,1.0,1329619
ADI,2015-01-05 00:00:00+00:00,48.7811304788,49.6086874837,48.7587640732,49.5639546726,1445196,54.525,0.0,55.45,54.5,55.4,1.0,1445196
ADI,2015-01-06 00:00:00+00:00,47.6404437963,49.0271609397,47.6046575475,48.9645350042,1708897,53.25,0.0,54.8,53.21,54.73,1.0,1708897
ADI,2015-01-07 00:00:00+00:00,48.1414512804,48.4277412713,47.4436194276,47.8551612895,1722997,53.81,0.0,54.13,53.03,53.49,1.0,1722997
ADI,2015-01-08 00:00:00+00:00,48.9913746908,49.3671303039,48.3830084602,48.6603518889,1882724,54.76,0.0,55.18,54.08,54.39,1.0,1882724
ADI,2015-01-09 00:00:00+00:00,48.955588442,49.2418784329,48.4187947091,49.1971456218,1702784,54.72,0.0,55.04,54.12,54.99,1.0,1702784
ADI,2015-01-12 00:00:00+00:00,48.4635275201,48.9824281286,48.1861840915,48.8661228198,1250863,54.17,0.0,54.75,53.86,54.62,1.0,1250863
ADI,2015-01-13 00:00:00+00:00,47.9088406628,49.6713134192,47.6583369208,48.9287487553,2340144,53.55,0.0,55.52,53.27,54.69,1.0,2340144
ADI,2015-01-14 00:00:00+00:00,47.8730544139,48.7229778244,47.3541538054,47.792535354,2524323,53.51,0.0,54.46,52.93,53.42,1.0,2524323
ADI,2015-01-15 00:00:00+00:00,47.1752225611,48.4903672068,47.1215431878,48.043039096,1990309,52.73,0.0,54.2,52.67,53.7,1.0,1990309
ADI,2015-01-16 00:00:00+00:00,48.0340925338,48.0922451882,46.7100013259,46.9336653813,1997953,53.69,0.0,53.755,52.21,52.46,1.0,1997953
ADI,2015-01-20 00:00:00+00:00,48.6603518889,48.9287487553,48.0161994094,48.4814206446,1790554,54.39,0.0,54.69,53.67,54.19,1.0,1790554
ADI,2015-01-21 00:00:00+00:00,48.830336571,49.0897868752,48.1486085302,48.5261534556,1585106,54.58,0.0,54.87,53.818,54.24,1.0,1585106
ADI,2015-01-22 00:00:00+00:00,48.9824281286,48.9913746908,47.6136041097,48.9466418798,2555727,54.75,0.0,54.76,53.22,54.71,1.0,2555727
ADI,2015-01-23 00:00:00+00:00,48.7677106354,49.1703059351,48.5440465801,49.080840313,1940277,54.51,0.0,54.96,54.26,54.86,1.0,1940277
ADI,2015-01-26 00:00:00+00:00,48.9019090687,49.1434662485,48.3293290869,48.8929625065,1341127,54.66,0.0,54.93,54.02,54.65,1.0,1341127
ADI,2015-01-27 00:00:00+00:00,47.7478025429,48.4098481468,47.5107186442,48.2398634647,1963314,53.37,0.0,54.11,53.105,53.92,1.0,1963314
ADI,2015-01-28 00:00:00+00:00,47.3496805243,48.5977259534,47.2646881833,48.1951306537,1687796,52.925,0.0,54.32,52.83,53.87,1.0,1687796
ADI,2015-01-29 00:00:00+00:00,47.6225506719,47.9625200361,46.9068256947,47.4078331787,1568515,53.23,0.0,53.61,52.43,52.99,1.0,1568515
ADI,2015-01-30 00:00:00+00:00,46.6160624227,47.7388559807,46.5668563305,47.2557416211,1928787,52.105,0.0,53.36,52.05,52.82,1.0,1928787
ADI,2015-02-02 00:00:00+00:00,46.7860471048,46.9426119435,45.8869176021,46.6115891416,2536001,52.295,0.0,52.47,51.29,52.1,1.0,2536001
ADI,2015-02-03 00:00:00+00:00,48.2845962758,48.3472222113,47.0320775657,47.0499706901,2214496,53.97,0.0,54.04,52.57,52.59,1.0,2214496
ADI,2015-02-04 00:00:00+00:00,48.1146115937,48.4456343957,47.8193750406,47.9893597227,1466507,53.78,0.0,54.15,53.45,53.64,1.0,1466507
ADI,2015-02-05 00:00:00+00:00,49.1613593729,49.2150387462,47.8641078517,48.1325047182,2207611,54.95,0.0,55.01,53.5,53.8,1.0,2207611
ADI,2015-02-06 00:00:00+00:00,49.2105654651,50.0023362212,49.0361075019,49.0897868752,1917791,55.005,0.0,55.89,54.81,54.87,1.0,1917791
ADI,2015-02-09 00:00:00+00:00,48.8079701654,49.3045043684,48.6692984511,48.9466418798,1436564,54.555,0.0,55.11,54.4,54.71,1.0,1436564
ADI,2015-02-10 00:00:00+00:00,49.6892065436,49.7428859169,48.6603518889,48.9824281286,1253540,55.54,0.0,55.6,54.39,54.75,1.0,1253540
ADI,2015-02-11 00:00:00+00:00,49.7607790413,50.1007484055,49.4208096772,49.6802599814,909107,55.62,0.0,56.0,55.24,55.53,1.0,909107
ADI,2015-02-12 00:00:00+00:00,50.7404276039,50.7538474472,50.0603994099,50.4228246453,1687354,56.715,0.0,56.73,55.9549,56.36,1.0,1687354
ADI,2015-02-13 00:00:00+00:00,51.0401374381,51.2101221202,50.5480765163,50.8522596316,1404801,57.05,0.0,57.24,56.5,56.84,1.0,1404801
ADI,2015-02-17 00:00:00+00:00,52.614732388,52.6594651991,50.4675574564,50.5480765163,5685078,58.81,0.0,58.86,56.41,56.5,1.0,5685078
ADI,2015-02-18 00:00:00+00:00,52.2300302128,52.5431598903,51.0848702492,52.2479233372,4095264,58.38,0.0,58.73,57.1,58.4,1.0,4095264
ADI,2015-02-19 00:00:00+00:00,52.4715873926,52.489480517,52.0421524062,52.2568698994,1837943,58.65,0.0,58.67,58.17,58.41,1.0,1837943
ADI,2015-02-20 00:00:00+00:00,52.9010223789,52.9099689411,52.0511884341,52.4447477059,1420171,59.13,0.0,59.14,58.1801,58.62,1.0,1420171
ADI,2015-02-23 00:00:00+00:00,52.7668239457,52.7757705079,52.238976775,52.739984259,1029469,58.98,0.0,58.99,58.39,58.95,1.0,1029469
ADI,2015-02-24 00:00:00+00:00,53.3304573652,53.3662436141,51.7290227287,52.695251448,1862750,59.61,0.0,59.65,57.82,58.9,1.0,1862750
ADI,2015-02-25 00:00:00+00:00,53.1336329965,53.4939220828,52.9624956805,53.4218642655,1345105,58.99,0.4,59.39,58.8,59.31,1.0,1345105
ADI,2015-02-26 00:00:00+00:00,53.0345534978,53.3407992211,52.7733439102,53.1966835866,1671648,58.88,0.0,59.22,58.59,59.06,1.0,1671648
ADI,2015-02-27 00:00:00+00:00,52.7283077745,53.1786691323,52.701286093,53.1426402237,1198168,58.54,0.0,59.04,58.51,59.0,1.0,1198168
ADI,2015-03-02 00:00:00+00:00,53.8407003283,53.8452039419,52.7283077745,52.9715029077,1853956,59.775,0.0,59.78,58.54,58.81,1.0,1853956
ADI,2015-03-03 00:00:00+00:00,52.9084523176,53.6830738531,52.6382355029,53.6290304901,1499786,58.74,0.0,59.6,58.44,59.54,1.0,1499786
ADI,2015-03-04 00:00:00+00:00,52.6022065943,52.8904378633,52.1923777586,52.5391560042,1037675,58.4,0.0,58.72,57.945,58.33,1.0,1037675
ADI,2015-03-05 00:00:00+00:00,52.64724273,53.0255462706,52.4040475968,52.7463222288,985040,58.45,0.0,58.87,58.18,58.56,1.0,985040
ADI,2015-03-06 00:00:00+00:00,52.1788669179,52.7553294559,51.7465200144,52.5031270955,1584075,57.93,0.0,58.57,57.45,58.29,1.0,1584075
ADI,2015-03-09 00:00:00+00:00,52.6562499572,52.7733439102,52.2148958265,52.2148958265,1313334,58.46,0.0,58.59,57.97,57.97,1.0,1313334
ADI,2015-03-10 00:00:00+00:00,51.5213393355,52.3409970067,51.5213393355,52.0797874192,1381698,57.2,0.0,58.11,57.2,57.82,1.0,1381698
ADI,2015-03-11 00:00:00+00:00,51.6024043799,52.1428380093,51.4312670639,51.7194983329,1412939,57.29,0.0,57.89,57.1,57.42,1.0,1412939
ADI,2015-03-12 00:00:00+00:00,51.8005633773,51.8320886724,51.0529635233,51.1700574764,1010721,57.51,0.0,57.545,56.68,56.81,1.0,1010721
ADI,2015-03-13 00:00:00+00:00,51.8185778316,51.9717006933,51.1610502492,51.6204188342,1276318,57.53,0.0,57.7,56.8,57.31,1.0,1276318
ADI,2015-03-16 00:00:00+00:00,52.9579920669,52.989517362,51.9266645575,52.070780192,1367524,58.795,0.0,58.83,57.65,57.81,1.0,1367524
ADI,2015-03-17 00:00:00+00:00,52.9264667719,52.9624956805,52.3139753253,52.6202210486,1845619,58.76,0.0,58.8,58.08,58.42,1.0,1845619
ADI,2015-03-18 00:00:00+00:00,53.7461244431,53.9442834406,52.5481632313,52.7373150016,3023227,59.67,0.0,59.89,58.34,58.55,1.0,3023227
ADI,2015-03-19 00:00:00+00:00,54.0433629393,54.1514496652,53.2417197224,53.5299509914,2724626,60.0,0.0,60.12,59.11,59.43,1.0,2724626
ADI,2015-03-20 00:00:00+00:00,55.0071362451,55.232316924,53.9983268035,54.3856375713,4481028,61.07,0.0,61.32,59.95,60.38,1.0,4481028
