symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ADP,2014-10-02 00:00:00+00:00,64.8589219611,64.9752207177,63.9732621991,64.1521833631,3007958,72.5,0.0,72.63,71.51,71.71,1.0,3007958
ADP,2014-10-03 00:00:00+00:00,66.9612456384,67.1312207442,65.7982580722,65.8072041304,4475419,74.85,0.0,75.04,73.55,73.56,1.0,4475419
ADP,2014-10-06 00:00:00+00:00,66.6660257178,67.1312207442,66.4602663791,67.0596522786,2919471,74.52,0.0,75.04,74.29,74.96,1.0,2919471
ADP,2014-10-07 00:00:00+00:00,65.7714198976,66.6481336014,65.7356356648,66.5049966701,2233272,73.52,0.0,74.5,73.48,74.34,1.0,2233272
ADP,2014-10-08 00:00:00+00:00,66.898623231,67.077544395,65.5388223844,65.7535277812,2078845,74.78,0.0,74.98,73.26,73.5,1.0,2078845
ADP,2014-10-09 00:00:00+00:00,65.476199977,67.0506167599,65.4493618024,66.9165153474,1972846,73.19,0.0,74.9499,73.16,74.8,1.0,1972846
ADP,2014-10-10 00:00:00+00:00,65.0020588923,66.0398016437,64.9931128341,65.5298763262,2395942,72.66,0.0,73.82,72.65,73.25,1.0,2395942
ADP,2014-10-13 00:00:00+00:00,64.36688876,65.4135775696,64.3489966436,65.1451958235,2058736,71.95,0.0,73.12,71.93,72.82,1.0,2058736
ADP,2014-10-14 00:00:00+00:00,64.9841667759,65.2883327547,64.635270506,64.9125983103,2088129,72.64,0.0,72.98,72.25,72.56,1.0,2088129
ADP,2014-10-15 00:00:00+00:00,64.2148057706,64.7157850298,63.0679211091,64.411619051,2482932,71.78,0.0,72.34,70.498,72.0,1.0,2482932
ADP,2014-10-16 00:00:00+00:00,64.0806148975,64.545809924,63.2396854266,63.3291460086,2179303,71.63,0.0,72.15,70.69,70.79,1.0,2179303
ADP,2014-10-17 00:00:00+00:00,65.0199510087,65.2883327547,63.9732621991,64.8678680193,1700389,72.68,0.0,72.98,71.51,72.51,1.0,1700389
ADP,2014-10-20 00:00:00+00:00,65.6193369082,65.655121141,64.724731088,64.8947061939,2125360,73.35,0.0,73.39,72.35,72.54,1.0,2125360
ADP,2014-10-21 00:00:00+00:00,66.9209883765,66.9970298712,65.5298763262,65.8698265378,1565250,74.805,0.0,74.89,73.25,73.63,1.0,1565250
ADP,2014-10-22 00:00:00+00:00,66.7465402416,67.2564655591,66.7018099506,67.1043825696,1416149,74.61,0.0,75.18,74.56,75.01,1.0,1416149
ADP,2014-10-23 00:00:00+00:00,67.4890630723,68.1689634956,67.2922497919,67.7663908766,1462300,75.44,0.0,76.2,75.22,75.75,1.0,1462300
ADP,2014-10-24 00:00:00+00:00,68.1689634956,68.2136043261,67.5159012469,67.7932290512,1131834,76.2,0.0,76.2499,75.47,75.78,1.0,1131834
ADP,2014-10-27 00:00:00+00:00,68.4105070671,68.5267163631,67.9453120406,68.2136937866,1103391,76.47,0.0,76.5999,75.95,76.25,1.0,1103391
ADP,2014-10-28 00:00:00+00:00,69.117245665,69.1709220142,68.186855612,68.8309718025,2314789,77.26,0.0,77.32,76.22,76.94,1.0,2314789
ADP,2014-10-29 00:00:00+00:00,69.7076855063,69.8687145539,68.8220257443,68.9651626756,1357079,77.92,0.0,78.1,76.93,77.09,1.0,1357079
ADP,2014-10-30 00:00:00+00:00,70.629129501,71.0227560619,69.1530298978,69.6808473317,2113807,78.95,0.0,79.39,77.3,77.89,1.0,2113807
ADP,2014-10-31 00:00:00+00:00,73.1608639721,73.3487311943,71.4432207974,72.1141751625,3712308,81.78,0.0,81.99,79.86,80.61,1.0,3712308
ADP,2014-11-03 00:00:00+00:00,73.1250797393,73.778141988,72.892482226,72.9103743424,2707632,81.74,0.0,82.47,81.48,81.5,1.0,2707632
ADP,2014-11-04 00:00:00+00:00,74.3864739457,74.5743411679,73.3576772525,73.6707892896,2508301,83.15,0.0,83.36,82.0,82.35,1.0,2508301
ADP,2014-11-05 00:00:00+00:00,75.4152706389,75.4868391045,74.5475029933,74.9500756124,2325867,84.3,0.0,84.38,83.33,83.78,1.0,2325867
ADP,2014-11-06 00:00:00+00:00,75.8133702288,76.130955295,75.2810797658,75.7373287341,2126487,84.745,0.0,85.1,84.15,84.66,1.0,2126487
ADP,2014-11-07 00:00:00+00:00,75.4823660754,76.0236025966,74.8606150304,75.9251959563,2441261,84.375,0.0,84.98,83.68,84.87,1.0,2441261
ADP,2014-11-10 00:00:00+00:00,76.1488474114,76.291894882,75.200565242,75.4242166971,1611442,85.12,0.0,85.2799,84.06,84.31,1.0,1611442
ADP,2014-11-11 00:00:00+00:00,75.996764422,76.3277685754,75.7194366177,76.1220092368,1267082,84.95,0.0,85.32,84.64,85.09,1.0,1267082
ADP,2014-11-12 00:00:00+00:00,76.2248889061,76.5245818559,75.7105800201,75.8357353743,1516225,85.205,0.0,85.54,84.6301,84.77,1.0,1516225
ADP,2014-11-13 00:00:00+00:00,76.4082830992,76.8376938929,76.0236025966,76.4261752156,1451594,85.41,0.0,85.89,84.98,85.43,1.0,1451594
ADP,2014-11-14 00:00:00+00:00,75.8178432579,76.513846586,75.5584075701,76.4082830992,1853091,84.75,0.0,85.528,84.46,85.41,1.0,1853091
ADP,2014-11-17 00:00:00+00:00,75.8983577817,76.1130631786,75.6299760357,75.7731129669,1531819,84.84,0.0,85.08,84.54,84.7,1.0,1531819
ADP,2014-11-18 00:00:00+00:00,75.8178432579,76.1488474114,75.5494615119,75.9073038399,1807257,84.75,0.0,85.12,84.45,84.85,1.0,1807257
ADP,2014-11-19 00:00:00+00:00,75.3884324643,75.8536274907,75.200565242,75.8536274907,2362385,84.27,0.0,84.79,84.06,84.79,1.0,2362385
ADP,2014-11-20 00:00:00+00:00,75.2497685621,75.5226233373,74.7890465648,75.3973785225,2507416,84.115,0.0,84.42,83.6,84.28,1.0,2507416
ADP,2014-11-21 00:00:00+00:00,75.2721337076,76.2383079934,74.976913787,76.2383079934,2692005,84.14,0.0,85.22,83.81,85.22,1.0,2692005
ADP,2014-11-24 00:00:00+00:00,75.8491544616,75.9694789444,75.5315693955,75.6031378611,2295447,84.785,0.0,84.9195,84.43,84.51,1.0,2295447
ADP,2014-11-25 00:00:00+00:00,75.6120839193,76.1005386971,75.5852457447,75.7641669087,1852610,84.52,0.0,85.066,84.49,84.69,1.0,1852610
ADP,2014-11-26 00:00:00+00:00,75.9162498981,76.0057104802,75.4689469881,75.7910050833,1997058,84.86,0.0,84.96,84.36,84.72,1.0,1997058
ADP,2014-11-28 00:00:00+00:00,76.6140424379,77.1686980464,75.8715196071,76.2740922262,1267266,85.64,0.0,86.26,84.81,85.26,1.0,1267266
ADP,2014-12-01 00:00:00+00:00,76.9987229405,77.3834034432,76.041494713,76.2025237606,2054985,86.07,0.0,86.5,85.0,85.18,1.0,2054985
ADP,2014-12-02 00:00:00+00:00,76.7571793691,77.419187676,76.5961503215,77.3386731522,1676123,85.8,0.0,86.54,85.62,86.45,1.0,1676123
ADP,2014-12-03 00:00:00+00:00,76.8824241839,76.9361005331,76.0325486548,76.4798515648,1878416,85.94,0.0,86.0,84.99,85.49,1.0,1878416
ADP,2014-12-04 00:00:00+00:00,76.9853038532,77.3118349776,76.6945569617,76.9897768823,1553066,86.055,0.0,86.42,85.73,86.06,1.0,1553066
ADP,2014-12-05 00:00:00+00:00,76.7750714855,76.8645320675,76.1399013532,76.7482333109,1792105,85.82,0.0,85.92,85.11,85.79,1.0,1792105
ADP,2014-12-08 00:00:00+00:00,76.5693121469,76.9450465913,76.086225004,76.3635528082,1674151,85.59,0.0,86.01,85.05,85.36,1.0,1674151
ADP,2014-12-09 00:00:00+00:00,76.2696191971,76.5335279141,75.4689469881,76.2025237606,1943754,85.255,0.0,85.55,84.36,85.18,1.0,1943754
ADP,2014-12-10 00:00:00+00:00,75.7015445013,76.9702854706,75.5665720578,76.0884655061,2024896,84.13,0.49,85.54,83.98,84.56,1.0,2024896
ADP,2014-12-11 00:00:00+00:00,76.1244581577,76.9972799593,75.9714893884,76.9612873077,1976754,84.6,0.0,85.57,84.43,85.53,1.0,1976754
ADP,2014-12-12 00:00:00+00:00,74.2348439482,76.1694489723,74.2348439482,75.1076657497,2415621,82.5,0.0,84.65,82.5,83.47,1.0,2415621
ADP,2014-12-15 00:00:00+00:00,74.4867925094,75.0626749352,73.819128822,74.5137869981,1848890,82.78,0.0,83.42,82.038,82.81,1.0,1848890
ADP,2014-12-16 00:00:00+00:00,74.6037686272,75.6475555239,74.1718568078,74.4777943465,1989960,82.91,0.0,84.07,82.43,82.77,1.0,1989960
ADP,2014-12-17 00:00:00+00:00,76.2009425424,76.3583204116,74.342821903,74.342821903,1906227,84.685,0.0,84.8599,82.62,82.62,1.0,1906227
ADP,2014-12-18 00:00:00+00:00,77.0962597512,77.3302119867,76.5113791626,77.2672248464,3535524,85.68,0.0,85.94,85.03,85.87,1.0,3535524
ADP,2014-12-19 00:00:00+00:00,76.2234379497,77.5191734077,76.1784471352,76.8893020045,4230483,84.71,0.0,86.15,84.66,85.45,1.0,4230483
ADP,2014-12-22 00:00:00+00:00,77.1142560771,77.1322524029,76.1334563206,76.2324361126,1672130,85.7,0.0,85.72,84.61,84.72,1.0,1672130
ADP,2014-12-23 00:00:00+00:00,76.6373534432,77.8071146206,76.6103589545,77.6631440141,2343955,85.17,0.0,86.47,85.14,86.31,1.0,2343955
ADP,2014-12-24 00:00:00+00:00,76.7003405835,77.0310230702,76.5113791626,76.6013607916,1060288,85.24,0.0,85.6075,85.03,85.13,1.0,1060288
ADP,2014-12-26 00:00:00+00:00,76.6643479319,77.303217498,76.6014507732,76.9972799593,1006527,85.2,0.0,85.91,85.1301,85.57,1.0,1006527
ADP,2014-12-29 00:00:00+00:00,76.3674085561,76.7003405835,76.3224177416,76.5023809997,1242621,84.87,0.0,85.24,84.82,85.02,1.0,1242621
ADP,2014-12-30 00:00:00+00:00,75.6835481755,76.4034012077,75.5935665465,76.2504324384,1427678,84.11,0.0,84.91,84.01,84.74,1.0,1427678
ADP,2014-12-31 00:00:00+00:00,75.0176841207,76.3674085561,75.0086859578,75.9264985739,1805520,83.37,0.0,84.87,83.36,84.38,1.0,1805520
ADP,2015-01-02 00:00:00+00:00,74.9456988175,75.7465353158,74.252840274,74.6667557675,1872279,83.29,0.0,84.18,82.52,82.98,1.0,1872279
ADP,2015-01-05 00:00:00+00:00,74.8917098401,75.9804875513,74.6397612788,74.9097061659,3273231,83.23,0.0,84.44,82.95,83.25,1.0,3273231
ADP,2015-01-06 00:00:00+00:00,74.2663375183,75.3506161481,73.7489431514,74.9546969804,2569709,82.535,0.0,83.74,81.96,83.3,1.0,2569709
ADP,2015-01-07 00:00:00+00:00,74.9187043288,74.9726933062,73.604972545,73.9828953869,2078972,83.26,0.0,83.32,81.8,82.22,1.0,2078972
ADP,2015-01-08 00:00:00+00:00,76.6373534432,76.6463516061,75.2588348865,75.548575732,3358749,85.17,0.0,85.18,83.638,83.96,1.0,3358749
ADP,2015-01-09 00:00:00+00:00,76.0884655061,76.655349769,75.6835481755,76.5293754884,1725240,84.56,0.0,85.19,84.11,85.05,1.0,1725240
ADP,2015-01-12 00:00:00+00:00,75.7150417457,76.5203773255,75.4136032884,76.2324361126,1326100,84.145,0.0,85.04,83.81,84.72,1.0,1326100
ADP,2015-01-13 00:00:00+00:00,75.5665720578,76.934292819,74.9456988175,76.3044214158,1924069,83.98,0.0,85.5,83.29,84.8,1.0,1924069
ADP,2015-01-14 00:00:00+00:00,75.3461170666,75.5755702207,74.6577576046,74.7567373965,1792204,83.735,0.0,83.99,82.97,83.08,1.0,1792204
ADP,2015-01-15 00:00:00+00:00,75.3146234965,75.8905059223,74.9816914691,75.4675922658,1434838,83.7,0.0,84.34,83.33,83.87,1.0,1434838
ADP,2015-01-16 00:00:00+00:00,76.097463669,76.1604508094,74.8287226997,75.1886492159,2261450,84.57,0.0,84.64,83.16,83.56,1.0,2261450
