symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ADSK,2014-10-16 00:00:00+00:00,49.89,50.24,49.28,49.34,2944470,49.89,0.0,50.24,49.28,49.34,1.0,2944470
ADSK,2014-10-17 00:00:00+00:00,50.79,51.21,50.14,50.35,2390484,50.79,0.0,51.21,50.14,50.35,1.0,2390484
ADSK,2014-10-20 00:00:00+00:00,51.82,51.84,50.15,50.74,2905272,51.82,0.0,51.84,50.15,50.74,1.0,2905272
ADSK,2014-10-21 00:00:00+00:00,52.8,53.105,52.06,52.44,1784404,52.8,0.0,53.105,52.06,52.44,1.0,1784404
ADSK,2014-10-22 00:00:00+00:00,52.25,53.11,52.08,52.84,2794322,52.25,0.0,53.11,52.08,52.84,1.0,2794322
ADSK,2014-10-23 00:00:00+00:00,53.55,54.15,52.46,52.63,2292038,53.55,0.0,54.15,52.46,52.63,1.0,2292038
ADSK,2014-10-24 00:00:00+00:00,54.45,54.49,53.53,53.8,1882087,54.45,0.0,54.49,53.53,53.8,1.0,1882087
ADSK,2014-10-27 00:00:00+00:00,54.77,54.97,54.07,54.25,1235968,54.77,0.0,54.97,54.07,54.25,1.0,1235968
ADSK,2014-10-28 00:00:00+00:00,56.1,56.1,54.85,54.97,2073353,56.1,0.0,56.1,54.85,54.97,1.0,2073353
ADSK,2014-10-29 00:00:00+00:00,55.96,56.7,55.58,56.01,1205254,55.96,0.0,56.7,55.58,56.01,1.0,1205254
ADSK,2014-10-30 00:00:00+00:00,57.37,57.477,55.81,55.87,1626996,57.37,0.0,57.477,55.81,55.87,1.0,1626996
ADSK,2014-10-31 00:00:00+00:00,57.54,58.74,57.47,58.51,2370288,57.54,0.0,58.74,57.47,58.51,1.0,2370288
ADSK,2014-11-03 00:00:00+00:00,57.77,58.37,57.37,57.77,2541435,57.77,0.0,58.37,57.37,57.77,1.0,2541435
ADSK,2014-11-04 00:00:00+00:00,58.24,58.37,57.53,57.58,2154083,58.24,0.0,58.37,57.53,57.58,1.0,2154083
ADSK,2014-11-05 00:00:00+00:00,58.32,58.7,57.74,58.46,1748494,58.32,0.0,58.7,57.74,58.46,1.0,1748494
ADSK,2014-11-06 00:00:00+00:00,59.2,59.33,58.45,58.6,1809234,59.2,0.0,59.33,58.45,58.6,1.0,1809234
ADSK,2014-11-07 00:00:00+00:00,59.42,59.54,58.55,59.29,1700746,59.42,0.0,59.54,58.55,59.29,1.0,1700746
ADSK,2014-11-10 00:00:00+00:00,59.4,59.79,59.06,59.32,1773166,59.4,0.0,59.79,59.06,59.32,1.0,1773166
ADSK,2014-11-11 00:00:00+00:00,58.99,59.67,58.83,59.67,1762144,58.99,0.0,59.67,58.83,59.67,1.0,1762144
ADSK,2014-11-12 00:00:00+00:00,58.98,59.47,58.83,58.88,1674001,58.98,0.0,59.47,58.83,58.88,1.0,1674001
ADSK,2014-11-13 00:00:00+00:00,59.31,59.66,58.91,59.35,1779833,59.31,0.0,59.66,58.91,59.35,1.0,1779833
ADSK,2014-11-14 00:00:00+00:00,59.66,59.89,59.26,59.37,1329724,59.66,0.0,59.89,59.26,59.37,1.0,1329724
