symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ALGN,2014-10-02 00:00:00+00:00,48.8,50.11,47.61,49.94,2388494,48.8,0.0,50.11,47.61,49.94,1.0,2388494
ALGN,2014-10-03 00:00:00+00:00,48.49,49.053,48.02,48.95,1741518,48.49,0.0,49.053,48.02,48.95,1.0,1741518
ALGN,2014-10-06 00:00:00+00:00,47.86,48.93,47.83,48.76,1292677,47.86,0.0,48.93,47.83,48.76,1.0,1292677
ALGN,2014-10-07 00:00:00+00:00,47.025,47.86,47.02,47.64,1019562,47.025,0.0,47.86,47.02,47.64,1.0,1019562
ALGN,2014-10-08 00:00:00+00:00,47.79,47.87,46.5,46.92,816587,47.79,0.0,47.87,46.5,46.92,1.0,816587
ALGN,2014-10-09 00:00:00+00:00,46.63,47.77,46.61,47.58,917934,46.63,0.0,47.77,46.61,47.58,1.0,917934
ALGN,2014-10-10 00:00:00+00:00,45.215,47.02,45.19,46.56,1003061,45.215,0.0,47.02,45.19,46.56,1.0,1003061
ALGN,2014-10-13 00:00:00+00:00,44.955,46.96,44.76,45.11,884141,44.955,0.0,46.96,44.76,45.11,1.0,884141
ALGN,2014-10-14 00:00:00+00:00,44.37,45.87,44.16,45.21,1132215,44.37,0.0,45.87,44.16,45.21,1.0,1132215
ALGN,2014-10-15 00:00:00+00:00,44.56,44.95,43.27,43.68,967711,44.56,0.0,44.95,43.27,43.68,1.0,967711
ALGN,2014-10-16 00:00:00+00:00,45.16,45.43,44.026,44.12,992596,45.16,0.0,45.43,44.026,44.12,1.0,992596
ALGN,2014-10-17 00:00:00+00:00,45.38,46.03,45.12,45.8,649651,45.38,0.0,46.03,45.12,45.8,1.0,649651
ALGN,2014-10-20 00:00:00+00:00,47.59,48.4795,46.82,48.32,926749,47.59,0.0,48.4795,46.82,48.32,1.0,926749
ALGN,2014-10-21 00:00:00+00:00,48.8,48.9,47.87,47.87,916254,48.8,0.0,48.9,47.87,47.87,1.0,916254
ALGN,2014-10-22 00:00:00+00:00,47.98,49.021,47.94,48.98,629297,47.98,0.0,49.021,47.94,48.98,1.0,629297
ALGN,2014-10-23 00:00:00+00:00,49.04,49.61,48.29,48.6,915173,49.04,0.0,49.61,48.29,48.6,1.0,915173
ALGN,2014-10-24 00:00:00+00:00,51.5,53.23,50.56,51.92,2244299,51.5,0.0,53.23,50.56,51.92,1.0,2244299
ALGN,2014-10-27 00:00:00+00:00,51.32,51.47,50.79,51.02,700528,51.32,0.0,51.47,50.79,51.02,1.0,700528
ALGN,2014-10-28 00:00:00+00:00,52.21,52.83,50.941,51.32,661579,52.21,0.0,52.83,50.941,51.32,1.0,661579
ALGN,2014-10-29 00:00:00+00:00,52.18,52.45,51.65,52.1,568734,52.18,0.0,52.45,51.65,52.1,1.0,568734
ALGN,2014-10-30 00:00:00+00:00,51.95,52.3084,51.27,51.9,487349,51.95,0.0,52.3084,51.27,51.9,1.0,487349
ALGN,2014-10-31 00:00:00+00:00,52.62,52.88,52.06,52.49,577483,52.62,0.0,52.88,52.06,52.49,1.0,577483
ALGN,2014-11-03 00:00:00+00:00,51.81,53.05,51.79,52.77,674058,51.81,0.0,53.05,51.79,52.77,1.0,674058
ALGN,2014-11-04 00:00:00+00:00,52.23,52.42,51.76,51.95,506764,52.23,0.0,52.42,51.76,51.95,1.0,506764
ALGN,2014-11-05 00:00:00+00:00,51.84,52.98,51.71,52.57,351725,51.84,0.0,52.98,51.71,52.57,1.0,351725
ALGN,2014-11-06 00:00:00+00:00,52.63,52.7,51.64,51.81,412152,52.63,0.0,52.7,51.64,51.81,1.0,412152
ALGN,2014-11-07 00:00:00+00:00,52.39,52.8,52.14,52.77,610986,52.39,0.0,52.8,52.14,52.77,1.0,610986
ALGN,2014-11-10 00:00:00+00:00,52.37,53.21,52.01,52.63,585786,52.37,0.0,53.21,52.01,52.63,1.0,585786
ALGN,2014-11-11 00:00:00+00:00,53.57,53.6,52.01,52.28,534492,53.57,0.0,53.6,52.01,52.28,1.0,534492
ALGN,2014-11-12 00:00:00+00:00,54.86,54.91,53.11,53.11,919959,54.86,0.0,54.91,53.11,53.11,1.0,919959
ALGN,2014-11-13 00:00:00+00:00,54.71,54.95,54.27,54.81,1041953,54.71,0.0,54.95,54.27,54.81,1.0,1041953
ALGN,2014-11-14 00:00:00+00:00,54.27,54.92,54.08,54.62,319664,54.27,0.0,54.92,54.08,54.62,1.0,319664
ALGN,2014-11-17 00:00:00+00:00,54.25,54.905,54.07,54.37,402744,54.25,0.0,54.905,54.07,54.37,1.0,402744
ALGN,2014-11-18 00:00:00+00:00,54.76,55.11,54.1115,54.4,395707,54.76,0.0,55.11,54.1115,54.4,1.0,395707
