symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ALXN,2014-10-02 00:00:00+00:00,167.86,169.49,164.68,167.23,1051373,167.86,0.0,169.49,164.68,167.23,1.0,1051373
ALXN,2014-10-03 00:00:00+00:00,177.98,178.6,168.49,169.63,2276555,177.98,0.0,178.6,168.49,169.63,1.0,2276555
ALXN,2014-10-06 00:00:00+00:00,173.66,179.5899,173.02,178.67,1289069,173.66,0.0,179.5899,173.02,178.67,1.0,1289069
ALXN,2014-10-07 00:00:00+00:00,167.96,172.99,167.93,172.99,1224421,167.96,0.0,172.99,167.93,172.99,1.0,1224421
ALXN,2014-10-08 00:00:00+00:00,176.42,177.38,165.91,167.71,1301029,176.42,0.0,177.38,165.91,167.71,1.0,1301029
ALXN,2014-10-09 00:00:00+00:00,170.3,175.79,169.75,175.41,1372774,170.3,0.0,175.79,169.75,175.41,1.0,1372774
ALXN,2014-10-10 00:00:00+00:00,167.8,173.58,167.75,170.65,1211408,167.8,0.0,173.58,167.75,170.65,1.0,1211408
ALXN,2014-10-13 00:00:00+00:00,162.77,168.21,161.106,167.67,1524845,162.77,0.0,168.21,161.106,167.67,1.0,1524845
ALXN,2014-10-14 00:00:00+00:00,159.46,166.17,159.23,163.74,1437727,159.46,0.0,166.17,159.23,163.74,1.0,1437727
ALXN,2014-10-15 00:00:00+00:00,160.73,161.7,155.476,157.85,1827200,160.73,0.0,161.7,155.476,157.85,1.0,1827200
ALXN,2014-10-16 00:00:00+00:00,163.25,166.25,155.01,155.5,1796176,163.25,0.0,166.25,155.01,155.5,1.0,1796176
ALXN,2014-10-17 00:00:00+00:00,164.75,168.96,164.03,164.85,1546085,164.75,0.0,168.96,164.03,164.85,1.0,1546085
ALXN,2014-10-20 00:00:00+00:00,168.2,169.58,164.27,164.49,1179649,168.2,0.0,169.58,164.27,164.49,1.0,1179649
ALXN,2014-10-21 00:00:00+00:00,174.475,174.5,167.97,169.92,1271754,174.475,0.0,174.5,167.97,169.92,1.0,1271754
ALXN,2014-10-22 00:00:00+00:00,173.27,175.09,170.22,175.0,1420191,173.27,0.0,175.09,170.22,175.0,1.0,1420191
ALXN,2014-10-23 00:00:00+00:00,185.92,186.47,177.72,179.74,2389026,185.92,0.0,186.47,177.72,179.74,1.0,2389026
ALXN,2014-10-24 00:00:00+00:00,190.29,190.85,185.01,185.5,1812764,190.29,0.0,190.85,185.01,185.5,1.0,1812764
ALXN,2014-10-27 00:00:00+00:00,190.55,191.0,187.32,189.74,1217853,190.55,0.0,191.0,187.32,189.74,1.0,1217853
ALXN,2014-10-28 00:00:00+00:00,192.2,193.9,190.58,192.65,1060169,192.2,0.0,193.9,190.58,192.65,1.0,1060169
ALXN,2014-10-29 00:00:00+00:00,190.49,193.39,187.85,192.4,987201,190.49,0.0,193.39,187.85,192.4,1.0,987201
ALXN,2014-10-30 00:00:00+00:00,192.93,194.2,189.15,190.21,1146377,192.93,0.0,194.2,189.15,190.21,1.0,1146377
ALXN,2014-10-31 00:00:00+00:00,191.36,197.23,190.3,197.23,1237877,191.36,0.0,197.23,190.3,197.23,1.0,1237877
ALXN,2014-11-03 00:00:00+00:00,191.04,193.746,189.5,192.01,914876,191.04,0.0,193.746,189.5,192.01,1.0,914876
ALXN,2014-11-04 00:00:00+00:00,191.3,193.19,189.26,191.4,612220,191.3,0.0,193.19,189.26,191.4,1.0,612220
ALXN,2014-11-05 00:00:00+00:00,189.89,197.64,188.54,193.01,1053225,189.89,0.0,197.64,188.54,193.01,1.0,1053225
ALXN,2014-11-06 00:00:00+00:00,193.14,195.95,190.53,191.42,1380964,193.14,0.0,195.95,190.53,191.42,1.0,1380964
ALXN,2014-11-07 00:00:00+00:00,193.81,195.26,190.6501,194.49,695553,193.81,0.0,195.26,190.6501,194.49,1.0,695553
ALXN,2014-11-10 00:00:00+00:00,195.8,195.84,191.34,194.55,754824,195.8,0.0,195.84,191.34,194.55,1.0,754824
ALXN,2014-11-11 00:00:00+00:00,194.92,197.0,193.265,195.32,762372,194.92,0.0,197.0,193.265,195.32,1.0,762372
