symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AMAT,2014-10-20 00:00:00+00:00,18.5069350574,18.5668728142,18.1196449367,18.1934144835,10231144,20.07,0.0,20.135,19.65,19.73,1.0,10231144
AMAT,2014-10-21 00:00:00+00:00,19.1616397854,19.1616397854,18.5253774441,18.5807046043,18140091,20.78,0.0,20.78,20.09,20.15,1.0,18140091
AMAT,2014-10-22 00:00:00+00:00,18.8942251782,19.3368424591,18.8204556314,19.2446305256,14909329,20.49,0.0,20.97,20.41,20.87,1.0,14909329
AMAT,2014-10-23 00:00:00+00:00,19.267683509,19.5397087129,18.9956583051,18.9956583051,19158545,20.895,0.0,21.19,20.6,20.6,1.0,19158545
AMAT,2014-10-24 00:00:00+00:00,19.3552848458,19.8532292868,19.2722941057,19.3552848458,19804212,20.99,0.0,21.53,20.9,20.99,1.0,19804212
AMAT,2014-10-27 00:00:00+00:00,19.4013908126,19.5765934863,19.1754715755,19.253851719,10460871,21.04,0.0,21.23,20.795,20.88,1.0,10460871
AMAT,2014-10-28 00:00:00+00:00,19.5904252763,19.595035873,19.3552848458,19.4936027461,10944348,21.245,0.0,21.25,20.99,21.14,1.0,10944348
AMAT,2014-10-29 00:00:00+00:00,19.8025127234,19.8347869001,19.4106120059,19.4106120059,11025296,21.475,0.0,21.51,21.05,21.05,1.0,11025296
AMAT,2014-10-30 00:00:00+00:00,19.6780266131,19.7886809334,19.3184000724,19.6964689998,13317895,21.34,0.0,21.46,20.95,21.36,1.0,13317895
AMAT,2014-10-31 00:00:00+00:00,20.3696161145,20.6093671417,20.0192107672,20.0192107672,18062928,22.09,0.0,22.35,21.71,21.71,1.0,18062928
AMAT,2014-11-03 00:00:00+00:00,20.4802704348,20.7108002686,20.3880585012,20.4618280481,11646149,22.21,0.0,22.46,22.11,22.19,1.0,11646149
AMAT,2014-11-04 00:00:00+00:00,20.3603949212,20.5475851462,20.1990240375,20.4157220813,12057951,22.08,0.0,22.283,21.905,22.14,1.0,12057951
AMAT,2014-11-05 00:00:00+00:00,20.8491181688,20.8767817489,20.2912359711,20.5448187882,10383782,22.61,0.0,22.64,22.005,22.28,1.0,10383782
AMAT,2014-11-06 00:00:00+00:00,20.8306757821,20.9782148758,20.6462519151,20.8214545888,11774263,22.59,0.0,22.75,22.39,22.58,1.0,11774263
AMAT,2014-11-07 00:00:00+00:00,20.6831366885,20.8860029423,20.4157220813,20.8860029423,8217350,22.43,0.0,22.65,22.14,22.65,1.0,8217350
AMAT,2014-11-10 00:00:00+00:00,20.8675605556,21.1718599362,20.618588335,20.6831366885,10653851,22.63,0.0,22.96,22.36,22.43,1.0,10653851
AMAT,2014-11-11 00:00:00+00:00,20.7845698154,21.0058784558,20.6656164211,20.9228877157,8119098,22.54,0.0,22.78,22.411,22.69,1.0,8119098
AMAT,2014-11-12 00:00:00+00:00,20.7384638486,20.9689936824,20.5724823683,20.8398969755,9910155,22.49,0.0,22.74,22.31,22.6,1.0,9910155
AMAT,2014-11-13 00:00:00+00:00,20.8583393622,21.1903023229,20.747685042,21.088869196,13873351,22.62,0.0,22.98,22.5,22.87,1.0,13873351
AMAT,2014-11-14 00:00:00+00:00,21.0427632292,21.1903023229,20.3511737278,20.4802704348,14877153,22.82,0.0,22.98,22.07,22.21,1.0,14877153
AMAT,2014-11-17 00:00:00+00:00,20.7292426553,21.0150996492,20.5355975949,20.9228877157,11374089,22.48,0.0,22.79,22.27,22.69,1.0,11374089
AMAT,2014-11-18 00:00:00+00:00,21.0058784558,21.1633299257,20.7002373672,20.8206414324,9718560,22.68,0.1,22.85,22.35,22.48,1.0,9718560
AMAT,2014-11-19 00:00:00+00:00,20.9225217953,21.070711414,20.8669506883,21.0429258605,9928981,22.59,0.0,22.75,22.53,22.72,1.0,9928981
AMAT,2014-11-20 00:00:00+00:00,20.9595692,21.0244021582,20.7187610695,20.7928558789,9402409,22.63,0.0,22.7,22.37,22.45,1.0,9402409
AMAT,2014-11-21 00:00:00+00:00,21.1679608513,21.2744721398,20.9595692,21.2281628839,9890312,22.855,0.0,22.97,22.63,22.92,1.0,9890312
