symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AMD,2014-10-02 00:00:00+00:00,3.39,3.44,3.28,3.37,27904965,3.39,0.0,3.44,3.28,3.37,1.0,27904965
AMD,2014-10-03 00:00:00+00:00,3.4,3.46,3.37,3.43,16754593,3.4,0.0,3.46,3.37,3.43,1.0,16754593
AMD,2014-10-06 00:00:00+00:00,3.36,3.44,3.3,3.415,17867784,3.36,0.0,3.44,3.3,3.415,1.0,17867784
AMD,2014-10-07 00:00:00+00:00,3.28,3.38,3.28,3.35,17720617,3.28,0.0,3.38,3.28,3.35,1.0,17720617
AMD,2014-10-08 00:00:00+00:00,3.28,3.3052,3.18,3.3,27846144,3.28,0.0,3.3052,3.18,3.3,1.0,27846144
AMD,2014-10-09 00:00:00+00:00,2.95,3.2,2.94,3.03,69493536,2.95,0.0,3.2,2.94,3.03,1.0,69493536
AMD,2014-10-10 00:00:00+00:00,2.72,2.95,2.71,2.95,41026909,2.72,0.0,2.95,2.71,2.95,1.0,41026909
AMD,2014-10-13 00:00:00+00:00,2.74,2.845,2.73,2.78,38269373,2.74,0.0,2.845,2.73,2.78,1.0,38269373
AMD,2014-10-14 00:00:00+00:00,2.62,2.75,2.6,2.61,39964185,2.62,0.0,2.75,2.6,2.61,1.0,39964185
AMD,2014-10-15 00:00:00+00:00,2.61,2.705,2.54,2.62,36924628,2.61,0.0,2.705,2.54,2.62,1.0,36924628
AMD,2014-10-16 00:00:00+00:00,2.64,2.715,2.54,2.56,38718250,2.64,0.0,2.715,2.54,2.56,1.0,38718250
AMD,2014-10-17 00:00:00+00:00,2.72,2.86,2.66,2.67,75956587,2.72,0.0,2.86,2.66,2.67,1.0,75956587
AMD,2014-10-20 00:00:00+00:00,2.67,2.795,2.6,2.7905,28713702,2.67,0.0,2.795,2.6,2.7905,1.0,28713702
AMD,2014-10-21 00:00:00+00:00,2.77,2.78,2.68,2.695,24025769,2.77,0.0,2.78,2.68,2.695,1.0,24025769
AMD,2014-10-22 00:00:00+00:00,2.64,2.795,2.64,2.79,23007306,2.64,0.0,2.795,2.64,2.79,1.0,23007306
AMD,2014-10-23 00:00:00+00:00,2.69,2.71,2.6497,2.68,23730959,2.69,0.0,2.71,2.6497,2.68,1.0,23730959
AMD,2014-10-24 00:00:00+00:00,2.68,2.73,2.67,2.69,11945852,2.68,0.0,2.73,2.67,2.69,1.0,11945852
AMD,2014-10-27 00:00:00+00:00,2.66,2.71,2.65,2.68,13296565,2.66,0.0,2.71,2.65,2.68,1.0,13296565
AMD,2014-10-28 00:00:00+00:00,2.72,2.77,2.67,2.69,22879276,2.72,0.0,2.77,2.67,2.69,1.0,22879276
AMD,2014-10-29 00:00:00+00:00,2.77,2.81,2.73,2.75,15601066,2.77,0.0,2.81,2.73,2.75,1.0,15601066
AMD,2014-10-30 00:00:00+00:00,2.75,2.79,2.7,2.79,13023110,2.75,0.0,2.79,2.7,2.79,1.0,13023110
AMD,2014-10-31 00:00:00+00:00,2.8,2.83,2.75,2.79,14704782,2.8,0.0,2.83,2.75,2.79,1.0,14704782
AMD,2014-11-03 00:00:00+00:00,2.87,2.9,2.81,2.81,11738620,2.87,0.0,2.9,2.81,2.81,1.0,11738620
AMD,2014-11-04 00:00:00+00:00,2.83,2.905,2.75,2.9,12524608,2.83,0.0,2.905,2.75,2.9,1.0,12524608
AMD,2014-11-05 00:00:00+00:00,2.8,2.87,2.77,2.85,9633141,2.8,0.0,2.87,2.77,2.85,1.0,9633141
AMD,2014-11-06 00:00:00+00:00,2.76,2.8,2.75,2.78,8932899,2.76,0.0,2.8,2.75,2.78,1.0,8932899
AMD,2014-11-07 00:00:00+00:00,2.78,2.8,2.76,2.77,7293780,2.78,0.0,2.8,2.76,2.77,1.0,7293780
AMD,2014-11-10 00:00:00+00:00,2.76,2.81,2.75,2.78,12591386,2.76,0.0,2.81,2.75,2.78,1.0,12591386
AMD,2014-11-11 00:00:00+00:00,2.73,2.79,2.72,2.78,8113460,2.73,0.0,2.79,2.72,2.78,1.0,8113460
AMD,2014-11-12 00:00:00+00:00,2.71,2.75,2.65,2.73,15873150,2.71,0.0,2.75,2.65,2.73,1.0,15873150
AMD,2014-11-13 00:00:00+00:00,2.66,2.74,2.65,2.71,10915428,2.66,0.0,2.74,2.65,2.71,1.0,10915428
AMD,2014-11-14 00:00:00+00:00,2.61,2.7,2.61,2.675,12368471,2.61,0.0,2.7,2.61,2.675,1.0,12368471
AMD,2014-11-17 00:00:00+00:00,2.67,2.69,2.61,2.62,12591612,2.67,0.0,2.69,2.61,2.62,1.0,12591612
AMD,2014-11-18 00:00:00+00:00,2.65,2.73,2.63,2.69,14975259,2.65,0.0,2.73,2.63,2.69,1.0,14975259
AMD,2014-11-19 00:00:00+00:00,2.63,2.68,2.61,2.68,10323256,2.63,0.0,2.68,2.61,2.68,1.0,10323256
AMD,2014-11-20 00:00:00+00:00,2.69,2.72,2.59,2.6,15043856,2.69,0.0,2.72,2.59,2.6,1.0,15043856
AMD,2014-11-21 00:00:00+00:00,2.77,2.77,2.71,2.72,11310730,2.77,0.0,2.77,2.71,2.72,1.0,11310730
AMD,2014-11-24 00:00:00+00:00,2.83,2.85,2.8,2.8,12292729,2.83,0.0,2.85,2.8,2.8,1.0,12292729
AMD,2014-11-25 00:00:00+00:00,2.83,2.85,2.76,2.85,2026774,2.83,0.0,2.85,2.76,2.85,1.0,2026774
AMD,2014-11-26 00:00:00+00:00,2.84,2.84,2.8,2.81,3148346,2.84,0.0,2.84,2.8,2.81,1.0,3148346
AMD,2014-11-28 00:00:00+00:00,2.79,2.85,2.77,2.85,5665011,2.79,0.0,2.85,2.77,2.85,1.0,5665011
AMD,2014-12-01 00:00:00+00:00,2.67,2.79,2.64,2.77,16025136,2.67,0.0,2.79,2.64,2.77,1.0,16025136
AMD,2014-12-02 00:00:00+00:00,2.68,2.71,2.61,2.69,12438764,2.68,0.0,2.71,2.61,2.69,1.0,12438764
AMD,2014-12-03 00:00:00+00:00,2.74,2.82,2.69,2.71,18259992,2.74,0.0,2.82,2.69,2.71,1.0,18259992
AMD,2014-12-04 00:00:00+00:00,2.69,2.75,2.66,2.75,15538974,2.69,0.0,2.75,2.66,2.75,1.0,15538974
AMD,2014-12-05 00:00:00+00:00,2.66,2.7,2.66,2.69,9479344,2.66,0.0,2.7,2.66,2.69,1.0,9479344
AMD,2014-12-08 00:00:00+00:00,2.58,2.68,2.52,2.65,25394055,2.58,0.0,2.68,2.52,2.65,1.0,25394055
AMD,2014-12-09 00:00:00+00:00,2.59,2.59,2.49,2.55,22924515,2.59,0.0,2.59,2.49,2.55,1.0,22924515
AMD,2014-12-10 00:00:00+00:00,2.48,2.58,2.46,2.58,17686696,2.48,0.0,2.58,2.46,2.58,1.0,17686696
AMD,2014-12-11 00:00:00+00:00,2.49,2.54,2.46,2.51,10151258,2.49,0.0,2.54,2.46,2.51,1.0,10151258
