symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AMGN,2014-10-02 00:00:00+00:00,120.5648709879,122.8232654371,119.7915686084,122.129050801,3060874,137.2,0.0,139.77,136.32,138.98,1.0,3060874
AMGN,2014-10-03 00:00:00+00:00,122.2784387607,122.7705402749,121.1799978807,121.3293858404,3429021,139.15,0.0,139.71,137.9,138.07,1.0,3429021
AMGN,2014-10-06 00:00:00+00:00,120.9251595965,123.5057926623,120.371545393,121.3315827221,3192622,137.61,0.0,140.5467,136.98,138.0725,1.0,3192622
AMGN,2014-10-07 00:00:00+00:00,119.5367303242,120.8636469072,119.492792689,120.5121458256,2679781,136.03,0.0,137.54,135.98,137.14,1.0,2679781
AMGN,2014-10-08 00:00:00+00:00,123.0868912483,123.3549108231,119.00077905,119.1676541885,3627597,140.07,0.0,140.375,135.4201,135.61,1.0,3627597
AMGN,2014-10-09 00:00:00+00:00,120.8987970154,123.1923415728,120.4066955012,122.6475148964,2750605,137.58,0.0,140.19,137.02,139.57,1.0,2750605
AMGN,2014-10-10 00:00:00+00:00,120.7318340016,123.67565556,120.1957948522,120.1957948522,5750533,137.39,0.0,140.74,136.78,136.78,1.0,5750533
AMGN,2014-10-13 00:00:00+00:00,117.3662111454,121.1009101373,117.3310610372,120.4330580823,6876224,133.56,0.0,137.81,133.52,137.05,1.0,6876224
AMGN,2014-10-14 00:00:00+00:00,116.1711074679,119.0094787018,115.9338442378,118.9655410666,3736406,132.2,0.0,135.43,131.93,135.38,1.0,3736406
AMGN,2014-10-15 00:00:00+00:00,115.0287289527,115.4417427236,113.0075977335,115.1341792772,4700100,130.9,0.0,131.37,128.6,131.02,1.0,4700100
AMGN,2014-10-16 00:00:00+00:00,114.6332902359,115.0111538986,112.1903577188,112.6121590167,7906044,130.45,0.0,130.88,127.67,128.15,1.0,7906044
AMGN,2014-10-17 00:00:00+00:00,117.4804489969,122.8935656535,113.7984751671,115.3362923991,7351493,133.69,0.0,139.85,129.5,131.25,1.0,7351493
AMGN,2014-10-20 00:00:00+00:00,120.8372843261,120.8724344343,116.8828971582,117.1201603882,6623760,137.51,0.0,137.55,133.01,133.28,1.0,6623760
AMGN,2014-10-21 00:00:00+00:00,126.6194771184,127.849730904,120.3979079741,121.698461976,8951767,144.09,0.0,145.49,137.01,138.49,1.0,8951767
AMGN,2014-10-22 00:00:00+00:00,126.2240384016,126.9006779837,124.4928955747,126.3734263613,5222581,143.64,0.0,144.41,141.67,143.81,1.0,5222581
AMGN,2014-10-23 00:00:00+00:00,129.396335663,130.1784255696,127.630042728,128.2100195126,4713937,147.25,0.0,148.14,145.24,145.9,1.0,4713937
AMGN,2014-10-24 00:00:00+00:00,129.4051231901,129.616023839,127.8760934851,129.0448345814,5318413,147.26,0.0,147.5,145.52,146.85,1.0,5318413
AMGN,2014-10-27 00:00:00+00:00,130.2311507318,130.4675352092,128.3945575805,128.9130216758,4172467,148.2,0.0,148.469,146.11,146.7,1.0,4172467
AMGN,2014-10-28 00:00:00+00:00,138.1311375407,138.183862703,133.1046720739,133.350722831,11626291,157.19,0.0,157.25,151.47,151.75,1.0,11626291
AMGN,2014-10-29 00:00:00+00:00,139.6162296105,140.3543818818,137.8850867836,138.7638394876,7074414,158.88,0.0,159.72,156.91,157.91,1.0,7074414
AMGN,2014-10-30 00:00:00+00:00,141.9888619112,141.9888619112,138.9835276636,139.4053289615,3864487,161.58,0.0,161.58,158.16,158.64,1.0,3864487
AMGN,2014-10-31 00:00:00+00:00,142.5161135336,144.6866327125,141.8482614786,144.6075449691,7973043,162.18,0.0,164.65,161.42,164.56,1.0,7973043
AMGN,2014-11-03 00:00:00+00:00,141.9712868572,142.7181387803,140.2928691925,142.4282382632,5823845,161.56,0.0,162.4099,159.65,162.08,1.0,5823845
AMGN,2014-11-04 00:00:00+00:00,140.9607212476,142.3491505199,139.8710678946,141.2067720047,3719005,160.41,0.0,161.99,159.17,160.69,1.0,3719005
AMGN,2014-11-05 00:00:00+00:00,139.6689547727,141.7515986812,139.5547169212,141.7515986812,4062881,158.94,0.0,161.31,158.81,161.31,1.0,4062881
AMGN,2014-11-06 00:00:00+00:00,140.9079960853,141.4264601807,140.1346937058,140.5740700578,3310943,160.35,0.0,160.94,159.47,159.97,1.0,3310943
AMGN,2014-11-07 00:00:00+00:00,140.8201208149,142.5775383476,139.1241280962,142.4194507362,3633346,160.25,0.0,162.2499,158.32,162.07,1.0,3633346
AMGN,2014-11-10 00:00:00+00:00,143.8518176437,143.9488419857,141.5673354088,142.01717554,3160895,163.09,0.61,163.2,160.5,161.01,1.0,3160895
AMGN,2014-11-11 00:00:00+00:00,143.2608511968,144.5309880379,142.4652515922,143.842997249,3015732,162.42,0.0,163.86,161.518,163.08,1.0,3015732
AMGN,2014-11-12 00:00:00+00:00,142.8286518551,143.8385870516,142.0436367242,142.6875255394,3528893,161.93,0.0,163.075,161.04,161.77,1.0,3528893
AMGN,2014-11-13 00:00:00+00:00,141.8760492243,143.1991084337,140.7558590936,142.9874189602,3636942,160.85,0.0,162.35,159.58,162.11,1.0,3636942
AMGN,2014-11-14 00:00:00+00:00,139.079984095,142.2553261977,138.1406120563,142.0965590925,4505723,157.68,0.0,161.28,156.615,161.1,1.0,4505723
AMGN,2014-11-17 00:00:00+00:00,140.3677617256,141.3027235669,138.1803038326,138.4008137009,2662429,159.14,0.0,160.2,156.66,156.91,1.0,2662429
AMGN,2014-11-18 00:00:00+00:00,143.1020840917,143.2343900126,139.6885913314,140.1648926468,3135567,162.24,0.0,162.39,158.37,158.91,1.0,3135567
AMGN,2014-11-19 00:00:00+00:00,143.4548998809,144.0194051436,141.4526702773,142.2553261977,2422850,162.64,0.0,163.28,160.37,161.28,1.0,2422850
AMGN,2014-11-20 00:00:00+00:00,143.4901814598,145.3846258398,142.66988475,142.8110110656,3208896,162.68,0.0,164.8278,161.75,161.91,1.0,3208896
AMGN,2014-11-21 00:00:00+00:00,143.6048465913,146.0480959314,142.3876321186,146.0480959314,3716962,162.81,0.0,165.58,161.43,165.58,1.0,3716962
AMGN,2014-11-24 00:00:00+00:00,144.8132406692,146.1327717208,143.7239219201,143.7724340911,2193251,164.18,0.0,165.676,162.945,163.0,1.0,2193251
AMGN,2014-11-25 00:00:00+00:00,143.1020840917,145.016109748,141.7437433034,144.7073959325,3564899,162.24,0.0,164.41,160.7,164.06,1.0,3564899
AMGN,2014-11-26 00:00:00+00:00,145.2895419846,145.3953867214,143.3049531705,143.5519242229,2117983,164.72,0.0,164.84,162.47,162.75,1.0,2117983
AMGN,2014-11-28 00:00:00+00:00,145.8099452737,147.6048956011,145.11313409,145.536513037,1794842,165.31,0.0,167.345,164.52,165.0,1.0,1794842
AMGN,2014-12-01 00:00:00+00:00,146.7801886939,147.6269465879,144.8044202745,145.6423577738,2514247,166.41,0.0,167.37,164.17,165.12,1.0,2514247
AMGN,2014-12-02 00:00:00+00:00,149.3116419813,149.3557439549,147.1241840884,147.8298156667,3290152,169.28,0.0,169.33,166.8,167.6,1.0,3290152
AMGN,2014-12-03 00:00:00+00:00,148.244374219,149.4968702706,146.8595722465,149.3116419813,2372115,168.07,0.0,169.49,166.5,169.28,1.0,2372115
AMGN,2014-12-04 00:00:00+00:00,146.9036742201,148.8529814553,146.8154702728,147.7768932983,3359866,166.55,0.0,168.76,166.45,167.54,1.0,3359866
AMGN,2014-12-05 00:00:00+00:00,149.2763604024,149.4263071128,146.515576852,147.0183393516,2548656,169.24,0.0,169.41,166.11,166.68,1.0,2548656
AMGN,2014-12-08 00:00:00+00:00,151.3932551374,152.7163143469,149.0646709289,149.4086663233,3953730,171.64,0.0,173.14,169.0,169.39,1.0,3953730
AMGN,2014-12-09 00:00:00+00:00,149.4086663233,150.7493663222,147.6886893511,150.2289630332,3712333,169.39,0.0,170.91,167.44,170.32,1.0,3712333
AMGN,2014-12-10 00:00:00+00:00,145.8805084315,149.7262005336,145.536513037,149.0646709289,3490159,165.39,0.0,169.75,165.0,169.0,1.0,3490159
AMGN,2014-12-11 00:00:00+00:00,146.4891156678,149.6291761915,146.0657367208,147.0359801411,3175216,166.08,0.0,169.64,165.6,166.7,1.0,3175216
AMGN,2014-12-12 00:00:00+00:00,145.1219544848,147.9268400087,143.1550064601,143.8959196174,3376207,164.53,0.0,167.71,162.3,163.14,1.0,3376207
AMGN,2014-12-15 00:00:00+00:00,140.7734998831,145.5276926423,140.597974028,145.3336439583,4428254,159.6,0.0,164.99,159.401,164.77,1.0,4428254
AMGN,2014-12-16 00:00:00+00:00,140.6323735674,144.6191919852,138.9212169899,139.079984095,4492752,159.44,0.0,163.96,157.5,157.68,1.0,4492752
AMGN,2014-12-17 00:00:00+00:00,144.1958130382,144.6632939588,139.8914604102,140.6500143569,3417914,163.48,0.0,164.01,158.6,159.46,1.0,3417914
AMGN,2014-12-18 00:00:00+00:00,148.6060104029,148.7030347449,145.1660564584,146.5067564573,3511800,168.48,0.0,168.59,164.58,166.1,1.0,3511800
AMGN,2014-12-19 00:00:00+00:00,150.0966571122,151.47263869,147.6542898116,148.9852873763,7856281,170.17,0.0,171.73,167.401,168.91,1.0,7856281
AMGN,2014-12-22 00:00:00+00:00,145.1219544848,149.0999525078,144.5750900115,148.4560636925,4061505,164.53,0.0,169.04,163.91,168.31,1.0,4061505
AMGN,2014-12-23 00:00:00+00:00,138.9388577794,145.5276926423,136.1516130448,145.4571294845,7091683,157.52,0.0,164.99,154.36,164.91,1.0,7091683
