symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AMZN,2014-10-02 00:00:00+00:00,318.41,318.53,311.31,316.92,3553944,318.41,0.0,318.53,311.31,316.92,1.0,3553944
AMZN,2014-10-03 00:00:00+00:00,322.74,325.16,319.53,320.36,3037891,322.74,0.0,325.16,319.53,320.36,1.0,3037891
AMZN,2014-10-06 00:00:00+00:00,322.2,324.13,319.6,323.5,2294194,322.2,0.0,324.13,319.6,323.5,1.0,2294194
AMZN,2014-10-07 00:00:00+00:00,316.98,322.0,316.67,319.43,2365698,316.98,0.0,322.0,316.67,319.43,1.0,2365698
AMZN,2014-10-08 00:00:00+00:00,322.7,324.11,314.14,316.58,3458960,322.7,0.0,324.11,314.14,316.58,1.0,3458960
AMZN,2014-10-09 00:00:00+00:00,315.37,322.271,314.52,321.49,3589464,315.37,0.0,322.271,314.52,321.49,1.0,3589464
AMZN,2014-10-10 00:00:00+00:00,311.39,317.77,311.38,314.02,3684314,311.39,0.0,317.77,311.38,314.02,1.0,3684314
AMZN,2014-10-13 00:00:00+00:00,306.45,313.2,303.47,309.87,4369850,306.45,0.0,313.2,303.47,309.87,1.0,4369850
AMZN,2014-10-14 00:00:00+00:00,308.31,312.24,305.75,308.0,3385809,308.31,0.0,312.24,305.75,308.0,1.0,3385809
AMZN,2014-10-15 00:00:00+00:00,305.97,307.9,299.102,304.35,5348254,305.97,0.0,307.9,299.102,304.35,1.0,5348254
AMZN,2014-10-16 00:00:00+00:00,302.86,306.82,293.83,293.83,4731866,302.86,0.0,306.82,293.83,293.83,1.0,4731866
AMZN,2014-10-17 00:00:00+00:00,303.64,309.2,302.72,307.15,4409218,303.64,0.0,309.2,302.72,307.15,1.0,4409218
AMZN,2014-10-20 00:00:00+00:00,306.21,306.53,302.02,302.95,3239490,306.21,0.0,306.53,302.02,302.95,1.0,3239490
AMZN,2014-10-21 00:00:00+00:00,315.33,315.64,307.07,309.9,3563351,315.33,0.0,315.64,307.07,309.9,1.0,3563351
AMZN,2014-10-22 00:00:00+00:00,312.97,318.98,312.64,315.43,3130049,312.97,0.0,318.98,312.64,315.43,1.0,3130049
AMZN,2014-10-23 00:00:00+00:00,313.18,316.8,311.4,313.4,9038193,313.18,0.0,316.8,311.4,313.4,1.0,9038193
AMZN,2014-10-24 00:00:00+00:00,287.06,293.81,284.0,284.4,19805911,287.06,0.0,293.81,284.0,284.4,1.0,19805911
AMZN,2014-10-27 00:00:00+00:00,289.97,290.42,285.02,285.7,5950594,289.97,0.0,290.42,285.02,285.7,1.0,5950594
AMZN,2014-10-28 00:00:00+00:00,295.59,298.0,289.76,289.76,5576646,295.59,0.0,298.0,289.76,289.76,1.0,5576646
AMZN,2014-10-29 00:00:00+00:00,294.12,299.61,293.0701,299.11,4883259,294.12,0.0,299.61,293.0701,299.11,1.0,4883259
AMZN,2014-10-30 00:00:00+00:00,299.07,299.74,292.36,293.98,4055155,299.07,0.0,299.74,292.36,293.98,1.0,4055155
AMZN,2014-10-31 00:00:00+00:00,305.46,305.72,301.5,305.15,4551795,305.46,0.0,305.72,301.5,305.15,1.0,4551795
AMZN,2014-11-03 00:00:00+00:00,305.72,308.01,303.24,306.24,3244150,305.72,0.0,308.01,303.24,306.24,1.0,3244150
AMZN,2014-11-04 00:00:00+00:00,302.81,304.25,300.17,303.99,3427384,302.81,0.0,304.25,300.17,303.99,1.0,3427384
AMZN,2014-11-05 00:00:00+00:00,296.52,304.0,294.16,303.01,4674492,296.52,0.0,304.0,294.16,303.01,1.0,4674492
AMZN,2014-11-06 00:00:00+00:00,296.64,297.0,292.29,296.69,3758121,296.64,0.0,297.0,292.29,296.69,1.0,3758121
AMZN,2014-11-07 00:00:00+00:00,299.86,299.99,296.29,297.82,2647352,299.86,0.0,299.99,296.29,297.82,1.0,2647352
AMZN,2014-11-10 00:00:00+00:00,305.11,305.799,300.0,300.0,2809056,305.11,0.0,305.799,300.0,300.0,1.0,2809056
AMZN,2014-11-11 00:00:00+00:00,312.01,312.38,303.646,305.94,3807333,312.01,0.0,312.38,303.646,305.94,1.0,3807333
AMZN,2014-11-12 00:00:00+00:00,311.51,312.58,308.79,310.75,2182982,311.51,0.0,312.58,308.79,310.75,1.0,2182982
AMZN,2014-11-13 00:00:00+00:00,316.48,317.89,311.51,312.0,3686428,316.48,0.0,317.89,311.51,312.0,1.0,3686428
AMZN,2014-11-14 00:00:00+00:00,327.82,332.88,316.401,317.12,8877785,327.82,0.0,332.88,316.401,317.12,1.0,8877785
AMZN,2014-11-17 00:00:00+00:00,323.05,328.0,318.03,326.44,4784933,323.05,0.0,328.0,318.03,326.44,1.0,4784933
AMZN,2014-11-18 00:00:00+00:00,324.93,329.56,323.25,323.99,3551161,324.93,0.0,329.56,323.25,323.99,1.0,3551161
AMZN,2014-11-19 00:00:00+00:00,326.54,328.4,324.02,327.25,3281614,326.54,0.0,328.4,324.02,327.25,1.0,3281614
