symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ASML,2014-10-02 00:00:00+00:00,92.9078219111,93.4349992768,91.6138411046,93.3391488467,822567,96.93,0.0,97.48,95.58,97.38,1.0,822567
ASML,2014-10-03 00:00:00+00:00,93.4062441477,94.0388569865,93.2432984165,93.578774922,539446,97.45,0.0,98.11,97.28,97.63,1.0,539446
ASML,2014-10-06 00:00:00+00:00,93.8759112553,94.451013836,93.2241283305,94.2113877607,528288,97.94,0.0,98.54,97.26,98.29,1.0,528288
ASML,2014-10-07 00:00:00+00:00,90.9237180077,92.8694817391,90.9237180077,92.6298556638,1041389,94.86,0.0,96.89,94.86,96.64,1.0,1041389
ASML,2014-10-08 00:00:00+00:00,92.3327193304,92.3902295885,90.2240098679,90.4923910722,1289114,96.33,0.0,96.39,94.13,94.41,1.0,1289114
ASML,2014-10-09 00:00:00+00:00,90.4157107281,91.5850859755,90.2527649969,91.096248782,1083764,94.33,0.0,95.55,94.16,95.04,1.0,1083764
ASML,2014-10-10 00:00:00+00:00,86.3228973622,89.3230158248,86.2845571901,89.2463354807,1524515,90.06,0.0,93.19,90.02,93.11,1.0,1524515
ASML,2014-10-13 00:00:00+00:00,86.6583738676,88.5945525559,86.6104486525,87.1472110612,1440299,90.41,0.0,92.43,90.36,90.92,1.0,1440299
ASML,2014-10-14 00:00:00+00:00,88.8629337603,90.339030384,87.4155922655,87.4635174806,1599554,92.71,0.0,94.25,91.2,91.25,1.0,1599554
ASML,2014-10-15 00:00:00+00:00,88.0098649322,88.6712329,85.0145389911,87.0417755881,1298640,91.82,0.0,92.51,88.695,90.81,1.0,1298640
ASML,2014-10-16 00:00:00+00:00,86.974680287,88.0961303193,84.8755558674,84.9618212546,1165624,90.74,0.0,91.91,88.55,88.64,1.0,1165624
ASML,2014-10-17 00:00:00+00:00,88.6712329,89.5818119861,88.3932666527,89.46679147,1013630,92.51,0.0,93.46,92.22,93.34,1.0,1013630
