symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ATVI,2014-10-02 00:00:00+00:00,19.6543104773,19.8614007371,19.2256817999,19.7843438963,6718766,20.405,0.0,20.62,19.96,20.54,1.0,6718766
ATVI,2014-10-03 00:00:00+00:00,19.9480896831,20.025146524,19.6591265298,19.7361833707,5952536,20.71,0.0,20.79,20.41,20.49,1.0,5952536
ATVI,2014-10-06 00:00:00+00:00,19.8806649474,20.0444107342,19.721735213,20.0444107342,4760307,20.64,0.0,20.81,20.475,20.81,1.0,4760307
ATVI,2014-10-07 00:00:00+00:00,19.3894275867,19.8806649474,19.3412670612,19.8806649474,8088518,20.13,0.0,20.64,20.08,20.64,1.0,8088518
ATVI,2014-10-08 00:00:00+00:00,19.8806649474,19.9673538933,19.1775212743,19.408691797,15866720,20.64,0.0,20.73,19.91,20.15,1.0,15866720
ATVI,2014-10-09 00:00:00+00:00,19.3412670612,19.9769859985,19.2931065356,19.9769859985,5516639,20.08,0.0,20.74,20.03,20.74,1.0,5516639
ATVI,2014-10-10 00:00:00+00:00,18.0216686611,19.3412670612,18.012036556,19.2160496948,20038218,18.71,0.0,20.08,18.7,19.95,1.0,20038218
ATVI,2014-10-13 00:00:00+00:00,17.7423376129,18.3347120772,17.7134412976,18.098725502,9169784,18.42,0.0,19.035,18.39,18.79,1.0,9169784
ATVI,2014-10-14 00:00:00+00:00,17.5400634056,18.0505649764,17.4148460392,17.8482907691,8681891,18.21,0.0,18.74,18.08,18.53,1.0,8681891
ATVI,2014-10-15 00:00:00+00:00,18.0313007662,18.0505649764,17.0729063077,17.3377891983,12157267,18.72,0.0,18.74,17.725,18.0,1.0,12157267
ATVI,2014-10-16 00:00:00+00:00,18.2913676042,18.628491283,17.6074881414,17.7134412976,13359076,18.99,0.0,19.34,18.28,18.39,1.0,13359076
ATVI,2014-10-17 00:00:00+00:00,18.1565181326,18.7248123341,18.1179897122,18.4840097064,8996122,18.85,0.0,19.44,18.81,19.19,1.0,8996122
ATVI,2014-10-20 00:00:00+00:00,18.1757823429,18.2239428684,17.9831402407,18.1179897122,6568899,18.87,0.0,18.92,18.67,18.81,1.0,6568899
ATVI,2014-10-21 00:00:00+00:00,18.5321702319,18.5321702319,18.2335749735,18.3202639195,9764377,19.24,0.0,19.24,18.93,19.02,1.0,9764377
ATVI,2014-10-22 00:00:00+00:00,18.3395281297,18.6573875984,18.3009997093,18.6573875984,5358061,19.04,0.0,19.37,19.0,19.37,1.0,5358061
ATVI,2014-10-23 00:00:00+00:00,18.35879234,18.541802337,18.2817354991,18.4743776013,5875385,19.06,0.0,19.25,18.98,19.18,1.0,5875385
ATVI,2014-10-24 00:00:00+00:00,18.4647454962,18.6381233881,18.272103394,18.3491602348,9760130,19.17,0.0,19.35,18.97,19.05,1.0,9760130
ATVI,2014-10-27 00:00:00+00:00,18.2913676042,18.541802337,18.2817354991,18.4647454962,14706533,18.99,0.0,19.25,18.98,19.17,1.0,14706533
ATVI,2014-10-28 00:00:00+00:00,18.5225381268,18.6092270728,18.3780565502,18.4165849706,8264476,19.23,0.0,19.32,19.08,19.12,1.0,8264476
ATVI,2014-10-29 00:00:00+00:00,18.3395281297,18.6959160188,18.272103394,18.5610665473,10196585,19.04,0.0,19.41,18.97,19.27,1.0,10196585
ATVI,2014-10-30 00:00:00+00:00,18.8596618057,18.9078223312,18.3106318144,18.3106318144,10294614,19.58,0.0,19.63,19.01,19.01,1.0,10294614
ATVI,2014-10-31 00:00:00+00:00,19.2160496948,19.2690262729,19.0426718028,19.1004644334,10058199,19.95,0.0,20.005,19.77,19.83,1.0,10058199
ATVI,2014-11-03 00:00:00+00:00,19.5531733736,19.6302302145,19.2834744305,19.4713004802,10383671,20.3,0.0,20.38,20.02,20.215,1.0,10383671
ATVI,2014-11-04 00:00:00+00:00,19.2160496948,19.6976549503,19.1004644334,19.5820696889,12161891,19.95,0.0,20.45,19.83,20.33,1.0,12161891
ATVI,2014-11-05 00:00:00+00:00,20.0636749444,20.7090259868,19.3990596918,20.5163838846,29610846,20.83,0.0,21.5,20.14,21.3,1.0,29610846
ATVI,2014-11-06 00:00:00+00:00,19.8228723167,20.1599959955,19.7072870554,20.11183547,13833698,20.58,0.0,20.93,20.46,20.88,1.0,13833698
ATVI,2014-11-07 00:00:00+00:00,19.8902970525,20.0877552072,19.5339091634,19.7747117911,11826215,20.65,0.0,20.855,20.28,20.53,1.0,11826215
ATVI,2014-11-10 00:00:00+00:00,20.1503638904,20.1888923109,19.8806649474,19.8806649474,8493955,20.92,0.0,20.96,20.64,20.64,1.0,8493955
ATVI,2014-11-11 00:00:00+00:00,19.851768632,20.3815344131,19.7458154758,20.3430059926,6870904,20.61,0.0,21.16,20.5,21.12,1.0,6870904
ATVI,2014-11-12 00:00:00+00:00,19.6591265298,19.938457578,19.5628054787,19.8228723167,6642039,20.41,0.0,20.7,20.31,20.58,1.0,6642039
ATVI,2014-11-13 00:00:00+00:00,19.5868857415,19.6591265298,19.2738423254,19.6398623196,7488364,20.335,0.0,20.41,20.01,20.39,1.0,7488364
ATVI,2014-11-14 00:00:00+00:00,19.3605312714,19.5146449532,19.148624959,19.4953807429,10319824,20.1,0.0,20.26,19.88,20.24,1.0,10319824
ATVI,2014-11-17 00:00:00+00:00,19.1678891692,19.4183239021,19.1389928539,19.322002851,5675527,19.9,0.0,20.16,19.87,20.06,1.0,5675527
ATVI,2014-11-18 00:00:00+00:00,19.2738423254,19.4375881123,19.1775212743,19.2545781152,6379753,20.01,0.0,20.18,19.91,19.99,1.0,6379753
ATVI,2014-11-19 00:00:00+00:00,18.8500297006,19.5724375838,18.8115012801,19.5724375838,10537886,19.57,0.0,20.32,19.53,20.32,1.0,10537886
ATVI,2014-11-20 00:00:00+00:00,20.3333738875,20.3526380978,19.3605312714,19.408691797,24143175,21.11,0.0,21.13,20.1,20.15,1.0,24143175
ATVI,2014-11-21 00:00:00+00:00,20.3911665182,20.6993938817,20.2755812569,20.6608654613,12111698,21.17,0.0,21.49,21.05,21.45,1.0,12111698
