symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AVGO,2014-10-16 00:00:00+00:00,67.7429468412,68.1825591391,63.1734341769,63.3253181649,3398524,75.6,0.0,76.0906,70.5005,70.67,1.0,3398524
AVGO,2014-10-17 00:00:00+00:00,69.1318564656,71.4168368154,68.8451138334,69.3737955614,4160788,77.15,0.0,79.7,76.83,77.42,1.0,4160788
AVGO,2014-10-20 00:00:00+00:00,69.8845558749,69.9471912186,67.9221609862,68.7017425174,1437463,77.99,0.0,78.0599,75.8,76.67,1.0,1437463
AVGO,2014-10-21 00:00:00+00:00,73.8183063595,73.8890959468,70.7537444786,70.7806266003,2411162,82.38,0.0,82.459,78.96,78.99,1.0,2411162
AVGO,2014-10-22 00:00:00+00:00,72.4562788568,74.364909502,72.3397896625,73.907913432,1730720,80.86,0.0,82.99,80.73,82.48,1.0,1730720
AVGO,2014-10-23 00:00:00+00:00,72.922235634,74.2842631367,72.6892572454,73.6032493854,1820460,81.38,0.0,82.9,81.12,82.14,1.0,1820460
AVGO,2014-10-24 00:00:00+00:00,73.343388875,73.8451884812,72.3747364208,73.2089782662,1126874,81.85,0.0,82.41,80.769,81.7,1.0,1126874
AVGO,2014-10-27 00:00:00+00:00,73.0924890719,73.4418670477,71.7940825908,73.0387248284,1497686,81.57,0.0,81.9599,80.121,81.51,1.0,1497686
AVGO,2014-10-28 00:00:00+00:00,75.4491550797,75.4849979087,73.1014497791,73.6211707999,1822997,84.2,0.0,84.24,81.58,82.16,1.0,1822997
AVGO,2014-10-29 00:00:00+00:00,76.058483173,76.2914615616,74.8756698154,75.7807012481,1421444,84.88,0.0,85.14,83.56,84.57,1.0,1421444
AVGO,2014-10-30 00:00:00+00:00,73.8272670667,75.7807012481,72.743021489,75.1265696186,1997611,82.39,0.0,84.57,81.18,83.84,1.0,1997611
AVGO,2014-10-31 00:00:00+00:00,77.2861000668,78.7825381782,75.7179762973,76.2645794398,2546268,86.25,0.0,87.92,84.5,85.11,1.0,2546268
AVGO,2014-11-03 00:00:00+00:00,77.3667464321,78.7466953492,77.1427287507,77.4563535046,1594372,86.34,0.0,87.88,86.09,86.44,1.0,1594372
AVGO,2014-11-04 00:00:00+00:00,76.4885971212,77.5638819917,76.0405617585,76.9724753129,1828781,85.36,0.0,86.56,84.86,85.9,1.0,1828781
AVGO,2014-11-05 00:00:00+00:00,77.6982926005,77.7699782585,75.9975503637,76.8739075331,1478877,86.71,0.0,86.79,84.812,85.79,1.0,1478877
AVGO,2014-11-06 00:00:00+00:00,78.5226776679,78.7556560565,77.3667464321,77.4563535046,1711440,87.63,0.0,87.89,86.34,86.44,1.0,1711440
