symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BIDU,2014-10-16 00:00:00+00:00,211.22,214.4,202.73,203.59,5834085,211.22,0.0,214.4,202.73,203.59,1.0,5834085
BIDU,2014-10-17 00:00:00+00:00,211.73,217.47,210.4,214.22,4245735,211.73,0.0,217.47,210.4,214.22,1.0,4245735
BIDU,2014-10-20 00:00:00+00:00,216.62,217.07,211.2,212.35,2555376,216.62,0.0,217.07,211.2,212.35,1.0,2555376
BIDU,2014-10-21 00:00:00+00:00,222.35,223.95,218.0,218.08,3970382,222.35,0.0,223.95,218.0,218.08,1.0,3970382
BIDU,2014-10-22 00:00:00+00:00,219.26,224.209,218.25,224.14,2512885,219.26,0.0,224.209,218.25,224.14,1.0,2512885
BIDU,2014-10-23 00:00:00+00:00,217.03,222.5,216.52,220.2,3419735,217.03,0.0,222.5,216.52,220.2,1.0,3419735
BIDU,2014-10-24 00:00:00+00:00,222.55,222.81,215.52,218.05,2983316,222.55,0.0,222.81,215.52,218.05,1.0,2983316
BIDU,2014-10-27 00:00:00+00:00,219.92,223.35,219.18,220.51,3087991,219.92,0.0,223.35,219.18,220.51,1.0,3087991
BIDU,2014-10-28 00:00:00+00:00,228.96,229.72,221.37,222.54,4667467,228.96,0.0,229.72,221.37,222.54,1.0,4667467
BIDU,2014-10-29 00:00:00+00:00,224.55,227.75,219.61,227.37,7736726,224.55,0.0,227.75,219.61,227.37,1.0,7736726
BIDU,2014-10-30 00:00:00+00:00,237.01,237.55,222.0,222.3,10612308,237.01,0.0,237.55,222.0,222.3,1.0,10612308
BIDU,2014-10-31 00:00:00+00:00,238.77,242.62,238.65,240.14,6261207,238.77,0.0,242.62,238.65,240.14,1.0,6261207
BIDU,2014-11-03 00:00:00+00:00,236.54,240.56,234.32,239.18,3522726,236.54,0.0,240.56,234.32,239.18,1.0,3522726
