symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BIIB,2014-10-02 00:00:00+00:00,319.84,324.45,317.53,322.6,1116330,319.84,0.0,324.45,317.53,322.6,1.0,1116330
BIIB,2014-10-03 00:00:00+00:00,327.09,331.01,321.63,323.33,1306511,327.09,0.0,331.01,321.63,323.33,1.0,1306511
BIIB,2014-10-06 00:00:00+00:00,325.07,331.05,324.01,331.05,723890,325.07,0.0,331.05,324.01,331.05,1.0,723890
BIIB,2014-10-07 00:00:00+00:00,315.92,325.0,315.82,325.0,1053427,315.92,0.0,325.0,315.82,325.0,1.0,1053427
BIIB,2014-10-08 00:00:00+00:00,324.59,325.78,312.0,315.66,1275458,324.59,0.0,325.78,312.0,315.66,1.0,1275458
BIIB,2014-10-09 00:00:00+00:00,319.19,325.34,317.74,323.35,1143201,319.19,0.0,325.34,317.74,323.35,1.0,1143201
BIIB,2014-10-10 00:00:00+00:00,315.14,324.42,315.08,318.4,1468214,315.14,0.0,324.42,315.08,318.4,1.0,1468214
BIIB,2014-10-13 00:00:00+00:00,301.74,315.75,300.99,314.79,2302659,301.74,0.0,315.75,300.99,314.79,1.0,2302659
BIIB,2014-10-14 00:00:00+00:00,301.58,310.4,296.06,308.36,1759350,301.58,0.0,310.4,296.06,308.36,1.0,1759350
BIIB,2014-10-15 00:00:00+00:00,305.69,311.2,295.27,297.29,2211368,305.69,0.0,311.2,295.27,297.29,1.0,2211368
BIIB,2014-10-16 00:00:00+00:00,302.74,309.0,296.55,299.91,1384361,302.74,0.0,309.0,296.55,299.91,1.0,1384361
BIIB,2014-10-17 00:00:00+00:00,306.71,313.72,304.75,305.36,1782231,306.71,0.0,313.72,304.75,305.36,1.0,1782231
BIIB,2014-10-20 00:00:00+00:00,311.41,321.48,305.24,305.24,1513757,311.41,0.0,321.48,305.24,305.24,1.0,1513757
BIIB,2014-10-21 00:00:00+00:00,326.77,326.9,316.03,320.97,1854423,326.77,0.0,326.9,316.03,320.97,1.0,1854423
