symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BKNG,2014-10-02 00:00:00+00:00,1139.91,1146.63,1119.05,1140.0,797835,1139.91,0.0,1146.63,1119.05,1140.0,1.0,797835
BKNG,2014-10-03 00:00:00+00:00,1141.46,1152.55,1140.0,1145.0,617521,1141.46,0.0,1152.55,1140.0,1145.0,1.0,617521
BKNG,2014-10-06 00:00:00+00:00,1119.82,1141.34,1116.41,1141.0,964748,1119.82,0.0,1141.34,1116.41,1141.0,1.0,964748
BKNG,2014-10-07 00:00:00+00:00,1109.15,1129.99,1106.46,1114.48,977539,1109.15,0.0,1129.99,1106.46,1114.48,1.0,977539
BKNG,2014-10-08 00:00:00+00:00,1126.92,1127.86,1098.21,1110.51,1046855,1126.92,0.0,1127.86,1098.21,1110.51,1.0,1046855
BKNG,2014-10-09 00:00:00+00:00,1102.19,1122.62,1099.01,1120.18,1069059,1102.19,0.0,1122.62,1099.01,1120.18,1.0,1069059
BKNG,2014-10-10 00:00:00+00:00,1063.66,1103.48,1062.57,1094.8,1530071,1063.66,0.0,1103.48,1062.57,1094.8,1.0,1530071
BKNG,2014-10-13 00:00:00+00:00,1040.7,1072.88,1017.28,1063.41,1868653,1040.7,0.0,1072.88,1017.28,1063.41,1.0,1868653
BKNG,2014-10-14 00:00:00+00:00,1050.45,1061.0,1041.71,1050.21,1209089,1050.45,0.0,1061.0,1041.71,1050.21,1.0,1209089
BKNG,2014-10-15 00:00:00+00:00,1058.75,1060.99,1022.33,1031.33,1611612,1058.75,0.0,1060.99,1022.33,1031.33,1.0,1611612
BKNG,2014-10-16 00:00:00+00:00,1073.19,1073.76,1042.23,1044.67,1059611,1073.19,0.0,1073.76,1042.23,1044.67,1.0,1059611
BKNG,2014-10-17 00:00:00+00:00,1077.27,1094.5,1073.02,1090.17,901729,1077.27,0.0,1094.5,1073.02,1090.17,1.0,901729
BKNG,2014-10-20 00:00:00+00:00,1103.07,1104.44,1074.73,1076.52,590819,1103.07,0.0,1104.44,1074.73,1076.52,1.0,590819
BKNG,2014-10-21 00:00:00+00:00,1132.97,1136.85,1107.01,1107.16,738905,1132.97,0.0,1136.85,1107.01,1107.16,1.0,738905
