symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BMRN,2014-10-02 00:00:00+00:00,69.79,71.11,69.1,70.02,1207300,69.79,0.0,71.11,69.1,70.02,1.0,1207300
BMRN,2014-10-03 00:00:00+00:00,70.67,71.0,69.8,70.29,1055300,70.67,0.0,71.0,69.8,70.29,1.0,1055300
BMRN,2014-10-06 00:00:00+00:00,71.05,71.57,70.4,71.17,1090800,71.05,0.0,71.57,70.4,71.17,1.0,1090800
BMRN,2014-10-07 00:00:00+00:00,69.95,70.95,69.45,70.53,1142000,69.95,0.0,70.95,69.45,70.53,1.0,1142000
BMRN,2014-10-08 00:00:00+00:00,72.92,72.975,69.95,70.21,1043900,72.92,0.0,72.975,69.95,70.21,1.0,1043900
BMRN,2014-10-09 00:00:00+00:00,71.92,73.6,71.54,72.86,1239000,71.92,0.0,73.6,71.54,72.86,1.0,1239000
BMRN,2014-10-10 00:00:00+00:00,70.8,73.19,70.61,71.27,1048000,70.8,0.0,73.19,70.61,71.27,1.0,1048000
BMRN,2014-10-13 00:00:00+00:00,68.09,70.99,68.02,70.72,1396500,68.09,0.0,70.99,68.02,70.72,1.0,1396500
BMRN,2014-10-14 00:00:00+00:00,67.27,69.44,66.11,68.59,1277600,67.27,0.0,69.44,66.11,68.59,1.0,1277600
BMRN,2014-10-15 00:00:00+00:00,67.32,67.72,65.91,66.14,1230600,67.32,0.0,67.72,65.91,66.14,1.0,1230600
BMRN,2014-10-16 00:00:00+00:00,70.59,71.72,66.44,66.44,1190400,70.59,0.0,71.72,66.44,66.44,1.0,1190400
BMRN,2014-10-17 00:00:00+00:00,70.45,71.53,70.03,71.33,1763700,70.45,0.0,71.53,70.03,71.33,1.0,1763700
BMRN,2014-10-20 00:00:00+00:00,71.0,71.76,70.1,70.28,855800,71.0,0.0,71.76,70.1,70.28,1.0,855800
BMRN,2014-10-21 00:00:00+00:00,74.71,75.26,71.9,72.27,1559200,74.71,0.0,75.26,71.9,72.27,1.0,1559200
BMRN,2014-10-22 00:00:00+00:00,74.32,75.72,73.6,74.36,969800,74.32,0.0,75.72,73.6,74.36,1.0,969800
BMRN,2014-10-23 00:00:00+00:00,75.01,75.86,74.22,75.0,1272500,75.01,0.0,75.86,74.22,75.0,1.0,1272500
BMRN,2014-10-24 00:00:00+00:00,81.03,81.83,75.4,75.4,2399300,81.03,0.0,81.83,75.4,75.4,1.0,2399300
BMRN,2014-10-27 00:00:00+00:00,82.36,82.4,80.06,80.51,1038700,82.36,0.0,82.4,80.06,80.51,1.0,1038700
BMRN,2014-10-28 00:00:00+00:00,82.05,83.32,81.43,81.43,1379600,82.05,0.0,83.32,81.43,81.43,1.0,1379600
BMRN,2014-10-29 00:00:00+00:00,80.56,81.55,79.64,81.31,1262500,80.56,0.0,81.55,79.64,81.31,1.0,1262500
BMRN,2014-10-30 00:00:00+00:00,82.36,83.68,79.89,80.32,1029200,82.36,0.0,83.68,79.89,80.32,1.0,1029200
BMRN,2014-10-31 00:00:00+00:00,82.5,84.3,82.0,83.26,1183600,82.5,0.0,84.3,82.0,83.26,1.0,1183600
BMRN,2014-11-03 00:00:00+00:00,84.58,86.8,83.06,83.06,1620300,84.58,0.0,86.8,83.06,83.06,1.0,1620300
BMRN,2014-11-04 00:00:00+00:00,83.46,84.88,82.5722,83.72,830500,83.46,0.0,84.88,82.5722,83.72,1.0,830500
BMRN,2014-11-05 00:00:00+00:00,81.97,84.42,81.7225,84.13,729500,81.97,0.0,84.42,81.7225,84.13,1.0,729500
BMRN,2014-11-06 00:00:00+00:00,84.03,84.14,82.15,82.15,626300,84.03,0.0,84.14,82.15,82.15,1.0,626300
BMRN,2014-11-07 00:00:00+00:00,83.91,84.36,82.46,83.6,727100,83.91,0.0,84.36,82.46,83.6,1.0,727100
BMRN,2014-11-10 00:00:00+00:00,87.6,88.23,85.78,85.78,1378700,87.6,0.0,88.23,85.78,85.78,1.0,1378700
BMRN,2014-11-11 00:00:00+00:00,86.12,87.5,85.771,87.48,1065500,86.12,0.0,87.5,85.771,87.48,1.0,1065500
BMRN,2014-11-12 00:00:00+00:00,86.95,87.15,84.83,85.38,692500,86.95,0.0,87.15,84.83,85.38,1.0,692500
BMRN,2014-11-13 00:00:00+00:00,87.92,88.15,86.2801,86.98,979300,87.92,0.0,88.15,86.2801,86.98,1.0,979300
BMRN,2014-11-14 00:00:00+00:00,82.85,87.87,82.67,87.06,1457300,82.85,0.0,87.87,82.67,87.06,1.0,1457300
BMRN,2014-11-17 00:00:00+00:00,83.1,84.18,82.32,82.88,1007000,83.1,0.0,84.18,82.32,82.88,1.0,1007000
BMRN,2014-11-18 00:00:00+00:00,85.45,86.05,82.81,83.26,847500,85.45,0.0,86.05,82.81,83.26,1.0,847500
BMRN,2014-11-19 00:00:00+00:00,85.08,85.975,84.19,85.18,592700,85.08,0.0,85.975,84.19,85.18,1.0,592700
BMRN,2014-11-20 00:00:00+00:00,84.43,85.0,83.52,84.53,690700,84.43,0.0,85.0,83.52,84.53,1.0,690700
