symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CDNS,2014-10-20 00:00:00+00:00,16.62,16.73,16.395,16.51,4104963,16.62,0.0,16.73,16.395,16.51,1.0,4104963
CDNS,2014-10-21 00:00:00+00:00,16.59,17.08,16.53,16.86,5227439,16.59,0.0,17.08,16.53,16.86,1.0,5227439
CDNS,2014-10-22 00:00:00+00:00,16.33,16.72,16.31,16.58,4553629,16.33,0.0,16.72,16.31,16.58,1.0,4553629
CDNS,2014-10-23 00:00:00+00:00,16.715,16.815,16.04,16.5,5043046,16.715,0.0,16.815,16.04,16.5,1.0,5043046
CDNS,2014-10-24 00:00:00+00:00,17.2,17.22,16.61,16.79,2928798,17.2,0.0,17.22,16.61,16.79,1.0,2928798
CDNS,2014-10-27 00:00:00+00:00,17.35,17.435,17.06,17.12,3489820,17.35,0.0,17.435,17.06,17.12,1.0,3489820
CDNS,2014-10-28 00:00:00+00:00,17.51,17.8,17.15,17.37,6423129,17.51,0.0,17.8,17.15,17.37,1.0,6423129
CDNS,2014-10-29 00:00:00+00:00,17.49,17.63,17.34,17.47,3296792,17.49,0.0,17.63,17.34,17.47,1.0,3296792
CDNS,2014-10-30 00:00:00+00:00,17.57,17.57,17.26,17.45,5398424,17.57,0.0,17.57,17.26,17.45,1.0,5398424
CDNS,2014-10-31 00:00:00+00:00,17.95,17.99,17.685,17.8,2933401,17.95,0.0,17.99,17.685,17.8,1.0,2933401
CDNS,2014-11-03 00:00:00+00:00,18.17,18.34,17.89,17.92,3510955,18.17,0.0,18.34,17.89,17.92,1.0,3510955
CDNS,2014-11-04 00:00:00+00:00,18.09,18.32,18.0,18.16,2223295,18.09,0.0,18.32,18.0,18.16,1.0,2223295
CDNS,2014-11-05 00:00:00+00:00,17.975,18.25,17.9,18.24,1455822,17.975,0.0,18.25,17.9,18.24,1.0,1455822
CDNS,2014-11-06 00:00:00+00:00,18.23,18.23,18.0,18.0,1401332,18.23,0.0,18.23,18.0,18.0,1.0,1401332
CDNS,2014-11-07 00:00:00+00:00,18.515,18.57,18.05,18.19,2947899,18.515,0.0,18.57,18.05,18.19,1.0,2947899
CDNS,2014-11-10 00:00:00+00:00,18.675,18.795,18.43,18.49,2462687,18.675,0.0,18.795,18.43,18.49,1.0,2462687
CDNS,2014-11-11 00:00:00+00:00,18.58,18.82,18.52,18.52,1649123,18.58,0.0,18.82,18.52,18.52,1.0,1649123
CDNS,2014-11-12 00:00:00+00:00,18.56,18.6,18.32,18.51,1802854,18.56,0.0,18.6,18.32,18.51,1.0,1802854
CDNS,2014-11-13 00:00:00+00:00,18.4,18.5,18.28,18.49,2583230,18.4,0.0,18.5,18.28,18.49,1.0,2583230
CDNS,2014-11-14 00:00:00+00:00,18.485,18.58,18.23,18.37,1408969,18.485,0.0,18.58,18.23,18.37,1.0,1408969
CDNS,2014-11-17 00:00:00+00:00,18.085,18.48,18.025,18.47,3188679,18.085,0.0,18.48,18.025,18.47,1.0,3188679
CDNS,2014-11-18 00:00:00+00:00,18.34,18.42,18.09,18.09,1930872,18.34,0.0,18.42,18.09,18.09,1.0,1930872
CDNS,2014-11-19 00:00:00+00:00,18.16,18.39,18.11,18.39,1472007,18.16,0.0,18.39,18.11,18.39,1.0,1472007
CDNS,2014-11-20 00:00:00+00:00,18.32,18.495,18.03,18.07,5982622,18.32,0.0,18.495,18.03,18.07,1.0,5982622
CDNS,2014-11-21 00:00:00+00:00,18.44,18.52,18.3,18.5,1875293,18.44,0.0,18.52,18.3,18.5,1.0,1875293
CDNS,2014-11-24 00:00:00+00:00,18.62,18.63,18.32,18.4,1744632,18.62,0.0,18.63,18.32,18.4,1.0,1744632
CDNS,2014-11-25 00:00:00+00:00,18.82,18.875,18.59,18.7,1879791,18.82,0.0,18.875,18.59,18.7,1.0,1879791
CDNS,2014-11-26 00:00:00+00:00,18.83,18.9,18.705,18.84,1045048,18.83,0.0,18.9,18.705,18.84,1.0,1045048
CDNS,2014-11-28 00:00:00+00:00,18.87,19.03,18.73,18.79,879940,18.87,0.0,19.03,18.73,18.79,1.0,879940
CDNS,2014-12-01 00:00:00+00:00,18.43,18.965,18.43,18.76,6161154,18.43,0.0,18.965,18.43,18.76,1.0,6161154
CDNS,2014-12-02 00:00:00+00:00,18.49,18.64,18.4,18.4,3019499,18.49,0.0,18.64,18.4,18.4,1.0,3019499
CDNS,2014-12-03 00:00:00+00:00,18.49,18.63,18.31,18.52,3720832,18.49,0.0,18.63,18.31,18.52,1.0,3720832
CDNS,2014-12-04 00:00:00+00:00,18.57,18.62,18.44,18.52,2149935,18.57,0.0,18.62,18.44,18.52,1.0,2149935
CDNS,2014-12-05 00:00:00+00:00,18.82,18.83,18.45,18.55,4414649,18.82,0.0,18.83,18.45,18.55,1.0,4414649
CDNS,2014-12-08 00:00:00+00:00,18.58,18.96,18.54,18.79,1894380,18.58,0.0,18.96,18.54,18.79,1.0,1894380
