symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CELG,2014-10-02 00:00:00+00:00,92.81,93.64,91.5,92.93,4077126,92.81,0.0,93.64,91.5,92.93,1.0,4077126
CELG,2014-10-03 00:00:00+00:00,95.21,95.61,93.37,93.5,4485494,95.21,0.0,95.61,93.37,93.5,1.0,4485494
CELG,2014-10-06 00:00:00+00:00,94.5,95.85,93.644,95.85,2998614,94.5,0.0,95.85,93.644,95.85,1.0,2998614
CELG,2014-10-07 00:00:00+00:00,92.445,94.45,92.17,94.16,3559161,92.445,0.0,94.45,92.17,94.16,1.0,3559161
CELG,2014-10-08 00:00:00+00:00,94.89,95.24,91.54,92.37,4715877,94.89,0.0,95.24,91.54,92.37,1.0,4715877
CELG,2014-10-09 00:00:00+00:00,92.38,94.81,91.85,94.77,5174434,92.38,0.0,94.81,91.85,94.77,1.0,5174434
CELG,2014-10-10 00:00:00+00:00,90.925,93.85,90.87,92.06,4813455,90.925,0.0,93.85,90.87,92.06,1.0,4813455
CELG,2014-10-13 00:00:00+00:00,87.48,90.89,86.55,90.73,6677641,87.48,0.0,90.89,86.55,90.73,1.0,6677641
CELG,2014-10-14 00:00:00+00:00,86.48,88.99,85.62,88.01,6495341,86.48,0.0,88.99,85.62,88.01,1.0,6495341
CELG,2014-10-15 00:00:00+00:00,86.55,86.67,83.16,84.67,8137091,86.55,0.0,86.67,83.16,84.67,1.0,8137091
CELG,2014-10-16 00:00:00+00:00,86.38,87.57,84.01,84.54,5616278,86.38,0.0,87.57,84.01,84.54,1.0,5616278
CELG,2014-10-17 00:00:00+00:00,88.12,89.53,87.12,87.66,6413799,88.12,0.0,89.53,87.12,87.66,1.0,6413799
CELG,2014-10-20 00:00:00+00:00,92.0,92.55,88.57,88.84,7980702,92.0,0.0,92.55,88.57,88.84,1.0,7980702
CELG,2014-10-21 00:00:00+00:00,94.97,95.9,93.22,93.49,9990097,94.97,0.0,95.9,93.22,93.49,1.0,9990097
CELG,2014-10-22 00:00:00+00:00,94.76,96.85,93.82,94.93,8717401,94.76,0.0,96.85,93.82,94.93,1.0,8717401
CELG,2014-10-23 00:00:00+00:00,100.4,100.9111,95.6,95.98,9678166,100.4,0.0,100.9111,95.6,95.98,1.0,9678166
CELG,2014-10-24 00:00:00+00:00,103.24,103.31,99.21,99.55,9131573,103.24,0.0,103.31,99.21,99.55,1.0,9131573
CELG,2014-10-27 00:00:00+00:00,103.1,103.91,101.99,102.9,6127845,103.1,0.0,103.91,101.99,102.9,1.0,6127845
CELG,2014-10-28 00:00:00+00:00,105.7,106.07,104.06,104.11,6601609,105.7,0.0,106.07,104.06,104.11,1.0,6601609
CELG,2014-10-29 00:00:00+00:00,105.14,106.279,104.02,105.32,5589088,105.14,0.0,106.279,104.02,105.32,1.0,5589088
CELG,2014-10-30 00:00:00+00:00,106.94,107.35,104.18,104.7,5770721,106.94,0.0,107.35,104.18,104.7,1.0,5770721
CELG,2014-10-31 00:00:00+00:00,107.09,109.25,106.6744,108.74,5798073,107.09,0.0,109.25,106.6744,108.74,1.0,5798073
CELG,2014-11-03 00:00:00+00:00,107.41,107.57,106.0501,106.53,5247227,107.41,0.0,107.57,106.0501,106.53,1.0,5247227
CELG,2014-11-04 00:00:00+00:00,105.75,107.0,105.04,106.65,5134787,105.75,0.0,107.0,105.04,106.65,1.0,5134787
CELG,2014-11-05 00:00:00+00:00,105.15,107.74,104.5,107.2,4487467,105.15,0.0,107.74,104.5,107.2,1.0,4487467
CELG,2014-11-06 00:00:00+00:00,107.14,107.22,105.23,105.7,4077783,107.14,0.0,107.22,105.23,105.7,1.0,4077783
CELG,2014-11-07 00:00:00+00:00,106.45,107.5,105.31,107.44,4714342,106.45,0.0,107.5,105.31,107.44,1.0,4714342
CELG,2014-11-10 00:00:00+00:00,108.01,108.25,106.0,106.78,3502633,108.01,0.0,108.25,106.0,106.78,1.0,3502633
CELG,2014-11-11 00:00:00+00:00,107.85,108.78,107.398,108.0,3361760,107.85,0.0,108.78,107.398,108.0,1.0,3361760
CELG,2014-11-12 00:00:00+00:00,108.25,108.5,106.73,108.01,3441425,108.25,0.0,108.5,106.73,108.01,1.0,3441425
CELG,2014-11-13 00:00:00+00:00,107.43,109.17,106.54,108.28,3268300,107.43,0.0,109.17,106.54,108.28,1.0,3268300
CELG,2014-11-14 00:00:00+00:00,104.05,107.65,102.13,107.65,7861144,104.05,0.0,107.65,102.13,107.65,1.0,7861144
CELG,2014-11-17 00:00:00+00:00,104.36,105.6422,103.26,103.27,3243980,104.36,0.0,105.6422,103.26,103.27,1.0,3243980
CELG,2014-11-18 00:00:00+00:00,106.78,107.03,104.28,104.68,3255060,106.78,0.0,107.03,104.28,104.68,1.0,3255060
CELG,2014-11-19 00:00:00+00:00,106.98,107.71,105.5,106.415,2915100,106.98,0.0,107.71,105.5,106.415,1.0,2915100
CELG,2014-11-20 00:00:00+00:00,107.35,107.92,105.6,105.76,3863228,107.35,0.0,107.92,105.6,105.76,1.0,3863228
CELG,2014-11-21 00:00:00+00:00,108.2,109.21,107.89,108.25,3973277,108.2,0.0,109.21,107.89,108.25,1.0,3973277
CELG,2014-11-24 00:00:00+00:00,110.98,111.0,108.5,108.89,4126346,110.98,0.0,111.0,108.5,108.89,1.0,4126346
CELG,2014-11-25 00:00:00+00:00,111.07,111.97,110.09,111.31,4006238,111.07,0.0,111.97,110.09,111.31,1.0,4006238
CELG,2014-11-26 00:00:00+00:00,112.61,112.82,109.2,111.46,3269769,112.61,0.0,112.82,109.2,111.46,1.0,3269769
CELG,2014-11-28 00:00:00+00:00,113.69,114.5,112.8,113.45,2543978,113.69,0.0,114.5,112.8,113.45,1.0,2543978
CELG,2014-12-01 00:00:00+00:00,113.43,114.8399,112.5,113.71,4438093,113.43,0.0,114.8399,112.5,113.71,1.0,4438093
CELG,2014-12-02 00:00:00+00:00,115.2,116.65,113.69,114.0,4977372,115.2,0.0,116.65,113.69,114.0,1.0,4977372
CELG,2014-12-03 00:00:00+00:00,114.23,116.225,113.76,115.92,3572307,114.23,0.0,116.225,113.76,115.92,1.0,3572307
CELG,2014-12-04 00:00:00+00:00,113.63,114.629,112.9301,113.79,3102947,113.63,0.0,114.629,112.9301,113.79,1.0,3102947
CELG,2014-12-05 00:00:00+00:00,114.13,114.51,113.5,113.99,2521148,114.13,0.0,114.51,113.5,113.99,1.0,2521148
CELG,2014-12-08 00:00:00+00:00,118.19,119.84,115.46,116.755,8278928,118.19,0.0,119.84,115.46,116.755,1.0,8278928
CELG,2014-12-09 00:00:00+00:00,118.68,119.17,115.65,116.37,5002732,118.68,0.0,119.17,115.65,116.37,1.0,5002732
CELG,2014-12-10 00:00:00+00:00,115.64,118.68,115.1,117.98,5267588,115.64,0.0,118.68,115.1,117.98,1.0,5267588
CELG,2014-12-11 00:00:00+00:00,116.74,118.61,116.33,116.61,4103764,116.74,0.0,118.61,116.33,116.61,1.0,4103764
CELG,2014-12-12 00:00:00+00:00,114.49,117.059,114.02,114.09,4389082,114.49,0.0,117.059,114.02,114.09,1.0,4389082
CELG,2014-12-15 00:00:00+00:00,111.88,116.0,110.78,116.0,6268026,111.88,0.0,116.0,110.78,116.0,1.0,6268026
CELG,2014-12-16 00:00:00+00:00,110.09,113.59,108.26,110.0,7035886,110.09,0.0,113.59,108.26,110.0,1.0,7035886
CELG,2014-12-17 00:00:00+00:00,112.82,113.11,109.16,110.21,4870086,112.82,0.0,113.11,109.16,110.21,1.0,4870086
CELG,2014-12-18 00:00:00+00:00,116.48,116.5017,114.56,115.2,6100915,116.48,0.0,116.5017,114.56,115.2,1.0,6100915
CELG,2014-12-19 00:00:00+00:00,117.18,118.7288,115.46,117.74,11294289,117.18,0.0,118.7288,115.46,117.74,1.0,11294289
CELG,2014-12-22 00:00:00+00:00,113.5,116.23,110.39,112.65,7889443,113.5,0.0,116.23,110.39,112.65,1.0,7889443
CELG,2014-12-23 00:00:00+00:00,106.12,113.11,103.69,112.94,17806683,106.12,0.0,113.11,103.69,112.94,1.0,17806683
CELG,2014-12-24 00:00:00+00:00,109.6,111.51,105.42,105.63,6565505,109.6,0.0,111.51,105.42,105.63,1.0,6565505
CELG,2014-12-26 00:00:00+00:00,113.35,113.91,110.56,111.16,4670519,113.35,0.0,113.91,110.56,111.16,1.0,4670519
CELG,2014-12-29 00:00:00+00:00,114.47,114.65,112.5,113.61,3592814,114.47,0.0,114.65,112.5,113.61,1.0,3592814
CELG,2014-12-30 00:00:00+00:00,113.54,114.34,112.76,114.19,3481140,113.54,0.0,114.34,112.76,114.19,1.0,3481140
CELG,2014-12-31 00:00:00+00:00,111.86,114.81,111.51,114.49,3434034,111.86,0.0,114.81,111.51,114.49,1.0,3434034
CELG,2015-01-02 00:00:00+00:00,113.52,114.57,112.54,112.88,3825667,113.52,0.0,114.57,112.54,112.88,1.0,3825667
CELG,2015-01-05 00:00:00+00:00,111.93,114.0,111.66,113.1,4499914,111.93,0.0,114.0,111.66,113.1,1.0,4499914
CELG,2015-01-06 00:00:00+00:00,110.51,113.5,109.46,112.49,5638477,110.51,0.0,113.5,109.46,112.49,1.0,5638477
CELG,2015-01-07 00:00:00+00:00,114.55,114.91,111.3,111.52,4506671,114.55,0.0,114.91,111.3,111.52,1.0,4506671
CELG,2015-01-08 00:00:00+00:00,115.05,117.45,114.59,116.67,5978322,115.05,0.0,117.45,114.59,116.67,1.0,5978322
CELG,2015-01-09 00:00:00+00:00,113.67,115.4985,111.93,115.28,5064631,113.67,0.0,115.4985,111.93,115.28,1.0,5064631
CELG,2015-01-12 00:00:00+00:00,117.0,118.34,114.03,115.07,9371635,117.0,0.0,118.34,114.03,115.07,1.0,9371635
CELG,2015-01-13 00:00:00+00:00,119.98,123.81,118.1801,118.55,11187136,119.98,0.0,123.81,118.1801,118.55,1.0,11187136
