symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CERN,2014-10-20 00:00:00+00:00,58.0206658529,58.0405632006,56.5880568195,56.6676462103,1305620,58.32,0.0,58.34,56.88,56.96,1.0,1305620
CERN,2014-10-21 00:00:00+00:00,58.8762518034,59.0851739541,57.9311277883,58.2096906559,1881453,59.18,0.0,59.39,58.23,58.51,1.0,1881453
CERN,2014-10-22 00:00:00+00:00,58.0007685052,59.095122628,57.9410764622,58.8563544557,2011086,58.3,0.0,59.4,58.24,59.16,1.0,2011086
CERN,2014-10-23 00:00:00+00:00,59.3935828433,59.9706059262,58.329074742,58.5678429143,2752807,59.7,0.0,60.28,58.63,58.87,1.0,2752807
CERN,2014-10-24 00:00:00+00:00,60.806294529,60.8560378982,58.8563544557,59.9009652093,2461882,61.12,0.0,61.17,59.16,60.21,1.0,2461882
CERN,2014-10-27 00:00:00+00:00,62.3085442793,62.4179796916,60.6073210521,60.8261918767,2255479,62.63,0.0,62.74,60.92,61.14,1.0,2255479
CERN,2014-10-28 00:00:00+00:00,62.9850541006,63.0944895129,62.0498787594,62.2886469316,1714231,63.31,0.0,63.42,62.37,62.61,1.0,1714231
CERN,2014-10-29 00:00:00+00:00,61.9702893686,63.0645440046,61.2340875042,63.0049514483,2271709,62.29,0.0,63.3899,61.55,63.33,1.0,2271709
CERN,2014-10-30 00:00:00+00:00,62.328441627,62.4080310177,61.5225990457,61.9404433471,1505334,62.65,0.0,62.73,61.84,62.26,1.0,1505334
CERN,2014-10-31 00:00:00+00:00,63.0149001221,63.5620771835,62.6567478638,63.5620771835,2126498,63.34,0.0,63.89,62.98,63.89,1.0,2126498
CERN,2014-11-03 00:00:00+00:00,62.9353107314,63.4227957497,62.7263885807,62.9950027745,1582531,63.26,0.0,63.75,63.05,63.32,1.0,1582531
CERN,2014-11-04 00:00:00+00:00,63.1541815559,63.5620771835,62.7860806238,62.8756186883,1318231,63.48,0.0,63.89,63.11,63.2,1.0,1318231
CERN,2014-11-05 00:00:00+00:00,62.8756186883,63.2337709467,62.5075177561,63.2337709467,1049439,63.2,0.0,63.56,62.83,63.56,1.0,1049439
CERN,2014-11-06 00:00:00+00:00,63.5521285097,63.6217692266,62.9353107314,63.1939762513,1094211,63.88,0.0,63.95,63.26,63.52,1.0,1094211
CERN,2014-11-07 00:00:00+00:00,62.6816195484,63.6317179004,62.380174731,63.6118205527,1695853,63.005,0.0,63.96,62.702,63.94,1.0,1695853
CERN,2014-11-10 00:00:00+00:00,63.0944895129,63.1143868606,62.2090575409,62.64679919,1304492,63.42,0.0,63.44,62.53,62.97,1.0,1304492
CERN,2014-11-11 00:00:00+00:00,62.7363372545,63.3631037067,62.4577743869,62.9154133837,961618,63.06,0.0,63.69,62.78,63.24,1.0,961618
CERN,2014-11-12 00:00:00+00:00,63.4874621297,63.6018718789,62.3383903008,62.5871071469,1177924,63.815,0.0,63.93,62.66,62.91,1.0,1177924
CERN,2014-11-13 00:00:00+00:00,64.1987923095,64.2883303741,63.3332576851,63.3332576851,1679534,64.53,0.0,64.62,63.66,63.66,1.0,1679534
