symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CHKP,2014-10-02 00:00:00+00:00,68.66,68.86,67.56,67.91,753877,68.66,0.0,68.86,67.56,67.91,1.0,753877
CHKP,2014-10-03 00:00:00+00:00,70.0,70.39,68.76,68.83,1027065,70.0,0.0,70.39,68.76,68.83,1.0,1027065
CHKP,2014-10-06 00:00:00+00:00,69.81,70.35,69.31,70.0,776235,69.81,0.0,70.35,69.31,70.0,1.0,776235
CHKP,2014-10-07 00:00:00+00:00,69.4,70.22,69.23,69.23,1073047,69.4,0.0,70.22,69.23,69.23,1.0,1073047
CHKP,2014-10-08 00:00:00+00:00,70.26,70.3,68.79,69.78,1051252,70.26,0.0,70.3,68.79,69.78,1.0,1051252
CHKP,2014-10-09 00:00:00+00:00,68.79,70.4,68.62,70.03,1133212,68.79,0.0,70.4,68.62,70.03,1.0,1133212
CHKP,2014-10-10 00:00:00+00:00,66.27,69.17,66.24,68.46,1728582,66.27,0.0,69.17,66.24,68.46,1.0,1728582
CHKP,2014-10-13 00:00:00+00:00,66.4,66.69,65.27,65.94,1313702,66.4,0.0,66.69,65.27,65.94,1.0,1313702
CHKP,2014-10-14 00:00:00+00:00,66.49,67.11,66.01,66.64,1211543,66.49,0.0,67.11,66.01,66.64,1.0,1211543
CHKP,2014-10-15 00:00:00+00:00,67.03,67.3,65.53,65.96,1287798,67.03,0.0,67.3,65.53,65.96,1.0,1287798
CHKP,2014-10-16 00:00:00+00:00,67.0,67.37,66.06,66.49,1122182,67.0,0.0,67.37,66.06,66.49,1.0,1122182
CHKP,2014-10-17 00:00:00+00:00,68.02,68.35,67.15,67.59,743077,68.02,0.0,68.35,67.15,67.59,1.0,743077
CHKP,2014-10-20 00:00:00+00:00,68.35,68.42,67.55,68.17,685672,68.35,0.0,68.42,67.55,68.17,1.0,685672
CHKP,2014-10-21 00:00:00+00:00,68.63,68.89,68.11,68.51,2015598,68.63,0.0,68.89,68.11,68.51,1.0,2015598
CHKP,2014-10-22 00:00:00+00:00,67.38,68.89,67.33,68.89,1346586,67.38,0.0,68.89,67.33,68.89,1.0,1346586
CHKP,2014-10-23 00:00:00+00:00,71.0,71.31,69.43,70.08,2786834,71.0,0.0,71.31,69.43,70.08,1.0,2786834
CHKP,2014-10-24 00:00:00+00:00,72.7,72.755,71.25,71.77,1130524,72.7,0.0,72.755,71.25,71.77,1.0,1130524
CHKP,2014-10-27 00:00:00+00:00,72.84,73.46,72.3,72.56,1400564,72.84,0.0,73.46,72.3,72.56,1.0,1400564
CHKP,2014-10-28 00:00:00+00:00,73.47,73.69,72.84,73.0,1279906,73.47,0.0,73.69,72.84,73.0,1.0,1279906
CHKP,2014-10-29 00:00:00+00:00,73.59,74.0,73.41,73.61,1041434,73.59,0.0,74.0,73.41,73.61,1.0,1041434
CHKP,2014-10-30 00:00:00+00:00,73.91,73.99,73.02,73.02,1019101,73.91,0.0,73.99,73.02,73.02,1.0,1019101
CHKP,2014-10-31 00:00:00+00:00,74.25,74.88,74.02,74.8,835895,74.25,0.0,74.88,74.02,74.8,1.0,835895
CHKP,2014-11-03 00:00:00+00:00,73.7,74.34,73.65,74.01,976167,73.7,0.0,74.34,73.65,74.01,1.0,976167
CHKP,2014-11-04 00:00:00+00:00,73.84,73.98,73.16,73.34,889647,73.84,0.0,73.98,73.16,73.34,1.0,889647
CHKP,2014-11-05 00:00:00+00:00,73.89,74.11,73.65,74.0,819653,73.89,0.0,74.11,73.65,74.0,1.0,819653
CHKP,2014-11-06 00:00:00+00:00,74.51,74.746,73.87,73.95,877385,74.51,0.0,74.746,73.87,73.95,1.0,877385
CHKP,2014-11-07 00:00:00+00:00,74.665,74.89,74.24,74.62,551304,74.665,0.0,74.89,74.24,74.62,1.0,551304
CHKP,2014-11-10 00:00:00+00:00,74.73,74.99,74.24,74.4,655599,74.73,0.0,74.99,74.24,74.4,1.0,655599
CHKP,2014-11-11 00:00:00+00:00,74.85,75.11,74.5205,74.87,773483,74.85,0.0,75.11,74.5205,74.87,1.0,773483
CHKP,2014-11-12 00:00:00+00:00,75.8,76.28,74.87,75.28,1306251,75.8,0.0,76.28,74.87,75.28,1.0,1306251
CHKP,2014-11-13 00:00:00+00:00,76.64,76.93,75.8,76.01,1020209,76.64,0.0,76.93,75.8,76.01,1.0,1020209
CHKP,2014-11-14 00:00:00+00:00,76.39,77.14,75.9,76.25,828293,76.39,0.0,77.14,75.9,76.25,1.0,828293
CHKP,2014-11-17 00:00:00+00:00,76.67,77.01,76.35,76.44,917190,76.67,0.0,77.01,76.35,76.44,1.0,917190
CHKP,2014-11-18 00:00:00+00:00,76.53,77.11,76.3,76.51,594606,76.53,0.0,77.11,76.3,76.51,1.0,594606
CHKP,2014-11-19 00:00:00+00:00,76.21,76.71,75.81,76.21,1022487,76.21,0.0,76.71,75.81,76.21,1.0,1022487
CHKP,2014-11-20 00:00:00+00:00,76.03,76.73,75.85,76.21,1019087,76.03,0.0,76.73,75.85,76.21,1.0,1019087
