symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CHTR,2014-10-02 00:00:00+00:00,148.85,149.27,146.66,148.52,1760405,148.85,0.0,149.27,146.66,148.52,1.0,1760405
CHTR,2014-10-03 00:00:00+00:00,152.67,153.69,149.67,150.14,1161158,152.67,0.0,153.69,149.67,150.14,1.0,1161158
CHTR,2014-10-06 00:00:00+00:00,153.53,153.96,152.63,153.38,820337,153.53,0.0,153.96,152.63,153.38,1.0,820337
CHTR,2014-10-07 00:00:00+00:00,151.66,153.075,151.49,152.25,698999,151.66,0.0,153.075,151.49,152.25,1.0,698999
CHTR,2014-10-08 00:00:00+00:00,154.25,154.65,151.14,151.78,969681,154.25,0.0,154.65,151.14,151.78,1.0,969681
CHTR,2014-10-09 00:00:00+00:00,151.35,154.21,150.88,154.21,504183,151.35,0.0,154.21,150.88,154.21,1.0,504183
CHTR,2014-10-10 00:00:00+00:00,148.12,151.9,147.8,150.53,808982,148.12,0.0,151.9,147.8,150.53,1.0,808982
CHTR,2014-10-13 00:00:00+00:00,144.65,149.26,144.37,147.64,960952,144.65,0.0,149.26,144.37,147.64,1.0,960952
CHTR,2014-10-14 00:00:00+00:00,142.97,146.075,142.15,145.09,1454673,142.97,0.0,146.075,142.15,145.09,1.0,1454673
CHTR,2014-10-15 00:00:00+00:00,142.45,143.26,138.84,141.64,1698361,142.45,0.0,143.26,138.84,141.64,1.0,1698361
CHTR,2014-10-16 00:00:00+00:00,140.25,142.342,137.5101,140.75,1861370,140.25,0.0,142.342,137.5101,140.75,1.0,1861370
CHTR,2014-10-17 00:00:00+00:00,143.8,145.35,141.176,141.63,1237736,143.8,0.0,145.35,141.176,141.63,1.0,1237736
CHTR,2014-10-20 00:00:00+00:00,148.18,148.3,143.4,143.9,1409740,148.18,0.0,148.3,143.4,143.9,1.0,1409740
CHTR,2014-10-21 00:00:00+00:00,152.61,154.18,148.67,150.4,1150299,152.61,0.0,154.18,148.67,150.4,1.0,1150299
CHTR,2014-10-22 00:00:00+00:00,151.14,153.87,150.7,153.29,599294,151.14,0.0,153.87,150.7,153.29,1.0,599294
CHTR,2014-10-23 00:00:00+00:00,156.04,156.39,151.61,152.97,765473,156.04,0.0,156.39,151.61,152.97,1.0,765473
