symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CMCSA,2014-10-02 00:00:00+00:00,24.2293946921,24.2890052393,23.6777678599,24.2248092654,36106320,52.84,0.0,52.97,51.637,52.83,1.0,18053160
CMCSA,2014-10-03 00:00:00+00:00,24.600814255,24.777353183,24.2477363989,24.2477363989,29002888,53.65,0.0,54.035,52.88,52.88,1.0,14501444
CMCSA,2014-10-06 00:00:00+00:00,24.4815931607,24.7154499225,24.4173971869,24.6420830953,16436644,53.39,0.0,53.9,53.25,53.74,1.0,8218322
CMCSA,2014-10-07 00:00:00+00:00,24.4036409068,24.5389109945,24.1331007314,24.3852992,24809044,53.22,0.0,53.515,52.63,53.18,1.0,12404522
CMCSA,2014-10-08 00:00:00+00:00,25.1143820456,25.3138481071,24.3623720665,24.4815931607,45371678,54.77,0.0,55.205,53.13,53.39,1.0,22685839
CMCSA,2014-10-09 00:00:00+00:00,24.4494951738,25.1189674723,24.4357388937,25.1143820456,37937074,53.32,0.0,54.78,53.29,54.77,1.0,18968537
CMCSA,2014-10-10 00:00:00+00:00,24.1285153047,24.6971082157,24.1147590246,24.4999348675,55154760,52.62,0.0,53.86,52.59,53.43,1.0,27577380
CMCSA,2014-10-13 00:00:00+00:00,23.6791434879,24.3165177995,23.647045501,23.9955379303,44246702,51.64,0.0,53.03,51.57,52.33,1.0,22123351
CMCSA,2014-10-14 00:00:00+00:00,23.601191234,24.0047087837,23.5507515403,23.8671459827,53808578,51.47,0.0,52.35,51.36,52.05,1.0,26904289
CMCSA,2014-10-15 00:00:00+00:00,23.3168947785,23.5140681267,22.6199099198,23.2756259382,82495042,50.85,0.0,51.28,49.33,50.76,1.0,41247521
CMCSA,2014-10-16 00:00:00+00:00,22.7391310141,23.0463546031,22.7116184538,22.9729877758,89564832,49.59,0.0,50.26,49.53,50.1,1.0,44782416
CMCSA,2014-10-17 00:00:00+00:00,23.2389425245,23.6149475141,22.9179626554,22.9179626554,58475974,50.68,0.0,51.5,49.98,49.98,1.0,29237987
CMCSA,2014-10-20 00:00:00+00:00,23.5232389801,23.5943130939,23.0303056096,23.2389425245,28390932,51.3,0.0,51.455,50.225,50.68,1.0,14195466
CMCSA,2014-10-21 00:00:00+00:00,23.9313419565,24.2018821319,23.6699726345,23.6974851947,56237468,52.19,0.0,52.78,51.62,51.68,1.0,28118734
CMCSA,2014-10-22 00:00:00+00:00,23.6103620874,24.1193444513,23.5461661136,23.9313419565,44764328,51.49,0.0,52.6,51.35,52.19,1.0,22382164
CMCSA,2014-10-23 00:00:00+00:00,24.4036409068,24.5412037078,23.8006572955,23.9267565298,43760482,53.22,0.0,53.52,51.905,52.18,1.0,21880241
CMCSA,2014-10-24 00:00:00+00:00,24.8805252838,25.0685277786,24.4999348675,24.6191559618,44809830,54.26,0.0,54.67,53.43,53.69,1.0,22404915
CMCSA,2014-10-27 00:00:00+00:00,24.784231323,25.0089172314,24.6787665089,24.8575981503,26566318,54.05,0.0,54.54,53.82,54.21,1.0,13283159
CMCSA,2014-10-28 00:00:00+00:00,25.0960403388,25.2404812799,24.8300855901,24.8300855901,29059238,54.73,0.0,55.045,54.15,54.15,1.0,14529619
CMCSA,2014-10-29 00:00:00+00:00,25.1739925927,25.1877488728,24.9217941241,25.0318443649,33287400,54.9,0.0,54.93,54.35,54.59,1.0,16643700
CMCSA,2014-10-30 00:00:00+00:00,24.9217941241,25.1716998793,24.7956948898,24.953892111,26433386,54.35,0.0,54.895,54.075,54.42,1.0,13216693
CMCSA,2014-10-31 00:00:00+00:00,25.3803367943,25.5362413021,25.1097966189,25.5362413021,35386286,55.35,0.0,55.69,54.76,55.69,1.0,17693143
