symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
COST,2014-10-02 00:00:00+00:00,110.8150726904,111.1850729331,109.9605483204,110.1103103234,1545842,125.79,0.0,126.21,124.82,124.99,1.0,1545842
COST,2014-10-03 00:00:00+00:00,111.9603115369,112.4536451938,111.0088823414,111.1762634035,1770671,127.09,0.0,127.65,126.01,126.2,1.0,1770671
COST,2014-10-06 00:00:00+00:00,111.1850729331,112.471264253,110.9384061047,112.3743594275,1907467,126.21,0.0,127.67,125.93,127.56,1.0,1907467
COST,2014-10-07 00:00:00+00:00,110.3569771518,110.8503108088,109.8988816133,110.4274533885,2335221,125.27,0.0,125.83,124.75,125.35,1.0,2335221
COST,2014-10-08 00:00:00+00:00,113.4050743894,113.5988840403,112.021978244,112.9381693212,4266976,128.73,0.0,128.95,127.16,128.2,1.0,4266976
COST,2014-10-09 00:00:00+00:00,113.1231694425,115.1757898366,112.9293597916,112.9557883804,2963699,128.41,0.0,130.74,128.19,128.22,1.0,2963699
COST,2014-10-10 00:00:00+00:00,113.5548363924,115.766028319,112.9910264987,112.9910264987,3353581,128.9,0.0,131.41,128.26,128.26,1.0,3353581
COST,2014-10-13 00:00:00+00:00,111.8545971818,113.5107887444,111.7841209451,113.264121916,2446184,126.97,0.0,128.85,126.89,128.57,1.0,2446184
COST,2014-10-14 00:00:00+00:00,111.2203110515,112.7443596703,110.3569771518,112.32150225,4003560,126.25,0.0,127.98,125.27,127.5,1.0,4003560
COST,2014-10-15 00:00:00+00:00,109.5024527818,110.7357869241,108.6038807638,110.2072151488,3784798,124.3,0.0,125.7,123.28,125.1,1.0,3784798
COST,2014-10-16 00:00:00+00:00,108.3131662874,109.1060239503,107.5203086244,108.0753089885,3543012,122.95,0.0,123.85,122.05,122.68,1.0,3543012
COST,2014-10-17 00:00:00+00:00,109.8107863174,110.7798345721,108.5157854679,109.0355477136,3199186,124.65,0.0,125.75,123.18,123.77,1.0,3199186
COST,2014-10-20 00:00:00+00:00,113.1319789721,113.5284078036,109.8107863174,109.96935785,3506170,128.42,0.0,128.87,124.65,124.83,1.0,3506170
COST,2014-10-21 00:00:00+00:00,114.7705514755,115.0965040703,112.9117407324,113.5900745107,2105624,130.28,0.0,130.65,128.17,128.94,1.0,2105624
COST,2014-10-22 00:00:00+00:00,114.9995992448,115.9245998516,114.8057895939,115.017218304,1879960,130.54,0.0,131.59,130.32,130.56,1.0,1879960
COST,2014-10-23 00:00:00+00:00,115.0436468928,115.8276950261,114.8322181827,115.4312661947,1763755,130.59,0.0,131.48,130.35,131.03,1.0,1763755
COST,2014-10-24 00:00:00+00:00,114.911503949,114.9995992448,113.2553123864,113.2729314455,2490256,130.44,0.0,130.54,128.56,128.58,1.0,2490256
COST,2014-10-27 00:00:00+00:00,115.3343613692,115.6337972799,113.8543603984,113.8543603984,1629582,130.92,0.0,131.2599,129.24,129.24,1.0,1629582
COST,2014-10-28 00:00:00+00:00,115.4576947834,115.8453140853,114.6648371205,115.3784090171,1439800,131.06,0.0,131.5,130.16,130.97,1.0,1439800
COST,2014-10-29 00:00:00+00:00,116.2241238576,116.2857905647,115.3431708988,115.660313964,1705814,131.93,0.0,132.0,130.93,131.29,1.0,1705814
COST,2014-10-30 00:00:00+00:00,117.1667435235,117.4398389408,115.6955520823,115.8453140853,1302063,133.0,0.0,133.31,131.33,131.5,1.0,1302063
COST,2014-10-31 00:00:00+00:00,117.4926961183,118.4881729618,116.9112671655,118.4441253138,2373896,133.37,0.0,134.5,132.71,134.45,1.0,2373896
COST,2014-11-03 00:00:00+00:00,118.2855537813,118.3031728404,117.4926961183,117.8891249498,1949226,134.27,0.0,134.29,133.37,133.82,1.0,1949226
COST,2014-11-04 00:00:00+00:00,120.2941265274,120.4438885304,118.0388869528,118.5850777873,2802823,136.55,0.0,136.72,133.99,134.61,1.0,2802823
COST,2014-11-05 00:00:00+00:00,120.2500788794,121.4041272555,119.8360309888,121.1222223087,2116797,136.5,0.0,137.81,136.03,137.49,1.0,2116797
COST,2014-11-06 00:00:00+00:00,120.7698411251,121.2807938413,120.3381741753,121.0341270128,1685940,137.09,0.0,137.67,136.6,137.39,1.0,1685940
COST,2014-11-07 00:00:00+00:00,121.3160319596,121.4916939796,120.2677860339,120.7346030068,1589448,137.71,0.0,137.9094,136.5201,137.05,1.0,1589448
COST,2014-11-10 00:00:00+00:00,121.2984129004,121.4746034922,119.7919833408,121.4393653738,1958039,137.69,0.0,137.89,135.98,137.85,1.0,1958039
COST,2014-11-11 00:00:00+00:00,120.7346030068,121.5274606697,120.3909432575,121.3776986667,1495574,137.05,0.0,137.95,136.6599,137.78,1.0,1495574
COST,2014-11-12 00:00:00+00:00,120.9151983633,121.3126551878,120.256038301,120.7385508858,1910222,136.9,0.355,137.35,136.1537,136.7,1.0,1910222
COST,2014-11-13 00:00:00+00:00,122.5138580349,122.5580199043,121.3038228139,121.5687940302,2235941,138.71,0.0,138.76,137.34,137.64,1.0,2235941
COST,2014-11-14 00:00:00+00:00,122.3107134358,122.7081702602,121.9486744306,122.7081702602,1598624,138.48,0.0,138.93,138.0701,138.93,1.0,1598624
COST,2014-11-17 00:00:00+00:00,122.3018810619,122.3283781835,121.1890019535,121.1890019535,1228116,138.47,0.0,138.5,137.21,137.21,1.0,1228116
COST,2014-11-18 00:00:00+00:00,122.9554767287,123.0702975891,121.9220889852,122.3107134358,1574757,139.21,0.0,139.34,138.04,138.48,1.0,1574757
COST,2014-11-19 00:00:00+00:00,123.6620666388,123.77997883,122.8494882422,122.8494882422,1362597,140.01,0.0,140.1435,139.09,139.09,1.0,1362597
COST,2014-11-20 00:00:00+00:00,122.9908062242,123.6620666388,122.7876616251,122.8229911206,1518294,139.25,0.0,140.01,139.02,139.06,1.0,1518294
COST,2014-11-21 00:00:00+00:00,123.4059277964,124.3863212966,122.9731414765,124.359824175,1849219,139.72,0.0,140.83,139.23,140.8,1.0,1849219
COST,2014-11-24 00:00:00+00:00,123.4765867874,123.644401891,122.937811981,123.0614652152,1645815,139.8,0.0,139.99,139.19,139.33,1.0,1645815
COST,2014-11-25 00:00:00+00:00,122.6551760169,123.9623673506,122.5403551565,123.7415580037,1865793,138.87,0.0,140.35,138.74,140.1,1.0,1865793
COST,2014-11-26 00:00:00+00:00,123.432424918,124.430483166,122.8053263728,123.2116155711,1631937,139.75,0.0,140.88,139.04,139.5,1.0,1631937
COST,2014-11-28 00:00:00+00:00,125.5256975266,126.2763609824,123.9252713803,124.8014428688,1442598,142.12,0.0,142.9699,140.308,141.3,1.0,1442598
COST,2014-12-01 00:00:00+00:00,125.4020442924,126.5855823918,124.7749457472,126.5855823918,1952149,141.98,0.0,143.32,141.27,143.32,1.0,1952149
COST,2014-12-02 00:00:00+00:00,126.355940671,126.611196276,125.2077320671,125.7995011168,1765406,143.06,0.0,143.349,141.76,142.43,1.0,1765406
COST,2014-12-03 00:00:00+00:00,126.0291428376,126.567917644,125.4020442924,126.28528168,1795877,142.69,0.0,143.3,141.98,142.98,1.0,1795877
COST,2014-12-04 00:00:00+00:00,126.3206111755,126.7357327477,125.4373737879,126.7357327477,1324093,143.02,0.0,143.49,142.02,143.49,1.0,1324093
COST,2014-12-05 00:00:00+00:00,126.5237557746,126.5767500179,125.385262782,126.4619291575,1198018,143.25,0.0,143.31,141.961,143.18,1.0,1198018
COST,2014-12-08 00:00:00+00:00,125.711177378,126.3471082971,125.3755471708,126.3471082971,1946175,142.33,0.0,143.05,141.95,143.05,1.0,1946175
COST,2014-12-09 00:00:00+00:00,126.3382759232,126.4177672881,124.430483166,125.5345299005,2094901,143.04,0.0,143.13,140.88,142.13,1.0,2094901
COST,2014-12-10 00:00:00+00:00,123.8740436118,129.6769132484,123.1232918324,128.0164269597,4919143,140.25,0.0,146.82,139.4,144.94,1.0,4919143
COST,2014-12-11 00:00:00+00:00,124.8985989814,126.0203104637,124.2450033146,124.6159630174,2401295,141.41,0.0,142.68,140.67,141.09,1.0,2401295
COST,2014-12-12 00:00:00+00:00,121.7807710032,124.8544371121,121.7366091338,123.644401891,3672019,137.88,0.0,141.36,137.83,139.99,1.0,3672019
COST,2014-12-15 00:00:00+00:00,122.0545745934,123.2116155711,121.0565163454,122.4608637917,2456713,138.19,0.0,139.5,137.06,138.65,1.0,2456713
COST,2014-12-16 00:00:00+00:00,121.2773256923,123.0349680936,120.6060652777,122.3548753051,2470072,137.31,0.0,139.3,136.55,138.53,1.0,2470072
COST,2014-12-17 00:00:00+00:00,123.0614652152,123.3176040576,120.8092098768,121.2773256923,2428540,139.33,0.0,139.62,136.78,137.31,1.0,2428540
COST,2014-12-18 00:00:00+00:00,125.0310845896,125.0310845896,123.0261357197,123.8122169947,2903401,141.56,0.0,141.56,139.29,140.18,1.0,2903401
COST,2014-12-19 00:00:00+00:00,125.216564441,125.8613277339,124.8279399904,124.9780903463,4029974,141.77,0.0,142.5,141.33,141.5,1.0,4029974
COST,2014-12-22 00:00:00+00:00,126.4884262791,126.5414205224,125.287223432,125.7200097519,1776902,143.21,0.0,143.27,141.85,142.34,1.0,1776902
COST,2014-12-23 00:00:00+00:00,127.3186694235,128.0429240813,126.8947154774,127.6542996308,1464516,144.15,0.0,144.97,143.67,144.53,1.0,1464516
COST,2014-12-24 00:00:00+00:00,126.8770507297,127.9501841556,126.8328888603,127.6807967524,738668,143.65,0.0,144.865,143.6,144.56,1.0,738668
COST,2014-12-26 00:00:00+00:00,126.6915708783,127.071362955,126.3736054188,126.8417212342,1233068,143.44,0.0,143.87,143.08,143.61,1.0,1233068
COST,2014-12-29 00:00:00+00:00,126.6032471395,127.0536982072,126.073304707,126.6120795134,1364395,143.34,0.0,143.85,142.74,143.35,1.0,1364395
COST,2014-12-30 00:00:00+00:00,126.7357327477,127.2656751802,126.3029464277,126.3029464277,1158803,143.49,0.0,144.09,143.0,143.0,1.0,1158803
COST,2014-12-31 00:00:00+00:00,125.1988996932,127.3010046757,125.14590545,126.7357327477,1485064,141.75,0.0,144.13,141.69,143.49,1.0,1485064
COST,2015-01-02 00:00:00+00:00,125.075246459,126.4354320359,124.3721894984,125.3048881797,1471736,141.61,0.0,143.15,140.814,141.87,1.0,1471736
COST,2015-01-05 00:00:00+00:00,123.6532342649,125.5610270222,123.4765867874,125.14590545,1751693,140.0,0.0,142.16,139.8,141.69,1.0,1751693
COST,2015-01-06 00:00:00+00:00,125.287223432,126.2499521845,123.5207486568,124.1920090714,3187950,141.85,0.0,142.94,139.85,140.61,1.0,3187950
COST,2015-01-07 00:00:00+00:00,127.4688197794,127.565975892,125.7376744997,125.9496514727,2171551,144.32,0.0,144.43,142.36,142.6,1.0,2171551
COST,2015-01-08 00:00:00+00:00,128.56403414,129.0409823293,128.0164269597,128.56403414,2937674,145.56,0.0,146.1,144.94,145.56,1.0,2937674
COST,2015-01-09 00:00:00+00:00,126.5855823918,128.1135830723,126.497258653,127.6101377614,1714650,143.32,0.0,145.05,143.22,144.48,1.0,1714650
COST,2015-01-12 00:00:00+00:00,125.8789924817,127.3275017974,125.5256975266,126.8152241126,1344803,142.52,0.0,144.16,142.12,143.58,1.0,1344803
COST,2015-01-13 00:00:00+00:00,124.6159630174,127.5483111443,123.9976968461,125.5963565177,2200910,141.09,0.0,144.41,140.39,142.2,1.0,2200910
COST,2015-01-14 00:00:00+00:00,123.0438004675,123.8387141163,122.0987364627,123.6620666388,2208252,139.31,0.0,140.21,138.24,140.01,1.0,2208252
COST,2015-01-15 00:00:00+00:00,123.0438004675,123.8033846208,122.43436667,123.6090723955,1821110,139.31,0.0,140.17,138.62,139.95,1.0,1821110
COST,2015-01-16 00:00:00+00:00,123.4059277964,123.6179047694,122.081071715,122.8053263728,1784806,139.72,0.0,139.96,138.22,139.04,1.0,1784806
