symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CSCO,2014-10-20 00:00:00+00:00,19.5847791054,19.7128958461,19.3797923201,19.5591557572,34386940,22.93,0.0,23.08,22.69,22.9,1.0,34386940
CSCO,2014-10-21 00:00:00+00:00,20.0801638363,20.1570338808,19.6104024535,19.7299780782,33712736,23.51,0.0,23.6,22.96,23.1,1.0,33712736
CSCO,2014-10-22 00:00:00+00:00,19.8666359351,20.2253628092,19.849553703,20.2168216932,25172891,23.26,0.0,23.68,23.24,23.67,1.0,25172891
CSCO,2014-10-23 00:00:00+00:00,20.1271399746,20.2936917376,20.0032937919,20.1655749968,21669864,23.565,0.0,23.76,23.42,23.61,1.0,21669864
CSCO,2014-10-24 00:00:00+00:00,20.3107739697,20.3278562018,20.0374582561,20.1570338808,19947265,23.78,0.0,23.8,23.46,23.6,1.0,19947265
CSCO,2014-10-27 00:00:00+00:00,20.2936917376,20.3363973179,20.1570338808,20.1741161129,16862666,23.76,0.0,23.81,23.6,23.62,1.0,16862666
CSCO,2014-10-28 00:00:00+00:00,20.5541957772,20.5584663352,20.3449384339,20.3449384339,17798567,24.065,0.0,24.07,23.82,23.82,1.0,17798567
CSCO,2014-10-29 00:00:00+00:00,20.5840896834,20.7549120044,20.4303495944,20.5072196389,18885487,24.1,0.0,24.3,23.92,24.01,1.0,18885487
CSCO,2014-10-30 00:00:00+00:00,20.5670074513,20.6267952636,20.3961851302,20.4986785228,32212022,24.08,0.0,24.15,23.88,24.0,1.0,32212022
CSCO,2014-10-31 00:00:00+00:00,20.9001109772,21.0453099501,20.6524186118,21.0026043699,30379143,24.47,0.0,24.64,24.18,24.59,1.0,30379143
CSCO,2014-11-03 00:00:00+00:00,20.9940632538,21.0026043699,20.8830287451,20.8830287451,16383403,24.58,0.0,24.59,24.45,24.45,1.0,16383403
CSCO,2014-11-04 00:00:00+00:00,21.2502967353,21.2759200835,20.9940632538,21.0111454859,24620912,24.88,0.0,24.91,24.58,24.6,1.0,24620912
CSCO,2014-11-05 00:00:00+00:00,21.4809068687,21.4979891008,21.2161322711,21.3271667798,21979615,25.15,0.0,25.17,24.84,24.97,1.0,21979615
CSCO,2014-11-06 00:00:00+00:00,21.5748591453,21.5927100778,21.3698723601,21.4382012885,18373704,25.26,0.0,25.2809,25.02,25.1,1.0,18373704
CSCO,2014-11-07 00:00:00+00:00,21.6346469576,21.69443477,21.4903020964,21.6090236095,34001930,25.33,0.0,25.4,25.161,25.3,1.0,34001930
CSCO,2014-11-10 00:00:00+00:00,21.4809068687,21.5492357971,21.2502967353,21.3869545922,32152676,25.15,0.0,25.23,24.88,25.04,1.0,32152676
CSCO,2014-11-11 00:00:00+00:00,21.4809068687,21.527883007,21.3698723601,21.523612449,19810746,25.15,0.0,25.205,25.02,25.2,1.0,19810746
CSCO,2014-11-12 00:00:00+00:00,21.4467424045,21.5150713329,21.2502967353,21.2759200835,42258841,25.11,0.0,25.19,24.88,24.91,1.0,42258841
CSCO,2014-11-13 00:00:00+00:00,21.9335860194,22.1129494565,21.2502967353,21.2930023156,57138794,25.68,0.0,25.89,24.88,24.93,1.0,57138794
CSCO,2014-11-14 00:00:00+00:00,22.4802174467,22.4930291208,21.9079626713,22.0019149479,48667002,26.32,0.0,26.335,25.65,25.76,1.0,48667002
CSCO,2014-11-17 00:00:00+00:00,22.6040636295,22.6766631159,22.2069017331,22.3008540096,33224017,26.465,0.0,26.55,26.0,26.11,1.0,33224017
CSCO,2014-11-18 00:00:00+00:00,22.7150981381,22.8389443209,22.5485463751,22.6339575356,27223508,26.595,0.0,26.74,26.4,26.5,1.0,27223508
CSCO,2014-11-19 00:00:00+00:00,22.7108275801,22.7364509283,22.4631352146,22.702286464,19882486,26.59,0.0,26.62,26.3,26.58,1.0,19882486
CSCO,2014-11-20 00:00:00+00:00,22.8987321332,22.9243554814,22.5058407949,22.6254164196,23440083,26.81,0.0,26.84,26.35,26.49,1.0,23440083
CSCO,2014-11-21 00:00:00+00:00,22.9585199456,23.1037189185,22.7791565085,23.0183077579,31912110,26.88,0.0,27.05,26.67,26.95,1.0,31912110
CSCO,2014-11-24 00:00:00+00:00,23.0866366864,23.1635067308,22.9585199456,22.9585199456,26994796,27.03,0.0,27.12,26.88,26.88,1.0,26994796
CSCO,2014-11-25 00:00:00+00:00,23.3001645876,23.3172468197,23.0866366864,23.0866366864,28110097,27.28,0.0,27.3,27.03,27.03,1.0,28110097
CSCO,2014-11-26 00:00:00+00:00,23.4240107704,23.4539046766,23.1805889629,23.3172468197,19466245,27.425,0.0,27.46,27.14,27.3,1.0,19466245
CSCO,2014-11-28 00:00:00+00:00,23.6076447655,23.7272203902,23.368493516,23.5051513729,18138915,27.64,0.0,27.78,27.36,27.52,1.0,18138915
CSCO,2014-12-01 00:00:00+00:00,23.5649391852,23.5820214173,23.3428701679,23.4880691408,19670218,27.59,0.0,27.61,27.33,27.5,1.0,19670218
CSCO,2014-12-02 00:00:00+00:00,23.7613848544,23.8809604791,23.5734803013,23.5734803013,28247406,27.82,0.0,27.96,27.6,27.6,1.0,28247406
CSCO,2014-12-03 00:00:00+00:00,23.8724193631,23.9023132692,23.4966102568,23.6674325778,27864048,27.95,0.0,27.985,27.51,27.71,1.0,27864048
CSCO,2014-12-04 00:00:00+00:00,23.7186792741,23.9023132692,23.5563980692,23.8467960149,23801217,27.77,0.0,27.985,27.58,27.92,1.0,23801217
CSCO,2014-12-05 00:00:00+00:00,23.4880691408,23.7870082025,23.4026579802,23.7357615062,26722292,27.5,0.0,27.85,27.4,27.79,1.0,26722292
CSCO,2014-12-08 00:00:00+00:00,23.2574590074,23.5136924889,23.189130079,23.4197402123,24275919,27.23,0.0,27.53,27.15,27.42,1.0,24275919
CSCO,2014-12-09 00:00:00+00:00,23.4197402123,23.4709869087,22.9158143653,23.0183077579,25885899,27.42,0.0,27.48,26.83,26.95,1.0,25885899
CSCO,2014-12-10 00:00:00+00:00,22.9499788295,23.364222958,22.8816499011,23.2830823555,31773365,26.87,0.0,27.355,26.79,27.26,1.0,31773365
CSCO,2014-12-11 00:00:00+00:00,23.0524722221,23.368493516,23.0097666419,23.03538999,22904616,26.99,0.0,27.36,26.94,26.97,1.0,22904616
