symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CSX,2014-10-02 00:00:00+00:00,28.6121047949,28.7125301787,28.2651807419,28.5162442013,8520853,31.34,0.0,31.45,30.96,31.235,1.0,8520853
CSX,2014-10-03 00:00:00+00:00,29.1507500352,29.2237866779,28.7937834438,28.8859922052,4383366,31.93,0.0,32.01,31.539,31.64,1.0,4383366
CSX,2014-10-06 00:00:00+00:00,29.27856416,29.5159332489,29.2146570976,29.3516008027,6435531,32.07,0.0,32.33,32.0,32.15,1.0,6435531
CSX,2014-10-07 00:00:00+00:00,28.3929948667,29.1233612941,28.374735706,29.1233612941,5709041,31.1,0.0,31.9,31.08,31.9,1.0,5709041
CSX,2014-10-08 00:00:00+00:00,28.7490485001,28.7946964018,28.0369412333,28.3564765453,7420578,31.49,0.0,31.54,30.71,31.06,1.0,7420578
CSX,2014-10-09 00:00:00+00:00,28.055200394,28.7216597591,27.9639045906,28.5573273129,7717324,30.73,0.0,31.46,30.63,31.28,1.0,7717324
CSX,2014-10-10 00:00:00+00:00,27.3339635469,28.0917187154,27.1605015204,28.0917187154,12252531,29.94,0.0,30.77,29.75,30.77,1.0,12252531
CSX,2014-10-13 00:00:00+00:00,28.9407696873,31.1227393893,28.8586034642,30.5932237294,40334940,31.7,0.0,34.09,31.61,33.51,1.0,40334940
CSX,2014-10-14 00:00:00+00:00,29.7715614985,30.1184855515,29.01380633,29.01380633,19081610,32.61,0.0,32.99,31.78,31.78,1.0,19081610
CSX,2014-10-15 00:00:00+00:00,30.1093559712,30.3558546405,28.3016990633,28.3108286436,16090903,32.98,0.0,33.25,31.0,31.01,1.0,16090903
CSX,2014-10-16 00:00:00+00:00,30.1093559712,30.8032040773,29.6620065344,29.7989502395,15307568,32.98,0.0,33.74,32.49,32.64,1.0,15307568
CSX,2014-10-17 00:00:00+00:00,30.9127590414,31.0405731662,30.3467250601,30.3741138011,10143730,33.86,0.0,34.0,33.24,33.27,1.0,10143730
CSX,2014-10-20 00:00:00+00:00,30.5932237294,30.6662603721,29.5159332489,29.5524515703,19287206,33.51,0.0,33.59,32.33,32.37,1.0,19287206
CSX,2014-10-21 00:00:00+00:00,31.223164773,31.4240155406,30.7484265952,30.87624072,13052202,34.2,0.0,34.42,33.68,33.82,1.0,13052202
CSX,2014-10-22 00:00:00+00:00,31.0223140055,31.3053309961,30.7712505461,31.1318689696,12060534,33.98,0.0,34.29,33.705,34.1,1.0,12060534
CSX,2014-10-23 00:00:00+00:00,31.7891987543,32.2821960928,31.4331451209,31.4696634423,8917156,34.82,0.0,35.36,34.43,34.47,1.0,8917156
CSX,2014-10-24 00:00:00+00:00,32.2274186108,32.2639369321,31.6157367278,31.834846656,5082465,35.3,0.0,35.34,34.63,34.87,1.0,5082465
CSX,2014-10-27 00:00:00+00:00,31.9261424594,32.2913256732,31.7526804329,32.1909002894,5792050,34.97,0.0,35.37,34.78,35.26,1.0,5792050
CSX,2014-10-28 00:00:00+00:00,32.2182890304,32.4100102176,31.9261424594,32.1087340663,5540342,35.29,0.0,35.5,34.97,35.17,1.0,5540342
CSX,2014-10-29 00:00:00+00:00,31.5700888261,31.7526804329,31.3966267996,31.6157367278,5464823,34.58,0.0,34.78,34.39,34.63,1.0,5464823
CSX,2014-10-30 00:00:00+00:00,32.2182890304,32.5652130835,31.9717903612,32.3095848339,6752287,35.29,0.0,35.67,35.02,35.39,1.0,6752287
CSX,2014-10-31 00:00:00+00:00,32.5286947621,32.8208413331,32.3734918963,32.6199905655,6253779,35.63,0.0,35.95,35.46,35.73,1.0,6253779
CSX,2014-11-03 00:00:00+00:00,32.2913256732,32.6382497262,32.0083086825,32.6291201459,5472096,35.37,0.0,35.75,35.06,35.74,1.0,5472096
CSX,2014-11-04 00:00:00+00:00,31.5883479868,32.2091594501,31.5700888261,31.7983283346,17314752,34.6,0.0,35.28,34.58,34.83,1.0,17314752
CSX,2014-11-05 00:00:00+00:00,31.5700888261,31.7526804329,31.3966267996,31.6157367278,14856203,34.58,0.0,34.78,34.39,34.63,1.0,14856203
CSX,2014-11-06 00:00:00+00:00,32.0722157449,32.1680763385,31.6248663081,31.6248663081,6046278,35.13,0.0,35.235,34.64,34.64,1.0,6046278
CSX,2014-11-07 00:00:00+00:00,32.3643623159,32.4830468604,32.154381968,32.154381968,11893308,35.45,0.0,35.58,35.22,35.22,1.0,11893308
CSX,2014-11-10 00:00:00+00:00,33.377745734,33.3960048947,32.5013060211,32.5195651817,7539486,36.56,0.0,36.58,35.6,35.62,1.0,7539486
CSX,2014-11-11 00:00:00+00:00,33.5146894391,33.5570506919,33.1677653861,33.3686161536,6521750,36.71,0.0,36.7564,36.33,36.55,1.0,6521750
CSX,2014-11-12 00:00:00+00:00,33.5694669212,33.6333739836,33.2271076583,33.3686161536,7237454,36.77,0.0,36.84,36.395,36.55,1.0,7237454
CSX,2014-11-13 00:00:00+00:00,33.4416527964,33.7429289477,33.2590611895,33.6333739836,4972389,36.63,0.0,36.96,36.43,36.84,1.0,4972389
CSX,2014-11-14 00:00:00+00:00,33.5877260819,33.6425035639,33.3321891281,33.3868753143,3894696,36.79,0.0,36.85,36.5101,36.57,1.0,3894696
CSX,2014-11-17 00:00:00+00:00,33.4781711178,33.5694669212,33.2864499306,33.3960048947,3122731,36.67,0.0,36.77,36.46,36.58,1.0,3122731
CSX,2014-11-18 00:00:00+00:00,33.4781711178,33.6790218853,33.2408020288,33.2408020288,4378347,36.67,0.0,36.89,36.41,36.41,1.0,4378347
CSX,2014-11-19 00:00:00+00:00,33.6607627246,33.6881514656,33.1495062254,33.4233936357,4227377,36.87,0.0,36.9,36.31,36.61,1.0,4227377
CSX,2014-11-20 00:00:00+00:00,34.044205099,34.0533346794,33.4964302784,33.5877260819,4386975,37.29,0.0,37.3,36.69,36.79,1.0,4386975
CSX,2014-11-21 00:00:00+00:00,34.2907037683,34.4276474734,34.1081121614,34.4185178931,5442783,37.56,0.0,37.71,37.36,37.7,1.0,5442783
CSX,2014-11-24 00:00:00+00:00,34.5828503393,34.6376278213,34.3728699914,34.3728699914,4632459,37.88,0.0,37.94,37.65,37.65,1.0,4632459
CSX,2014-11-25 00:00:00+00:00,34.7289236247,34.8297731918,34.6053370644,34.6647466275,3897154,37.88,0.16,37.99,37.7452,37.81,1.0,3897154
CSX,2014-11-26 00:00:00+00:00,34.7564280521,34.8297731918,34.5914014879,34.6830829125,2557997,37.91,0.0,37.99,37.73,37.83,1.0,2557997
CSX,2014-11-28 00:00:00+00:00,33.4545518233,34.7380917672,33.2986934015,34.6922510549,6717738,36.49,0.0,37.89,36.32,37.84,1.0,6717738
CSX,2014-12-01 00:00:00+00:00,32.143507452,33.0694898401,31.740109184,32.9594721307,13854816,35.06,0.0,36.07,34.62,35.95,1.0,13854816
CSX,2014-12-02 00:00:00+00:00,33.4270473959,33.4728881082,31.7217728991,31.7676136113,12010429,36.46,0.0,36.51,34.6,34.65,1.0,12010429
CSX,2014-12-03 00:00:00+00:00,34.1604987924,34.3255253567,33.5187288205,33.5370651054,9509090,37.26,0.0,37.44,36.56,36.58,1.0,9509090
CSX,2014-12-04 00:00:00+00:00,33.5003925356,34.4080386388,33.3445341138,34.1971713623,7565647,36.54,0.0,37.53,36.37,37.3,1.0,7565647
CSX,2014-12-05 00:00:00+00:00,33.8762863763,34.2430120746,33.5829058177,33.6012421026,5506815,36.95,0.0,37.35,36.63,36.65,1.0,5506815
