symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CTAS,2014-10-02 00:00:00+00:00,63.6423616771,63.9592221687,62.8408910219,63.8660279065,676755,68.29,0.0,68.63,67.43,68.53,1.0,676755
CTAS,2014-10-03 00:00:00+00:00,65.5528440528,65.68331602,63.7448753656,63.8753473327,1240837,70.34,0.0,70.48,68.4,68.54,1.0,1240837
CTAS,2014-10-06 00:00:00+00:00,65.142789299,66.2424815933,64.9843590532,65.8790239706,613261,69.9,0.0,71.08,69.73,70.69,1.0,613261
CTAS,2014-10-07 00:00:00+00:00,64.0430970047,65.0029979057,63.9592221687,64.723415119,594400,68.72,0.0,69.75,68.63,69.45,1.0,594400
CTAS,2014-10-08 00:00:00+00:00,66.1492873311,66.1679261836,64.2108466767,64.2108466767,769967,70.98,0.0,71.0,68.9,68.9,1.0,769967
CTAS,2014-10-09 00:00:00+00:00,64.7327345452,66.4288701178,64.5649848732,66.1772456098,626404,69.46,0.0,71.28,69.28,71.01,1.0,626404
CTAS,2014-10-10 00:00:00+00:00,63.8939861851,64.9936784795,63.8660279065,64.6768179879,644326,68.56,0.0,69.74,68.53,69.4,1.0,644326
CTAS,2014-10-13 00:00:00+00:00,62.8502104482,64.2201661029,62.7290579073,64.0896941358,533467,67.44,0.0,68.91,67.31,68.77,1.0,533467
CTAS,2014-10-14 00:00:00+00:00,63.1297932348,63.763514218,62.9806824153,63.3627788904,752001,67.74,0.0,68.42,67.58,67.99,1.0,752001
CTAS,2014-10-15 00:00:00+00:00,63.428014874,63.7169170869,62.216489465,62.5426693828,1099832,68.06,0.0,68.37,66.76,67.11,1.0,1099832
CTAS,2014-10-16 00:00:00+00:00,63.7728336442,63.9964998736,62.2071700388,62.8781687268,788208,68.43,0.0,68.67,66.75,67.47,1.0,788208
CTAS,2014-10-17 00:00:00+00:00,64.5743042994,64.9564007746,64.0896941358,64.0896941358,1342208,69.29,0.0,69.7,68.77,68.77,1.0,1342208
CTAS,2014-10-20 00:00:00+00:00,64.3506380701,64.6302208568,64.0244581523,64.5743042994,811805,69.05,0.0,69.35,68.7,69.29,1.0,811805
CTAS,2014-10-21 00:00:00+00:00,66.3263564294,66.3263564294,64.6488597092,64.8818453648,816815,71.17,0.0,71.17,69.37,69.62,1.0,816815
CTAS,2014-10-22 00:00:00+00:00,65.5621634791,66.8388316774,65.5435246266,66.5593420849,688931,70.35,0.0,71.7199,70.33,71.42,1.0,688931
CTAS,2014-10-23 00:00:00+00:00,66.2052038885,66.5127449538,65.9256211018,66.1772456098,1509697,71.04,0.0,71.37,70.74,71.01,1.0,1509697
CTAS,2014-10-24 00:00:00+00:00,66.3729535605,66.5034255276,65.9815376591,66.2238427409,702324,71.22,0.0,71.36,70.8,71.06,1.0,702324
CTAS,2014-10-27 00:00:00+00:00,66.4195506916,66.4941061014,65.8137879871,66.270439872,634634,71.27,0.0,71.35,70.62,71.11,1.0,634634
CTAS,2014-10-28 00:00:00+00:00,66.9227997076,66.9414385601,66.438189544,66.7830083143,745048,71.81,0.0,71.83,71.29,71.66,1.0,745048
CTAS,2014-10-29 00:00:00+00:00,66.9227997076,67.2582990517,66.354314708,67.0998688059,454863,71.81,0.0,72.17,71.2,72.0,1.0,454863
CTAS,2014-10-30 00:00:00+00:00,67.7429092153,67.901339461,66.3263564294,66.605939216,502075,72.69,0.0,72.86,71.17,71.47,1.0,502075
CTAS,2014-10-31 00:00:00+00:00,68.2554776575,68.9171569194,67.7708674939,68.6841712638,675932,73.24,0.0,73.95,72.72,73.7,1.0,675932
CTAS,2014-11-03 00:00:00+00:00,67.6031178219,68.8332820833,67.5192429859,68.2554776575,630622,72.54,0.0,73.86,72.45,73.24,1.0,630622
CTAS,2014-11-04 00:00:00+00:00,66.5593420849,67.3794515926,66.270439872,67.0439522485,1357458,71.42,0.0,72.3,71.11,71.94,1.0,1357458
CTAS,2014-11-05 00:00:00+00:00,67.1977227812,67.8515178257,66.8111724265,66.9638836777,792884,70.405,1.7,71.09,70.0,70.16,1.0,792884
CTAS,2014-11-06 00:00:00+00:00,67.8515178257,67.8992400917,67.1070504758,67.3456618059,615775,71.09,0.0,71.14,70.31,70.56,1.0,615775
CTAS,2014-11-07 00:00:00+00:00,67.7656177468,68.242840407,67.7083510276,68.242840407,734038,71.0,0.0,71.5,70.94,71.5,1.0,734038
CTAS,2014-11-10 00:00:00+00:00,67.8706067321,68.2619293134,67.6510843084,67.8896956385,682674,71.11,0.0,71.52,70.88,71.13,1.0,682674
CTAS,2014-11-11 00:00:00+00:00,67.8610622789,68.218979274,67.6224509488,67.8324289193,406354,71.1,0.0,71.475,70.85,71.07,1.0,406354
CTAS,2014-11-12 00:00:00+00:00,68.0614957961,68.2332959538,67.5270064167,67.5938175892,511568,71.31,0.0,71.49,70.75,70.82,1.0,511568
CTAS,2014-11-13 00:00:00+00:00,67.9183289981,68.7773297864,67.5938175892,68.1664847814,480953,71.16,0.0,72.06,70.82,71.42,1.0,480953
CTAS,2014-11-14 00:00:00+00:00,68.4909961903,68.8632298653,67.6988065744,68.0233179833,851622,71.76,0.0,72.15,70.93,71.27,1.0,851622
CTAS,2014-11-17 00:00:00+00:00,68.5387184563,68.5768962692,67.9565068109,68.3382849391,556190,71.81,0.0,71.85,71.2,71.6,1.0,556190
CTAS,2014-11-18 00:00:00+00:00,68.7009741608,69.2163746338,68.1283069686,68.4337294711,610920,71.98,0.0,72.52,71.38,71.7,1.0,610920
CTAS,2014-11-19 00:00:00+00:00,68.5196295499,68.7200630672,67.8133400128,68.5673518159,616433,71.79,0.0,72.0,71.05,71.84,1.0,616433
CTAS,2014-11-20 00:00:00+00:00,68.6532518948,68.9395854909,68.0137735301,68.2523848602,423057,71.93,0.0,72.23,71.26,71.51,1.0,423057
CTAS,2014-11-21 00:00:00+00:00,68.6437074416,69.6744129431,68.4719072839,69.3786303383,1377184,71.92,0.0,72.9999,71.74,72.69,1.0,1377184
CTAS,2014-11-24 00:00:00+00:00,69.5408860427,69.6554194812,68.6628917925,68.8536854121,574854,72.86,0.0,72.98,71.9401,72.14,1.0,574854
CTAS,2014-11-25 00:00:00+00:00,69.7317751068,69.8940308113,69.3309080723,69.6840528408,610728,73.06,0.0,73.23,72.64,73.01,1.0,610728
CTAS,2014-11-26 00:00:00+00:00,69.7031417472,70.1040087818,69.4168081511,69.6363305748,571868,73.03,0.0,73.45,72.73,72.96,1.0,571868
