symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CTRP,2014-10-02 00:00:00+00:00,27.545,28.085,27.495,27.715,6111254,55.09,0.0,56.17,54.99,55.43,1.0,3055627
CTRP,2014-10-03 00:00:00+00:00,27.81,28.385,27.555,27.76,5313378,55.62,0.0,56.77,55.11,55.52,1.0,2656689
CTRP,2014-10-06 00:00:00+00:00,28.025,28.365,27.675,27.905,2350720,56.05,0.0,56.73,55.35,55.81,1.0,1175360
CTRP,2014-10-07 00:00:00+00:00,27.515,28.05,27.5,27.955,2349778,55.03,0.0,56.1,55.0,55.91,1.0,1174889
CTRP,2014-10-08 00:00:00+00:00,28.5,28.58,27.115,27.525,3997194,57.0,0.0,57.16,54.23,55.05,1.0,1998597
CTRP,2014-10-09 00:00:00+00:00,27.495,28.8775,27.45,28.335,3378830,54.99,0.0,57.755,54.9,56.67,1.0,1689415
CTRP,2014-10-10 00:00:00+00:00,26.88,27.555,26.44,27.34,5209996,53.76,0.0,55.11,52.88,54.68,1.0,2604998
CTRP,2014-10-13 00:00:00+00:00,25.685,27.61,25.6,26.965,5089760,51.37,0.0,55.22,51.2,53.93,1.0,2544880
CTRP,2014-10-14 00:00:00+00:00,26.22,26.485,24.805,25.795,7269108,52.44,0.0,52.97,49.61,51.59,1.0,3634554
CTRP,2014-10-15 00:00:00+00:00,27.04,27.18,25.37,25.77,7397154,54.08,0.0,54.36,50.74,51.54,1.0,3698577
CTRP,2014-10-16 00:00:00+00:00,26.87,27.35,26.275,26.355,4844732,53.74,0.0,54.7,52.55,52.71,1.0,2422366
CTRP,2014-10-17 00:00:00+00:00,27.235,27.775,27.05,27.13,4283632,54.47,0.0,55.55,54.1,54.26,1.0,2141816
CTRP,2014-10-20 00:00:00+00:00,27.635,28.205,27.255,27.315,4053314,55.27,0.0,56.41,54.51,54.63,1.0,2026657
CTRP,2014-10-21 00:00:00+00:00,28.67,28.895,27.91,28.095,7692878,57.34,0.0,57.79,55.82,56.19,1.0,3846439
CTRP,2014-10-22 00:00:00+00:00,28.43,29.215,28.41,28.855,3049384,56.86,0.0,58.43,56.82,57.71,1.0,1524692
CTRP,2014-10-23 00:00:00+00:00,28.505,29.045,28.315,28.74,2938956,57.01,0.0,58.09,56.63,57.48,1.0,1469478
CTRP,2014-10-24 00:00:00+00:00,28.56,28.615,27.82,28.27,2509460,57.12,0.0,57.23,55.64,56.54,1.0,1254730
CTRP,2014-10-27 00:00:00+00:00,27.745,28.5375,27.535,28.45,3401544,55.49,0.0,57.075,55.07,56.9,1.0,1700772
CTRP,2014-10-28 00:00:00+00:00,28.175,28.495,27.755,28.09,2791854,56.35,0.0,56.99,55.51,56.18,1.0,1395927
CTRP,2014-10-29 00:00:00+00:00,28.055,28.63,27.81,28.42,3196422,56.11,0.0,57.26,55.62,56.84,1.0,1598211
CTRP,2014-10-30 00:00:00+00:00,28.66,28.7,27.81,27.89,3321266,57.32,0.0,57.4,55.62,55.78,1.0,1660633
CTRP,2014-10-31 00:00:00+00:00,29.15,29.7,28.855,29.5,3477552,58.3,0.0,59.4,57.71,59.0,1.0,1738776
CTRP,2014-11-03 00:00:00+00:00,29.145,29.83,29.0375,29.15,2939438,58.29,0.0,59.66,58.075,58.3,1.0,1469719
CTRP,2014-11-04 00:00:00+00:00,28.83,29.52,28.71,29.065,3523856,57.66,0.0,59.04,57.42,58.13,1.0,1761928
CTRP,2014-11-05 00:00:00+00:00,27.35,29.08,26.865,28.835,6007506,54.7,0.0,58.16,53.73,57.67,1.0,3003753
CTRP,2014-11-06 00:00:00+00:00,27.15,27.75,27.06,27.485,2360250,54.3,0.0,55.5,54.12,54.97,1.0,1180125
CTRP,2014-11-07 00:00:00+00:00,27.15,27.18,26.42,26.915,2925610,54.3,0.0,54.36,52.84,53.83,1.0,1462805
CTRP,2014-11-10 00:00:00+00:00,28.225,28.46,27.175,27.465,3999028,56.45,0.0,56.92,54.35,54.93,1.0,1999514
CTRP,2014-11-11 00:00:00+00:00,28.195,28.94455,27.905,28.415,3116168,56.39,0.0,57.8891,55.81,56.83,1.0,1558084
