symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CTSH,2014-10-20 00:00:00+00:00,42.4352093638,43.1720061479,42.4157302684,42.7566144382,4821222,43.57,0.0,44.3265,43.55,43.9,1.0,4821222
CTSH,2014-10-21 00:00:00+00:00,43.4676014209,43.6916110182,42.6105212226,42.6592189611,6752850,44.63,0.0,44.86,43.75,43.8,1.0,6752850
CTSH,2014-10-22 00:00:00+00:00,42.9903635832,43.7870585857,42.9514053923,43.4773409686,4742735,44.14,0.0,44.958,44.1,44.64,1.0,4742735
CTSH,2014-10-23 00:00:00+00:00,43.3604663961,43.6818714704,43.1559358942,43.4383827777,3791840,44.52,0.0,44.85,44.31,44.6,1.0,3791840
CTSH,2014-10-24 00:00:00+00:00,43.9253601631,43.9837974494,43.1754149896,43.5552573502,2607107,45.1,0.0,45.16,44.33,44.72,1.0,2607107
CTSH,2014-10-27 00:00:00+00:00,44.3344211669,44.5194725733,43.7013505659,43.8669228769,3232965,45.52,0.0,45.71,44.87,45.04,1.0,3232965
CTSH,2014-10-28 00:00:00+00:00,45.7076973937,45.7174369414,44.2272861421,44.4707748348,4665043,46.93,0.0,46.94,45.41,45.66,1.0,4665043
CTSH,2014-10-29 00:00:00+00:00,45.5031668918,45.9122278956,45.1379338528,45.5226459873,4017911,46.72,0.0,47.14,46.345,46.74,1.0,4017911
CTSH,2014-10-30 00:00:00+00:00,46.7303499031,47.2173272885,45.4057714148,45.4739482487,4962715,47.98,0.0,48.48,46.62,46.69,1.0,4962715
CTSH,2014-10-31 00:00:00+00:00,47.5776905537,47.8309187941,47.3440388041,47.6750860307,5708193,48.85,0.0,49.11,48.6101,48.95,1.0,5708193
CTSH,2014-11-03 00:00:00+00:00,47.6166487445,48.1718029638,47.4413368857,47.7043046739,3404329,48.89,0.0,49.46,48.71,48.98,1.0,3404329
CTSH,2014-11-04 00:00:00+00:00,47.2270668362,47.8698769849,47.1394109068,47.6848255784,6746205,48.49,0.0,49.15,48.4,48.96,1.0,6746205
CTSH,2014-11-05 00:00:00+00:00,51.03522999,51.2300209442,49.1360181869,49.6716933109,10090828,52.4,0.0,52.6,50.45,51.0,1.0,10090828
CTSH,2014-11-06 00:00:00+00:00,51.268979135,51.6098633048,50.333982555,51.1326254671,6345556,52.64,0.0,52.99,51.68,52.5,1.0,6345556
CTSH,2014-11-07 00:00:00+00:00,52.2234548104,52.3111107397,50.9280949652,51.2495000396,5865497,53.62,0.0,53.71,52.29,52.62,1.0,5865497
CTSH,2014-11-10 00:00:00+00:00,52.2526734535,52.8273067683,51.9215288314,52.067622047,6585761,53.65,0.0,54.24,53.31,53.46,1.0,6585761
CTSH,2014-11-11 00:00:00+00:00,51.7656960681,52.0481429516,51.4832491846,51.6196028525,5186783,53.15,0.0,53.44,52.86,53.0,1.0,5186783
CTSH,2014-11-12 00:00:00+00:00,51.8533519975,52.1163197856,51.5611655662,51.7169983296,3319646,53.24,0.0,53.51,52.94,53.1,1.0,3319646
CTSH,2014-11-13 00:00:00+00:00,51.9994452131,52.301371192,51.6196028525,51.9312683791,3313584,53.39,0.0,53.7,53.0,53.32,1.0,3313584
CTSH,2014-11-14 00:00:00+00:00,51.8971799622,52.2721525489,51.7656960681,51.902049736,2542599,53.285,0.0,53.67,53.15,53.29,1.0,2542599
CTSH,2014-11-17 00:00:00+00:00,51.6780401387,52.2137152627,51.4929887323,51.6975192341,3110768,53.06,0.0,53.61,52.87,53.08,1.0,3110768
CTSH,2014-11-18 00:00:00+00:00,51.3663746121,51.8338729021,51.200802301,51.6196028525,3544461,52.74,0.0,53.22,52.57,53.0,1.0,3544461
CTSH,2014-11-19 00:00:00+00:00,51.0644486331,51.3371559689,50.5872107954,51.1326254671,3642328,52.43,0.0,52.71,51.94,52.5,1.0,3642328
CTSH,2014-11-20 00:00:00+00:00,50.4118989367,51.200802301,50.2073684348,50.8891367744,4566133,51.76,0.0,52.57,51.55,52.25,1.0,4566133
CTSH,2014-11-21 00:00:00+00:00,51.6780401387,51.7072587818,50.4605966752,51.1521045625,4769866,53.06,0.0,53.09,51.81,52.52,1.0,4769866
CTSH,2014-11-24 00:00:00+00:00,52.3305898352,52.3890271214,51.1910627533,51.6196028525,3923143,53.73,0.0,53.79,52.56,53.0,1.0,3923143
CTSH,2014-11-25 00:00:00+00:00,51.9117892837,52.3987666691,51.8192635805,52.2526734535,3938682,53.3,0.0,53.8,53.205,53.65,1.0,3938682
CTSH,2014-11-26 00:00:00+00:00,52.2380641319,52.2526734535,51.7851751635,52.1065802379,2418291,53.635,0.0,53.65,53.17,53.5,1.0,2418291
CTSH,2014-11-28 00:00:00+00:00,52.5838180756,53.1292327472,52.2624130012,52.5253807893,1605209,53.99,0.0,54.55,53.66,53.93,1.0,1605209
CTSH,2014-12-01 00:00:00+00:00,52.6422553618,53.304544606,52.1163197856,52.4864225985,4367432,54.05,0.0,54.73,53.51,53.89,1.0,4367432
CTSH,2014-12-02 00:00:00+00:00,53.070795461,53.1779304858,52.6422553618,52.8954836022,2810603,54.49,0.0,54.6,54.05,54.31,1.0,2810603
CTSH,2014-12-03 00:00:00+00:00,53.0220977224,53.2753259628,52.7980881251,53.0123581747,2553187,54.44,0.0,54.7,54.21,54.43,1.0,2553187
CTSH,2014-12-04 00:00:00+00:00,52.1260593333,53.070795461,51.9507474745,52.9733999839,3142061,53.52,0.0,54.49,53.34,54.39,1.0,3142061
CTSH,2014-12-05 00:00:00+00:00,51.770565842,52.301371192,51.3274164212,52.067622047,5483657,53.155,0.0,53.7,52.7,53.46,1.0,5483657
CTSH,2014-12-08 00:00:00+00:00,51.1813232056,51.7072587818,50.733304011,51.6585610433,3796144,52.55,0.0,53.09,52.09,53.04,1.0,3796144
CTSH,2014-12-09 00:00:00+00:00,51.2300209442,51.3274164212,50.4898153183,50.4898153183,4691714,52.6,0.0,52.7,51.84,51.84,1.0,4691714
CTSH,2014-12-10 00:00:00+00:00,49.9833588375,51.2787186827,49.8810935866,51.2787186827,3753691,51.32,0.0,52.65,51.215,52.65,1.0,3753691
CTSH,2014-12-11 00:00:00+00:00,50.168410244,51.0254904423,50.0710147669,50.4995548661,4305235,51.51,0.0,52.39,51.41,51.85,1.0,4305235
CTSH,2014-12-12 00:00:00+00:00,49.1652368301,50.1781497917,49.1360181869,49.3113300457,3571865,50.48,0.0,51.52,50.45,50.63,1.0,3571865
CTSH,2014-12-15 00:00:00+00:00,49.1944554732,49.6716933109,48.8634082466,49.233413664,3923322,50.51,0.0,51.0,50.1701,50.55,1.0,3923322
