symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CTXS,2014-10-20 00:00:00+00:00,40.5965989649,40.6962607345,39.5781802567,39.9020810079,4526939,65.175,0.0,65.335,63.54,64.06,1.0,2859406
CTXS,2014-10-21 00:00:00+00:00,41.1104799644,41.1789974311,40.5623402316,40.7056040254,4379710,66.0,0.0,66.11,65.12,65.35,1.0,2766410
CTXS,2014-10-22 00:00:00+00:00,40.3505589712,40.8239523768,40.0764891047,40.5311959286,6771880,64.78,0.0,65.54,64.34,65.07,1.0,4277405
CTXS,2014-10-23 00:00:00+00:00,38.5192739546,38.9303787542,37.5600294221,37.6659200523,16126612,61.84,0.0,62.5,60.3,60.47,1.0,10186248
CTXS,2014-10-24 00:00:00+00:00,39.6093245597,39.7650460747,38.3510947183,38.4320699062,9447707,63.59,0.0,63.84,61.57,61.7,1.0,5967570
CTXS,2014-10-27 00:00:00+00:00,39.4224587417,39.8086480989,39.2355929236,39.6653843051,3808769,63.29,0.0,63.91,62.99,63.68,1.0,2405779
CTXS,2014-10-28 00:00:00+00:00,39.9207675897,39.9395164601,39.4473741841,39.6342400021,2959671,64.09,0.0,64.1201,63.33,63.63,1.0,1869453
CTXS,2014-10-29 00:00:00+00:00,39.2667372266,40.0266582199,39.1421600146,39.8522501231,3006685,63.04,0.0,64.26,62.84,63.98,1.0,1899149
CTXS,2014-10-30 00:00:00+00:00,39.6965286081,39.9394541715,39.1110157116,39.260508366,1829078,63.73,0.0,64.12,62.79,63.03,1.0,1155323
CTXS,2014-10-31 00:00:00+00:00,40.0079716381,40.4190764378,39.9020810079,40.4190764378,2506473,64.23,0.0,64.89,64.06,64.89,1.0,1583194
CTXS,2014-11-03 00:00:00+00:00,40.1200911289,40.4502207408,40.0142004987,40.1387777107,1402605,64.41,0.0,64.94,64.24,64.44,1.0,885945
CTXS,2014-11-04 00:00:00+00:00,40.2820415046,40.4253052984,39.9643696139,40.0640313835,1525906,64.67,0.0,64.9,64.16,64.32,1.0,963827
CTXS,2014-11-05 00:00:00+00:00,40.1200911289,40.4875316158,39.8647078443,40.4564496014,1747076,64.41,0.0,64.9999,64.0,64.95,1.0,1103527
CTXS,2014-11-06 00:00:00+00:00,41.1042511038,41.1945695826,40.2882703652,40.2882703652,3215345,65.99,0.0,66.135,64.68,64.68,1.0,2030948
CTXS,2014-11-07 00:00:00+00:00,41.3098035037,41.4032364127,40.8301812374,41.1540819887,2180213,66.32,0.0,66.47,65.55,66.07,1.0,1377115
CTXS,2014-11-10 00:00:00+00:00,41.6150176731,41.7271371639,41.1291665462,41.2475148977,1903039,66.81,0.0,66.99,66.03,66.22,1.0,1202040
CTXS,2014-11-11 00:00:00+00:00,41.5278136247,41.8454855153,41.4530672975,41.5651867883,1535475,66.67,0.0,67.18,66.55,66.73,1.0,969871
CTXS,2014-11-12 00:00:00+00:00,41.2599726189,41.6150176731,41.2412860371,41.2724303401,1642632,66.24,0.0,66.81,66.21,66.26,1.0,1037556
