symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
DLTR,2014-10-02 00:00:00+00:00,55.75,55.887,55.02,55.36,1870188,55.75,0.0,55.887,55.02,55.36,1.0,1870188
DLTR,2014-10-03 00:00:00+00:00,56.87,57.035,55.66,56.15,3155726,56.87,0.0,57.035,55.66,56.15,1.0,3155726
DLTR,2014-10-06 00:00:00+00:00,56.57,57.32,56.395,57.25,1603699,56.57,0.0,57.32,56.395,57.25,1.0,1603699
DLTR,2014-10-07 00:00:00+00:00,56.57,56.84,56.08,56.44,2283835,56.57,0.0,56.84,56.08,56.44,1.0,2283835
DLTR,2014-10-08 00:00:00+00:00,57.22,57.36,56.45,56.7,2138766,57.22,0.0,57.36,56.45,56.7,1.0,2138766
DLTR,2014-10-09 00:00:00+00:00,56.7,57.37,56.55,57.16,2540149,56.7,0.0,57.37,56.55,57.16,1.0,2540149
DLTR,2014-10-10 00:00:00+00:00,56.05,57.3,56.04,56.88,2117172,56.05,0.0,57.3,56.04,56.88,1.0,2117172
DLTR,2014-10-13 00:00:00+00:00,55.48,56.335,55.43,55.98,3990982,55.48,0.0,56.335,55.43,55.98,1.0,3990982
DLTR,2014-10-14 00:00:00+00:00,55.88,55.9,54.86,55.89,3718212,55.88,0.0,55.9,54.86,55.89,1.0,3718212
DLTR,2014-10-15 00:00:00+00:00,55.24,55.89,53.7,55.17,5913638,55.24,0.0,55.89,53.7,55.17,1.0,5913638
DLTR,2014-10-16 00:00:00+00:00,55.05,55.58,54.15,54.68,2092222,55.05,0.0,55.58,54.15,54.68,1.0,2092222
DLTR,2014-10-17 00:00:00+00:00,56.575,56.8,55.08,55.49,2233430,56.575,0.0,56.8,55.08,55.49,1.0,2233430
DLTR,2014-10-20 00:00:00+00:00,57.34,57.36,56.21,56.74,2246949,57.34,0.0,57.36,56.21,56.74,1.0,2246949
DLTR,2014-10-21 00:00:00+00:00,58.13,58.245,57.29,57.45,1976528,58.13,0.0,58.245,57.29,57.45,1.0,1976528
DLTR,2014-10-22 00:00:00+00:00,57.555,58.51,57.53,58.19,1315113,57.555,0.0,58.51,57.53,58.19,1.0,1315113
DLTR,2014-10-23 00:00:00+00:00,58.51,58.61,57.55,57.64,2212271,58.51,0.0,58.61,57.55,57.64,1.0,2212271
DLTR,2014-10-24 00:00:00+00:00,58.94,58.975,58.14,58.32,1692297,58.94,0.0,58.975,58.14,58.32,1.0,1692297
DLTR,2014-10-27 00:00:00+00:00,58.8,59.16,58.62,58.92,1254441,58.8,0.0,59.16,58.62,58.92,1.0,1254441
DLTR,2014-10-28 00:00:00+00:00,58.98,58.98,58.19,58.7,1467617,58.98,0.0,58.98,58.19,58.7,1.0,1467617
DLTR,2014-10-29 00:00:00+00:00,58.8,59.48,58.29,59.09,1434021,58.8,0.0,59.48,58.29,59.09,1.0,1434021
DLTR,2014-10-30 00:00:00+00:00,59.52,59.72,58.48,58.61,1603942,59.52,0.0,59.72,58.48,58.61,1.0,1603942
DLTR,2014-10-31 00:00:00+00:00,60.57,61.0,60.23,60.54,3760327,60.57,0.0,61.0,60.23,60.54,1.0,3760327
DLTR,2014-11-03 00:00:00+00:00,60.89,60.99,60.21,60.84,1783010,60.89,0.0,60.99,60.21,60.84,1.0,1783010
DLTR,2014-11-04 00:00:00+00:00,60.85,60.91,60.555,60.65,1019387,60.85,0.0,60.91,60.555,60.65,1.0,1019387
DLTR,2014-11-05 00:00:00+00:00,61.13,61.4,60.632,60.72,1331849,61.13,0.0,61.4,60.632,60.72,1.0,1331849
DLTR,2014-11-06 00:00:00+00:00,62.11,62.37,61.16,61.25,1975411,62.11,0.0,62.37,61.16,61.25,1.0,1975411
DLTR,2014-11-07 00:00:00+00:00,61.56,62.23,61.28,62.2,1651051,61.56,0.0,62.23,61.28,62.2,1.0,1651051
DLTR,2014-11-10 00:00:00+00:00,61.85,62.02,61.52,61.73,1601441,61.85,0.0,62.02,61.52,61.73,1.0,1601441
DLTR,2014-11-11 00:00:00+00:00,61.51,62.16,61.36,61.74,1177427,61.51,0.0,62.16,61.36,61.74,1.0,1177427
DLTR,2014-11-12 00:00:00+00:00,61.82,61.97,61.2,61.43,1837709,61.82,0.0,61.97,61.2,61.43,1.0,1837709
DLTR,2014-11-13 00:00:00+00:00,61.99,62.33,61.65,62.05,1749381,61.99,0.0,62.33,61.65,62.05,1.0,1749381
DLTR,2014-11-14 00:00:00+00:00,62.055,62.34,61.58,62.18,2011525,62.055,0.0,62.34,61.58,62.18,1.0,2011525
DLTR,2014-11-17 00:00:00+00:00,61.47,62.72,61.36,62.08,1940713,61.47,0.0,62.72,61.36,62.08,1.0,1940713
DLTR,2014-11-18 00:00:00+00:00,61.99,62.1,61.33,61.47,2628183,61.99,0.0,62.1,61.33,61.47,1.0,2628183
DLTR,2014-11-19 00:00:00+00:00,62.63,62.66,61.38,62.4,3907360,62.63,0.0,62.66,61.38,62.4,1.0,3907360
DLTR,2014-11-20 00:00:00+00:00,65.87,67.08,64.27,64.42,7792640,65.87,0.0,67.08,64.27,64.42,1.0,7792640
DLTR,2014-11-21 00:00:00+00:00,66.39,67.23,66.01,66.84,3209203,66.39,0.0,67.23,66.01,66.84,1.0,3209203
DLTR,2014-11-24 00:00:00+00:00,67.2,67.345,66.44,66.6,2191267,67.2,0.0,67.345,66.44,66.6,1.0,2191267
DLTR,2014-11-25 00:00:00+00:00,66.8,67.38,66.53,67.38,2483912,66.8,0.0,67.38,66.53,67.38,1.0,2483912
DLTR,2014-11-26 00:00:00+00:00,67.34,67.37,66.62,66.65,1567696,67.34,0.0,67.37,66.62,66.65,1.0,1567696
DLTR,2014-11-28 00:00:00+00:00,68.36,69.5,68.18,68.41,1481539,68.36,0.0,69.5,68.18,68.41,1.0,1481539
DLTR,2014-12-01 00:00:00+00:00,67.94,68.44,67.0,68.32,2870880,67.94,0.0,68.44,67.0,68.32,1.0,2870880
DLTR,2014-12-02 00:00:00+00:00,68.71,68.8,66.92,66.92,2519157,68.71,0.0,68.8,66.92,66.92,1.0,2519157
DLTR,2014-12-03 00:00:00+00:00,69.2,69.31,67.23,67.54,3745898,69.2,0.0,69.31,67.23,67.54,1.0,3745898
DLTR,2014-12-04 00:00:00+00:00,69.27,69.65,69.03,69.07,2118832,69.27,0.0,69.65,69.03,69.07,1.0,2118832
DLTR,2014-12-05 00:00:00+00:00,68.41,69.65,68.04,69.65,2722178,68.41,0.0,69.65,68.04,69.65,1.0,2722178
DLTR,2014-12-08 00:00:00+00:00,67.99,68.44,67.57,68.08,2280003,67.99,0.0,68.44,67.57,68.08,1.0,2280003
DLTR,2014-12-09 00:00:00+00:00,68.105,68.22,67.355,67.46,2276167,68.105,0.0,68.22,67.355,67.46,1.0,2276167
DLTR,2014-12-10 00:00:00+00:00,67.2,68.11,67.1,68.02,1769096,67.2,0.0,68.11,67.1,68.02,1.0,1769096
DLTR,2014-12-11 00:00:00+00:00,67.765,69.58,67.69,69.58,2061711,67.765,0.0,69.58,67.69,69.58,1.0,2061711
DLTR,2014-12-12 00:00:00+00:00,68.14,68.67,67.09,67.11,1863670,68.14,0.0,68.67,67.09,67.11,1.0,1863670
DLTR,2014-12-15 00:00:00+00:00,68.6,69.58,68.02,68.71,1737795,68.6,0.0,69.58,68.02,68.71,1.0,1737795
DLTR,2014-12-16 00:00:00+00:00,67.01,68.46,66.95,67.83,2231921,67.01,0.0,68.46,66.95,67.83,1.0,2231921
DLTR,2014-12-17 00:00:00+00:00,68.06,68.31,66.845,67.32,1775522,68.06,0.0,68.31,66.845,67.32,1.0,1775522
DLTR,2014-12-18 00:00:00+00:00,69.11,69.15,68.56,68.88,2055755,69.11,0.0,69.15,68.56,68.88,1.0,2055755
DLTR,2014-12-19 00:00:00+00:00,68.7,69.39,68.25,68.84,2902893,68.7,0.0,69.39,68.25,68.84,1.0,2902893
DLTR,2014-12-22 00:00:00+00:00,69.09,69.25,68.29,68.75,1454005,69.09,0.0,69.25,68.29,68.75,1.0,1454005
DLTR,2014-12-23 00:00:00+00:00,70.06,70.82,69.19,69.58,1606085,70.06,0.0,70.82,69.19,69.58,1.0,1606085
DLTR,2014-12-24 00:00:00+00:00,69.86,70.46,69.48,70.29,663639,69.86,0.0,70.46,69.48,70.29,1.0,663639
DLTR,2014-12-26 00:00:00+00:00,69.57,70.68,69.47,70.0,926133,69.57,0.0,70.68,69.47,70.0,1.0,926133
DLTR,2014-12-29 00:00:00+00:00,70.5,70.53,69.36,69.38,1134540,70.5,0.0,70.53,69.36,69.38,1.0,1134540
DLTR,2014-12-30 00:00:00+00:00,70.7,70.84,70.2,70.25,1240771,70.7,0.0,70.84,70.2,70.25,1.0,1240771
