symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
EA,2014-10-02 00:00:00+00:00,35.59,35.85,34.82,35.09,2631285,35.59,0.0,35.85,34.82,35.09,1.0,2631285
EA,2014-10-03 00:00:00+00:00,35.95,36.005,35.525,35.87,2467114,35.95,0.0,36.005,35.525,35.87,1.0,2467114
EA,2014-10-06 00:00:00+00:00,36.0,36.3,35.81,36.1,1790700,36.0,0.0,36.3,35.81,36.1,1.0,1790700
EA,2014-10-07 00:00:00+00:00,34.92,36.0,34.9,35.68,3094484,34.92,0.0,36.0,34.9,35.68,1.0,3094484
EA,2014-10-08 00:00:00+00:00,35.28,35.31,34.32,34.93,3844355,35.28,0.0,35.31,34.32,34.93,1.0,3844355
EA,2014-10-09 00:00:00+00:00,35.01,36.04,34.81,35.4,2833418,35.01,0.0,36.04,34.81,35.4,1.0,2833418
EA,2014-10-10 00:00:00+00:00,34.53,35.719,34.51,35.51,4095583,34.53,0.0,35.719,34.51,35.51,1.0,4095583
EA,2014-10-13 00:00:00+00:00,33.23,34.7,33.19,34.46,4231792,33.23,0.0,34.7,33.19,34.46,1.0,4231792
EA,2014-10-14 00:00:00+00:00,32.735,33.78,32.39,33.59,5577577,32.735,0.0,33.78,32.39,33.59,1.0,5577577
EA,2014-10-15 00:00:00+00:00,33.38,33.54,31.77,32.24,5765475,33.38,0.0,33.54,31.77,32.24,1.0,5765475
EA,2014-10-16 00:00:00+00:00,32.62,33.33,32.43,32.71,4259041,32.62,0.0,33.33,32.43,32.71,1.0,4259041
EA,2014-10-17 00:00:00+00:00,34.275,34.78,32.75,33.01,4881901,34.275,0.0,34.78,32.75,33.01,1.0,4881901
EA,2014-10-20 00:00:00+00:00,34.93,35.05,34.11,34.14,3344139,34.93,0.0,35.05,34.11,34.14,1.0,3344139
EA,2014-10-21 00:00:00+00:00,35.69,35.7,35.03,35.09,2681343,35.69,0.0,35.7,35.03,35.09,1.0,2681343
EA,2014-10-22 00:00:00+00:00,35.05,35.86,34.99,35.68,2203704,35.05,0.0,35.86,34.99,35.68,1.0,2203704
EA,2014-10-23 00:00:00+00:00,36.24,36.48,35.2,35.43,3083317,36.24,0.0,36.48,35.2,35.43,1.0,3083317
EA,2014-10-24 00:00:00+00:00,36.35,36.635,35.98,36.19,2413051,36.35,0.0,36.635,35.98,36.19,1.0,2413051
EA,2014-10-27 00:00:00+00:00,36.87,37.15,35.99,36.13,2763337,36.87,0.0,37.15,35.99,36.13,1.0,2763337
EA,2014-10-28 00:00:00+00:00,37.48,37.66,36.87,36.87,4613736,37.48,0.0,37.66,36.87,36.87,1.0,4613736
EA,2014-10-29 00:00:00+00:00,38.91,40.34,38.67,38.82,10615246,38.91,0.0,40.34,38.67,38.82,1.0,10615246
EA,2014-10-30 00:00:00+00:00,39.85,39.86,38.52,38.64,6688102,39.85,0.0,39.86,38.52,38.64,1.0,6688102
EA,2014-10-31 00:00:00+00:00,40.97,41.35,40.1,40.1,5966468,40.97,0.0,41.35,40.1,40.1,1.0,5966468
EA,2014-11-03 00:00:00+00:00,40.96,41.45,40.72,41.16,4294672,40.96,0.0,41.45,40.72,41.16,1.0,4294672
EA,2014-11-04 00:00:00+00:00,40.64,41.0,40.4,40.75,4099416,40.64,0.0,41.0,40.4,40.75,1.0,4099416
EA,2014-11-05 00:00:00+00:00,40.725,41.08,40.18,40.92,2691892,40.725,0.0,41.08,40.18,40.92,1.0,2691892
EA,2014-11-06 00:00:00+00:00,40.8,41.14,40.72,40.77,2099126,40.8,0.0,41.14,40.72,40.77,1.0,2099126
EA,2014-11-07 00:00:00+00:00,40.94,41.0009,40.11,40.74,3717557,40.94,0.0,41.0009,40.11,40.74,1.0,3717557
EA,2014-11-10 00:00:00+00:00,41.26,41.43,40.61,40.98,4467293,41.26,0.0,41.43,40.61,40.98,1.0,4467293
EA,2014-11-11 00:00:00+00:00,41.14,41.42,41.02,41.29,2150694,41.14,0.0,41.42,41.02,41.29,1.0,2150694
EA,2014-11-12 00:00:00+00:00,41.2,41.28,40.58,41.06,2827668,41.2,0.0,41.28,40.58,41.06,1.0,2827668
EA,2014-11-13 00:00:00+00:00,41.445,41.72,41.07,41.34,3780906,41.445,0.0,41.72,41.07,41.34,1.0,3780906
EA,2014-11-14 00:00:00+00:00,41.47,41.64,40.87,41.5,3687617,41.47,0.0,41.64,40.87,41.5,1.0,3687617
EA,2014-11-17 00:00:00+00:00,41.4,41.95,41.2,41.4,2293298,41.4,0.0,41.95,41.2,41.4,1.0,2293298
EA,2014-11-18 00:00:00+00:00,42.87,42.89,41.72,41.82,4571849,42.87,0.0,42.89,41.72,41.82,1.0,4571849
EA,2014-11-19 00:00:00+00:00,43.445,43.73,42.3527,42.87,6215315,43.445,0.0,43.73,42.3527,42.87,1.0,6215315
EA,2014-11-20 00:00:00+00:00,43.15,43.48,43.07,43.26,5915395,43.15,0.0,43.48,43.07,43.26,1.0,5915395
EA,2014-11-21 00:00:00+00:00,43.495,44.06,43.25,43.67,3328495,43.495,0.0,44.06,43.25,43.67,1.0,3328495
EA,2014-11-24 00:00:00+00:00,43.6,43.79,43.39,43.56,3128127,43.6,0.0,43.79,43.39,43.56,1.0,3128127
EA,2014-11-25 00:00:00+00:00,44.01,44.5,43.57,43.62,4211928,44.01,0.0,44.5,43.57,43.62,1.0,4211928
EA,2014-11-26 00:00:00+00:00,43.68,43.97,43.5201,43.93,3562734,43.68,0.0,43.97,43.5201,43.93,1.0,3562734
EA,2014-11-28 00:00:00+00:00,43.93,44.19,43.56,44.09,2135122,43.93,0.0,44.19,43.56,44.09,1.0,2135122
