symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
EXPE,2014-10-02 00:00:00+00:00,79.6484752026,81.1579461252,78.492487977,80.8331232685,2682163,83.37,0.0,84.95,82.16,84.61,1.0,2682163
EXPE,2014-10-03 00:00:00+00:00,81.6547340238,81.9938873007,80.1930311684,80.4509787311,1569273,85.47,0.0,85.825,83.94,84.21,1.0,1569273
EXPE,2014-10-06 00:00:00+00:00,82.7056315016,84.1673343571,81.6451804104,81.6451804104,2576695,86.57,0.0,88.1,85.46,85.46,1.0,2576695
EXPE,2014-10-07 00:00:00+00:00,80.9477666297,82.3521478045,80.9191057894,82.0559857881,1967175,84.73,0.0,86.2,84.7,85.89,1.0,1967175
EXPE,2014-10-08 00:00:00+00:00,81.5687515029,82.141968309,79.7917794041,80.9573202431,2822092,85.38,0.0,85.98,83.52,84.74,1.0,2822092
EXPE,2014-10-09 00:00:00+00:00,80.0879414206,81.8458062925,79.4287420936,81.5783051163,2820810,83.83,0.0,85.67,83.14,85.39,1.0,2820810
EXPE,2014-10-10 00:00:00+00:00,77.3842688186,80.0879414206,77.3221703313,80.0115125131,3129033,81.0,0.0,83.83,80.935,83.75,1.0,3129033
EXPE,2014-10-13 00:00:00+00:00,72.9322849582,78.0625753725,72.7985343701,77.2791790709,4606229,76.34,0.0,81.71,76.2,80.89,1.0,4606229
EXPE,2014-10-14 00:00:00+00:00,71.4132604221,74.1838083181,70.5820960534,73.0851427732,6010759,74.75,0.0,77.65,73.88,76.5,1.0,6010759
EXPE,2014-10-15 00:00:00+00:00,70.7874987422,71.585225464,67.7446728633,69.8846822726,5507973,74.095,0.0,74.93,70.91,73.15,1.0,5507973
EXPE,2014-10-16 00:00:00+00:00,71.7285296655,71.8527266401,68.0503884932,69.2445901725,3842989,75.08,0.0,75.21,71.23,72.48,1.0,3842989
EXPE,2014-10-17 00:00:00+00:00,71.2412953803,73.2857686553,70.0948617682,73.0564819329,3192950,74.57,0.0,76.71,73.37,76.47,1.0,3192950
EXPE,2014-10-20 00:00:00+00:00,73.8016637807,74.0213968897,70.6967394146,70.8495972295,2479415,77.25,0.0,77.48,74.0,74.16,1.0,2479415
EXPE,2014-10-21 00:00:00+00:00,76.7250694917,77.1836429365,73.983182436,74.3175589062,2820396,80.31,0.0,80.79,77.44,77.79,1.0,2820396
EXPE,2014-10-22 00:00:00+00:00,75.4830997452,78.1103434397,75.2729202496,77.1645357097,1929945,79.01,0.0,81.76,78.79,80.77,1.0,1929945
EXPE,2014-10-23 00:00:00+00:00,76.2760496603,77.5753410873,75.9512268035,76.4384610886,1911453,79.84,0.0,81.2,79.5,80.01,1.0,1911453
EXPE,2014-10-24 00:00:00+00:00,77.8906103307,77.986146465,75.2824738631,76.1040846184,1641892,81.53,0.0,81.63,78.8,79.66,1.0,1641892
EXPE,2014-10-27 00:00:00+00:00,76.7919447857,77.479804953,75.4257780646,77.3651615918,2477146,80.38,0.0,81.1,78.95,80.98,1.0,2477146
EXPE,2014-10-28 00:00:00+00:00,77.0021242813,77.2314110037,76.3333713409,77.2027501634,1302092,80.6,0.0,80.84,79.9,80.81,1.0,1302092
EXPE,2014-10-29 00:00:00+00:00,75.9894412572,77.2409646171,75.4830997452,77.2409646171,2639912,79.54,0.0,80.85,79.01,80.85,1.0,2639912
EXPE,2014-10-30 00:00:00+00:00,77.1263212559,77.4224832724,74.269790839,75.5308678124,5816904,80.73,0.0,81.04,77.74,79.06,1.0,5816904
EXPE,2014-10-31 00:00:00+00:00,81.1770533521,81.9222352,79.3905276399,80.536961252,5979350,84.97,0.0,85.75,83.1,84.3,1.0,5979350
EXPE,2014-11-03 00:00:00+00:00,82.0942002418,82.86804293,80.7184799073,80.9573202431,2654424,85.93,0.0,86.74,84.49,84.74,1.0,2654424
EXPE,2014-11-04 00:00:00+00:00,80.1452631012,81.5018762089,78.7695427666,81.3872328477,3161484,83.89,0.0,85.31,82.45,85.19,1.0,3161484
EXPE,2014-11-05 00:00:00+00:00,79.3427595727,81.0528563775,79.2663306652,80.2599064624,2347545,83.05,0.0,84.84,82.97,84.01,1.0,2347545
EXPE,2014-11-06 00:00:00+00:00,80.3076745296,80.8713377222,79.0083831025,79.4000812533,1763341,84.06,0.0,84.65,82.7,83.11,1.0,1763341
EXPE,2014-11-07 00:00:00+00:00,81.3155807469,81.3394647805,80.1070486475,80.384103437,1558603,85.115,0.0,85.14,83.85,84.14,1.0,1558603
EXPE,2014-11-10 00:00:00+00:00,82.1610755358,82.5527736867,81.0050883103,81.2152678058,1281297,86.0,0.0,86.41,84.79,85.01,1.0,1281297
