symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2014-10-02 00:00:00+00:00,77.08,77.48,75.64,76.57,36487612,77.08,0.0,77.48,75.64,76.57,1.0,36487612
FB,2014-10-03 00:00:00+00:00,77.44,78.06,77.26,77.76,23340173,77.44,0.0,78.06,77.26,77.76,1.0,23340173
FB,2014-10-06 00:00:00+00:00,77.555,77.89,76.85,77.19,25729191,77.555,0.0,77.89,76.85,77.19,1.0,25729191
FB,2014-10-07 00:00:00+00:00,76.29,77.95,76.24,77.05,25317488,76.29,0.0,77.95,76.24,77.05,1.0,25317488
FB,2014-10-08 00:00:00+00:00,77.52,77.71,75.1,76.18,32975514,77.52,0.0,77.71,75.1,76.18,1.0,32975514
FB,2014-10-09 00:00:00+00:00,75.91,77.7601,75.85,77.28,32487174,75.91,0.0,77.7601,75.85,77.28,1.0,32487174
FB,2014-10-10 00:00:00+00:00,72.91,76.5,72.76,75.59,52146162,72.91,0.0,76.5,72.76,75.59,1.0,52146162
FB,2014-10-13 00:00:00+00:00,72.99,74.78,72.52,73.23,43937638,72.99,0.0,74.78,72.52,73.23,1.0,43937638
FB,2014-10-14 00:00:00+00:00,73.59,74.18,72.05,74.0,50299288,73.59,0.0,74.18,72.05,74.0,1.0,50299288
FB,2014-10-15 00:00:00+00:00,73.21,73.8,70.32,71.69,61528317,73.21,0.0,73.8,70.32,71.69,1.0,61528317
FB,2014-10-16 00:00:00+00:00,72.63,73.35,70.58,70.79,53529459,72.63,0.0,73.35,70.58,70.79,1.0,53529459
FB,2014-10-17 00:00:00+00:00,75.95,76.0,73.75,74.23,76341638,75.95,0.0,76.0,73.75,74.23,1.0,76341638
FB,2014-10-20 00:00:00+00:00,76.95,77.09,75.38,75.6,34701260,76.95,0.0,77.09,75.38,75.6,1.0,34701260
FB,2014-10-21 00:00:00+00:00,78.69,78.74,77.15,77.56,32252403,78.69,0.0,78.74,77.15,77.56,1.0,32252403
FB,2014-10-22 00:00:00+00:00,78.37,79.85,78.01,78.815,41862393,78.37,0.0,79.85,78.01,78.815,1.0,41862393
FB,2014-10-23 00:00:00+00:00,80.04,80.63,79.01,79.38,35055800,80.04,0.0,80.63,79.01,79.38,1.0,35055800
FB,2014-10-24 00:00:00+00:00,80.67,80.8183,79.32,80.2,32247520,80.67,0.0,80.8183,79.32,80.2,1.0,32247520
FB,2014-10-27 00:00:00+00:00,80.28,80.8,79.76,80.74,30168921,80.28,0.0,80.8,79.76,80.74,1.0,30168921
FB,2014-10-28 00:00:00+00:00,80.77,81.16,79.57,80.18,74211768,80.77,0.0,81.16,79.57,80.18,1.0,74211768
FB,2014-10-29 00:00:00+00:00,75.86,76.88,74.78,75.45,106119520,75.86,0.0,76.88,74.78,75.45,1.0,106119520
FB,2014-10-30 00:00:00+00:00,74.11,75.35,72.9,75.05,83269554,74.11,0.0,75.35,72.9,75.05,1.0,83269554
FB,2014-10-31 00:00:00+00:00,74.99,75.7,74.45,74.93,44544325,74.99,0.0,75.7,74.45,74.93,1.0,44544325
