symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FISV,2014-10-02 00:00:00+00:00,32.175,32.405,32.015,32.135,1564916,64.35,0.0,64.81,64.03,64.27,1.0,782458
FISV,2014-10-03 00:00:00+00:00,32.57,32.67,32.275,32.29,1650406,65.14,0.0,65.34,64.55,64.58,1.0,825203
FISV,2014-10-06 00:00:00+00:00,32.25,32.7575,32.235,32.645,2684006,64.5,0.0,65.515,64.47,65.29,1.0,1342003
FISV,2014-10-07 00:00:00+00:00,31.595,32.13,31.57005,32.045,2362252,63.19,0.0,64.26,63.1401,64.09,1.0,1181126
FISV,2014-10-08 00:00:00+00:00,32.4,32.425,31.65,31.66,3228712,64.8,0.0,64.85,63.3,63.32,1.0,1614356
FISV,2014-10-09 00:00:00+00:00,31.835,32.38,31.78,32.26,2067830,63.67,0.0,64.76,63.56,64.52,1.0,1033915
FISV,2014-10-10 00:00:00+00:00,31.46,32.155,31.435,31.805,3184772,62.92,0.0,64.31,62.87,63.61,1.0,1592386
FISV,2014-10-13 00:00:00+00:00,31.18,31.655,31.18,31.36,2540502,62.36,0.0,63.31,62.36,62.72,1.0,1270251
FISV,2014-10-14 00:00:00+00:00,31.485,31.7,31.26,31.46,1831196,62.97,0.0,63.4,62.52,62.92,1.0,915598
FISV,2014-10-15 00:00:00+00:00,30.865,31.29,30.435,31.0,3549940,61.73,0.0,62.58,60.87,62.0,1.0,1774970
FISV,2014-10-16 00:00:00+00:00,30.855,30.925,30.275,30.3,2611770,61.71,0.0,61.85,60.55,60.6,1.0,1305885
FISV,2014-10-17 00:00:00+00:00,31.385,31.535,30.97,31.065,2736512,62.77,0.0,63.07,61.94,62.13,1.0,1368256
FISV,2014-10-20 00:00:00+00:00,31.455,31.485,31.125,31.33,1945380,62.91,0.0,62.97,62.25,62.66,1.0,972690
FISV,2014-10-21 00:00:00+00:00,32.275,32.295,31.555,31.585,3863814,64.55,0.0,64.59,63.11,63.17,1.0,1931907
FISV,2014-10-22 00:00:00+00:00,32.09,32.46,32.07,32.43,2408582,64.18,0.0,64.92,64.14,64.86,1.0,1204291
FISV,2014-10-23 00:00:00+00:00,32.545,32.74,32.33,32.46,2928564,65.09,0.0,65.48,64.66,64.92,1.0,1464282
FISV,2014-10-24 00:00:00+00:00,33.02,33.14,32.405,32.71,1884290,66.04,0.0,66.28,64.81,65.42,1.0,942145
FISV,2014-10-27 00:00:00+00:00,33.06,33.3375,32.875,33.015,1800778,66.12,0.0,66.675,65.75,66.03,1.0,900389
FISV,2014-10-28 00:00:00+00:00,33.63,33.635,33.05,33.16,2540612,67.26,0.0,67.27,66.1,66.32,1.0,1270306
FISV,2014-10-29 00:00:00+00:00,33.845,34.9695,33.77,34.38,4006370,67.69,0.0,69.939,67.54,68.76,1.0,2003185
FISV,2014-10-30 00:00:00+00:00,34.285,34.445,33.8,33.83,2408600,68.57,0.0,68.89,67.6,67.66,1.0,1204300
FISV,2014-10-31 00:00:00+00:00,34.74,35.035,34.505,35.035,3034970,69.48,0.0,70.07,69.01,70.07,1.0,1517485
FISV,2014-11-03 00:00:00+00:00,34.835,34.98,34.73,34.81,2071614,69.67,0.0,69.96,69.46,69.62,1.0,1035807
FISV,2014-11-04 00:00:00+00:00,34.575,35.09,34.565,34.85,2592682,69.15,0.0,70.18,69.13,69.7,1.0,1296341
FISV,2014-11-05 00:00:00+00:00,34.94,35.125,34.655,35.125,2415166,69.88,0.0,70.25,69.31,70.25,1.0,1207583
FISV,2014-11-06 00:00:00+00:00,34.99,35.1125,34.935,35.02,2019684,69.98,0.0,70.225,69.87,70.04,1.0,1009842
FISV,2014-11-07 00:00:00+00:00,34.73,35.105,34.675,35.085,2212678,69.46,0.0,70.21,69.35,70.17,1.0,1106339
FISV,2014-11-10 00:00:00+00:00,35.035,35.04,34.64,34.695,3216620,70.07,0.0,70.08,69.28,69.39,1.0,1608310
FISV,2014-11-11 00:00:00+00:00,34.92,35.095,34.85,35.015,1824882,69.84,0.0,70.19,69.7,70.03,1.0,912441
FISV,2014-11-12 00:00:00+00:00,34.925,35.01,34.75,34.75,1893554,69.85,0.0,70.02,69.5,69.5,1.0,946777
FISV,2014-11-13 00:00:00+00:00,35.185,35.21,34.86,35.045,2520716,70.37,0.0,70.42,69.72,70.09,1.0,1260358
FISV,2014-11-14 00:00:00+00:00,35.045,35.31,34.995,35.31,1794200,70.09,0.0,70.62,69.99,70.62,1.0,897100
FISV,2014-11-17 00:00:00+00:00,35.155,35.265,34.92,34.935,1914514,70.31,0.0,70.53,69.84,69.87,1.0,957257
FISV,2014-11-18 00:00:00+00:00,35.25,35.425,35.015,35.11,1580538,70.5,0.0,70.85,70.03,70.22,1.0,790269
FISV,2014-11-19 00:00:00+00:00,35.205,35.28,35.095,35.235,2173698,70.41,0.0,70.56,70.19,70.47,1.0,1086849
FISV,2014-11-20 00:00:00+00:00,35.215,35.255,34.91,35.105,2068242,70.43,0.0,70.51,69.82,70.21,1.0,1034121
FISV,2014-11-21 00:00:00+00:00,35.03,35.605,34.97,35.605,4395766,70.06,0.0,71.21,69.94,71.21,1.0,2197883
FISV,2014-11-24 00:00:00+00:00,35.315,35.34,35.04,35.175,2088946,70.63,0.0,70.68,70.08,70.35,1.0,1044473
FISV,2014-11-25 00:00:00+00:00,35.245,35.575,35.205,35.435,2398022,70.49,0.0,71.15,70.41,70.87,1.0,1199011
FISV,2014-11-26 00:00:00+00:00,35.45,35.5,35.24,35.3,1964662,70.9,0.0,71.0,70.48,70.6,1.0,982331
FISV,2014-11-28 00:00:00+00:00,35.745,35.96,35.685,35.735,2109032,71.49,0.0,71.92,71.37,71.47,1.0,1054516
FISV,2014-12-01 00:00:00+00:00,35.605,35.725,35.505,35.61,3128188,71.21,0.0,71.45,71.01,71.22,1.0,1564094
FISV,2014-12-02 00:00:00+00:00,35.63,35.77,35.5275,35.61,2138864,71.26,0.0,71.54,71.055,71.22,1.0,1069432
FISV,2014-12-03 00:00:00+00:00,35.735,35.75,35.435,35.62,2561596,71.47,0.0,71.5,70.87,71.24,1.0,1280798
FISV,2014-12-04 00:00:00+00:00,35.45,35.925,35.38,35.77,2506174,70.9,0.0,71.85,70.76,71.54,1.0,1253087
FISV,2014-12-05 00:00:00+00:00,35.685,35.685,35.47,35.545,3081084,71.37,0.0,71.37,70.94,71.09,1.0,1540542
FISV,2014-12-08 00:00:00+00:00,35.395,35.75,35.01,35.01,3774088,70.79,0.0,71.5,70.02,70.02,1.0,1887044
FISV,2014-12-09 00:00:00+00:00,35.235,35.33,34.81,35.025,2914846,70.47,0.0,70.66,69.62,70.05,1.0,1457423
FISV,2014-12-10 00:00:00+00:00,34.7175,35.275,34.675,35.12,3127216,69.435,0.0,70.55,69.35,70.24,1.0,1563608
FISV,2014-12-11 00:00:00+00:00,34.965,35.3,34.785,34.795,2265408,69.93,0.0,70.6,69.57,69.59,1.0,1132704
FISV,2014-12-12 00:00:00+00:00,34.175,35.0,34.175,34.55,3135808,68.35,0.0,70.0,68.35,69.1,1.0,1567904
FISV,2014-12-15 00:00:00+00:00,34.485,34.61,34.025,34.44,2906970,68.97,0.0,69.22,68.05,68.88,1.0,1453485
FISV,2014-12-16 00:00:00+00:00,34.38,34.97,34.335,34.45,2965580,68.76,0.0,69.94,68.67,68.9,1.0,1482790
FISV,2014-12-17 00:00:00+00:00,35.025,35.07,34.17,34.335,2445180,70.05,0.0,70.14,68.34,68.67,1.0,1222590
FISV,2014-12-18 00:00:00+00:00,35.845,35.845,35.005,35.455,2822912,71.69,0.0,71.69,70.01,70.91,1.0,1411456
FISV,2014-12-19 00:00:00+00:00,35.66,36.065,35.48,35.82,6787414,71.32,0.0,72.13,70.96,71.64,1.0,3393707
FISV,2014-12-22 00:00:00+00:00,36.185,36.21,35.82,35.83,1908334,72.37,0.0,72.42,71.64,71.66,1.0,954167
