symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GILD,2014-10-02 00:00:00+00:00,92.4521055184,93.6457775005,91.6121141236,92.8411541644,11530796,104.56,0.0,105.91,103.61,105.0,1.0,11530796
GILD,2014-10-03 00:00:00+00:00,94.1851403962,94.9190276148,92.5847357387,93.327464972,10296570,106.52,0.0,107.35,104.71,105.55,1.0,10296570
GILD,2014-10-06 00:00:00+00:00,92.9561003553,95.0074477616,92.6819979002,94.8040814239,11278334,105.13,0.0,107.45,104.82,107.22,1.0,11278334
GILD,2014-10-07 00:00:00+00:00,92.213371122,93.1064146049,90.6660185526,92.7085239442,9759148,104.29,0.0,105.3,102.54,104.85,1.0,9759148
GILD,2014-10-08 00:00:00+00:00,96.2630138465,96.3514339933,91.9923207549,92.2222131367,16544964,108.87,0.0,108.97,104.04,104.3,1.0,16544964
GILD,2014-10-09 00:00:00+00:00,93.5927254124,96.0419634795,93.4777792216,95.8651231858,13181923,105.85,0.0,108.62,105.72,108.42,1.0,13181923
GILD,2014-10-10 00:00:00+00:00,91.7182182998,95.051657835,91.072751228,93.1859927371,19713150,103.73,0.0,107.5,103.0,105.39,1.0,19713150
GILD,2014-10-13 00:00:00+00:00,89.6933969375,92.4609475331,89.6226608201,92.3902114156,14578948,101.44,0.0,104.57,101.36,104.49,1.0,14578948
GILD,2014-10-14 00:00:00+00:00,85.9266986829,90.9666470518,83.3536724103,90.1885497597,27249526,97.18,0.0,102.88,94.27,102.0,1.0,27249526
GILD,2014-10-15 00:00:00+00:00,85.0248131853,86.4483775491,81.107800681,83.9991394821,23835128,96.16,0.0,97.77,91.73,95.0,1.0,23835128
GILD,2014-10-16 00:00:00+00:00,85.6614382424,88.4201468233,82.4783129568,83.4597765865,19883460,96.88,0.0,100.0,93.28,94.39,1.0,19883460
GILD,2014-10-17 00:00:00+00:00,89.0832979245,90.4714942296,87.1999487971,87.1999487971,17538997,100.75,0.0,102.32,98.62,98.62,1.0,17538997
GILD,2014-10-20 00:00:00+00:00,90.3742320681,91.5944300942,89.1451920272,89.4369785118,11892203,102.21,0.0,103.59,100.82,101.15,1.0,11892203
GILD,2014-10-21 00:00:00+00:00,94.3177706164,94.3177706164,91.4794839034,92.0011627696,12267940,106.67,0.0,106.67,103.46,104.05,1.0,12267940
GILD,2014-10-22 00:00:00+00:00,93.8049337648,94.6095571009,92.0232678063,94.1762983815,13763081,106.09,0.0,107.0,104.075,106.51,1.0,13763081
GILD,2014-10-23 00:00:00+00:00,94.7687133652,95.6529148334,93.2832548986,94.2912445723,13872582,107.18,0.0,108.18,105.5,106.64,1.0,13872582
GILD,2014-10-24 00:00:00+00:00,97.8899445481,98.5619376639,94.2558765136,95.0781838791,15130759,110.71,0.0,111.47,106.6,107.53,1.0,15130759
GILD,2014-10-27 00:00:00+00:00,99.5522433083,99.9059238956,96.2630138465,97.9429966362,11505452,112.59,0.0,112.99,108.87,110.77,1.0,11505452
GILD,2014-10-28 00:00:00+00:00,100.312656571,100.9139135694,99.2604568238,100.1358162774,16128673,113.45,0.0,114.13,112.26,113.25,1.0,16128673
GILD,2014-10-29 00:00:00+00:00,97.8987865627,100.2905515343,95.4937585691,97.1295312854,21151500,110.72,0.0,113.425,108.0,109.85,1.0,21151500
GILD,2014-10-30 00:00:00+00:00,100.9934917016,101.1084378924,97.7926823866,97.8987865627,13796740,114.22,0.0,114.35,110.6,110.72,1.0,13796740
GILD,2014-10-31 00:00:00+00:00,99.0305644421,103.3012575336,97.9341546215,102.4789501682,22070031,112.0,0.0,116.83,110.76,115.9,1.0,22070031
GILD,2014-11-03 00:00:00+00:00,97.2444774762,99.7379256167,96.2099617584,99.3046668972,15356666,109.98,0.0,112.8,108.81,112.31,1.0,15356666
GILD,2014-11-04 00:00:00+00:00,97.0145850945,97.83689246,96.3514339933,96.9261649477,10206800,109.72,0.0,110.65,108.97,109.62,1.0,10206800
GILD,2014-11-05 00:00:00+00:00,93.7695657061,98.0667848417,93.5043052656,98.031416783,15459544,106.05,0.0,110.91,105.75,110.87,1.0,15459544
GILD,2014-11-06 00:00:00+00:00,94.5565050128,95.8916492299,93.8137757795,94.5565050128,13149441,106.94,0.0,108.45,106.1,106.94,1.0,13149441
GILD,2014-11-07 00:00:00+00:00,94.1232462934,96.333749964,94.0171421172,96.2895398906,12663722,106.45,0.0,108.95,106.33,108.9,1.0,12663722
GILD,2014-11-10 00:00:00+00:00,94.6272411303,96.7051145806,94.3089286017,96.4398541402,21412922,107.02,0.0,109.37,106.66,109.07,1.0,21412922
GILD,2014-11-11 00:00:00+00:00,95.5026005838,96.1303836263,94.3177706164,95.0339738057,12209740,108.01,0.0,108.72,106.67,107.48,1.0,12209740
GILD,2014-11-12 00:00:00+00:00,94.5211369541,95.3257602902,93.4600951922,95.2815502168,12802150,106.9,0.0,107.81,105.7,107.76,1.0,12802150
