symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GOOGL,2014-10-20 00:00:00+00:00,532.38,533.16,519.14,520.45,2749830,532.38,0.0,533.16,519.14,520.45,1.0,2749830
GOOGL,2014-10-21 00:00:00+00:00,538.03,538.77,530.2,537.27,2460140,538.03,0.0,538.77,530.2,537.27,1.0,2460140
GOOGL,2014-10-22 00:00:00+00:00,542.69,550.76,540.23,541.05,2974550,542.69,0.0,550.76,540.23,541.05,1.0,2974550
GOOGL,2014-10-23 00:00:00+00:00,553.65,557.4,545.5,548.28,2153678,553.65,0.0,557.4,545.5,548.28,1.0,2153678
GOOGL,2014-10-24 00:00:00+00:00,548.9,555.0,545.16,554.98,2175767,548.9,0.0,555.0,545.16,554.98,1.0,2175767
GOOGL,2014-10-27 00:00:00+00:00,549.88,554.0,547.2,547.76,1598409,549.88,0.0,554.0,547.2,547.76,1.0,1598409
GOOGL,2014-10-28 00:00:00+00:00,558.94,559.2,550.43,551.71,1739666,558.94,0.0,559.2,550.43,551.71,1.0,1739666
GOOGL,2014-10-29 00:00:00+00:00,558.45,564.97,555.98,560.85,2053355,558.45,0.0,564.97,555.98,560.85,1.0,2053355
GOOGL,2014-10-30 00:00:00+00:00,560.27,562.5,552.13,558.25,1612469,560.27,0.0,562.5,552.13,558.25,1.0,1612469
GOOGL,2014-10-31 00:00:00+00:00,567.87,568.73,564.81,568.3,2341539,567.87,0.0,568.73,564.81,568.3,1.0,2341539
GOOGL,2014-11-03 00:00:00+00:00,563.77,567.15,561.63,563.53,1544338,563.77,0.0,567.15,561.63,563.53,1.0,1544338
GOOGL,2014-11-04 00:00:00+00:00,564.19,564.79,558.3,561.16,1386509,564.19,0.0,564.79,558.3,561.16,1.0,1386509
GOOGL,2014-11-05 00:00:00+00:00,555.95,566.9,554.15,566.79,1645264,555.95,0.0,566.9,554.15,566.79,1.0,1645264
GOOGL,2014-11-06 00:00:00+00:00,551.69,556.799,550.58,555.5,1650721,551.69,0.0,556.799,550.58,555.5,1.0,1650721
GOOGL,2014-11-07 00:00:00+00:00,551.82,555.6,549.35,555.6,1589131,551.82,0.0,555.6,549.35,555.6,1.0,1589131
GOOGL,2014-11-10 00:00:00+00:00,558.23,560.63,551.62,552.4,1304481,558.23,0.0,560.63,551.62,552.4,1.0,1304481
GOOGL,2014-11-11 00:00:00+00:00,561.29,562.5,556.2419,558.52,1100179,561.29,0.0,562.5,556.2419,558.52,1.0,1100179
GOOGL,2014-11-12 00:00:00+00:00,558.25,561.25,555.5,561.15,1094114,558.25,0.0,561.25,555.5,561.15,1.0,1094114
GOOGL,2014-11-13 00:00:00+00:00,556.44,560.8199,554.09,560.81,1510989,556.44,0.0,560.8199,554.09,560.81,1.0,1510989
GOOGL,2014-11-14 00:00:00+00:00,555.19,558.0,552.51,558.0,1425060,555.19,0.0,558.0,552.51,558.0,1.0,1425060
GOOGL,2014-11-17 00:00:00+00:00,546.64,555.19,544.44,555.19,1680621,546.64,0.0,555.19,544.44,555.19,1.0,1680621
GOOGL,2014-11-18 00:00:00+00:00,544.51,552.79,543.8,547.93,1822166,544.51,0.0,552.79,543.8,547.93,1.0,1822166
GOOGL,2014-11-19 00:00:00+00:00,547.2,548.22,539.19,544.75,1517286,547.2,0.0,548.22,539.19,544.75,1.0,1517286
GOOGL,2014-11-20 00:00:00+00:00,543.76,545.38,541.5,542.09,1750758,543.76,0.0,545.38,541.5,542.09,1.0,1750758
GOOGL,2014-11-21 00:00:00+00:00,545.89,551.04,545.0,551.04,2505988,545.89,0.0,551.04,545.0,551.04,1.0,2505988
GOOGL,2014-11-24 00:00:00+00:00,547.48,551.19,544.15,546.57,1653773,547.48,0.0,551.19,544.15,546.57,1.0,1653773
GOOGL,2014-11-25 00:00:00+00:00,549.23,552.5,546.91,547.21,1903589,549.23,0.0,552.5,546.91,547.21,1.0,1903589
GOOGL,2014-11-26 00:00:00+00:00,547.73,549.88,545.23,549.23,1480294,547.73,0.0,549.88,545.23,549.23,1.0,1480294
GOOGL,2014-11-28 00:00:00+00:00,549.08,549.6,544.4801,547.0,1210061,549.08,0.0,549.6,544.4801,547.0,1.0,1210061
GOOGL,2014-12-01 00:00:00+00:00,539.65,548.79,538.62,545.09,1994399,539.65,0.0,548.79,538.62,545.09,1.0,1994399
GOOGL,2014-12-02 00:00:00+00:00,538.59,541.85,534.657,539.45,2073974,538.59,0.0,541.85,534.657,539.45,1.0,2073974
GOOGL,2014-12-03 00:00:00+00:00,536.97,541.405,535.21,537.5,1623977,536.97,0.0,541.405,535.21,537.5,1.0,1623977
GOOGL,2014-12-04 00:00:00+00:00,542.58,542.69,534.89,537.64,1633688,542.58,0.0,542.69,534.89,537.64,1.0,1633688
GOOGL,2014-12-05 00:00:00+00:00,528.08,538.2,527.26,536.7,3070118,528.08,0.0,538.2,527.26,536.7,1.0,3070118
GOOGL,2014-12-08 00:00:00+00:00,530.73,533.815,527.0,529.22,3231818,530.73,0.0,533.815,527.0,529.22,1.0,3231818
GOOGL,2014-12-09 00:00:00+00:00,536.11,536.65,523.41,525.875,2168813,536.11,0.0,536.65,523.41,525.875,1.0,2168813
GOOGL,2014-12-10 00:00:00+00:00,528.04,539.36,527.49,535.9,2316204,528.04,0.0,539.36,527.49,535.9,1.0,2316204
GOOGL,2014-12-11 00:00:00+00:00,532.11,537.04,529.16,530.01,2073290,532.11,0.0,537.04,529.16,530.01,1.0,2073290
GOOGL,2014-12-12 00:00:00+00:00,521.51,532.24,521.46,527.44,2371543,521.51,0.0,532.24,521.46,527.44,1.0,2371543
GOOGL,2014-12-15 00:00:00+00:00,515.84,525.37,515.397,523.76,2621977,515.84,0.0,525.37,515.397,523.76,1.0,2621977
GOOGL,2014-12-16 00:00:00+00:00,498.16,515.58,497.19,513.6,4349882,498.16,0.0,515.58,497.19,513.6,1.0,4349882
GOOGL,2014-12-17 00:00:00+00:00,506.45,509.07,499.11,499.86,3639437,506.45,0.0,509.07,499.11,499.86,1.0,3639437
GOOGL,2014-12-18 00:00:00+00:00,514.62,516.25,506.56,515.99,3876732,514.62,0.0,516.25,506.56,515.99,1.0,3876732
GOOGL,2014-12-19 00:00:00+00:00,520.04,520.81,508.86,516.99,4872059,520.04,0.0,520.81,508.86,516.99,1.0,4872059
GOOGL,2014-12-22 00:00:00+00:00,532.3,532.97,520.59,520.61,3319461,532.3,0.0,532.97,520.59,520.61,1.0,3319461
GOOGL,2014-12-23 00:00:00+00:00,538.77,542.3,533.72,534.51,2877222,538.77,0.0,542.3,533.72,534.51,1.0,2877222
