symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HAS,2014-10-02 00:00:00+00:00,48.6851228894,48.7556044282,48.0463839445,48.2622336569,739826,55.26,0.0,55.34,54.535,54.78,1.0,739826
HAS,2014-10-03 00:00:00+00:00,48.8260859669,49.3899382769,48.7996553899,48.9758592367,933350,55.42,0.0,56.06,55.39,55.59,1.0,933350
HAS,2014-10-06 00:00:00+00:00,48.5441598119,49.4163688539,48.3591457727,48.9758592367,1204395,55.1,0.0,56.09,54.89,55.59,1.0,1204395
HAS,2014-10-07 00:00:00+00:00,48.2402081761,48.6146413507,48.1477011565,48.3767661574,1257010,54.755,0.0,55.18,54.65,54.91,1.0,1257010
HAS,2014-10-08 00:00:00+00:00,48.9141878903,48.9934796214,48.1477011565,48.2798540416,804238,55.52,0.0,55.61,54.65,54.8,1.0,804238
HAS,2014-10-09 00:00:00+00:00,48.3239050033,49.3018363535,48.288664234,48.905377698,748374,54.85,0.0,55.96,54.81,55.51,1.0,748374
HAS,2014-10-10 00:00:00+00:00,48.4560578885,48.8877573133,48.0243584637,48.4296273115,970745,55.0,0.0,55.49,54.51,54.97,1.0,970745
HAS,2014-10-13 00:00:00+00:00,48.1565113488,48.6410719277,48.0860298101,48.3679559651,1118217,54.66,0.0,55.21,54.58,54.9,1.0,1118217
HAS,2014-10-14 00:00:00+00:00,48.3062846187,48.8965675057,48.1917521182,48.3767661574,1111314,54.83,0.0,55.5,54.7,54.91,1.0,1111314
HAS,2014-10-15 00:00:00+00:00,47.8657750015,48.3591457727,47.0640474982,47.7336221163,1984726,54.33,0.0,54.89,53.42,54.18,1.0,1984726
HAS,2014-10-16 00:00:00+00:00,47.7600526934,47.8569648091,46.4649544189,47.6014692312,1763033,54.21,0.0,54.32,52.74,54.03,1.0,1763033
HAS,2014-10-17 00:00:00+00:00,47.442885769,48.2798540416,47.442885769,48.0243584637,2197582,53.85,0.0,54.8,53.85,54.51,1.0,2197582
HAS,2014-10-20 00:00:00+00:00,49.7863969323,50.3590594347,47.4605061537,47.4781265384,3106027,56.51,0.0,57.16,53.87,53.89,1.0,3106027
HAS,2014-10-21 00:00:00+00:00,50.8524302059,51.1343563609,49.7423459706,50.0771332797,2876684,57.72,0.0,58.04,56.46,56.84,1.0,2876684
HAS,2014-10-22 00:00:00+00:00,50.1388046261,51.1519767456,50.0683230873,50.9669627063,1470544,56.91,0.0,58.06,56.83,57.85,1.0,1470544
HAS,2014-10-23 00:00:00+00:00,50.6409855896,50.9449372255,50.4824021275,50.5969346279,1179150,57.48,0.0,57.825,57.3,57.43,1.0,1179150
HAS,2014-10-24 00:00:00+00:00,50.7511129939,50.9889881872,50.5088327045,50.7819486671,716139,57.605,0.0,57.875,57.33,57.64,1.0,716139
HAS,2014-10-27 00:00:00+00:00,50.4912123198,50.8612403982,50.367869627,50.6586059743,1062967,57.31,0.0,57.73,57.17,57.5,1.0,1062967
HAS,2014-10-28 00:00:00+00:00,50.8612403982,50.9493423217,50.3590594347,50.6145550126,916726,57.73,0.0,57.83,57.16,57.45,1.0,916726
HAS,2014-10-29 00:00:00+00:00,50.7643282825,51.0718039952,50.4912123198,50.9141015523,678964,57.62,0.0,57.969,57.31,57.79,1.0,678964
HAS,2014-10-30 00:00:00+00:00,50.7555180901,51.0573172533,50.3653982895,50.5691127246,911611,57.18,0.43,57.52,56.7405,56.97,1.0,911611
HAS,2014-10-31 00:00:00+00:00,51.0661936993,51.4478808762,50.9241705637,51.2437226188,1110555,57.53,0.0,57.96,57.37,57.73,1.0,1110555
HAS,2014-11-03 00:00:00+00:00,51.163834605,51.2082168349,50.7288887522,51.2082168349,804027,57.64,0.0,57.69,57.15,57.69,1.0,804027
HAS,2014-11-04 00:00:00+00:00,50.9152941177,51.4212515383,50.7643945361,51.0928230372,741718,57.36,0.0,57.93,57.19,57.56,1.0,741718
HAS,2014-11-05 00:00:00+00:00,51.3502399705,51.3768693084,50.79990032,51.172711051,635091,57.85,0.0,57.88,57.23,57.65,1.0,635091
HAS,2014-11-06 00:00:00+00:00,51.5899040118,51.8473209451,51.163834605,51.4745102142,1041438,58.12,0.0,58.41,57.64,57.99,1.0,1041438
HAS,2014-11-07 00:00:00+00:00,51.4656337682,51.8295680532,51.2348461728,51.5100159981,854037,57.98,0.0,58.39,57.72,58.03,1.0,854037
HAS,2014-11-10 00:00:00+00:00,50.6667536303,51.6520391337,50.6134949545,51.4034986463,1474212,57.08,0.0,58.19,57.02,57.91,1.0,1474212
HAS,2014-11-11 00:00:00+00:00,50.3028193453,50.9419234556,50.1607962097,50.8265296579,1375866,56.67,0.0,57.39,56.51,57.26,1.0,1375866
HAS,2014-11-12 00:00:00+00:00,51.0129350234,51.1016994832,50.1607962097,50.2229313316,1082304,57.47,0.0,57.57,56.51,56.58,1.0,1082304
HAS,2014-11-13 00:00:00+00:00,48.8026999754,49.7968619247,48.0659549594,49.7879854787,3957678,54.98,0.0,56.1,54.15,56.09,1.0,3957678
HAS,2014-11-14 00:00:00+00:00,47.9505611617,49.5927036673,47.7020206744,49.2642751662,1886069,54.02,0.0,55.87,53.74,55.5,1.0,1886069
HAS,2014-11-17 00:00:00+00:00,50.0365259661,50.795462097,49.6370858971,49.9300086144,2112173,56.37,0.0,57.225,55.92,56.25,1.0,2112173
HAS,2014-11-18 00:00:00+00:00,49.8146148167,50.2850664534,49.5838272213,49.8767499385,1103857,56.12,0.0,56.65,55.86,56.19,1.0,1103857
HAS,2014-11-19 00:00:00+00:00,49.8234912626,50.1075375339,49.6370858971,49.8057383707,859109,56.13,0.0,56.45,55.92,56.11,1.0,859109
HAS,2014-11-20 00:00:00+00:00,50.1607962097,50.2983811224,49.6637152351,49.708097465,1119576,56.51,0.0,56.665,55.95,56.0,1.0,1119576
HAS,2014-11-21 00:00:00+00:00,50.3205722373,50.7732709821,50.1075375339,50.6667536303,1274702,56.69,0.0,57.2,56.45,57.08,1.0,1274702
