symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HSIC,2014-10-02 00:00:00+00:00,44.9803921569,45.2980392157,44.8509803922,45.2117647059,1309004,114.7,0.0,115.51,114.37,115.29,1.0,513335
HSIC,2014-10-03 00:00:00+00:00,45.4431372549,45.6,45.1450980392,45.2117647059,1465574,115.88,0.0,116.28,115.12,115.29,1.0,574735
HSIC,2014-10-06 00:00:00+00:00,45.337254902,45.9568627451,45.2431372549,45.7215686275,834724,115.61,0.0,117.19,115.37,116.59,1.0,327343
HSIC,2014-10-07 00:00:00+00:00,44.8705882353,45.2352941176,44.8352941176,45.031372549,1036868,114.42,0.0,115.35,114.33,114.83,1.0,406615
HSIC,2014-10-08 00:00:00+00:00,45.1764705882,45.2823529412,44.6784313725,44.8705882353,1923362,115.2,0.0,115.47,113.93,114.42,1.0,754260
HSIC,2014-10-09 00:00:00+00:00,44.5882352941,45.2901960784,44.4490196078,45.0196078431,1558582,113.7,0.0,115.49,113.345,114.8,1.0,611209
HSIC,2014-10-10 00:00:00+00:00,44.2745098039,45.062745098,44.2549019608,44.5058823529,1502235,112.9,0.0,114.91,112.85,113.49,1.0,589112
HSIC,2014-10-13 00:00:00+00:00,43.8549019608,44.4705882353,43.8196078431,44.2941176471,1701796,111.83,0.0,113.4,111.74,112.95,1.0,667371
HSIC,2014-10-14 00:00:00+00:00,44.2039215686,44.4784313725,43.9921568627,44.1058823529,1890901,112.72,0.0,113.42,112.18,112.47,1.0,741530
HSIC,2014-10-15 00:00:00+00:00,43.7490196078,44.1745098039,43.0901960784,43.7490196078,1816877,111.56,0.0,112.645,109.88,111.56,1.0,712501
HSIC,2014-10-16 00:00:00+00:00,43.5137254902,43.6941176471,42.8784313725,43.0666666667,1964517,110.96,0.0,111.42,109.34,109.82,1.0,770399
HSIC,2014-10-17 00:00:00+00:00,44.4156862745,44.568627451,43.8705882353,43.8705882353,1541829,113.26,0.0,113.65,111.87,111.87,1.0,604639
HSIC,2014-10-20 00:00:00+00:00,44.5568627451,44.5568627451,44.0745098039,44.0980392157,1201248,113.62,0.0,113.62,112.39,112.45,1.0,471078
HSIC,2014-10-21 00:00:00+00:00,45.6117647059,45.6352941176,44.7294117647,44.768627451,1094523,116.31,0.0,116.37,114.06,114.16,1.0,429225
HSIC,2014-10-22 00:00:00+00:00,45.3450980392,45.6666666667,45.1647058824,45.5843137255,1336391,115.63,0.0,116.45,115.17,116.24,1.0,524075
HSIC,2014-10-23 00:00:00+00:00,45.7137254902,46.0235294118,45.5866666667,46.0235294118,885426,116.57,0.0,117.36,116.246,117.36,1.0,347226
HSIC,2014-10-24 00:00:00+00:00,46.2039215686,46.2392156863,45.7843137255,45.9254901961,718225,117.82,0.0,117.91,116.75,117.11,1.0,281657
HSIC,2014-10-27 00:00:00+00:00,46.231372549,46.3764705882,46.0784313725,46.2039215686,767616,117.89,0.0,118.26,117.5,117.82,1.0,301026
HSIC,2014-10-28 00:00:00+00:00,46.5607843137,46.5647058824,46.2549019608,46.3960784314,851776,118.73,0.0,118.74,117.95,118.31,1.0,334030
HSIC,2014-10-29 00:00:00+00:00,46.6941176471,46.8196078431,46.3215686275,46.6039215686,838162,119.07,0.0,119.39,118.12,118.84,1.0,328691
HSIC,2014-10-30 00:00:00+00:00,47.1411764706,47.1764705882,46.5843137255,46.662745098,756896,120.21,0.0,120.3,118.79,118.99,1.0,296822
HSIC,2014-10-31 00:00:00+00:00,47.0705882353,48.152745098,47.0431372549,47.8862745098,1759862,120.03,0.0,122.7895,119.96,122.11,1.0,690142
HSIC,2014-11-03 00:00:00+00:00,46.9450980392,47.2352941176,46.8156862745,47.0862745098,1040634,119.71,0.0,120.45,119.38,120.07,1.0,408092
HSIC,2014-11-04 00:00:00+00:00,47.3882352941,47.4156862745,46.8117647059,46.9098039216,990544,120.84,0.0,120.91,119.37,119.62,1.0,388449
HSIC,2014-11-05 00:00:00+00:00,47.9254901961,48.168627451,47.4470588235,47.8509803922,2171386,122.21,0.0,122.83,120.99,122.02,1.0,851524
HSIC,2014-11-06 00:00:00+00:00,51.1019607843,52.2196078431,47.931372549,48.2196078431,4956983,130.31,0.0,133.16,122.225,122.96,1.0,1943915
HSIC,2014-11-07 00:00:00+00:00,50.5254901961,50.9803921569,50.3019607843,50.9803921569,1647738,128.84,0.0,130.0,128.27,130.0,1.0,646172
