symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
IDXX,2014-10-02 00:00:00+00:00,60.78,60.95,60.18,60.31,1377242,121.56,0.0,121.9,120.36,120.62,1.0,688621
IDXX,2014-10-03 00:00:00+00:00,60.975,61.305,60.245,61.305,2072758,121.95,0.0,122.61,120.49,122.61,1.0,1036379
IDXX,2014-10-06 00:00:00+00:00,61.025,61.66,60.85,61.145,839986,122.05,0.0,123.32,121.7,122.29,1.0,419993
IDXX,2014-10-07 00:00:00+00:00,60.75,61.345,60.555,60.91,919654,121.5,0.0,122.69,121.11,121.82,1.0,459827
IDXX,2014-10-08 00:00:00+00:00,61.49,61.595,60.215,60.695,760656,122.98,0.0,123.19,120.43,121.39,1.0,380328
IDXX,2014-10-09 00:00:00+00:00,60.42,61.575,60.245,61.345,1339294,120.84,0.0,123.15,120.49,122.69,1.0,669647
IDXX,2014-10-10 00:00:00+00:00,59.995,61.085,59.98,60.47,1223014,119.99,0.0,122.17,119.96,120.94,1.0,611507
IDXX,2014-10-13 00:00:00+00:00,59.2275,60.36,59.16,60.1,908010,118.455,0.0,120.72,118.32,120.2,1.0,454005
IDXX,2014-10-14 00:00:00+00:00,58.905,59.695,58.68365,59.375,663374,117.81,0.0,119.39,117.3673,118.75,1.0,331687
IDXX,2014-10-15 00:00:00+00:00,58.835,59.235,57.56,58.165,888040,117.67,0.0,118.47,115.12,116.33,1.0,444020
IDXX,2014-10-16 00:00:00+00:00,59.095,59.3,57.913,57.99,1106824,118.19,0.0,118.6,115.826,115.98,1.0,553412
IDXX,2014-10-17 00:00:00+00:00,59.675,59.995,59.051,59.5,745804,119.35,0.0,119.99,118.102,119.0,1.0,372902
IDXX,2014-10-20 00:00:00+00:00,60.29,60.3,59.095,59.425,844400,120.58,0.0,120.6,118.19,118.85,1.0,422200
IDXX,2014-10-21 00:00:00+00:00,62.2,62.235,60.28,60.77,852634,124.4,0.0,124.47,120.56,121.54,1.0,426317
IDXX,2014-10-22 00:00:00+00:00,62.37,62.69,61.65,62.195,1118418,124.74,0.0,125.38,123.3,124.39,1.0,559209
IDXX,2014-10-23 00:00:00+00:00,63.175,63.21,61.9575,62.935,1152474,126.35,0.0,126.42,123.915,125.87,1.0,576237
IDXX,2014-10-24 00:00:00+00:00,67.6,70.21,65.03,66.5,3559600,135.2,0.0,140.42,130.06,133.0,1.0,1779800
IDXX,2014-10-27 00:00:00+00:00,69.38,69.495,67.665,67.665,1252724,138.76,0.0,138.99,135.33,135.33,1.0,626362
IDXX,2014-10-28 00:00:00+00:00,71.295,71.565,69.135,69.83,1313292,142.59,0.0,143.13,138.27,139.66,1.0,656646
IDXX,2014-10-29 00:00:00+00:00,70.975,71.84,70.31,71.085,1126408,141.95,0.0,143.68,140.62,142.17,1.0,563204
IDXX,2014-10-30 00:00:00+00:00,71.43,71.555,69.835,70.575,636054,142.86,0.0,143.11,139.67,141.15,1.0,318027
IDXX,2014-10-31 00:00:00+00:00,70.835,72.255,70.77,72.255,1042248,141.67,0.0,144.51,141.54,144.51,1.0,521124
IDXX,2014-11-03 00:00:00+00:00,71.415,71.49495,69.99,71.045,1137064,142.83,0.0,142.9899,139.98,142.09,1.0,568532
IDXX,2014-11-04 00:00:00+00:00,72.145,72.225,70.915,71.42,971818,144.29,0.0,144.45,141.83,142.84,1.0,485909
IDXX,2014-11-05 00:00:00+00:00,72.055,72.81,71.075,72.465,1202612,144.11,0.0,145.62,142.15,144.93,1.0,601306
