symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ILMN,2014-10-02 00:00:00+00:00,159.54,160.79,155.52,159.64,793611,159.54,0.0,160.79,155.52,159.64,1.0,793611
ILMN,2014-10-03 00:00:00+00:00,163.29,165.39,162.0,162.5,1045426,163.29,0.0,165.39,162.0,162.5,1.0,1045426
ILMN,2014-10-06 00:00:00+00:00,163.12,166.43,161.5,164.98,569243,163.12,0.0,166.43,161.5,164.98,1.0,569243
ILMN,2014-10-07 00:00:00+00:00,157.97,162.98,157.8,161.64,974751,157.97,0.0,162.98,157.8,161.64,1.0,974751
ILMN,2014-10-08 00:00:00+00:00,163.3,163.56,156.53,158.2,1178706,163.3,0.0,163.56,156.53,158.2,1.0,1178706
ILMN,2014-10-09 00:00:00+00:00,159.21,165.79,158.805,163.54,1295156,159.21,0.0,165.79,158.805,163.54,1.0,1295156
ILMN,2014-10-10 00:00:00+00:00,153.92,161.1799,153.87,158.0,1338381,153.92,0.0,161.1799,153.87,158.0,1.0,1338381
ILMN,2014-10-13 00:00:00+00:00,150.02,155.31,149.55,153.9,1612027,150.02,0.0,155.31,149.55,153.9,1.0,1612027
ILMN,2014-10-14 00:00:00+00:00,149.12,154.07,148.65,151.85,1174301,149.12,0.0,154.07,148.65,151.85,1.0,1174301
ILMN,2014-10-15 00:00:00+00:00,153.59,155.86,145.1201,146.5,2231309,153.59,0.0,155.86,145.1201,146.5,1.0,2231309
ILMN,2014-10-16 00:00:00+00:00,160.23,165.38,152.8,154.72,1899588,160.23,0.0,165.38,152.8,154.72,1.0,1899588
ILMN,2014-10-17 00:00:00+00:00,164.91,167.65,161.23,163.42,1640347,164.91,0.0,167.65,161.23,163.42,1.0,1640347
ILMN,2014-10-20 00:00:00+00:00,164.47,166.0,161.0,165.58,1876543,164.47,0.0,166.0,161.0,165.58,1.0,1876543
ILMN,2014-10-21 00:00:00+00:00,179.55,180.8,174.01,180.45,3664876,179.55,0.0,180.8,174.01,180.45,1.0,3664876
ILMN,2014-10-22 00:00:00+00:00,184.82,188.98,178.1065,180.8,2688171,184.82,0.0,188.98,178.1065,180.8,1.0,2688171
ILMN,2014-10-23 00:00:00+00:00,185.84,190.858,184.66,187.55,2121549,185.84,0.0,190.858,184.66,187.55,1.0,2121549
ILMN,2014-10-24 00:00:00+00:00,189.12,189.42,185.84,185.84,1237499,189.12,0.0,189.42,185.84,185.84,1.0,1237499
ILMN,2014-10-27 00:00:00+00:00,191.31,192.49,187.51,189.84,1343683,191.31,0.0,192.49,187.51,189.84,1.0,1343683
ILMN,2014-10-28 00:00:00+00:00,190.65,192.87,189.06,192.02,1040584,190.65,0.0,192.87,189.06,192.02,1.0,1040584
ILMN,2014-10-29 00:00:00+00:00,188.88,191.84,185.6,190.01,831457,188.88,0.0,191.84,185.6,190.01,1.0,831457
ILMN,2014-10-30 00:00:00+00:00,193.42,194.77,187.2,189.14,1277342,193.42,0.0,194.77,187.2,189.14,1.0,1277342
ILMN,2014-10-31 00:00:00+00:00,192.58,197.37,190.52,195.0,1248168,192.58,0.0,197.37,190.52,195.0,1.0,1248168
ILMN,2014-11-03 00:00:00+00:00,194.33,196.83,192.58,192.58,1048766,194.33,0.0,196.83,192.58,192.58,1.0,1048766
ILMN,2014-11-04 00:00:00+00:00,191.41,194.5,189.64,192.28,792308,191.41,0.0,194.5,189.64,192.28,1.0,792308
ILMN,2014-11-05 00:00:00+00:00,186.37,194.13,184.83,194.12,1125956,186.37,0.0,194.13,184.83,194.12,1.0,1125956
ILMN,2014-11-06 00:00:00+00:00,189.87,190.8899,186.9,188.22,850775,189.87,0.0,190.8899,186.9,188.22,1.0,850775
ILMN,2014-11-07 00:00:00+00:00,186.35,189.692,185.32,189.41,1179086,186.35,0.0,189.692,185.32,189.41,1.0,1179086
ILMN,2014-11-10 00:00:00+00:00,188.27,190.18,186.31,186.35,1226855,188.27,0.0,190.18,186.31,186.35,1.0,1226855
ILMN,2014-11-11 00:00:00+00:00,188.04,189.5,186.93,188.5,710225,188.04,0.0,189.5,186.93,188.5,1.0,710225
