symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
INCY,2014-10-02 00:00:00+00:00,46.63,48.49,45.42,47.7,1789217,46.63,0.0,48.49,45.42,47.7,1.0,1789217
INCY,2014-10-03 00:00:00+00:00,47.38,47.46,46.5,47.0,1480073,47.38,0.0,47.46,46.5,47.0,1.0,1480073
INCY,2014-10-06 00:00:00+00:00,47.7,47.94,47.06,47.68,671977,47.7,0.0,47.94,47.06,47.68,1.0,671977
INCY,2014-10-07 00:00:00+00:00,46.76,47.76,46.2072,47.36,679209,46.76,0.0,47.76,46.2072,47.36,1.0,679209
INCY,2014-10-08 00:00:00+00:00,48.01,48.07,45.82,46.73,769432,48.01,0.0,48.07,45.82,46.73,1.0,769432
INCY,2014-10-09 00:00:00+00:00,47.59,48.47,47.01,48.0,1570668,47.59,0.0,48.47,47.01,48.0,1.0,1570668
INCY,2014-10-10 00:00:00+00:00,46.1,48.16,45.83,47.23,855638,46.1,0.0,48.16,45.83,47.23,1.0,855638
INCY,2014-10-13 00:00:00+00:00,45.6,46.541,43.86,46.1,1853319,45.6,0.0,46.541,43.86,46.1,1.0,1853319
INCY,2014-10-14 00:00:00+00:00,46.54,47.34,45.19,45.93,984350,46.54,0.0,47.34,45.19,45.93,1.0,984350
INCY,2014-10-15 00:00:00+00:00,48.15,48.51,45.5,45.73,1298145,48.15,0.0,48.51,45.5,45.73,1.0,1298145
INCY,2014-10-16 00:00:00+00:00,51.5,51.96,46.47,46.93,1359419,51.5,0.0,51.96,46.47,46.93,1.0,1359419
INCY,2014-10-17 00:00:00+00:00,50.08,52.41,49.75,51.74,1667818,50.08,0.0,52.41,49.75,51.74,1.0,1667818
INCY,2014-10-20 00:00:00+00:00,50.79,51.03,49.8601,50.1,1058267,50.79,0.0,51.03,49.8601,50.1,1.0,1058267
INCY,2014-10-21 00:00:00+00:00,52.44,52.71,50.55,51.43,1064560,52.44,0.0,52.71,50.55,51.43,1.0,1064560
INCY,2014-10-22 00:00:00+00:00,52.47,53.39,51.5,52.56,575323,52.47,0.0,53.39,51.5,52.56,1.0,575323
INCY,2014-10-23 00:00:00+00:00,54.95,55.15,52.38,53.02,1037723,54.95,0.0,55.15,52.38,53.02,1.0,1037723
INCY,2014-10-24 00:00:00+00:00,55.07,55.93,53.7601,55.0,1258331,55.07,0.0,55.93,53.7601,55.0,1.0,1258331
INCY,2014-10-27 00:00:00+00:00,57.46,57.67,54.51,55.05,1406960,57.46,0.0,57.67,54.51,55.05,1.0,1406960
INCY,2014-10-28 00:00:00+00:00,58.19,59.3,57.27,57.46,1271703,58.19,0.0,59.3,57.27,57.46,1.0,1271703
INCY,2014-10-29 00:00:00+00:00,57.87,58.8799,57.36,58.12,1204662,57.87,0.0,58.8799,57.36,58.12,1.0,1204662
INCY,2014-10-30 00:00:00+00:00,64.18,64.88,59.02,59.02,2509110,64.18,0.0,64.88,59.02,59.02,1.0,2509110
INCY,2014-10-31 00:00:00+00:00,67.06,70.3299,64.93,65.0,3651729,67.06,0.0,70.3299,64.93,65.0,1.0,3651729
INCY,2014-11-03 00:00:00+00:00,67.97,68.34,66.29,66.93,1844615,67.97,0.0,68.34,66.29,66.93,1.0,1844615
INCY,2014-11-04 00:00:00+00:00,67.76,68.24,66.79,67.5,1158007,67.76,0.0,68.24,66.79,67.5,1.0,1158007
INCY,2014-11-05 00:00:00+00:00,67.72,68.68,67.19,68.1,927344,67.72,0.0,68.68,67.19,68.1,1.0,927344
INCY,2014-11-06 00:00:00+00:00,68.4,69.325,66.97,67.79,1536821,68.4,0.0,69.325,66.97,67.79,1.0,1536821
INCY,2014-11-07 00:00:00+00:00,69.32,70.67,68.45,68.78,1361475,69.32,0.0,70.67,68.45,68.78,1.0,1361475
INCY,2014-11-10 00:00:00+00:00,70.96,71.0,68.77,69.39,1505612,70.96,0.0,71.0,68.77,69.39,1.0,1505612
INCY,2014-11-11 00:00:00+00:00,71.06,71.8,70.14,70.97,1125717,71.06,0.0,71.8,70.14,70.97,1.0,1125717
INCY,2014-11-12 00:00:00+00:00,71.87,72.635,70.26,70.71,1089850,71.87,0.0,72.635,70.26,70.71,1.0,1089850
INCY,2014-11-13 00:00:00+00:00,71.21,72.795,70.77,71.76,889207,71.21,0.0,72.795,70.77,71.76,1.0,889207
INCY,2014-11-14 00:00:00+00:00,69.54,71.2,68.27,71.2,1682916,69.54,0.0,71.2,68.27,71.2,1.0,1682916
INCY,2014-11-17 00:00:00+00:00,69.7,70.88,68.82,69.47,930443,69.7,0.0,70.88,68.82,69.47,1.0,930443
INCY,2014-11-18 00:00:00+00:00,69.64,71.27,69.1,69.82,2176937,69.64,0.0,71.27,69.1,69.82,1.0,2176937
INCY,2014-11-19 00:00:00+00:00,71.3,71.98,69.28,69.8,1277401,71.3,0.0,71.98,69.28,69.8,1.0,1277401
INCY,2014-11-20 00:00:00+00:00,71.61,72.28,69.74,70.46,900434,71.61,0.0,72.28,69.74,70.46,1.0,900434
INCY,2014-11-21 00:00:00+00:00,72.27,73.15,71.64,72.5,725012,72.27,0.0,73.15,71.64,72.5,1.0,725012
INCY,2014-11-24 00:00:00+00:00,75.54,75.79,72.3,72.5,1830581,75.54,0.0,75.79,72.3,72.5,1.0,1830581
