symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
INTC,2014-10-02 00:00:00+00:00,29.1259217994,29.5429994385,28.9000047449,29.5082429686,32911575,33.52,0.0,34.0,33.26,33.96,1.0,32911575
INTC,2014-10-03 00:00:00+00:00,29.569066791,29.6994035532,29.082476212,29.2475694442,25834842,34.03,0.0,34.18,33.47,33.66,1.0,25834842
INTC,2014-10-06 00:00:00+00:00,29.6385797308,29.9600770777,29.4300409113,29.6733362008,24323080,34.11,0.0,34.48,33.87,34.15,1.0,24323080
INTC,2014-10-07 00:00:00+00:00,29.082476212,29.586445026,29.0346860658,29.5777559085,25972716,33.47,0.0,34.05,33.415,34.04,1.0,25972716
INTC,2014-10-08 00:00:00+00:00,29.7776056106,29.8644967854,28.7957353351,29.099854447,34963367,34.27,0.0,34.37,33.14,33.49,1.0,34963367
INTC,2014-10-09 00:00:00+00:00,29.2128129742,29.9201071373,29.1780565043,29.6733362008,28192889,33.62,0.0,34.434,33.58,34.15,1.0,28192889
INTC,2014-10-10 00:00:00+00:00,27.7269738848,28.5524400456,26.5018083199,28.343901226,80917567,31.91,0.0,32.86,30.5,32.62,1.0,80917567
INTC,2014-10-13 00:00:00+00:00,27.3446527156,28.126673289,27.3446527156,27.5618806527,42117454,31.47,0.0,32.37,31.47,31.72,1.0,42117454
INTC,2014-10-14 00:00:00+00:00,27.9268235869,28.3830022547,27.5531915352,27.7964868247,68671035,32.14,0.0,32.665,31.71,31.99,1.0,68671035
INTC,2014-10-15 00:00:00+00:00,27.1752149247,27.5010568303,25.7632333339,26.5322202311,92309007,31.275,0.0,31.65,29.65,30.535,1.0,92309007
INTC,2014-10-16 00:00:00+00:00,26.8059274317,27.3794091855,26.7190362569,26.8406839017,47787439,30.85,0.0,31.51,30.75,30.89,1.0,47787439
INTC,2014-10-17 00:00:00+00:00,27.2664506583,27.5531915352,26.9101968415,27.1100465436,37504513,31.38,0.0,31.71,30.97,31.2,1.0,37504513
INTC,2014-10-20 00:00:00+00:00,27.4402330079,27.5445024177,26.8493730191,26.9710206639,30523697,31.58,0.0,31.7,30.9,31.04,1.0,30523697
INTC,2014-10-21 00:00:00+00:00,28.3352121086,28.343901226,27.4402330079,27.5184350653,33281716,32.61,0.0,32.62,31.58,31.67,1.0,33281716
INTC,2014-10-22 00:00:00+00:00,28.0397821142,28.5611291631,27.9963365268,28.378657696,26725598,32.27,0.0,32.87,32.22,32.66,1.0,26725598
