symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
INTU,2014-10-02 00:00:00+00:00,80.2809286785,81.1547863972,79.1411142628,80.7653498052,2613552,84.52,0.0,85.44,83.32,85.03,1.0,2613552
INTU,2014-10-03 00:00:00+00:00,80.9838142349,81.1642848507,80.5278884686,80.6228730032,1991313,85.26,0.0,85.45,84.78,84.88,1.0,1991313
INTU,2014-10-06 00:00:00+00:00,80.413907027,81.5537214427,80.1289534231,81.335257013,1142929,84.66,0.0,85.86,84.36,85.63,1.0,1142929
INTU,2014-10-07 00:00:00+00:00,78.3337457184,80.4006091922,78.305250358,79.8155044588,1716670,82.47,0.0,84.646,82.44,84.03,1.0,1716670
INTU,2014-10-08 00:00:00+00:00,79.8345013657,79.9297692671,77.7671879055,78.415009635,1693650,83.8,0.25,83.9,81.63,82.31,1.0,1693650
INTU,2014-10-09 00:00:00+00:00,77.938670128,79.720179884,77.5671253126,79.720179884,1796065,81.81,0.0,83.68,81.42,83.68,1.0,1796065
INTU,2014-10-10 00:00:00+00:00,76.3762765452,79.2819475376,76.3762765452,77.9291433379,1811990,80.17,0.0,83.22,80.17,81.8,1.0,1811990
INTU,2014-10-13 00:00:00+00:00,75.9094638284,76.5953927184,75.0520527159,76.1762139523,3108265,79.68,0.0,80.4,78.78,79.96,1.0,3108265
INTU,2014-10-14 00:00:00+00:00,75.6331869144,76.7954553113,75.4426511116,76.4810712367,1906272,79.39,0.0,80.61,79.19,80.28,1.0,1906272
INTU,2014-10-15 00:00:00+00:00,75.7379816059,76.2047943227,74.2708559245,74.5471328385,2272242,79.5,0.0,79.99,77.96,78.25,1.0,2272242
INTU,2014-10-16 00:00:00+00:00,74.9186776539,75.5664993834,74.3184898752,74.4518649371,1527128,78.64,0.0,79.32,78.01,78.15,1.0,1527128
INTU,2014-10-17 00:00:00+00:00,77.1955804972,77.5194913619,75.4998118524,75.8904102481,2479849,81.03,0.0,81.37,79.25,79.66,1.0,2479849
INTU,2014-10-20 00:00:00+00:00,77.2051072873,77.4051698802,76.3858033354,76.9002500029,1229271,81.04,0.0,81.25,80.18,80.72,1.0,1229271
INTU,2014-10-21 00:00:00+00:00,79.4248493897,79.4343761799,77.2241608676,77.9196165478,1524038,83.37,0.0,83.38,81.06,81.79,1.0,1524038
INTU,2014-10-22 00:00:00+00:00,78.0815719801,79.7297066742,78.0625183998,79.3962690193,1173104,81.96,0.0,83.69,81.94,83.34,1.0,1173104
INTU,2014-10-23 00:00:00+00:00,79.577278032,79.9107156868,78.1768398815,79.034250994,1323541,83.53,0.0,83.88,82.06,82.96,1.0,1323541
INTU,2014-10-24 00:00:00+00:00,80.9396090218,81.015823343,79.7011263038,80.1107782797,1103059,84.96,0.0,85.04,83.66,84.09,1.0,1103059
INTU,2014-10-27 00:00:00+00:00,80.9872429725,81.5864780723,80.6919124782,80.8633947007,1354210,85.01,0.0,85.639,84.7,84.88,1.0,1354210
INTU,2014-10-28 00:00:00+00:00,82.2447792709,82.3495739624,81.358787788,81.4159485288,1706349,86.33,0.0,86.44,85.4,85.46,1.0,1706349
INTU,2014-10-29 00:00:00+00:00,81.8160737146,82.3591007526,81.3968949485,81.9494487766,1339962,85.88,0.0,86.45,85.44,86.02,1.0,1339962
INTU,2014-10-30 00:00:00+00:00,82.7211187779,82.9497617412,81.5302700105,81.6255379119,893557,86.83,0.0,87.07,85.58,85.68,1.0,893557
INTU,2014-10-31 00:00:00+00:00,83.8452800143,84.6360035958,83.5023155693,84.4168874226,1537333,88.01,0.0,88.84,87.65,88.61,1.0,1537333
INTU,2014-11-03 00:00:00+00:00,84.1596640889,84.6074232254,83.7119049523,84.0643961875,858664,88.34,0.0,88.81,87.87,88.24,1.0,858664
INTU,2014-11-04 00:00:00+00:00,84.2644587804,84.7598518676,83.8833871748,83.9596014959,872821,88.45,0.0,88.97,88.05,88.13,1.0,872821
INTU,2014-11-05 00:00:00+00:00,84.5312089043,84.9313340901,84.0358158171,84.3216195212,1193217,88.73,0.0,89.15,88.21,88.51,1.0,1193217
INTU,2014-11-06 00:00:00+00:00,84.9122805099,84.9694412507,84.2882757557,84.6645839662,950111,89.13,0.0,89.19,88.475,88.87,1.0,950111
INTU,2014-11-07 00:00:00+00:00,84.6074232254,85.1409234732,84.4168874226,85.0742359422,790709,88.81,0.0,89.37,88.61,89.3,1.0,790709
INTU,2014-11-10 00:00:00+00:00,85.6267897703,85.741111252,84.3406731015,84.5502624846,1032613,89.88,0.0,90.0,88.53,88.75,1.0,1032613
INTU,2014-11-11 00:00:00+00:00,86.4175133518,86.6080491546,85.6648969308,85.741111252,1324754,90.71,0.0,90.91,89.92,90.0,1.0,1324754
INTU,2014-11-12 00:00:00+00:00,85.3790932267,86.4079865617,85.2361913746,86.1507632279,1291244,89.62,0.0,90.7,89.47,90.43,1.0,1291244
INTU,2014-11-13 00:00:00+00:00,86.1602900181,86.1698168082,85.2552449549,85.6172629801,1133897,90.44,0.0,90.45,89.49,89.87,1.0,1133897
INTU,2014-11-14 00:00:00+00:00,86.3984597716,86.4151316543,85.4743611281,86.0936024871,917906,90.69,0.0,90.7075,89.72,90.37,1.0,917906
INTU,2014-11-17 00:00:00+00:00,86.6271027349,87.0748618714,86.1507632279,86.4175133518,1806243,90.93,0.0,91.4,90.43,90.71,1.0,1806243
INTU,2014-11-18 00:00:00+00:00,87.0177011306,87.4178263164,86.636629525,86.703317056,1577086,91.34,0.0,91.76,90.94,91.01,1.0,1577086
INTU,2014-11-19 00:00:00+00:00,87.0939154517,87.1891833531,86.3317722406,86.8843260687,1302645,91.42,0.0,91.52,90.62,91.2,1.0,1302645
INTU,2014-11-20 00:00:00+00:00,86.4365669321,86.7604777968,86.1317096477,86.7509510067,1677474,90.73,0.0,91.07,90.41,91.06,1.0,1677474
INTU,2014-11-21 00:00:00+00:00,87.3797191559,90.9046315074,87.3701923657,90.8284171862,3773048,91.72,0.0,95.42,91.71,95.34,1.0,3773048
INTU,2014-11-24 00:00:00+00:00,88.2847642191,88.5896215036,87.4464066869,87.6559960699,1717157,92.67,0.0,92.99,91.79,92.01,1.0,1717157
INTU,2014-11-25 00:00:00+00:00,88.275237429,88.8182644669,87.6750496502,87.8370050826,1330902,92.66,0.0,93.23,92.03,92.2,1.0,1330902
INTU,2014-11-26 00:00:00+00:00,87.8751122431,88.5276973676,87.6464692798,87.6464692798,1411769,92.24,0.0,92.925,92.0,92.0,1.0,1411769
INTU,2014-11-28 00:00:00+00:00,89.4279790358,89.8757381723,88.2942910092,88.3800321205,949818,93.87,0.0,94.34,92.68,92.77,1.0,949818
INTU,2014-12-01 00:00:00+00:00,89.6661487893,90.4092384201,88.827791257,88.8373180472,1808699,94.12,0.0,94.9,93.24,93.25,1.0,1808699
INTU,2014-12-02 00:00:00+00:00,88.9135323683,89.7899970611,88.7992108866,89.6947291597,2124136,93.33,0.0,94.25,93.21,94.15,1.0,2124136
INTU,2014-12-03 00:00:00+00:00,89.2660236034,89.5613540977,88.618201874,88.827791257,1087976,93.7,0.0,94.01,93.02,93.24,1.0,1087976
INTU,2014-12-04 00:00:00+00:00,89.4279790358,89.4660861963,88.5705679233,89.0373806401,903945,93.87,0.0,93.91,92.97,93.46,1.0,903945
INTU,2014-12-05 00:00:00+00:00,89.2469700231,89.6756755794,88.7992108866,89.6756755794,1083242,93.68,0.0,94.13,93.21,94.13,1.0,1083242
INTU,2014-12-08 00:00:00+00:00,88.9373493436,89.5518273076,88.3133445895,89.0469074302,1035879,93.355,0.0,94.0,92.7,93.47,1.0,1035879
INTU,2014-12-09 00:00:00+00:00,88.3323981698,88.5896215036,86.1698168082,86.5413616236,1285765,92.72,0.0,92.99,90.45,90.84,1.0,1285765
INTU,2014-12-10 00:00:00+00:00,88.1799695276,89.0469074302,87.2368173038,88.3133445895,1637440,92.56,0.0,93.47,91.57,92.7,1.0,1637440
INTU,2014-12-11 00:00:00+00:00,88.9516395288,89.6087022447,88.1894963177,88.7325233556,2186011,93.37,0.0,94.0597,92.57,93.14,1.0,2186011
INTU,2014-12-12 00:00:00+00:00,87.8084247121,88.9230591584,86.4079865617,86.4079865617,1937017,92.17,0.0,93.34,90.7,90.7,1.0,1937017
INTU,2014-12-15 00:00:00+00:00,88.2847642191,88.8849519979,87.2653976742,88.618201874,2291724,92.67,0.0,93.3,91.6,93.02,1.0,2291724
INTU,2014-12-16 00:00:00+00:00,87.7512639713,89.4375058259,87.5893085389,88.2180766881,2255400,92.11,0.0,93.88,91.94,92.6,1.0,2255400
INTU,2014-12-17 00:00:00+00:00,88.484826812,88.7896840965,87.0653350813,87.6750496502,2382837,92.88,0.0,93.2,91.39,92.03,1.0,2382837
INTU,2014-12-18 00:00:00+00:00,90.0091132343,90.0091132343,87.732210391,88.4086124909,3064749,94.48,0.0,94.48,92.09,92.8,1.0,3064749
INTU,2014-12-19 00:00:00+00:00,89.4756129865,91.3047566932,89.3803450851,89.7995238512,2988811,93.92,0.0,95.84,93.82,94.26,1.0,2988811
INTU,2014-12-22 00:00:00+00:00,90.2091758272,90.7331492848,89.6280416287,89.9805328639,1210132,94.69,0.0,95.24,94.08,94.45,1.0,1210132
INTU,2014-12-23 00:00:00+00:00,90.6474081736,90.8569975567,90.2044124321,90.5997742229,935231,95.15,0.0,95.37,94.685,95.1,1.0,935231
INTU,2014-12-24 00:00:00+00:00,90.1139079258,90.9103475814,90.1043811357,90.7903100257,352508,94.59,0.0,95.426,94.58,95.3,1.0,352508
INTU,2014-12-26 00:00:00+00:00,89.7328363202,90.4568723708,89.6566219991,90.0472203948,638741,94.19,0.0,94.95,94.11,94.52,1.0,638741
INTU,2014-12-29 00:00:00+00:00,89.3231843443,89.990059654,89.2946039738,89.6280416287,685583,93.76,0.0,94.46,93.73,94.08,1.0,685583
INTU,2014-12-30 00:00:00+00:00,88.6991795902,89.5899344682,88.2561838487,88.7611037261,903933,93.105,0.0,94.04,92.64,93.17,1.0,903933
INTU,2014-12-31 00:00:00+00:00,87.8274782924,89.4470326161,87.798897922,88.7706305162,1050537,92.19,0.0,93.89,92.16,93.18,1.0,1050537
INTU,2015-01-02 00:00:00+00:00,86.8938528588,88.7515769359,86.0936024871,87.8465318727,1882035,91.21,0.0,93.16,90.37,92.21,1.0,1882035
INTU,2015-01-05 00:00:00+00:00,86.5508884138,87.0129377355,85.4934147083,86.0269149561,2499623,90.85,0.0,91.335,89.74,90.3,1.0,2499623
INTU,2015-01-06 00:00:00+00:00,83.892913965,86.8843260687,83.4642084087,86.5127812532,2288407,88.06,0.0,91.2,87.61,90.81,1.0,2288407
INTU,2015-01-07 00:00:00+00:00,84.7122179169,85.065702981,83.9479258866,84.0434623904,1657627,88.67,0.25,89.04,87.87,87.97,1.0,1657627
INTU,2015-01-08 00:00:00+00:00,85.8491023121,86.5847333914,85.142132184,85.1994540863,1954769,89.86,0.0,90.63,89.12,89.18,1.0,1954769
INTU,2015-01-09 00:00:00+00:00,84.0434623904,86.4558546477,83.9383722362,86.29812388,2210242,87.97,0.0,90.4951,87.86,90.33,1.0,2210242
INTU,2015-01-12 00:00:00+00:00,82.8492560929,84.3300719017,82.6199684838,83.9765868377,1835095,86.72,0.0,88.27,86.48,87.9,1.0,1835095
INTU,2015-01-13 00:00:00+00:00,82.4575564273,84.9462823512,81.8079082015,83.6804236759,1553614,86.31,0.0,88.915,85.63,87.59,1.0,1553614
INTU,2015-01-14 00:00:00+00:00,82.3811272243,82.4097881754,81.2824574306,81.3971012352,1618053,86.23,0.0,86.26,85.08,85.2,1.0,1618053
INTU,2015-01-15 00:00:00+00:00,81.2824574306,82.7728268899,81.1009380734,82.3046980212,910588,85.08,0.0,86.64,84.89,86.15,1.0,910588
INTU,2015-01-16 00:00:00+00:00,82.5626465815,82.5817538823,80.9681423331,81.1582599757,1393669,86.42,0.0,86.44,84.751,84.95,1.0,1393669
INTU,2015-01-20 00:00:00+00:00,83.5180116195,84.0434623904,82.323805322,83.1645265554,1843383,87.42,0.0,87.97,86.17,87.05,1.0,1843383
INTU,2015-01-21 00:00:00+00:00,82.5435392807,84.0052477888,82.0849640625,82.0849640625,1770550,86.4,0.0,87.93,85.92,85.92,1.0,1770550
INTU,2015-01-22 00:00:00+00:00,84.8268617215,85.2758832893,82.4193418258,83.0498827509,2997443,88.79,0.0,89.26,86.27,86.93,1.0,2997443
INTU,2015-01-23 00:00:00+00:00,85.4287416954,86.0879435716,84.9319518757,85.4000807443,2138613,89.42,0.0,90.11,88.9,89.39,1.0,2138613
INTU,2015-01-26 00:00:00+00:00,85.3714197931,85.619814703,84.688333791,85.4669562969,2058623,89.36,0.0,89.62,88.645,89.46,1.0,2058623
INTU,2015-01-27 00:00:00+00:00,84.5020376086,85.5051708985,83.5944408225,84.2536426987,1520463,88.45,0.0,89.5,87.5,88.19,1.0,1520463
INTU,2015-01-28 00:00:00+00:00,83.5944408225,85.5338318496,83.5848871721,85.3236515412,1541936,87.5,0.0,89.53,87.49,89.31,1.0,1541936
INTU,2015-01-29 00:00:00+00:00,84.5020376086,84.8268617215,83.154972905,83.4224751157,1617449,88.45,0.0,88.79,87.04,87.32,1.0,1617449
INTU,2015-01-30 00:00:00+00:00,82.9447925967,84.5498058605,82.8588097433,84.03390874,1900347,86.82,0.0,88.5,86.73,87.96,1.0,1900347
INTU,2015-02-02 00:00:00+00:00,84.3396255521,84.888960449,81.9416593068,83.6039944729,1772273,88.28,0.0,88.855,85.77,87.51,1.0,1772273
INTU,2015-02-03 00:00:00+00:00,86.4605359364,86.4796432372,84.588020462,84.588020462,1998097,90.5,0.0,90.52,88.54,88.54,1.0,1998097
INTU,2015-02-04 00:00:00+00:00,86.4987505379,87.0719695607,85.7917804098,85.9541924663,1483457,90.54,0.0,91.14,89.8,89.97,1.0,1483457
INTU,2015-02-05 00:00:00+00:00,87.6165276324,87.7025104858,86.1742130345,86.4318749853,1084497,91.71,0.0,91.8,90.2003,90.47,1.0,1084497
